,term,score
0,giovanmaria,71.12780561975192
1,verona,27.626028849365994
2,falconetto,23.718021769015913
3,cornara,20.125145705019854
4,cornaro,18.660017210623515
5,luigi,16.575617309619595
6,roveretto,16.310254603089383
7,padoa,15.194281307823786
8,architettura,14.185519105867854
9,veronese,12.741838943026533
10,disegni,11.807506918124401
11,misure,11.336247395674977
12,vinezia,11.089378547474634
13,stucco,10.656651248493388
14,modello,10.522735120939622
15,gotte,10.062572852509927
16,cavando,9.487208707606365
17,piante,9.256128831598952
18,pollonia,9.040921604977946
19,storpiato,8.676278491390036
20,lavorare,8.206348680751905
21,nacquero,8.100914346486476
22,nazzaro,8.100914346486476
23,zeno,8.100914346486476
24,seguito,8.100914346486476
25,settimana,7.464006884249406
26,luoghi,7.332298104055032
27,viaggio,7.289984130270146
28,motti,7.289984130270146
29,ridolfi,7.289984130270146
30,fabriche,7.106095797688534
31,signori,6.844232428505903
32,disegnasse,6.843697027641727
33,detti,6.748989833731028
34,dilettandosi,6.714619985366585
35,imperatore,6.653627128484781
36,occasione,6.653627128484781
37,rarissimo,6.593370741733715
38,tedeschi,6.479053914053818
39,ritrasse,6.432440551496132
40,parti,6.304087293290131
41,antichità,6.077712523129515
42,ancor,5.9806789067737505
43,patria,5.9806789067737505
44,disegnare,5.960291965594622
45,andò,5.828279521844669
46,capitano,5.822045780109745
47,mettere,5.601656513645274
48,membra,5.525205769873199
49,fratello,5.518317821324047
50,figliuolo,5.47089912050127
51,edifizii,5.457402666521837
52,imperiali,5.436751534363128
53,piamonte,5.436751534363128
54,turino,5.436751534363128
55,tirandosi,5.436751534363128
56,provali,5.436751534363128
57,trentino,5.436751534363128
58,savorgnano,5.436751534363128
59,essenzioni,5.436751534363128
60,emili,5.436751534363128
61,popolosa,5.436751534363128
62,menandolo,5.436751534363128
63,aspettarsi,5.436751534363128
64,osmo,5.436751534363128
65,giordan,5.436751534363128
66,presentasse,5.436751534363128
67,inamorò,5.436751534363128
68,vincitor,5.436751534363128
69,pola,5.436751534363128
70,parlatore,5.436751534363128
71,chiarirò,5.436751534363128
72,degnava,5.436751534363128
73,chiariva,5.436751534363128
74,usopo,5.436751534363128
75,perpetualmente,5.436751534363128
76,fanteria,5.436751534363128
77,banchiere,5.436751534363128
78,ventun,5.436751534363128
79,sculpito,5.436751534363128
80,comunicate,5.436751534363128
81,ruzzante,5.436751534363128
82,provolo,5.436751534363128
83,dozzinali,5.436751534363128
84,insegnò,5.328325624246694
85,anticaglie,5.328325624246694
86,stessa,5.207076380613824
87,cognizione,5.149101306867319
88,grazie,5.092759552933927
89,attendendo,5.037961604557698
90,risoltosi,5.0312864262549635
91,stabilita,5.0312864262549635
92,fiorio,5.0312864262549635
93,archibusata,5.0312864262549635
94,forestiero,5.0312864262549635
95,tiratoselo,5.0312864262549635
