,term,score
0,filippo,280.3291174581835
1,modello,73.65914584657735
2,operai,72.78961078182404
3,consoli,64.16908843430767
4,lorenzo,62.894407361748925
5,fabbrica,57.436043538031825
6,cupola,55.53677298959371
7,donato,54.71822262888603
8,braccia,53.6176453974261
9,mandorla,52.05767094834022
10,ferro,48.52640718788269
11,su,43.15652498081789
12,eglino,42.369313438343696
13,muratori,42.1004498412193
14,ci,38.75576892462126
15,altezza,37.74276114613098
16,edifizio,36.995056031901406
17,lanterna,36.44992065135073
18,palla,35.91383750417579
19,maestri,35.769317937652886
20,peso,35.42213861490154
21,piano,34.85847994146634
22,catene,33.47190852694208
23,avevano,33.298652219373636
24,salario,33.205230476622276
25,otto,32.72850362404582
26,mazzo,32.62050920617877
27,degli,32.23035616055815
28,sproni,31.64322561742281
29,modelli,31.41224642684395
30,catena,30.61850897543222
31,ponti,29.856027536997622
32,facce,28.995919778625186
33,pensato,27.768386494796854
34,murare,27.626028849365994
35,tal,27.1290168121508
36,armadura,27.122764814933838
37,poteva,26.995959334924112
38,mezza,26.959115104379272
39,acciò,26.791399396040845
40,voltare,26.12402409487292
41,avevono,26.02883547417011
42,cosimo,24.959858944027346
43,disse,24.824658435268745
44,porte,24.426649832411677
45,solo,24.14626473138257
46,amici,24.121652068110496
47,ghiberti,23.952939596746045
48,li,23.92229096639705
49,pareva,23.348220826596624
50,legno,23.348220826596624
51,ingegno,23.10663953777595
52,fino,23.012573184339786
53,lumi,22.197033619140846
54,nessuno,22.030407628657798
55,sé,21.74742544731854
56,volgerla,21.747006137452512
57,invidia,21.746939833968888
58,macigni,21.69069622847509
59,io,21.578262490408946
60,laonde,20.853714313583957
61,agli,20.853714313583957
62,vedendo,20.523612710173538
63,fuori,20.39897832645634
64,sagrestia,20.19024850749762
65,messo,19.967887155221877
66,mi,19.790819121004166
67,arebbono,19.780112225201144
68,faceva,19.692116575063583
69,architettura,19.5050887705683
70,continuo,19.436461212338568
71,tempio,19.42847050087468
72,tetto,18.87138057306549
73,magistrato,18.512257663197904
74,pesi,18.224960325675365
75,voltarla,18.081843209955892
76,vota,18.081843209955892
77,pietre,18.069581632121462
78,rispose,17.824658435268745
79,forte,17.824658435268745
80,male,17.731898882334818
81,voi,17.71106930745077
82,ferri,17.466137340329233
83,potesse,17.462195756069832
84,lapi,17.352556982780072
85,anello,17.352556982780072
86,cittadini,17.326854859788966
87,fabbriche,17.109242569104318
88,niente,17.109242569104318
89,difficili,17.004371093512468
90,stava,16.98052423752482
91,consiglio,16.836376193503394
92,mostrare,16.804969540935822
93,legni,16.786549963416462
94,potevano,16.786165228487214
95,quelli,16.772013818284805
96,murati,16.73595426347104
97,dissono,16.73595426347104
98,tale,16.694779576708186
99,inanzi,16.6399059626849
100,condurre,16.555645635013235
101,allogazione,16.483426854334287
102,difficultà,16.41889016813883
103,cielo,16.412623451909337
104,fussino,16.37220799956551
105,edifizii,16.37220799956551
106,popolani,16.310254603089383
107,verso,16.300890445928083
108,brunellesco,16.197634785134547
109,però,16.190392084062236
110,mal,15.958257792491105
111,cominciare,15.927298678783167
