,term,score
0,filippo,39.509472930348004
1,raffaellino,15.09385927876489
2,cappella,14.11399843627979
3,buca,13.561382407466919
4,pugliese,13.561382407466919
5,caraffa,12.151371519729715
6,garbo,11.481940865787083
7,serpente,11.050411539746397
8,olivieri,10.873503068726256
9,tanai,10.873503068726256
10,padre,10.19948916322817
11,nerli,9.487208707606365
12,drusiana,9.487208707606365
13,invenzione,9.269587417515009
14,tommaso,9.205029273735914
15,abiti,8.871502837979708
16,cominciò,8.80225431228026
17,canapi,8.676278491390036
18,lorenzo,8.576510094783945
19,storia,8.522211081664436
20,badia,8.418188096751697
21,cimieri,8.36797713173552
22,zoccolo,8.36797713173552
23,funi,8.100914346486476
24,ritrasse,8.040550689370164
25,crucifisso,8.011057319511927
26,botticello,7.865348275173708
27,eretici,7.865348275173708
28,fuor,7.475848633467188
29,bandiere,7.464006884249406
30,stranamente,7.464006884249406
31,calzari,7.289984130270146
32,croce,7.012554481053666
33,giovanetto,6.969708675458262
34,veleno,6.843697027641727
35,spagnuolo,6.843697027641727
36,resto,6.776093112045548
37,sandro,6.593370741733715
38,cardinale,6.520356178371234
39,fuoco,6.422744005076397
40,trofei,6.370919471513266
41,sepoltura,6.304087293290131
42,dimostrò,6.268332882738164
43,frati,6.2622020938209495
44,re,6.1797249450100065
45,gioventù,6.170752554399301
46,tempii,6.170752554399301
47,garzoni,5.988808997987848
48,medici,5.9806789067737505
49,antiche,5.960291965594622
50,peso,5.903689769150256
51,veste,5.903689769150256
52,vasi,5.903689769150256
53,cortese,5.743604353803183
54,poeta,5.743604353803183
55,certe,5.644210418621144
56,carmine,5.5953884094957385
57,faccia,5.5596977877210545
58,belle,5.539866346239293
59,bellissimo,5.539866346239293
60,grottesche,5.525205769873199
61,margherita,5.525205769873199
62,ai,5.505234095266835
63,ingegno,5.436856361829635
64,spiritosa,5.436751534363128
65,soccinte,5.436751534363128
66,mdv,5.436751534363128
67,riverberare,5.436751534363128
68,discritte,5.436751534363128
69,catedra,5.436751534363128
70,volendone,5.436751534363128
71,conciliarsi,5.436751534363128
72,sprimanzia,5.436751534363128
73,pareggiarono,5.436751534363128
74,cagnolino,5.436751534363128
75,scimitarre,5.436751534363128
76,risuscitano,5.436751534363128
77,soggiogato,5.436751534363128
78,sempiterno,5.436751534363128
79,immaginate,5.436751534363128
80,stupeffatto,5.436751534363128
81,chiaroscuro,5.436751534363128
82,provano,5.436751534363128
83,mercatale,5.436751534363128
84,infedeltà,5.436751534363128
85,pedale,5.436751534363128
86,ingegnosissimamente,5.436751534363128
87,lanzilago,5.436751534363128
88,abbigliate,5.436751534363128
89,defunta,5.436751534363128
90,occultandosi,5.436751534363128
91,abbellisse,5.436751534363128
92,riscossa,5.436751534363128
93,berughetta,5.436751534363128
94,serrarono,5.436751534363128
95,dinegò,5.436751534363128
96,quadrante,5.436751534363128
97,antoniasso,5.436751534363128
98,inforcata,5.436751534363128
99,scripsisti,5.436751534363128
100,ornatamente,5.436751534363128
101,sostenendola,5.436751534363128
102,averroè,5.436751534363128
103,sensale,5.436751534363128
104,appiattarvela,5.436751534363128
105,puntello,5.436751534363128
106,bilicando,5.436751534363128
107,thoma,5.436751534363128
108,scopeto,5.436751534363128
109,ricoprì,5.436751534363128
110,niccolò,5.397496123910227
111,pier,5.391823020875854
112,strozzi,5.328325624246694
113,prato,5.037961604557698
114,pezzato,5.0312864262549635
115,picchiava,5.0312864262549635
116,spoletini,5.0312864262549635
117,imbasamenti,5.0312864262549635
118,propizia,5.0312864262549635
119,indiani,5.0312864262549635
120,pulci,5.0312864262549635
121,fetore,5.0312864262549635
122,infedeli,5.0312864262549635
123,sontuosa,5.0312864262549635
124,somiglino,5.0312864262549635
125,rottura,5.0312864262549635
126,resurezione,5.0312864262549635
127,prigiona,5.0312864262549635
128,lasciatagli,5.0312864262549635
129,samaritana,5.0312864262549635
130,toghe,5.0312864262549635
131,puntegli,5.0312864262549635
132,campora,5.0312864262549635
133,avvolte,5.0312864262549635
134,raggio,5.0312864262549635
135,arrio,5.0312864262549635
136,raccomandasse,5.0312864262549635
137,spaventata,5.0312864262549635
138,manti,5.0312864262549635
139,bizzarrissima,5.0312864262549635
140,sabellio,5.0312864262549635
141,ponziano,5.0312864262549635
142,conservarla,5.0312864262549635
143,ricorre,5.0312864262549635
144,crudelissima,5.0312864262549635
145,simili,5.0266542560086975
146,altar,4.824330413622099
147,tenuta,4.824330413622099
148,napolitano,4.743604353803183
149,morendosi,4.743604353803183
150,lodano,4.743604353803183
151,mattia,4.743604353803183
152,1511,4.743604353803183
153,fiamme,4.743604353803183
154,quarantacinque,4.743604353803183
155,baldini,4.743604353803183
156,cappellina,4.743604353803183
157,accresciuta,4.743604353803183
158,bolgie,4.743604353803183
159,imaginò,4.743604353803183
160,occide,4.743604353803183
161,sù,4.743604353803183
162,misurati,4.743604353803183
163,conca,4.743604353803183
164,decollato,4.743604353803183
165,sacerdotali,4.743604353803183
166,evvi,4.743604353803183
167,tema,4.743604353803183
168,scaglione,4.743604353803183
169,scopetini,4.743604353803183
170,spoleto,4.743604353803183
171,soffia,4.743604353803183
172,pare,4.696651570365712
173,speranza,4.602514636867957
174,altare,4.544334594245442
175,disperazione,4.520460802488973
176,volgarmente,4.520460802488973
177,spettacoli,4.520460802488973
178,orrore,4.520460802488973
179,comendazione,4.520460802488973
180,bisdomini,4.520460802488973
181,rotte,4.520460802488973
182,vaghissima,4.520460802488973
183,circostanti,4.520460802488973
184,orando,4.520460802488973
185,fiora,4.520460802488973
186,confermò,4.520460802488973
187,portature,4.520460802488973
188,puzzo,4.520460802488973
189,pubbliche,4.520460802488973
190,chiamarono,4.520460802488973
191,genoa,4.520460802488973
192,aste,4.520460802488973
