,term,score
0,bartolomeo,42.05805092743762
1,baccio,30.494218053062557
2,marco,19.967887155221877
3,frate,16.41889016813883
4,gerozzo,15.09385927876489
5,colorito,14.60666897375123
6,convento,13.907347919720785
7,anche,13.552186224091097
8,quadri,12.778393774158541
9,apresso,12.55196569760328
10,orecchio,12.55196569760328
11,priore,11.487208707606365
12,dipinse,11.01046819053367
13,frati,10.958853664186663
14,scuri,10.472524155923445
15,rilievo,10.398554710471906
16,prato,10.075923209115397
17,mariotto,10.071929978049877
18,liuto,9.718580871080727
19,affezzione,9.556379207269899
20,predicazioni,9.487208707606365
21,attentamente,9.487208707606365
22,oltra,9.474794396918044
23,èvvi,9.402499324107247
24,raffaello,9.197196368873412
25,costume,9.116568784694273
26,zazzera,9.040921604977946
27,paion,9.040921604977946
28,pugliese,9.040921604977946
29,continovando,9.040921604977946
30,figura,9.029555409832813
31,amorosi,8.676278491390036
32,massime,8.676278491390036
33,dini,8.676278491390036
34,su,8.631304996163578
35,peccato,8.502185546756234
36,cappella,8.468399061767872
37,condusse,8.468399061767872
38,quadro,8.436237292163785
39,aria,8.31995298134245
40,dua,8.287808654809798
41,ieronimo,8.287808654809798
42,rosselli,8.100914346486476
43,monaca,8.100914346486476
44,pier,8.087734531313782
45,straordinaria,8.087734531313782
46,amici,8.040550689370164
47,scuro,8.011057319511927
48,carne,7.99248843637004
49,benedetto,7.884062526253606
50,fresca,7.865348275173708
51,pratiche,7.865348275173708
52,drento,7.865348275173708
53,caterina,7.760975891586591
54,bugiardini,7.654627243858055
55,albertinelli,7.654627243858055
56,lira,7.654627243858055
57,sentire,7.654627243858055
58,dentrovi,7.641564038987867
59,vincenzio,7.639139329400891
60,agli,7.583168841303257
61,medici,7.475848633467188
62,pronta,7.464006884249406
63,suona,7.464006884249406
64,chiaro,7.412930383628073
65,bianco,7.32305778242741
66,divini,7.289984130270146
67,mariano,7.289984130270146
68,diletta,7.289984130270146
69,innanzi,7.249642405547052
70,tavole,7.092759552933927
71,cominciò,7.041803449824208
72,bernardo,7.037127243014436
73,simil,6.981682770615629
74,diminuire,6.981682770615629
75,padiglione,6.981682770615629
76,olio,6.941798241002539
77,tengono,6.903771955301935
78,fresco,6.881542619083544
79,considera,6.843697027641727
80,bellezza,6.748989833731028
81,cosimo,6.655962385073959
82,carissimo,6.593370741733715
83,acconcio,6.593370741733715
84,opra,6.593370741733715
85,giuliano,6.535964989024939
86,continuo,6.478820404112856
87,giorno,6.476156833624894
88,coloriti,6.370919471513266
89,ove,6.370919471513266
90,legno,6.367696589071807
91,sapeva,6.367696589071807
92,santi,6.346415730612279
93,tal,6.26054234126557
94,donne,6.208367113129963
95,doppo,6.170752554399301
96,volse,6.170752554399301
97,dosso,6.170752554399301
98,prospettiva,6.157083813052061
99,memoria,6.139115459153934
100,ignude,6.077712523129515
101,giustizia,6.077712523129515
102,ossa,6.077712523129515
103,parimente,5.9806789067737505
104,tiene,5.960291965594622
105,disegni,5.903753459062201
106,voce,5.903689769150256
107,prese,5.866534335082308
108,grandissimo,5.828279521844669
109,sentendo,5.822045780109745
110,lodati,5.822045780109745
111,paolo,5.822045780109745
112,francia,5.820731918689944
113,testa,5.791069951195415
114,maddalena,5.743604353803183
115,son,5.7311730292409
116,ritto,5.668123697837489
117,putti,5.644210418621144
118,filippo,5.644210418621144
119,grandissima,5.610043584842932
120,mostrare,5.601656513645274
121,ultimamente,5.5953884094957385
122,palla,5.525205769873199
123,disegnata,5.525205769873199
124,religione,5.525205769873199
125,ombre,5.525205769873199
126,panni,5.518317821324047
127,finito,5.477500865156712
128,perfetta,5.457402666521837
129,venna,5.436751534363128
130,stordì,5.436751534363128
131,martedì,5.436751534363128
