,term,score
0,filippo,37.62806945747429
1,diamante,30.366974719865127
2,masaccio,18.660017210623515
3,cosimo,14.975915366416409
4,cappella,14.11399843627979
5,spoleti,13.561382407466919
6,monache,13.42847050087468
7,medici,11.961357813547501
8,comunità,11.798022412760561
9,bernardo,11.728545405024061
10,annunziata,11.190776818991477
11,buti,10.873503068726256
12,arteficio,10.873503068726256
13,prato,10.075923209115397
14,uccidono,10.062572852509927
15,nonché,10.062572852509927
16,carmino,10.062572852509927
17,appetito,10.062572852509927
18,lucrezia,9.890056112600572
19,giorno,9.71423525043734
20,batista,9.205029273735914
21,fervore,9.040921604977946
22,padrone,8.615406530704774
23,carlo,8.49026211876241
24,tempera,8.418188096751697
25,carmine,8.393082614243607
26,carmelitani,8.36797713173552
27,libertà,8.36797713173552
28,lippi,8.36797713173552
29,stefano,8.347389788354093
30,via,8.150445222964041
31,natività,8.142216610803892
32,convito,8.100914346486476
33,ritrasse,8.040550689370164
34,dagli,7.884062526253606
35,venne,7.8801091166126636
36,catena,7.654627243858055
37,dentrovi,7.641564038987867
38,eugenio,7.464006884249406
39,est,7.464006884249406
40,sonvi,7.464006884249406
41,faccia,7.412930383628073
42,panni,7.357757095098729
43,hic,7.289984130270146
44,padre,7.285349402305837
45,negli,7.176687289919116
46,erode,7.1298987149230735
47,tavole,7.092759552933927
48,pieve,6.969708675458262
49,tommaso,6.903771955301935
50,dipinse,6.881542619083544
51,secolo,6.843697027641727
52,iiii,6.714619985366585
53,dipigneva,6.714619985366585
54,opra,6.593370741733715
55,sandro,6.593370741733715
56,imparare,6.478820404112856
57,spirito,6.476156833624894
58,altar,6.432440551496132
59,attorno,6.422744005076397
60,famosi,6.370919471513266
61,pianto,6.370919471513266
62,disagio,6.370919471513266
63,metterlo,6.370919471513266
64,destrezza,6.268332882738164
65,giudei,6.268332882738164
66,biasimo,6.268332882738164
67,donne,6.208367113129963
68,ritornare,6.170752554399301
69,averlo,6.077712523129515
70,celebrato,5.988808997987848
71,mezzi,5.903689769150256
72,mesi,5.866534335082308
73,tenuto,5.754203330775719
74,carezze,5.743604353803183
75,ducati,5.743604353803183
76,lorenzo,5.717673396522629
77,dimorò,5.668123697837489
78,grandissima,5.610043584842932
79,battesimo,5.5953884094957385
80,castello,5.5596977877210545
81,ad,5.539866346239293
82,cena,5.525205769873199
83,storiette,5.525205769873199
84,fiesole,5.457402666521837
85,convitati,5.436751534363128
86,ingenioso,5.436751534363128
87,faccendoli,5.436751534363128
88,1438,5.436751534363128
89,predicante,5.436751534363128
90,humili,5.436751534363128
91,unì,5.436751534363128
92,voracità,5.436751534363128
93,intiepidiva,5.436751534363128
94,animos,5.436751534363128
95,ardiglione,5.436751534363128
96,finitissimamente,5.436751534363128
97,boticello,5.436751534363128
98,tectus,5.436751534363128
99,induca,5.436751534363128
100,moresca,5.436751534363128
101,avvelenare,5.436751534363128
102,serbanza,5.436751534363128
103,vincigliata,5.436751534363128
104,lapaccia,5.436751534363128
105,commuoversi,5.436751534363128
106,pulvere,5.436751534363128
107,punire,5.436751534363128
108,cocolle,5.436751534363128
109,marziale,5.436751534363128
110,lenzuoli,5.436751534363128
111,disputazione,5.436751534363128
112,legitima,5.436751534363128
113,vetturini,5.436751534363128
114,fuste,5.436751534363128
115,alfine,5.436751534363128
116,trasportarono,5.436751534363128
117,primerana,5.436751534363128
118,barchetta,5.436751534363128
119,barbo,5.436751534363128
120,marmoreo,5.436751534363128
121,animare,5.436751534363128
122,guastarla,5.436751534363128
123,condennare,5.436751534363128
124,dispensarlo,5.436751534363128
125,forbici,5.436751534363128
126,rabbiosi,5.436751534363128
127,incorrere,5.436751534363128
128,fassa,5.436751534363128
129,medices,5.436751534363128
130,presentarsi,5.436751534363128
131,mantenutasi,5.436751534363128
132,meae,5.436751534363128
133,novizio,5.436751534363128
134,potui,5.436751534363128
135,afflizione,5.436751534363128
136,beneficata,5.436751534363128
137,artifices,5.436751534363128
138,imaginarlo,5.436751534363128
139,meis,5.436751534363128
140,afferrate,5.436751534363128
141,digitis,5.436751534363128
142,avvertisse,5.436751534363128
143,esprimerlo,5.436751534363128
144,diportandosi,5.436751534363128
145,sperataque,5.436751534363128
146,ignota,5.436751534363128
147,sostentarlo,5.436751534363128
148,colores,5.436751534363128
149,ritraendole,5.436751534363128
150,stupuit,5.436751534363128
151,portandosene,5.436751534363128
152,fallere,5.436751534363128
153,supplicio,5.436751534363128
154,analena,5.436751534363128
155,calatosi,5.436751534363128
156,attristamento,5.436751534363128
157,ante,5.436751534363128
158,meque,5.436751534363128
159,onorarsi,5.436751534363128
160,bracciolini,5.436751534363128
161,pisello,5.436751534363128
162,venereo,5.436751534363128
163,superchio,5.436751534363128
164,conditus,5.436751534363128
165,xviii,5.436751534363128
166,condidit,5.436751534363128
167,sentitosi,5.436751534363128
168,applicarvi,5.436751534363128
169,svergognate,5.436751534363128
170,sviò,5.436751534363128
171,facendone,5.436751534363128
172,tumulo,5.436751534363128
173,attitudini,5.397496123910227
174,operai,5.391823020875854
175,governo,5.328325624246694
176,arie,5.2667823069131865
177,miracolo,5.2667823069131865
178,andasse,5.207076380613824
179,considerazioni,5.207076380613824
180,venerazione,5.149101306867319
181,posta,5.1331743213794265
182,poteva,5.061742375298271
183,commodità,5.037961604557698
184,frequentava,5.0312864262549635
185,ammaestramenti,5.0312864262549635
186,rinchiuse,5.0312864262549635
187,delicatissima,5.0312864262549635
188,ambasciator,5.0312864262549635
189,sellaio,5.0312864262549635
190,laurentius,5.0312864262549635
191,amoroso,5.0312864262549635
192,sotterrano,5.0312864262549635
193,protomartire,5.0312864262549635
194,bellucci,5.0312864262549635
195,parem,5.0312864262549635
196,artibus,5.0312864262549635
197,saperei,5.0312864262549635
198,terrà,5.0312864262549635
199,spoletini,5.0312864262549635
200,ringrandire,5.0312864262549635
201,erudizione,5.0312864262549635
202,1463,5.0312864262549635
203,partite,5.0312864262549635
204,dirotte,5.0312864262549635
205,barberia,5.0312864262549635
206,eram,5.0312864262549635
207,supplicare,5.0312864262549635
208,imitandola,5.0312864262549635
209,imbrattare,5.0312864262549635
210,afflitte,5.0312864262549635
211,liste,5.0312864262549635
212,alessandri,5.0312864262549635
213,maturi,5.0312864262549635
214,crudeli,5.0312864262549635
215,zia,5.0312864262549635
216,strignere,5.0312864262549635
217,scorrevano,5.0312864262549635
218,tornaboni,5.0312864262549635
219,tagliarono,5.0312864262549635
220,xvii,5.0312864262549635
221,astratti,5.0312864262549635
222,assalto,5.0312864262549635
223,comperati,5.0312864262549635
224,mestizia,5.0312864262549635
225,destare,5.0312864262549635
226,expressa,5.0312864262549635
227,disputante,5.0312864262549635
228,allacciatolo,5.0312864262549635
229,visse,4.991971788805469
230,moderni,4.984625110393376
231,volle,4.957685701334601
232,potendo,4.932674137586854
233,organo,4.932674137586854
234,bianco,4.882038521618274
235,cambio,4.832653296437531
236,anzi,4.7918976653094525
237,potette,4.78445819327941
238,fargli,4.78445819327941
239,santi,4.759811797959209
240,statoci,4.743604353803183
241,diu,4.743604353803183
242,pareti,4.743604353803183
243,domandarono,4.743604353803183
244,ritrarlo,4.743604353803183
245,riaverla,4.743604353803183
246,acerbi,4.743604353803183
247,zelo,4.743604353803183
248,nofri,4.743604353803183
249,ipsa,4.743604353803183
250,mona,4.743604353803183
251,esprimer,4.743604353803183
252,figuris,4.743604353803183
253,amiche,4.743604353803183
254,57,4.743604353803183
255,vecchietto,4.743604353803183
256,partorito,4.743604353803183
257,vaglia,4.743604353803183
258,ermo,4.743604353803183
259,schiavi,4.743604353803183
260,schiavo,4.743604353803183
261,ascoltano,4.743604353803183
262,innamoratosi,4.743604353803183
263,menati,4.743604353803183
264,carmelitano,4.743604353803183
265,sagra,4.743604353803183
266,philippus,4.743604353803183
267,guardarle,4.743604353803183
268,bestialità,4.743604353803183
269,piacessero,4.743604353803183
270,abito,4.737397198459022
271,frati,4.696651570365712
272,lodovico,4.691418162009624
273,maestri,4.665563209259072
274,iacopo,4.60433659436545
275,lavoro,4.574185586804946
276,teste,4.574185586804946
277,nuovamente,4.520460802488973
278,introdusse,4.520460802488973
279,gratia,4.520460802488973
280,manus,4.520460802488973
281,nulli,4.520460802488973
282,fanciullino,4.520460802488973
283,fantocci,4.520460802488973
284,usati,4.520460802488973
285,contrada,4.520460802488973
286,deliberatosi,4.520460802488973
287,sicurissimo,4.520460802488973
288,storpiati,4.520460802488973
289,mirabilissime,4.520460802488973
290,predelle,4.520460802488973
291,prelato,4.520460802488973
292,levandosi,4.520460802488973
293,erodiana,4.520460802488973
294,liberazione,4.520460802488973
295,pazzia,4.520460802488973
296,biasimate,4.520460802488973
297,ego,4.520460802488973
298,spento,4.520460802488973
299,trapassò,4.520460802488973
300,300,4.520460802488973
301,pentito,4.520460802488973
302,figura,4.514777704916407
303,pur,4.485509180080313
304,dalle,4.485509180080313
305,bonissimo,4.476156833624893
306,spese,4.435751418989854
307,fiorentino,4.371209641383501
308,stata,4.343302463396562
309,gramatica,4.338139245695018
310,poliziano,4.338139245695018
311,penitenzia,4.338139245695018
312,sospesi,4.338139245695018
313,rinchiuso,4.338139245695018
314,celle,4.338139245695018
315,allegre,4.338139245695018
316,fondatore,4.338139245695018
317,lapidazione,4.338139245695018
318,parete,4.338139245695018
319,animosamente,4.338139245695018
320,asini,4.338139245695018
321,sanità,4.338139245695018
322,epigramma,4.338139245695018
323,dolenti,4.338139245695018
324,eccellenze,4.338139245695018
325,gliel,4.338139245695018
326,piange,4.338139245695018
327,ricoperse,4.338139245695018
328,ricoperte,4.338139245695018
329,tagliata,4.338139245695018
330,figlio,4.338139245695018
331,visi,4.338139245695018
332,fiamma,4.338139245695018
333,suis,4.338139245695018
334,marsupini,4.338139245695018
335,allo,4.319213602741904
336,lavorando,4.281829336717598
337,parenti,4.245131059381205
338,napoli,4.245131059381205
339,preso,4.2090940483758486
340,infinite,4.2090940483758486
341,curare,4.18398856586776
342,diporto,4.18398856586776
343,tenerlo,4.18398856586776
344,valor,4.18398856586776
345,pia,4.18398856586776
346,ritraendovi,4.18398856586776
347,toccando,4.18398856586776
348,caponi,4.18398856586776
349,sum,4.18398856586776
350,conferma,4.18398856586776
351,lodar,4.18398856586776
352,bestiale,4.18398856586776
353,ceppo,4.18398856586776
354,picciole,4.18398856586776
355,cuculia,4.18398856586776
356,picturae,4.18398856586776
357,riconosce,4.18398856586776
358,disegnavano,4.18398856586776
359,particolarmente,4.181100799585734
360,fanciullo,4.173694894177046
361,belle,4.15489975967947
362,presente,4.1047225420347075
363,figliuolo,4.103174340375952
364,perder,4.050457173243238
365,arrecò,4.050457173243238
366,pagò,4.050457173243238
367,imparando,4.050457173243238
368,restavano,4.050457173243238
369,sopravenuto,4.050457173243238
370,predetto,4.050457173243238
371,studia,4.050457173243238
372,lietamente,4.050457173243238
373,pulidoro,4.050457173243238
374,monaca,4.050457173243238
375,filippino,4.050457173243238
376,bacino,4.050457173243238
377,sagrestia,4.038049701499524
378,convento,3.9735279770630814
379,condotte,3.942031263126803
380,carestia,3.932674137586854
381,contrafatte,3.932674137586854
382,botticello,3.932674137586854
383,tavolina,3.932674137586854
384,fanciulla,3.932674137586854
385,richiesto,3.932674137586854
386,nientedimeno,3.932674137586854
387,osservò,3.932674137586854
388,calavria,3.932674137586854
389,reliquia,3.932674137586854
390,nominare,3.932674137586854
391,noviziato,3.932674137586854
392,pratiche,3.932674137586854
393,veggonsi,3.932674137586854
394,fresca,3.932674137586854
395,amata,3.932674137586854
396,beati,3.932674137586854
397,averle,3.932674137586854
398,maggiori,3.9110228900548725
399,dipinto,3.9110228900548725
400,infiniti,3.8804879457932957
401,muro,3.8804879457932957
402,quivi,3.8504121910642146
403,continovo,3.8273136219290276
404,onorarlo,3.8273136219290276
405,chiedere,3.8273136219290276
406,cittadin,3.8273136219290276
407,bara,3.8273136219290276
408,avanzava,3.8273136219290276
409,turbe,3.8273136219290276
410,presepio,3.8273136219290276
411,mori,3.8273136219290276
412,esercitandosi,3.8273136219290276
413,stufa,3.8273136219290276
414,stette,3.8207820194939335
415,laonde,3.7915844206516285
416,tante,3.7915844206516285
417,angelo,3.762806945747429
418,lettere,3.734437675763516
419,movimenti,3.732003442124703
420,marca,3.732003442124703
421,ingegnò,3.732003442124703
422,grido,3.732003442124703
423,infra,3.732003442124703
424,abbigliamenti,3.732003442124703
425,mostrar,3.732003442124703
426,carbone,3.732003442124703
427,similitudine,3.732003442124703
428,causa,3.732003442124703
429,banda,3.7064651918140363
430,agio,3.644992065135073
431,furore,3.644992065135073
432,denti,3.644992065135073
433,ottenne,3.644992065135073
434,mira,3.644992065135073
435,usando,3.644992065135073
436,salendo,3.644992065135073
437,paio,3.644992065135073
438,giorni,3.624821202773526
439,nostri,3.572186586138779
440,mandò,3.572186586138779
441,grandezza,3.572186586138779
442,eterno,3.5649493574615367
443,titolo,3.5649493574615367
444,umore,3.5649493574615367
445,mandarono,3.5649493574615367
446,risposto,3.5649493574615367
447,straordinariamente,3.5649493574615367
448,spinto,3.5649493574615367
449,romiti,3.5649493574615367
450,proposto,3.5649493574615367
451,avendole,3.5649493574615367
452,ambruogio,3.5649493574615367
453,custodia,3.5649493574615367
454,maravigliosa,3.520901724912104
455,vicino,3.520901724912104
456,maschio,3.4908413853078146
457,rende,3.4908413853078146
458,aggiugnendo,3.4908413853078146
459,banco,3.4908413853078146
460,orribile,3.4908413853078146
461,dicevano,3.4908413853078146
462,vinto,3.4908413853078146
463,beni,3.4908413853078146
464,predica,3.4908413853078146
465,rabbia,3.4908413853078146
466,autore,3.4908413853078146
467,allegro,3.4908413853078146
468,amore,3.4463589353176407
469,essi,3.4463589353176407
470,apparire,3.4218485138208634
471,presi,3.4218485138208634
472,viveva,3.4218485138208634
473,celesti,3.4218485138208634
474,divozione,3.4218485138208634
475,sicuramente,3.4218485138208634
476,cintola,3.4218485138208634
477,allevato,3.4218485138208634
478,figliuol,3.4218485138208634
479,amico,3.39816383215952
480,bellezza,3.374494916865514
481,quadro,3.374494916865514
482,quest,3.374494916865514
483,conceduto,3.3573099926832923
484,dipintori,3.3573099926832923
485,legni,3.3573099926832923
486,decollazione,3.3573099926832923
487,semplicità,3.3573099926832923
488,bontà,3.3511028373391314
489,marco,3.3279811925369795
490,corpo,3.305123800889734
491,meritano,3.2966853708668573
492,vedersi,3.2966853708668573
493,intitolata,3.2966853708668573
494,indosso,3.2966853708668573
495,risolvette,3.2966853708668573
496,acconcio,3.2966853708668573
497,friano,3.2966853708668573
498,collera,3.2966853708668573
499,verde,3.2966853708668573
500,donare,3.239526957026909
501,ottima,3.239526957026909
502,saper,3.239526957026909
503,cavò,3.239526957026909
504,gesti,3.239526957026909
505,pozzo,3.239526957026909
506,operò,3.239526957026909
507,dette,3.238078416812447
508,dipignere,3.216220275748066
509,amici,3.216220275748066
510,avvenire,3.185459735756633
511,ancona,3.185459735756633
512,padova,3.185459735756633
513,incoronazione,3.185459735756633
514,entrato,3.185459735756633
515,starsi,3.185459735756633
516,superò,3.185459735756633
517,amori,3.185459735756633
518,piccole,3.1732078653061393
519,sepoltura,3.1520436466450654
520,pieghe,3.134166441369082
521,pena,3.134166441369082
522,intero,3.134166441369082
523,dimostrò,3.134166441369082
524,trovando,3.134166441369082
525,paresse,3.134166441369082
526,perduto,3.134166441369082
527,pare,3.1311010469104748
528,stesso,3.1103754728393813
529,bellissime,3.0898624725050032
530,invenzione,3.0898624725050032
531,gioventù,3.0853762771996505
532,grosso,3.0853762771996505
533,quadretto,3.0853762771996505
534,destro,3.0853762771996505
535,specchio,3.0853762771996505
536,magistrato,3.0853762771996505
537,piaceri,3.0853762771996505
538,odio,3.0853762771996505
539,ritornò,3.0853762771996505
540,volse,3.0853762771996505
541,degli,3.069557729576967
542,fatiche,3.069557729576967
543,dietro,3.0494570578699642
544,mani,3.0494570578699642
545,murate,3.0388562615647574
546,stupore,3.0388562615647574
547,abbate,3.0388562615647574
548,virtuoso,3.0388562615647574
549,commessione,3.0388562615647574
550,menò,3.0388562615647574
551,guardia,3.0388562615647574
552,faceva,3.029556396163628
553,altare,3.029556396163628
554,marmo,3.0098518032776047
555,esse,2.994404498993924
556,appunto,2.994404498993924
557,celeste,2.994404498993924
558,ragionamenti,2.994404498993924
559,piangono,2.994404498993924
560,regola,2.994404498993924
561,imitato,2.994404498993924
562,chiamato,2.9518767295311004
563,vivo,2.9518767295311004
564,voce,2.951844884575128
565,alfonso,2.951844884575128
566,affetti,2.951844884575128
567,luoghi,2.9329192416220127
568,finita,2.9329192416220127
569,fama,2.9141397609223345
570,duca,2.9141397609223345
571,fuori,2.9141397609223345
572,genti,2.9110228900548725
573,diligenzia,2.9110228900548725
574,animi,2.9110228900548725
575,grato,2.9110228900548725
576,vivamente,2.9110228900548725
577,morta,2.9110228900548725
578,lì,2.9110228900548725
579,sapesse,2.9110228900548725
580,domenico,2.8771016653878596
581,stessi,2.8718021769015913
582,standosi,2.8718021769015913
583,sera,2.8718021769015913
584,priore,2.8718021769015913
585,maggiormente,2.8718021769015913
586,sisto,2.8718021769015913
587,apertamente,2.8718021769015913
588,presso,2.8718021769015913
589,passando,2.8718021769015913
590,rari,2.8718021769015913
591,dargli,2.8718021769015913
592,allegrezza,2.8718021769015913
593,età,2.8588366982613147
594,allogato,2.8340618489187444
595,lodevoli,2.8340618489187444
596,poggio,2.8340618489187444
597,amorevolezza,2.8340618489187444
598,sdegno,2.8340618489187444
599,divenne,2.8340618489187444
600,fuggire,2.8340618489187444
601,cagione,2.8227996872559578
602,compagnia,2.805021792421466
603,tavoletta,2.7976942047478692
604,cento,2.7976942047478692
605,finestra,2.7976942047478692
606,indi,2.7976942047478692
607,inclinato,2.7976942047478692
608,eccellentemente,2.7976942047478692
609,dimostra,2.7976942047478692
610,disegnata,2.7626028849365993
611,sorella,2.7626028849365993
612,certamente,2.7626028849365993
613,margherita,2.7626028849365993
614,ieronimo,2.7626028849365993
615,cercare,2.7626028849365993
616,volti,2.7626028849365993
617,attendeva,2.7626028849365993
618,dua,2.7626028849365993
619,uscire,2.7626028849365993
620,questi,2.735449560250635
621,carità,2.7287013332609185
622,trovandosi,2.7287013332609185
623,nero,2.7287013332609185
624,vestito,2.7287013332609185
625,guardaroba,2.7287013332609185
626,paura,2.7287013332609185
627,sé,2.7184281809148176
628,piaceva,2.695911510437927
629,terribile,2.695911510437927
630,nulla,2.695911510437927
631,camaldoli,2.695911510437927
632,lodi,2.695911510437927
633,forme,2.695911510437927
634,fianco,2.695911510437927
635,disciplina,2.695911510437927
636,graziose,2.695911510437927
637,letto,2.695911510437927
638,tramezzo,2.695911510437927
639,pericolo,2.695911510437927
640,divino,2.695911510437927
641,intagliato,2.695911510437927
642,componimento,2.664162812123347
643,prestezza,2.664162812123347
644,rimaso,2.664162812123347
645,azzioni,2.664162812123347
646,insegnò,2.664162812123347
647,cavaliere,2.6333911534565932
648,sotterrato,2.6333911534565932
649,colore,2.6333911534565932
650,levato,2.6333911534565932
651,dolse,2.6333911534565932
652,paragone,2.6333911534565932
653,passato,2.603538190306912
654,pilastro,2.603538190306912
655,servito,2.603538190306912
656,famoso,2.603538190306912
657,co,2.603538190306912
658,capitolo,2.603538190306912
659,figliuola,2.603538190306912
660,viso,2.5463797764669636
661,contrario,2.5463797764669636
662,compagno,2.5463797764669636
663,contra,2.518980802278849
664,oliveto,2.518980802278849
665,studiare,2.518980802278849
666,viniziano,2.518980802278849
667,perugia,2.518980802278849
668,maestà,2.518980802278849
669,porre,2.518980802278849
670,mare,2.492312555196688
