,term,score
0,frate,96.46097973781562
1,giovann,91.10092415959538
2,marmo,61.7019619671909
3,agnolo,53.217422052211845
4,quattro,49.340600980883444
5,messina,46.02387422454536
6,doria,44.78404130549643
7,sepoltura,40.976567406385854
8,facce,36.244899723281485
9,fonte,33.82857307506272
10,principe,32.062381894314555
11,genova,31.854597357566334
12,acqua,31.28818312043898
13,duca,30.598467489684513
14,sanazzaro,30.18771855752978
15,otto,28.87809143298161
16,michelagnolo,28.78664599418788
17,andò,27.684327728762177
18,signor,27.1540867700869
19,palmi,26.12402409487292
20,accademia,25.51494445594551
21,avea,24.645298734235585
22,servi,23.75567481508047
23,padri,23.70052038110934
24,braccia,23.45771986137392
25,capitolo,23.43184371276221
26,statue,22.955321917973755
27,montorsoli,22.602304012444865
28,compagnia,22.44017433937173
29,vaso,22.381553637982954
30,buonarroto,22.29821815029643
31,aiuto,21.786549963416462
32,cornice,21.313302496986775
33,zacheria,20.25228586621619
34,napoli,19.103089767215423
35,generale,19.10090933282643
36,frati,18.78660628146285
37,carrara,18.512257663197904
38,statua,18.410058547471827
39,sulla,18.17122365674786
40,zaccheria,18.081843209955892
41,tadda,18.081843209955892
42,tornare,17.739140684070613
43,fiumi,17.454206926539072
44,lorenzo,17.15302018956789
45,angolo,16.786549963416462
46,sponde,16.73595426347104
47,messinesi,16.310254603089383
48,bovio,16.310254603089383
49,maschere,16.197634785134547
50,ercole,16.175469062627563
51,fontana,15.670832206845411
52,angelo,15.051227782989717
53,lettere,14.937750703054064
54,rilievo,14.855078157817008
55,cardinale,14.670801401335275
56,bandinello,14.579968260540292
57,gettano,14.259797429846147
58,religioso,14.259797429846147
59,genovesi,14.230813061409549
60,bologna,14.019350309145873
61,tazza,13.963365541231259
62,dai,13.813009783096351
63,bande,13.80754391060387
64,mancavano,13.42923997073317
65,basamento,13.320814060616735
66,finita,13.198136587299057
67,don,13.188438493192486
68,fussero,12.972628171349127
69,cioè,12.946957494245368
70,facesse,12.946957494245368
71,avuto,12.778393774158541
72,minori,12.731898882334818
73,cappella,12.70259859265181
74,facendo,12.692831461224557
75,innanzi,12.68687420970734
76,volere,12.627282145127545
77,re,12.359449890020013
78,gira,12.15542504625903
79,navata,12.151371519729715
80,pilo,12.151371519729715
81,nunziata,12.01658597926789
82,pilastri,11.961145483198525
83,versa,11.798022412760561
84,cosimo,11.647934173879428
85,stata,11.58213990239083
86,grandi,11.508406661551438
87,favorire,11.481940865787083
88,orazione,11.481940865787083
89,posto,11.4623460584818
90,martino,11.293488520075915
91,uomo,11.291198749023831
92,putti,11.288420837242288
93,amici,11.256770965118232
94,ninfe,11.196010326374108
95,parlato,11.196010326374108
96,intagliata,10.93497619540522
97,santissima,10.93497619540522
98,laroca,10.873503068726256
99,tesorieri,10.873503068726256
100,budrione,10.873503068726256
101,bistrattato,10.873503068726256
102,angolari,10.873503068726256
103,cariddi,10.873503068726256
104,sanazaro,10.873503068726256
105,scilla,10.873503068726256
106,festa,10.783646041751709
107,alto,10.716559758416338
108,stanze,10.704573341793996
109,mattina,10.533564613826373
110,cassa,10.533564613826373
111,intendere,10.533564613826373
112,bell,10.522735120939622
113,riccio,10.472524155923445
114,scarpellini,10.472524155923445
115,posano,10.472524155923445
116,signore,10.41269736150381
117,affezione,10.26554554146259
118,altrimenti,10.261806355086769
119,messa,10.261806355086769
120,clemente,10.261806355086769
121,testa,10.134372414591976
122,pose,10.09512425374881
123,risoluto,10.075923209115397
124,acque,10.075923209115397
125,turnone,10.062572852509927
126,cavalierato,10.062572852509927
127,iason,10.062572852509927
128,ibero,10.062572852509927
129,norchiati,10.062572852509927
130,piazza,10.053308512017395
131,volentieri,10.013821649389909
132,messo,9.983943577610939
133,convento,9.933819942657703
134,canto,9.915371402669201
135,corpo,9.915371402669201
136,marina,9.890056112600572
137,promesso,9.890056112600572
138,lavorava,9.777557225137182
139,pierfrancesco,9.718580871080727
140,pavimento,9.718580871080727
141,mostri,9.718580871080727
142,intendendo,9.718580871080727
143,basso,9.71423525043734
144,tempio,9.71423525043734
145,ciascuno,9.701219864483239
146,ricevuto,9.665306592875062
147,ai,9.634159666716961
148,arezzo,9.626030477660537
149,giacere,9.556379207269899
150,fa,9.514498633201862
151,tornate,9.487208707606365
152,tirarlo,9.487208707606365
153,religioni,9.487208707606365
154,code,9.487208707606365
155,zampe,9.487208707606365
156,poggibonzi,9.487208707606365
157,fabriche,9.474794396918044
158,posa,9.402499324107247
159,comodo,9.256128831598952
160,puntormo,9.256128831598952
161,deliberato,9.256128831598952
162,pensato,9.256128831598952
163,partire,9.256128831598952
164,provisione,9.205029273735914
165,scultore,9.197196368873412
166,piacendo,9.116568784694273
167,angoli,9.116568784694273
168,largamente,9.116568784694273
169,faceva,9.088669188490885
170,dico,9.062053006933814
171,tiravano,9.040921604977946
172,luogotenente,9.040921604977946
173,esecutori,9.040921604977946
174,essecutori,9.040921604977946
175,mischie,9.040921604977946
176,sotterrati,9.040921604977946
177,scudi,9.034790816060731
178,pietre,9.034790816060731
179,ornamenti,9.029555409832813
180,figura,9.029555409832813
181,medici,8.971018360160626
182,dalle,8.971018360160626
183,scale,8.952313667249786
184,venuta,8.871502837979708
185,occasione,8.871502837979708
186,architettura,8.865949441167409
187,eccellenza,8.865949441167409
188,chiamato,8.8556301885933
189,dire,8.8556301885933
190,niun,8.855534653725385
191,tonda,8.855534653725385
192,reggono,8.855534653725385
193,qualche,8.798757724866038
194,padre,8.742419282767003
195,zio,8.733068670164617
196,negl,8.714619985366586
197,riuscì,8.714619985366586
198,piedistalli,8.676278491390036
199,piedistallo,8.676278491390036
200,gliel,8.676278491390036
201,partì,8.638427205483808
202,essi,8.615897338294102
203,magnifica,8.615406530704774
204,grand,8.615406530704774
205,priore,8.615406530704774
206,belvedere,8.615406530704774
207,signori,8.555290535632379
208,posta,8.555290535632379
209,giorgio,8.4954095803988
210,carlo,8.49026211876241
211,quest,8.436237292163785
212,detti,8.436237292163785
213,mille,8.393082614243607
214,cibo,8.36797713173552
215,magnanimo,8.36797713173552
216,ostante,8.36797713173552
217,fornire,8.36797713173552
218,benignamente,8.36797713173552
219,particolarmente,8.362201599171469
220,archi,8.347389788354093
221,ad,8.30979951935894
222,giovamento,8.287808654809798
223,religione,8.287808654809798
224,condurre,8.277822817506618
225,lavorare,8.206348680751905
226,fiesole,8.186103999782755
227,vano,8.186103999782755
228,ciascun,8.186103999782755
229,cima,8.186103999782755
230,ingegno,8.155284542744454
231,finestre,8.142216610803892
232,solennissima,8.100914346486476
233,ornare,8.100914346486476
234,eremo,8.100914346486476
235,delfini,8.100914346486476
236,giorno,8.095196042031118
237,giovani,8.076099402999048
238,copia,7.99248843637004
239,piacque,7.947055954126163
240,paulo,7.8801091166126636
241,spartito,7.865348275173708
242,mostrarono,7.865348275173708
243,isolato,7.865348275173708
244,avute,7.865348275173708
245,ricordandosi,7.865348275173708
246,scolari,7.865348275173708
247,dodici,7.822045780109745
248,servigio,7.810614570920736
249,obligo,7.810614570920736
250,andasse,7.810614570920736
251,parendogli,7.723651960300979
252,nipote,7.723651960300979
253,andato,7.700824382128429
254,dagl,7.700824382128429
255,iacopo,7.6738943239424176
256,dado,7.654627243858055
257,valentuomo,7.654627243858055
258,esercizii,7.654627243858055
259,ale,7.654627243858055
260,contentezza,7.654627243858055
261,pili,7.654627243858055
262,volea,7.654627243858055
263,giulio,7.641564038987867
264,principio,7.524629508194012
265,ancor,7.475848633467188
266,ingesuati,7.464006884249406
267,mancherebbe,7.464006884249406
268,licenzia,7.464006884249406
269,accompagnano,7.464006884249406
270,ricchissima,7.464006884249406
271,intagliatori,7.464006884249406
272,nettunno,7.464006884249406
273,nipoti,7.464006884249406
274,tonde,7.3990112063802815
275,dicendo,7.32305778242741
276,nobili,7.32305778242741
277,marino,7.289984130270146
278,mischi,7.289984130270146
279,imagini,7.289984130270146
280,vernia,7.289984130270146
281,parigi,7.289984130270146
282,capo,7.249642405547052
283,modelli,7.248979944656297
284,scrisse,7.248979944656297
285,interamente,7.248979944656297
286,avevano,7.238837438994269
287,buone,7.19666149854697
288,uso,7.19666149854697
289,ornamento,7.192754163469649
290,studio,7.192754163469649
291,fargli,7.176687289919116
