,term,score
0,oro,27.18531065727616
1,clamide,27.18375767181564
2,cangiante,27.18375767181564
3,verde,26.37348296693486
4,beato,24.31085009251806
5,posa,21.939165089583575
6,ricamata,21.747006137452512
7,carretta,21.747006137452512
8,corazza,21.69069622847509
9,ricamato,20.125145705019854
10,gialli,20.125145705019854
11,destra,19.13783277311764
12,santi,19.039247191836836
13,azzurra,18.97441741521273
14,dignità,18.224960325675365
15,rosso,17.584584657589982
16,rossa,17.454206926539072
17,azzurri,16.73595426347104
18,calzaretti,16.310254603089383
19,celata,15.730696550347416
20,angelico,15.09385927876489
21,devoto,15.09385927876489
22,fiorentino,14.570698804611673
23,spada,14.555114450274363
24,domenico,14.385508326939298
25,attavante,14.230813061409549
26,stanca,14.230813061409549
27,paradiso,13.813014424682997
28,predicatori,13.687394055283454
29,scipione,13.561382407466919
30,maniche,13.561382407466919
31,religiosi,13.561382407466919
32,aere,13.014417737085054
33,sante,12.958107828107636
34,inferno,12.741838943026533
35,giallo,12.55196569760328
36,frate,12.314167626104123
37,guarda,11.977617995975695
38,tiene,11.920583931189244
39,veste,11.807379538300513
40,nuda,11.798022412760561
41,beati,11.798022412760561
42,martire,11.64409156021949
43,quinto,11.61618112576377
44,man,11.41062331214966
45,nicola,11.190776818991477
46,predella,11.190392084062232
47,religione,11.050411539746397
48,dio,10.958853664186663
49,frati,10.958853664186663
50,calzari,10.93497619540522
51,antonino,10.93497619540522
52,fiesole,10.914805333043674
53,silio,10.873503068726256
54,tramezzo,10.783646041751709
55,azzurro,10.472524155923445
56,sinistra,10.298202613734638
57,secolo,10.26554554146259
58,io,10.06985582885751
59,aliette,10.062572852509927
60,relligioso,10.062572852509927
61,pendagli,10.062572852509927
62,paonazzo,10.062572852509927
63,foderata,10.062572852509927
64,santamente,10.062572852509927
65,ricamati,10.062572852509927
66,altera,10.062572852509927
67,cosimo,9.983943577610939
68,uomo,9.879798905395852
69,miniatore,9.718580871080727
70,questi,9.574073460877221
71,piccole,9.519623595918418
72,cangianti,9.487208707606365
73,voglie,9.487208707606365
74,calze,9.487208707606365
75,faccia,9.26616297953509
76,dannati,9.040921604977946
77,accenna,9.040921604977946
78,celeste,8.983213496981772
79,arcivescovo,8.983213496981772
80,nicchia,8.871502837979708
81,piè,8.792292328794991
82,padre,8.742419282767003
83,mondo,8.742419282767003
84,zanobi,8.733068670164617
85,vesta,8.676278491390036
86,verdi,8.676278491390036
87,gialla,8.676278491390036
88,delicate,8.676278491390036
89,miniati,8.676278491390036
90,pene,8.676278491390036
91,deve,8.615406530704774
92,dormentorio,8.36797713173552
93,lascive,8.36797713173552
94,cercare,8.287808654809798
95,storiette,8.287808654809798
96,figurine,8.186103999782755
97,capella,8.150445222964041
98,verso,8.150445222964041
