,term,score
0,iocondo,151.79533932170185
1,verona,116.02932116733717
2,giovanfrancesco,94.7697936935119
3,moro,65.01512176259641
4,liberale,57.07426987561597
5,capella,53.79293847156268
6,vinezia,37.70388706141376
7,dipinse,34.40771309541772
8,veronese,31.854597357566334
9,conte,29.907750662360254
10,madonna,28.558870787755254
11,lagune,27.18375767181564
12,giberti,25.15643213127482
13,botteghe,24.435889697154703
14,rivi,21.747006137452512
15,budeo,21.747006137452512
16,fiamingo,20.143859956099753
17,ritrasse,19.297321654488396
18,eufemia,18.97441741521273
19,michele,18.258336217189036
20,testa,17.373209853586246
21,giusti,17.352556982780072
22,marchese,17.23081306140955
23,republica,17.109242569104318
24,quadro,16.87247458432757
25,veronesi,16.73595426347104
26,caroti,16.310254603089383
27,torbido,16.310254603089383
28,rio,16.310254603089383
29,visconte,16.310254603089383
30,chioggia,16.310254603089383
31,scaligero,16.310254603089383
32,terreno,16.201828692972953
33,danese,16.201828692972953
34,padre,16.02776868507284
35,paulo,15.760218233225327
36,particolari,15.194281307823786
37,matteo,15.113884813673096
38,guardiano,14.928013768498811
39,dette,14.571352875656011
40,cioè,14.385508326939298
41,io,14.385508326939298
42,cavazzuola,14.230813061409549
43,fracastoro,14.230813061409549
44,vescovo,13.982976641993535
45,signore,13.883596482005078
46,signori,13.688464857011805
47,amicissimo,13.581707810276535
48,canal,13.561382407466919
49,guglielmo,13.42923997073317
50,avea,13.2705454722807
51,lodata,13.220495203558936
52,fiume,13.166955767282966
53,giovan,13.071929978049878
54,angeli,12.946957494245368
55,tenuta,12.864881102992264
56,giovane,12.864881102992264
57,fabrica,12.845488010152794
58,anzi,12.778393774158541
59,vincenzio,12.731898882334818
60,uomo,12.70259859265181
61,punto,12.68687420970734
62,girolamo,12.594157622457196
63,afferma,12.55196569760328
64,rialto,12.55196569760328
65,frati,12.524404187641899
66,nondimeno,12.441501891357525
67,fresco,12.386776714350379
68,organo,12.331685343967136
69,figliuolo,12.309523021127857
70,duomo,12.148146921754444
71,altare,12.118225584654512
72,torre,12.081633241093828
73,conti,11.977617995975695
74,quest,11.810732209029299
75,meriti,11.807379538300513
76,autorità,11.798022412760561
77,immitò,11.798022412760561
78,gentiluomo,11.506286592169893
79,lago,11.481940865787083
80,mantoa,11.336247395674977
81,mantegna,11.196010326374108
82,vivono,11.196010326374108
83,latina,11.196010326374108
84,massimiliano,11.196010326374108
85,bernardino,11.190776818991477
86,avuto,11.181094552388723
87,bellissimo,11.079732692478586
88,monsignor,11.050411539746397
89,raffaello,11.036635642648093
90,diede,10.94179824100254
91,fondarla,10.873503068726256
92,domizio,10.873503068726256
93,boteghe,10.873503068726256
94,zamfragnino,10.873503068726256
95,torello,10.873503068726256
96,manuzio,10.873503068726256
97,saraina,10.873503068726256
98,aldo,10.873503068726256
99,calderino,10.873503068726256
100,schioppi,10.873503068726256
101,tramezzo,10.783646041751709
102,magi,10.704573341793996
103,portegli,10.69484807238461
104,ancor,10.466188086854064
105,ponte,10.347278521883272
106,frate,10.261806355086769
107,eredi,10.185519105867854
108,sarebbe,10.134372414591976
109,garda,10.062572852509927
110,comenda,10.062572852509927
111,anselmo,10.062572852509927
112,conservarla,10.062572852509927
113,comentarii,10.062572852509927
114,osservazioni,10.062572852509927
115,camerino,10.062572852509927
116,canossi,10.062572852509927
117,sanazzaro,10.062572852509927
118,messo,9.983943577610939
119,aria,9.983943577610939
120,vide,9.933819942657703
121,benissimo,9.915371402669201
122,rarissimo,9.890056112600572
123,dall,9.755901865700046
124,buon,9.755901865700046
125,giovambatista,9.718580871080727
126,basso,9.71423525043734
127,ad,9.694766105918763
128,mise,9.648660827244198
129,facciata,9.634159666716961
130,quadri,9.583795330618905
131,racconta,9.556379207269899
132,pianto,9.556379207269899
133,giulio,9.551955048734834
134,piccole,9.519623595918418
135,casale,9.487208707606365
136,inscrizzioni,9.487208707606365
137,monferrato,9.487208707606365
138,cicogna,9.487208707606365
139,rizzarsi,9.487208707606365
140,caroto,9.487208707606365
141,amenissimo,9.487208707606365
142,italia,9.47896105162907
143,moglie,9.407017364368572
144,proprie,9.402499324107247
145,dilettò,9.382836324019248
146,doveva,9.292944900611015
147,re,9.269587417515009
148,dottissimo,9.256128831598952
149,destro,9.256128831598952
150,memoria,9.2086731887309
151,architetto,9.11900445285206
152,lor,9.11900445285206
153,sito,9.116568784694273
154,ricordano,9.040921604977946
155,precettore,9.040921604977946
156,chiuggono,9.040921604977946
157,raimondo,9.040921604977946
158,rovinasse,9.040921604977946
159,25,9.040921604977946
160,nastasia,9.040921604977946
161,sepolto,9.034790816060731
162,figura,9.029555409832813
163,predella,8.952313667249786
164,voi,8.855534653725385
165,cesare,8.855534653725385
166,capitano,8.733068670164617
167,olio,8.677247801253174
168,marchesana,8.676278491390036
169,partì,8.638427205483808
170,domenico,8.631304996163578
171,facesse,8.631304996163578
172,solamente,8.615897338294102
173,poeta,8.615406530704774
174,certi,8.576510094783945
175,storia,8.522211081664436
176,solo,8.522211081664436
177,battista,8.49026211876241
178,cortigiani,8.36797713173552
179,elezzione,8.36797713173552
180,fondata,8.36797713173552
181,tenne,8.347389788354093
182,marco,8.31995298134245
183,logge,8.287808654809798
184,volle,8.262809502224336
185,generale,8.186103999782755
186,trovandosi,8.186103999782755
187,zoccolanti,8.100914346486476
188,martini,8.100914346486476
189,miniate,8.100914346486476
190,organi,8.100914346486476
191,avenuto,8.100914346486476
192,pagò,8.100914346486476
193,bonissima,8.087734531313782
194,meritamente,8.087734531313782
195,rocco,8.087734531313782
196,pose,8.076099402999048
197,nobile,7.99248843637004
198,madre,7.947055954126163
199,eccetto,7.90017346036978
200,dagli,7.884062526253606
201,vicenza,7.865348275173708
202,miniò,7.865348275173708
203,perdendo,7.865348275173708
204,rispondendo,7.865348275173708
205,orlando,7.865348275173708
206,bellini,7.865348275173708
207,levarsi,7.865348275173708
208,stella,7.865348275173708
209,dio,7.827752617276187
210,figliuola,7.810614570920736
211,diligente,7.810614570920736
212,servigio,7.810614570920736
213,francia,7.760975891586591
214,infiniti,7.760975891586591
215,bellissime,7.7246561812625085
216,parendogli,7.723651960300979
217,venerazione,7.723651960300979
218,rimanesse,7.654627243858055
219,circoncisione,7.654627243858055
220,pila,7.654627243858055
221,figliuole,7.654627243858055
222,deposto,7.639139329400891
223,teste,7.623642644674911
224,giovinetto,7.556942406836548
225,acque,7.556942406836548
226,viniziano,7.556942406836548
227,rovina,7.556942406836548
228,oliveto,7.556942406836548
229,nei,7.525613891494858
230,invero,7.4769376655900635
231,medici,7.475848633467188
232,lettere,7.468875351527032
233,nipoti,7.464006884249406
234,ginocchio,7.464006884249406
235,studii,7.3990112063802815
236,fermo,7.3990112063802815
237,farne,7.3990112063802815
238,libri,7.3990112063802815
239,monte,7.379691823827751
240,fratello,7.357757095098729
241,luoghi,7.332298104055032
242,scala,7.32305778242741
243,voleva,7.303334486875615
244,sinistro,7.289984130270146
245,principal,7.289984130270146
246,bellezze,7.289984130270146
247,quieto,7.289984130270146
248,sforzò,7.289984130270146
249,lunghe,7.289984130270146
250,reputazione,7.289984130270146
251,parigi,7.289984130270146
252,mondo,7.285349402305837
253,ognuno,7.249642405547052
254,monaci,7.19666149854697
255,li,7.176687289919116
256,dice,7.144373172277558
257,acciò,7.144373172277558
258,cavate,7.1298987149230735
259,giorgione,7.1298987149230735
