,term,score
0,francia,36.86463548503631
1,bentivogli,26.79119535350319
2,bologna,26.035936288413765
3,conii,17.352556982780072
4,raffaello,16.55495346397214
5,oltra,11.843492996147555
6,cecilia,10.93497619540522
7,medaglie,10.533564613826373
8,bolognesi,10.071929978049877
9,mors,10.062572852509927
10,serva,9.040921604977946
11,godeva,9.040921604977946
12,ferraresi,9.040921604977946
13,terrestri,9.040921604977946
14,fama,8.742419282767003
15,andarono,8.393082614243607
16,pictor,8.36797713173552
17,savio,8.36797713173552
18,iobbe,8.36797713173552
19,deliberò,7.90017346036978
20,monete,7.865348275173708
21,misericordia,7.810614570920736
22,oloferne,7.654627243858055
23,monsignore,7.464006884249406
24,veder,7.303334486875615
25,vedevano,7.289984130270146
26,facesse,7.192754163469649
27,talmente,7.176687289919116
28,cappella,7.056999218139895
29,zecca,6.981682770615629
30,fresco,6.881542619083544
31,suonano,6.479053914053818
32,desideroso,6.479053914053818
33,tenuta,6.432440551496132
34,alberi,6.370919471513266
35,stampe,6.268332882738164
36,stimata,6.170752554399301
37,par,6.157083813052061
38,nunziata,6.008292989633945
39,fuor,5.9806789067737505
40,dentrovi,5.7311730292409
41,morto,5.717673396522629
42,laonde,5.687376630977443
43,storia,5.681474054442957
44,partita,5.668123697837489
45,lombardia,5.5953884094957385
46,belle,5.539866346239293
47,qualunche,5.525205769873199
48,ieronimo,5.525205769873199
49,dipinse,5.505234095266835
50,diliberati,5.436751534363128
51,admota,5.436751534363128
52,iulium,5.436751534363128
53,vibrava,5.436751534363128
54,intenta,5.436751534363128
55,dumque,5.436751534363128
56,intentus,5.436751534363128
57,prolisso,5.436751534363128
58,conoscendoci,5.436751534363128
59,operi,5.436751534363128
60,nimium,5.436751534363128
61,sudati,5.436751534363128
62,felisini,5.436751534363128
63,castione,5.436751534363128
64,consumatovi,5.436751534363128
65,moritur,5.436751534363128
66,costumate,5.436751534363128
67,strà,5.436751534363128
68,tyranno,5.436751534363128
69,recepit,5.436751534363128
70,graffio,5.436751534363128
71,divinus,5.436751534363128
72,acconciato,5.436751534363128
73,acconciase,5.436751534363128
74,cotante,5.436751534363128
75,soccinta,5.436751534363128
76,amassino,5.436751534363128
77,conterò,5.436751534363128
78,bolognino,5.436751534363128
79,intitolarono,5.436751534363128
80,mortis,5.436751534363128
81,inanimirla,5.436751534363128
