,term,score
0,granacci,49.75507708507736
1,mascherata,18.97441741521273
2,michelagnolo,14.39332299709394
3,grillandai,12.55196569760328
4,granaccio,12.151371519729715
5,iacopo,7.6738943239424176
6,arco,7.19666149854697
7,trionfo,6.170752554399301
8,medici,5.9806789067737505
9,zanobi,5.822045780109745
10,lorenzo,5.717673396522629
11,svolta,5.436751534363128
12,cultori,5.436751534363128
13,sessantasette,5.436751534363128
14,fidei,5.436751534363128
15,canzona,5.436751534363128
16,armegerie,5.436751534363128
17,pulitissima,5.436751534363128
18,cortissime,5.436751534363128
19,galanterie,5.436751534363128
20,guerrieri,5.436751534363128
21,rapresentare,5.436751534363128
22,arcione,5.436751534363128
23,confidar,5.436751534363128
24,parametri,5.436751534363128
25,inavertenza,5.436751534363128
26,chiudendo,5.436751534363128
27,sontuosissimi,5.436751534363128
28,piacevole,5.328325624246694
29,feste,5.328325624246694
30,olio,5.206348680751905
31,valore,5.092759552933927
32,nazzioni,5.0312864262549635
33,cominciavano,5.0312864262549635
34,pontifici,5.0312864262549635
35,aiutassero,5.0312864262549635
36,discesa,5.0312864262549635
37,dissimile,5.0312864262549635
38,licenziarli,5.0312864262549635
39,fue,5.0312864262549635
40,comunicò,5.0312864262549635
41,malatia,5.0312864262549635
42,conservò,5.0312864262549635
43,accostano,5.0312864262549635
44,levarsegli,5.0312864262549635
45,produrre,5.0312864262549635
46,potenze,5.0312864262549635
47,apparteneva,5.0312864262549635
48,mdxliiii,5.0312864262549635
49,amarlo,5.0312864262549635
50,posticcia,5.0312864262549635
51,cartoni,4.984625110393376
52,quegli,4.957685701334601
53,apostolo,4.882038521618274
54,girolami,4.743604353803183
55,serrati,4.743604353803183
56,maximo,4.743604353803183
57,sodisfecero,4.743604353803183
58,galea,4.743604353803183
59,1513,4.743604353803183
60,straniere,4.743604353803183
61,lettuccio,4.743604353803183
62,alma,4.743604353803183
63,secondando,4.743604353803183
64,avvenne,4.737397198459022
65,adoperato,4.691418162009624
66,bellissime,4.634793708757504
67,staffe,4.520460802488973
68,apollonia,4.520460802488973
69,contempla,4.520460802488973
70,nardi,4.520460802488973
71,sproni,4.520460802488973
72,sommessione,4.520460802488973
73,conferì,4.520460802488973
74,acquista,4.520460802488973
75,abruciò,4.520460802488973
76,ricerchi,4.520460802488973
77,emilio,4.520460802488973
78,colorire,4.476156833624893
79,monache,4.476156833624893
80,propria,4.435751418989854
81,venuta,4.435751418989854
82,leone,4.3961461643974955
83,negl,4.357309992683293
84,superiori,4.338139245695018
