,term,score
0,parma,42.11385044134982
1,quadro,28.68320679335687
2,zii,27.18375767181564
3,steccata,25.15643213127482
4,specchio,24.683010217597204
5,mazzuoli,21.69069622847509
6,parmigiano,16.201828692972953
7,bologna,16.022114639023854
8,lavorare,13.677247801253174
9,rame,13.320814060616735
10,aria,13.311924770147918
11,stampe,12.536665765476329
12,fanciullo,12.52108468253114
13,graziosa,11.977617995975695
14,cugino,11.798022412760561
15,capella,11.41062331214966
16,avea,11.374753261954886
17,mantoa,11.336247395674977
18,quadri,11.181094552388723
19,particolarmente,11.149602132228624
20,ieronimo,11.050411539746397
21,frati,10.958853664186663
22,bufolina,10.873503068726256
23,baiardo,10.873503068726256
24,casalmaggiore,10.873503068726256
25,viadana,10.873503068726256
26,mappamondo,10.873503068726256
27,ipolito,10.472524155923445
28,aver,10.466188086854064
29,disegni,10.331568553358851
30,dorme,10.26554554146259
31,zoccoli,10.26554554146259
32,alessandro,10.09512425374881
33,decollazione,10.071929978049877
34,intagliare,10.071929978049877
35,sellaio,10.062572852509927
36,spirito,9.71423525043734
37,altar,9.648660827244198
38,amici,9.648660827244198
39,dipinse,9.634159666716961
40,petronio,9.556379207269899
41,madonna,9.519623595918418
42,perdesse,9.487208707606365
43,alchimia,9.487208707606365
44,osservata,9.487208707606365
45,tralasciato,9.040921604977946
46,arco,8.995826873183713
47,girolamo,8.995826873183713
48,cristallo,8.676278491390036
49,datario,8.36797713173552
50,aretino,8.347389788354093
51,margherita,8.287808654809798
52,palla,8.287808654809798
53,ai,8.257851142900252
54,vedendo,8.209445084069415
55,clemente,8.209445084069415
56,mise,8.040550689370164
57,signor,7.986496108849089
58,circoncisione,7.654627243858055
59,castello,7.412930383628073
60,raffaello,7.357757095098729
61,guerra,7.32305778242741
62,pennelli,7.289984130270146
63,gentile,7.248979944656297
64,sarebbe,7.238837438994269
65,stimato,7.176687289919116
66,capriccio,7.176687289919116
67,certi,7.147091745653286
68,trento,7.1298987149230735
69,leggiadria,7.1298987149230735
70,taglia,7.1298987149230735
71,lauro,7.1298987149230735
72,rimase,7.041803449824208
73,dubitando,6.981682770615629
74,olio,6.941798241002539
75,gentiluomo,6.903771955301935
76,fresco,6.881542619083544
77,mal,6.839253339639045
78,figliuolo,6.838623900626587
79,diede,6.838623900626587
80,amico,6.79632766431904
81,volto,6.776093112045548
82,cavalier,6.714619985366585
83,soldati,6.71423525043734
84,evangelista,6.71423525043734
85,alquanto,6.71423525043734
86,vecchi,6.71423525043734
87,monache,6.71423525043734
88,case,6.702205674678263
89,volle,6.610247601779468
90,vetro,6.593370741733715
91,dotato,6.593370741733715
92,capitò,6.593370741733715
93,cardinale,6.520356178371234
94,conversione,6.479053914053818
95,tedeschi,6.479053914053818
