,term,score
0,marchese,54.564241361130236
1,verona,44.20164615898559
2,mantoa,42.510927733781166
3,dipinse,35.78402161923443
4,bernardino,27.976942047478694
5,fachino,27.18375767181564
6,madonna,25.385662922449114
7,monsignori,25.15643213127482
8,capella,24.451335668892128
9,gonzaga,23.952939596746045
10,veronese,22.29821815029643
11,figura,21.068962622943232
12,pugno,18.081843209955892
13,domenico,17.262609992327157
14,bonaventura,16.310254603089383
15,paulo,15.760218233225327
16,signore,15.619046042255713
17,fresco,15.139393761983797
18,fumanelli,15.09385927876489
19,girolamo,14.39332299709394
20,abito,14.212191595377067
21,croce,14.025108962107332
22,dipinto,13.688580115192053
23,tu,13.643506666304592
24,quadro,13.497979667462056
25,cane,12.958107828107636
26,ritrasse,12.864881102992264
27,monaci,12.594157622457196
28,turco,12.55196569760328
29,lodovico,11.728545405024061
30,padre,11.656559043689338
31,legato,11.190776818991477
32,sparvieri,10.873503068726256
33,altare,10.603447386572698
34,cavaliere,10.533564613826373
35,signori,10.266348642758853
36,sagrestia,10.09512425374881
37,liberale,10.071929978049877
38,moroni,10.062572852509927
39,sacchi,10.062572852509927
40,saettato,10.062572852509927
41,conte,9.969250220786751
42,benedetto,9.855078157817008
43,basso,9.71423525043734
44,muro,9.701219864483239
45,bellissimo,9.694766105918763
46,dei,9.551955048734834
47,cavazzuola,9.487208707606365
48,portelle,9.487208707606365
49,nei,9.407017364368572
50,fratello,9.197196368873412
51,capo,9.062053006933814
52,mantoano,9.040921604977946
53,nastasia,9.040921604977946
54,sepolto,9.034790816060731
55,polo,8.983213496981772
56,monte,8.8556301885933
57,tarsie,8.676278491390036
58,giusti,8.676278491390036
59,traditore,8.676278491390036
60,bambino,8.676278491390036
61,quest,8.436237292163785
62,bontà,8.377757093347828
63,relligione,8.36797713173552
64,veronesi,8.36797713173552
65,federigo,8.287808654809798
66,ritratti,8.262809502224336
67,frate,8.209445084069415
68,cardinale,8.150445222964041
69,rose,8.100914346486476
70,zoccolanti,8.100914346486476
71,organi,8.100914346486476
72,nazzaro,8.100914346486476
73,dette,8.095196042031118
74,giorno,8.095196042031118
75,quadri,7.986496108849089
76,acqua,7.822045780109745
77,poveri,7.810614570920736
78,stesso,7.775938682098453
79,bellissime,7.7246561812625085
80,sul,7.7246561812625085
81,vizio,7.654627243858055
82,turbe,7.654627243858055
83,presenta,7.654627243858055
84,viso,7.639139329400891
85,deposto,7.639139329400891
86,oliveto,7.556942406836548
87,moglie,7.525613891494858
88,tuo,7.464006884249406
89,mantegna,7.464006884249406
90,giuda,7.464006884249406
91,massimiliano,7.464006884249406
92,adunque,7.412930383628073
93,conobbe,7.3990112063802815
94,portare,7.3990112063802815
95,servì,7.32305778242741
96,signora,7.32305778242741
97,fuori,7.285349402305837
98,lunette,7.1298987149230735
99,pigliar,7.1298987149230735
100,affaticò,7.1298987149230735
101,costumava,7.1298987149230735
102,disse,7.092759552933927
103,figliuoli,7.041803449824208
104,orto,7.037127243014436
105,angioletti,6.981682770615629
106,piedi,6.941798241002539
107,figliuolo,6.838623900626587
108,braccio,6.79632766431904
109,oro,6.79632766431904
110,chiostro,6.776093112045548
111,evangelista,6.71423525043734
112,aria,6.655962385073959
113,volle,6.610247601779468
114,bellissimi,6.610247601779468
115,spalla,6.593370741733715
116,famosissimo,6.593370741733715
117,cenacolo,6.479053914053818
118,miniatore,6.479053914053818
119,scortano,6.479053914053818
120,quegl,6.479053914053818
121,lodate,6.478820404112856
122,ancona,6.370919471513266
123,biagio,6.370919471513266
124,racconta,6.370919471513266
125,santi,6.346415730612279
126,disiderare,6.268332882738164
127,proprie,6.268332882738164
128,battuto,6.268332882738164
129,dio,6.2622020938209495
130,timore,6.170752554399301
131,ritratta,6.170752554399301
132,persona,6.0989141157399285
133,dietro,6.0989141157399285
134,migliori,6.0989141157399285
135,virtuoso,6.077712523129515
136,essendosi,6.057074552249286
137,piangono,5.988808997987848
138,medici,5.9806789067737505
139,pur,5.9806789067737505
140,convento,5.960291965594622
141,dì,5.960291965594622
142,terzo,5.960291965594622
143,maggiori,5.866534335082308
144,duca,5.828279521844669
145,capitano,5.822045780109745
146,refettorio,5.822045780109745
147,caterina,5.820731918689944
148,dipinta,5.820731918689944
149,francia,5.820731918689944
150,facesse,5.754203330775719
151,io,5.754203330775719
152,padrone,5.743604353803183
153,fuggire,5.668123697837489
154,miracoli,5.668123697837489
155,uomo,5.6455993745119155
156,sebastiano,5.5953884094957385
157,chiamare,5.5953884094957385
158,belle,5.539866346239293
159,vicina,5.525205769873199
160,membra,5.525205769873199
161,mandati,5.525205769873199
162,raffaello,5.518317821324047
163,facciata,5.505234095266835
164,ai,5.505234095266835
165,colorito,5.477500865156712
166,questi,5.47089912050127
167,vestito,5.457402666521837
168,carità,5.457402666521837
169,dico,5.437231804160289
170,fa,5.436856361829635
171,colto,5.436751534363128
172,alieno,5.436751534363128
173,ammorbati,5.436751534363128
174,stiracchiate,5.436751534363128
175,asina,5.436751534363128
176,brà,5.436751534363128
177,operina,5.436751534363128
178,fora,5.436751534363128
179,mostrerò,5.436751534363128
180,farglielo,5.436751534363128
181,amirando,5.436751534363128
182,nimicissimo,5.436751534363128
183,ministrare,5.436751534363128
184,prenderlo,5.436751534363128
185,attaccare,5.436751534363128
186,pestifero,5.436751534363128
187,santimonia,5.436751534363128
188,fammi,5.436751534363128
189,riccalchi,5.436751534363128
190,saio,5.436751534363128
191,scuffiotto,5.436751534363128
192,carezzare,5.436751534363128
193,serbò,5.436751534363128
194,eccolo,5.436751534363128
195,castiglia,5.436751534363128
196,relligiosa,5.436751534363128
197,gioisca,5.436751534363128
198,terranzi,5.436751534363128
199,sopravenutagli,5.436751534363128
200,adentarlo,5.436751534363128
201,ripostiglio,5.436751534363128
202,supremi,5.436751534363128
203,attraversava,5.436751534363128
204,emilii,5.436751534363128
205,aggravarsi,5.436751534363128
206,alarcone,5.436751534363128
207,31,5.436751534363128
208,marmirolo,5.436751534363128
209,praterie,5.436751534363128
210,avezzano,5.436751534363128
211,udì,5.436751534363128
212,saziarono,5.436751534363128
213,mostrarti,5.436751534363128
214,gioachini,5.436751534363128
215,contemplandolo,5.436751534363128
216,nazzario,5.436751534363128
217,abbandonati,5.436751534363128
218,lanciò,5.436751534363128
219,rosaio,5.436751534363128
220,pontificali,5.436751534363128
221,imortale,5.436751534363128
222,1519,5.436751534363128
223,ivone,5.436751534363128
224,accetta,5.436751534363128
225,osservante,5.436751534363128
226,inquietudine,5.436751534363128
227,malespini,5.436751534363128
228,confessionario,5.436751534363128
229,semplicissima,5.436751534363128
230,cavarglielo,5.436751534363128
231,reccalchi,5.436751534363128
232,marzotta,5.436751534363128
233,lonico,5.436751534363128
234,reni,5.436751534363128
235,crespo,5.436751534363128
236,rendite,5.436751534363128
237,rifettorio,5.436751534363128
238,corriere,5.436751534363128
239,muletta,5.436751534363128
240,sicondo,5.436751534363128
241,caldaio,5.436751534363128
242,cherubino,5.436751534363128
243,rocchetto,5.436751534363128
244,assunti,5.436751534363128
245,eleazaro,5.436751534363128
246,faldato,5.436751534363128
247,saltarvi,5.436751534363128
248,principati,5.436751534363128
249,caldero,5.436751534363128
250,orina,5.436751534363128
251,ercole,5.391823020875854
252,tramezzo,5.391823020875854
253,rocco,5.391823020875854
254,intaglio,5.391823020875854
255,alto,5.358279879208169
256,nobile,5.328325624246694
257,basamento,5.328325624246694
258,miracolo,5.2667823069131865
259,petto,5.2667823069131865
260,eccetto,5.2667823069131865
261,imaginare,5.2667823069131865
262,vescovo,5.243616240747576
263,fratelli,5.207076380613824
264,stessa,5.207076380613824
265,famoso,5.207076380613824
266,olio,5.206348680751905
267,tondo,5.169538402976461
268,principi,5.149101306867319
269,chiunche,5.092759552933927
270,neri,5.037961604557698
271,novizii,5.0312864262549635
272,cogl,5.0312864262549635
273,strepito,5.0312864262549635
274,intolerabili,5.0312864262549635
275,coceva,5.0312864262549635
276,remigio,5.0312864262549635
277,figlia,5.0312864262549635
278,odiava,5.0312864262549635
279,armate,5.0312864262549635
280,possessione,5.0312864262549635
281,magnanimità,5.0312864262549635
282,1430,5.0312864262549635
283,volò,5.0312864262549635
284,monastico,5.0312864262549635
285,infuriato,5.0312864262549635
286,sbigottito,5.0312864262549635
287,avertito,5.0312864262549635
288,posarsi,5.0312864262549635
289,guidate,5.0312864262549635
290,campanello,5.0312864262549635
291,rifarsi,5.0312864262549635
292,patendo,5.0312864262549635
293,1455,5.0312864262549635
294,steso,5.0312864262549635
295,segreta,5.0312864262549635
296,prego,5.0312864262549635
297,1487,5.0312864262549635
298,barbarigo,5.0312864262549635
299,storte,5.0312864262549635
300,cattivello,5.0312864262549635
301,lonichi,5.0312864262549635
302,cala,5.0312864262549635
303,fontani,5.0312864262549635
304,pulpito,5.0312864262549635
305,santificazione,5.0312864262549635
306,infettò,5.0312864262549635
307,fedeltà,5.0312864262549635
308,farai,5.0312864262549635
309,daranno,5.0312864262549635
310,lego,5.0312864262549635
311,sforzando,5.0312864262549635
312,simili,5.0266542560086975
313,visse,4.991971788805469
314,dimostrano,4.984625110393376
315,manca,4.984625110393376
316,giuseppo,4.932674137586854
317,fermo,4.932674137586854
318,bianco,4.882038521618274
319,scala,4.882038521618274
320,teneva,4.832653296437531
321,dà,4.832653296437531
322,giovane,4.824330413622099
323,signor,4.7918976653094525
324,sa,4.78445819327941
325,lasciò,4.759811797959209
326,somigliava,4.743604353803183
327,intenti,4.743604353803183
328,giovinetta,4.743604353803183
329,abitarono,4.743604353803183
330,bandi,4.743604353803183
331,dormì,4.743604353803183
332,svelto,4.743604353803183
333,monasteri,4.743604353803183
334,ridente,4.743604353803183
335,cinquantacinque,4.743604353803183
336,disparte,4.743604353803183
337,convertito,4.743604353803183
338,falconetto,4.743604353803183
339,iocondo,4.743604353803183
340,rubar,4.743604353803183
341,impeto,4.743604353803183
342,64,4.743604353803183
343,natale,4.743604353803183
344,passaggio,4.743604353803183
345,lunedì,4.743604353803183
346,umile,4.743604353803183
347,differente,4.743604353803183
348,eufemia,4.743604353803183
349,1499,4.743604353803183
350,sacerdotale,4.743604353803183
351,ritrarre,4.737397198459022
352,simile,4.728065469967598
353,sepoltura,4.728065469967598
354,frati,4.696651570365712
355,milano,4.646472450305508
356,ragionevole,4.646472450305508
357,re,4.634793708757504
358,dai,4.60433659436545
359,tengono,4.602514636867957
360,teste,4.574185586804946
361,mani,4.574185586804946
362,nido,4.520460802488973
363,morone,4.520460802488973
364,cero,4.520460802488973
365,marchesi,4.520460802488973
366,germania,4.520460802488973
367,chiuggono,4.520460802488973
368,isaia,4.520460802488973
369,agente,4.520460802488973
370,mauro,4.520460802488973
371,compiaciuto,4.520460802488973
372,fioriti,4.520460802488973
373,onoratissimamente,4.520460802488973
374,infermò,4.520460802488973
375,orrore,4.520460802488973
376,giostre,4.520460802488973
377,pagar,4.520460802488973
378,scordato,4.520460802488973
379,scatola,4.520460802488973
380,costumata,4.520460802488973
381,presentare,4.520460802488973
382,puttino,4.520460802488973
383,pigliarne,4.520460802488973
384,presero,4.520460802488973
385,vigilia,4.520460802488973
386,candeliere,4.520460802488973
387,precettore,4.520460802488973
388,appiccata,4.520460802488973
389,assegnò,4.520460802488973
390,beneficato,4.520460802488973
391,insù,4.520460802488973
392,lavorati,4.5173954080303655
393,alquanto,4.476156833624893
394,abiti,4.435751418989854
395,lume,4.435751418989854
396,spesa,4.435751418989854
397,don,4.3961461643974955
398,passione,4.3961461643974955
399,nacque,4.3961461643974955
400,riuscì,4.357309992683293
401,antonio,4.343302463396562
402,immitando,4.338139245695018
403,imperador,4.338139245695018
404,miniatori,4.338139245695018
405,alonso,4.338139245695018
406,caduto,4.338139245695018
407,pasquale,4.338139245695018
408,baroni,4.338139245695018
409,carota,4.338139245695018
410,primogenito,4.338139245695018
411,balestra,4.338139245695018
412,costumavano,4.338139245695018
413,berretta,4.338139245695018
414,bagni,4.338139245695018
415,pie,4.338139245695018
416,sesso,4.338139245695018
417,stupefatti,4.338139245695018
418,verdi,4.338139245695018
419,contemplare,4.338139245695018
420,navi,4.338139245695018
421,vedova,4.338139245695018
422,miniati,4.338139245695018
423,grandi,4.315652498081789
424,su,4.315652498081789
425,cioè,4.315652498081789
426,corte,4.281829336717598
427,lato,4.281829336717598
428,badia,4.2090940483758486
429,dicono,4.2090940483758486
430,demonii,4.18398856586776
431,calvario,4.18398856586776
432,sperava,4.18398856586776
433,pia,4.18398856586776
434,coperchio,4.18398856586776
435,ricami,4.18398856586776
436,tobia,4.18398856586776
437,fagiuoli,4.18398856586776
438,vinse,4.18398856586776
439,lascive,4.18398856586776
440,carica,4.18398856586776
441,barbarossa,4.18398856586776
442,abbandonò,4.18398856586776
443,rappresentò,4.18398856586776
444,curando,4.18398856586776
445,augusto,4.18398856586776
446,duchi,4.18398856586776
447,gentildonna,4.18398856586776
448,catolico,4.18398856586776
449,dall,4.181100799585734
450,monasterio,4.173694894177046
451,stefano,4.173694894177046
452,ad,4.15489975967947
453,portato,4.138911408753309
454,altrimenti,4.1047225420347075
455,prospettiva,4.1047225420347075
456,messa,4.1047225420347075
457,diede,4.103174340375952
458,lavorare,4.103174340375952
459,mandato,4.071108305401946
460,eccellentissimo,4.071108305401946
461,ierusalem,4.050457173243238
462,ruppe,4.050457173243238
463,servitori,4.050457173243238
464,sigismondo,4.050457173243238
465,nuvola,4.050457173243238
466,spalliera,4.050457173243238
467,rimanendo,4.050457173243238
468,elisabetta,4.050457173243238
469,chiusuri,4.050457173243238
470,concorrono,4.050457173243238
