,term,score
0,primaticcio,81.00914346486476
1,abate,53.2808295032744
2,pellegrino,31.341664413690822
3,prospero,27.528718963107977
4,re,24.718899780040026
5,galleria,23.718021769015913
6,stucchi,23.457090810048122
7,bologna,22.030407628657798
8,stucco,21.313302496986775
9,fresco,19.268319333433922
10,ravenna,19.112758414539798
11,cardinale,16.300890445928083
12,augusta,14.230813061409549
13,francia,13.581707810276535
14,bolognese,13.479557552189636
15,servito,13.01769095153456
16,cappella,12.70259859265181
17,sala,12.68687420970734
18,fontana,12.536665765476329
19,dipinto,11.733068670164617
20,reina,11.487208707606365
21,parimente,10.466188086854064
22,servigio,10.414152761227648
23,duca,10.19948916322817
24,attendendo,10.075923209115397
25,bolognesi,10.071929978049877
26,condotto,10.06985582885751
27,paiano,10.062572852509927
28,menzione,9.933819942657703
29,rarissimo,9.890056112600572
30,parma,9.718580871080727
31,signor,9.583795330618905
32,ancona,9.556379207269899
33,giulio,9.551955048734834
34,vecello,9.487208707606365
35,cavi,9.487208707606365
36,nostre,9.292944900611015
37,bagnacavallo,9.040921604977946
38,disegni,8.8556301885933
39,olio,8.677247801253174
40,lodate,8.638427205483808
41,vasari,8.638427205483808
42,poggio,8.502185546756234
43,monsignor,8.287808654809798
44,lavorato,8.262809502224336
45,enrico,8.100914346486476
46,giovani,8.076099402999048
47,condotte,7.884062526253606
48,primi,7.760975891586591
49,degne,7.639139329400891
50,tacerò,7.4769376655900635
51,giovanna,7.464006884249406
52,pienamente,7.464006884249406
53,lavori,7.412930383628073
54,monte,7.379691823827751
55,servì,7.32305778242741
56,tevere,7.289984130270146
57,acquistando,7.289984130270146
58,fortificazione,7.289984130270146
59,furlì,7.289984130270146
60,facce,7.248979944656297
61,mi,7.19666149854697
62,io,7.192754163469649
63,va,7.144373172277558
64,mandò,7.144373172277558
65,fontane,6.981682770615629
66,bellissimo,6.9248329327991165
67,raro,6.903771955301935
68,ai,6.881542619083544
69,dipinse,6.881542619083544
70,martino,6.776093112045548
71,numero,6.748989833731028
72,fatica,6.610247601779468
73,rosso,6.594219246596243
74,riuscita,6.593370741733715
75,ballo,6.593370741733715
76,stanza,6.535964989024939
77,verso,6.520356178371234
78,uffizio,6.479053914053818
79,luca,6.478820404112856
80,eccellenti,6.432440551496132
81,conto,6.422744005076397
82,pratico,6.367696589071807
83,stati,6.304087293290131
84,inferiore,6.268332882738164
85,chiamata,6.268332882738164
86,faenza,6.268332882738164
87,avemo,6.268332882738164
88,perfezzione,6.2622020938209495
89,massimamente,6.2622020938209495
90,sul,6.1797249450100065
91,fregiature,6.170752554399301
92,tiziano,6.170752554399301
93,iacopo,6.139115459153934
94,quelli,6.0989141157399285
95,fin,6.077712523129515
96,ornata,6.077712523129515
97,essendosi,6.057074552249286
98,lode,6.019703606555209
99,ornamenti,6.019703606555209
100,scuro,6.008292989633945
101,graziosa,5.988808997987848
102,unione,5.988808997987848
103,disegnare,5.960291965594622
104,antiche,5.960291965594622
105,somma,5.913046894690204
106,dire,5.903753459062201
107,chiamato,5.903753459062201
108,posso,5.903689769150256
109,sta,5.866534335082308
110,luoghi,5.865838483244025
111,refettorio,5.822045780109745
112,fiero,5.822045780109745
113,vigna,5.822045780109745
114,studio,5.754203330775719
115,componimenti,5.743604353803183
116,belvedere,5.743604353803183
117,sei,5.687376630977443
118,basti,5.668123697837489
119,alcun,5.601656513645274
120,logge,5.525205769873199
121,venere,5.525205769873199
122,lavorare,5.47089912050127
123,ingegno,5.436856361829635
124,imbarcatosi,5.436751534363128
125,schiette,5.436751534363128
126,leandro,5.436751534363128
127,primaticci,5.436751534363128
128,scrittogli,5.436751534363128
129,distinta,5.436751534363128
130,mescolarvi,5.436751534363128
131,morato,5.436751534363128
132,numerare,5.436751534363128
133,oltremodo,5.436751534363128
134,chietini,5.436751534363128
135,longhi,5.436751534363128
136,villaroy,5.436751534363128
137,serberà,5.436751534363128
138,miruolo,5.436751534363128
139,teatini,5.436751534363128
140,indirizzato,5.436751534363128
141,appartengono,5.436751534363128
142,ponzio,5.436751534363128
143,ernando,5.436751534363128
144,raccomandai,5.436751534363128
145,degnissimi,5.436751534363128
146,benevolenza,5.436751534363128
147,fumaccini,5.436751534363128
148,esquilino,5.436751534363128
149,aggiunga,5.436751534363128
150,bonromeo,5.436751534363128
151,passerotto,5.436751534363128
152,centoventicinque,5.436751534363128
153,medone,5.436751534363128
154,agresti,5.436751534363128
155,bordagiera,5.436751534363128
156,paramento,5.436751534363128
157,balduino,5.436751534363128
158,formento,5.436751534363128
159,affaticarono,5.436751534363128
160,abandonata,5.436751534363128
161,romagnuolo,5.436751534363128
162,adornamento,5.436751534363128
163,bonissima,5.391823020875854
164,regno,5.391823020875854
165,principali,5.391823020875854
166,nostri,5.358279879208169
167,colorite,5.328325624246694
168,architettura,5.319569664700445
169,camere,5.207076380613824
170,principale,5.169538402976461
171,universale,5.149101306867319
172,giorgio,5.0972457482392795
173,detti,5.061742375298271
174,ho,5.061742375298271
175,saggio,5.037961604557698
176,tela,5.037961604557698
177,1567,5.0312864262549635
178,baracane,5.0312864262549635
179,anselmi,5.0312864262549635
180,ritocche,5.0312864262549635
181,sarò,5.0312864262549635
182,sansovini,5.0312864262549635
183,parione,5.0312864262549635
184,grassi,5.0312864262549635
185,lorena,5.0312864262549635
186,allargarmi,5.0312864262549635
187,conchiglie,5.0312864262549635
188,1544,5.0312864262549635
189,dimorai,5.0312864262549635
190,scontare,5.0312864262549635
191,ravignano,5.0312864262549635
192,onorano,5.0312864262549635
193,prodotte,5.0312864262549635
194,gettarle,5.0312864262549635
195,sabatini,5.0312864262549635
196,barbera,5.0312864262549635
197,arti,5.0266542560086975
198,ragionare,4.984625110393376
199,argento,4.984625110393376
200,bellissimi,4.957685701334601
201,dirò,4.932674137586854
202,tonde,4.932674137586854
203,studii,4.932674137586854
204,amorevole,4.882038521618274
205,nobili,4.882038521618274
206,ignudi,4.882038521618274
207,spirito,4.85711762521867
208,però,4.85711762521867
209,giovane,4.824330413622099
210,dipignere,4.824330413622099
211,facendo,4.759811797959209
212,iacopone,4.743604353803183
213,particolarità,4.743604353803183
214,riuscirà,4.743604353803183
215,diferenza,4.743604353803183
216,romagnuoli,4.743604353803183
217,rinettarle,4.743604353803183
218,vignuola,4.743604353803183
219,livio,4.743604353803183
220,narni,4.743604353803183
221,annoverati,4.743604353803183
222,pervenuti,4.743604353803183
223,camerone,4.743604353803183
224,cacciate,4.743604353803183
225,caminano,4.743604353803183
226,pontano,4.743604353803183
227,palazzetto,4.743604353803183
228,ruggieri,4.743604353803183
229,barozzi,4.743604353803183
230,nobilmente,4.743604353803183
231,infermato,4.743604353803183
232,1531,4.743604353803183
233,ciriaco,4.743604353803183
234,costumano,4.743604353803183
235,servizii,4.743604353803183
236,confessano,4.743604353803183
237,milledugento,4.743604353803183
238,averanno,4.743604353803183
239,trasfigurato,4.743604353803183
240,terribilmente,4.743604353803183
241,fabriche,4.737397198459022
242,sepoltura,4.728065469967598
243,state,4.696651570365712
244,adoperato,4.691418162009624
245,pittori,4.665563209259072
246,vivi,4.602514636867957
247,statua,4.602514636867957
248,provisione,4.602514636867957
249,marmi,4.55950222642603
250,cortile,4.55950222642603
251,altare,4.544334594245442
252,assunto,4.520460802488973
253,marittime,4.520460802488973
254,boscoli,4.520460802488973
255,fo,4.520460802488973
256,fanciulletta,4.520460802488973
257,siciolante,4.520460802488973
258,barbieri,4.520460802488973
259,ulisse,4.520460802488973
260,divenuti,4.520460802488973
261,donava,4.520460802488973
262,procacciare,4.520460802488973
263,meritasse,4.520460802488973
264,leggiadri,4.520460802488973
265,stagno,4.520460802488973
266,strada,4.5173954080303655
267,tuttavia,4.5173954080303655
268,pezzi,4.5173954080303655
269,sarà,4.5173954080303655
270,principio,4.514777704916407
271,buono,4.514777704916407
272,ancor,4.485509180080313
273,pure,4.485509180080313
274,spazio,4.476156833624893
275,rilievo,4.456523447345102
276,dir,4.435751418989854
277,continuamente,4.3961461643974955
278,anch,4.3961461643974955
279,grandissimo,4.371209641383501
280,fiorentino,4.371209641383501
281,padre,4.371209641383501
282,valente,4.357309992683293
283,terme,4.338139245695018
284,presentazione,4.338139245695018
285,nilo,4.338139245695018
286,tavolette,4.338139245695018
287,comperato,4.338139245695018
288,camerieri,4.338139245695018
289,andossene,4.338139245695018
290,leggiadre,4.338139245695018
291,rispetti,4.338139245695018
292,vadano,4.338139245695018
293,cominciandomi,4.338139245695018
294,colorisse,4.338139245695018
