,term,score
0,giorgio,74.75960430750943
1,salviati,65.83477883641483
2,cardinale,61.94338369452672
3,duca,42.25502653337385
4,vasari,38.872922424677135
5,quadro,38.80669154395341
6,sala,34.4358014263485
7,salotto,31.46139310069483
8,fresco,26.149861952517465
9,pirro,26.02883547417011
10,alamanno,26.02883547417011
11,amici,25.729762205984528
12,camillo,25.51494445594551
13,orefice,25.18980802278849
14,daniello,21.86995239081044
15,farnese,21.829610666087348
16,aveduto,21.747006137452512
17,malsano,21.747006137452512
18,facesse,21.578262490408946
19,olio,20.82539472300762
20,signor,20.76488988300763
21,alessandro,20.19024850749762
22,nannoccio,20.125145705019854
23,vinezia,19.960881385454343
24,sdegnato,19.66337068793427
25,ufficii,19.66337068793427
26,capella,19.5610685351137
27,bellissimo,19.389532211837526
28,re,18.539174835030018
29,faceva,18.17733837698177
30,tasso,17.824746787307685
31,padre,17.484838565534005
32,ipolito,17.454206926539072
33,lettera,17.454206926539072
34,ottangolo,16.73595426347104
35,dipinse,16.515702285800504
36,medici,16.446866993627815
37,grandi,15.824059159633228
38,cioè,15.824059159633228
39,valentuomini,15.730696550347416
40,francia,15.521951783173183
41,davit,15.426881385998252
42,valentuomo,15.30925448771611
43,bertini,15.09385927876489
44,emulio,15.09385927876489
45,cosimo,14.975915366416409
46,argento,14.953875331180127
47,sé,14.951354995031497
48,ducale,14.928013768498811
49,sapeva,14.857958707834216
50,caro,14.75922442287564
51,favore,14.64611556485482
52,quadri,14.37569299592836
53,nerli,14.230813061409549
54,avversarii,14.230813061409549
55,storia,14.203685136107394
56,disse,14.185519105867854
57,vani,14.17030924459372
58,spartimento,14.17030924459372
59,uomo,14.11399843627979
60,quarto,14.074254486028872
61,dato,14.025108962107332
62,arebbe,13.982976641993535
63,disegnare,13.907347919720785
64,signore,13.883596482005078
65,qualunche,13.813014424682997
66,ai,13.763085238167088
67,dipinto,13.688580115192053
68,amico,13.59265532863808
69,accommodare,13.561382407466919
70,bisogno,13.372737068228767
71,disegni,13.283445282889952
72,avea,13.2705454722807
73,cui,13.2705454722807
74,opra,13.18674148346743
75,avevano,13.029907390189685
76,santità,12.872753267168298
77,giovane,12.864881102992264
78,stanze,12.845488010152794
79,niuno,12.845488010152794
80,natura,12.783316622496654
81,avrebbe,12.741838943026533
82,carlo,12.735393178143614
83,condusse,12.70259859265181
84,giorni,12.68687420970734
85,dico,12.68687420970734
86,alcuna,12.622598065896598
87,tela,12.594904011394245
88,apparato,12.594904011394245
89,prato,12.594904011394245
90,commessario,12.55196569760328
91,curava,12.55196569760328
92,galli,12.55196569760328
93,dall,12.543302398757202
94,ottimamente,12.536665765476329
95,festoni,12.536665765476329
96,palco,12.461562775983438
97,marie,12.461562775983438
98,eccellenza,12.412329217634372
99,facciata,12.386776714350379
100,odio,12.341505108798602
101,clemente,12.314167626104123
102,rinieri,12.151371519729715
103,teneva,12.081633241093828
104,bologna,12.01658597926789
105,patria,11.961357813547501
106,quattro,11.961357813547501
107,oro,11.89357341255832
108,chiamato,11.807506918124401
109,marco,11.647934173879428
110,paolo,11.64409156021949
111,amicissimo,11.641463837379888
112,sarebbe,11.58213990239083
113,stata,11.58213990239083
114,quivi,11.551236573192643
115,arezzo,11.551236573192643
116,studio,11.508406661551438
117,ordinò,11.506286592169893
118,giulio,11.4623460584818
119,noi,11.398755566065075
120,dipignere,11.256770965118232
121,compagnia,11.220087169685865
122,dea,11.196010326374108
123,benvenuto,11.196010326374108
124,cortona,11.050411539746397
125,nonostante,10.93497619540522
126,arazzo,10.93497619540522
127,cominciata,10.893274981708231
128,tausia,10.873503068726256
129,bivigliano,10.873503068726256
130,vaiaio,10.873503068726256
131,marcone,10.873503068726256
132,boto,10.873503068726256
133,girolamo,10.794992247820455
134,michelagnolo,10.794992247820455
135,bonissima,10.783646041751709
136,lato,10.704573341793996
137,contentò,10.69484807238461
138,mani,10.673099702544874
139,stava,10.612827648453012
140,putto,10.612827648453012
141,voluto,10.612827648453012
142,addosso,10.533564613826373
143,volere,10.522735120939622
144,bottega,10.414152761227648
145,arrivato,10.414152761227648
146,settimo,10.414152761227648
147,seconda,10.298202613734638
148,finita,10.265217345677044
149,finestre,10.177770763504865
150,testa,10.134372414591976
151,dinanzi,10.123484750596543
152,giovani,10.09512425374881
153,sant,10.075923209115397
154,partisse,10.071929978049877
155,manno,10.062572852509927
156,contenzioni,10.062572852509927
157,nepi,10.062572852509927
158,chiasso,10.062572852509927
159,creato,10.013821649389909
160,certi,10.005928443914602
161,canto,9.915371402669201
162,acconcio,9.890056112600572
163,volesse,9.865348275173709
164,agnolo,9.855078157817008
165,mesi,9.777557225137182
166,ignudi,9.764077043236547
167,conversione,9.718580871080727
168,ufficio,9.718580871080727
169,pierfrancesco,9.718580871080727
170,ad,9.694766105918763
171,ricevuto,9.665306592875062
172,scrisse,9.665306592875062
173,amicizia,9.665306592875062
174,mise,9.648660827244198
175,andato,9.626030477660537
176,pieno,9.626030477660537
177,lavorare,9.574073460877221
178,diede,9.574073460877221
179,buonarroto,9.556379207269899
180,carro,9.556379207269899
181,potuto,9.551955048734834
182,facendo,9.519623595918418
183,iacopone,9.487208707606365
