,term,score
0,bronzo,14.248879068906811
1,getto,11.336247395674977
2,pienza,10.062572852509927
3,intender,9.040921604977946
4,lorenzo,8.576510094783945
5,machine,8.100914346486476
6,potessino,7.654627243858055
7,architettura,7.092759552933927
8,instrumenti,6.479053914053818
9,furon,6.077712523129515
10,siena,5.866534335082308
11,scultura,5.687376630977443
12,battesimo,5.5953884094957385
13,federigo,5.525205769873199
14,onorati,5.457402666521837
15,cinquantaotto,5.436751534363128
16,cozzerello,5.436751534363128
17,47,5.436751534363128
18,recatole,5.436751534363128
19,peregrinario,5.436751534363128
20,ampia,5.436751534363128
21,bellici,5.436751534363128
22,apartenenti,5.436751534363128
23,corfignano,5.436751534363128
24,altezza,5.391823020875854
25,obligo,5.207076380613824
26,curioso,5.0312864262549635
27,facilitato,5.0312864262549635
28,rinetti,5.0312864262549635
29,1482,5.0312864262549635
30,guerra,4.882038521618274
31,sculture,4.882038521618274
32,potette,4.78445819327941
33,vecchietto,4.743604353803183
34,1480,4.743604353803183
35,state,4.696651570365712
36,sanese,4.55950222642603
37,soletaria,4.520460802488973
38,ingegnere,4.520460802488973
39,vecchietti,4.520460802488973
40,beneficato,4.520460802488973
41,anfiteatri,4.520460802488973
42,patria,4.485509180080313
43,duca,4.371209641383501
44,rinetta,4.338139245695018
45,tufi,4.338139245695018
46,malinconica,4.338139245695018
47,accommodò,4.338139245695018
48,dotata,4.338139245695018
49,feltro,4.338139245695018
50,loggia,4.2090940483758486
51,ponendovi,4.18398856586776
52,investigando,4.18398856586776
53,ufficiali,4.18398856586776
54,manco,4.1047225420347075
55,merita,4.071108305401946
56,commode,4.050457173243238
57,antichi,3.9735279770630814
58,onorato,3.942031263126803
59,urbino,3.942031263126803
60,appartamenti,3.932674137586854
61,stravaganza,3.932674137586854
62,supremo,3.732003442124703
63,avarizia,3.732003442124703
64,gettate,3.732003442124703
65,scultore,3.6788785475493646
66,giudizioso,3.644992065135073
67,care,3.644992065135073
68,fortificazione,3.644992065135073
69,magnifici,3.644992065135073
70,mostrò,3.572186586138779
71,cercar,3.5649493574615367
72,elleno,3.5649493574615367
73,comodamente,3.5649493574615367
74,medaglia,3.5649493574615367
75,valent,3.5649493574615367
76,banchi,3.4908413853078146
77,gettar,3.4908413853078146
78,duomo,3.4708991205012696
79,considera,3.4218485138208634
80,piacevoli,3.4218485138208634
81,insin,3.4218485138208634
82,giorgio,3.39816383215952
83,sanesi,3.3573099926832923
84,dirlo,3.3573099926832923
85,metallo,3.3573099926832923
86,simili,3.3511028373391314
87,lasciar,3.2966853708668573
88,magnifiche,3.2966853708668573
89,carissimo,3.2966853708668573
90,brunellesco,3.239526957026909
91,imaginarsi,3.239526957026909
92,riputazione,3.239526957026909
93,insino,3.216220275748066
94,altar,3.216220275748066
95,mise,3.216220275748066
96,chiamata,3.134166441369082
97,avemo,3.134166441369082
98,somiglianti,3.134166441369082
99,divenuto,3.134166441369082
100,pel,3.134166441369082
101,pervenuto,3.0853762771996505
102,utili,3.0853762771996505
103,magistrato,3.0853762771996505
104,iacopo,3.069557729576967
105,persona,3.0494570578699642
106,nudo,3.0388562615647574
107,marmo,3.0098518032776047
108,donatello,2.994404498993924
109,spartimenti,2.994404498993924
110,sale,2.994404498993924
111,pur,2.9903394533868752
