,term,score
0,girolamo,30.585811368824622
1,verona,24.863425964429393
2,libri,22.197033619140846
3,arbore,18.97441741521273
4,miniare,17.352556982780072
5,candiana,15.09385927876489
6,don,13.188438493192486
7,veronese,12.741838943026533
8,conte,12.461562775983438
9,miniò,11.798022412760561
10,nazario,10.873503068726256
11,navagero,10.873503068726256
12,saputo,10.656651248493388
13,quest,10.123484750596543
14,dovea,10.071929978049877
15,fracastoro,9.487208707606365
16,padoa,9.116568784694273
17,raimondo,9.040921604977946
18,minii,9.040921604977946
19,padre,8.742419282767003
20,terrestre,8.676278491390036
21,giusti,8.676278491390036
22,oratore,8.36797713173552
23,clovio,8.36797713173552
24,relligione,8.36797713173552
25,veronesi,8.36797713173552
26,camei,8.36797713173552
27,ai,8.257851142900252
28,organi,8.100914346486476
29,regolari,8.100914346486476
30,dai,7.6738943239424176
31,organo,7.3990112063802815
32,facea,7.1298987149230735
33,canonici,7.1298987149230735
34,carta,7.106095797688534
35,famiglia,7.041803449824208
36,quadretti,6.981682770615629
37,dipinse,6.881542619083544
38,figliuolo,6.838623900626587
39,giorgio,6.79632766431904
40,ho,6.748989833731028
41,veri,6.479053914053818
42,alberi,6.370919471513266
43,minio,6.268332882738164
44,pena,6.268332882738164
45,cortesie,6.170752554399301
46,dottissimo,6.170752554399301
47,persona,6.0989141157399285
48,fabricare,6.077712523129515
49,zio,5.822045780109745
50,fiori,5.822045780109745
51,sagramento,5.743604353803183
52,piccoli,5.668123697837489
53,tirò,5.5953884094957385
54,ad,5.539866346239293
55,palla,5.525205769873199
56,scrivere,5.457402666521837
57,valuto,5.436751534363128
58,abbian,5.436751534363128
59,cancianello,5.436751534363128
60,rondini,5.436751534363128
61,rondinini,5.436751534363128
62,nidi,5.436751534363128
63,gradatas,5.436751534363128
64,cartieri,5.436751534363128
65,affermarebbe,5.436751534363128
66,commendati,5.436751534363128
67,cipolli,5.436751534363128
68,volpini,5.436751534363128
69,cosmografi,5.436751534363128
70,minutissima,5.436751534363128
71,estinta,5.436751534363128
72,inalzata,5.436751534363128
73,canziano,5.436751534363128
74,compiacermi,5.436751534363128
75,canzio,5.436751534363128
76,negri,5.436751534363128
77,posarvisi,5.436751534363128
78,lischi,5.436751534363128
79,aquas,5.436751534363128
80,assistenza,5.436751534363128
81,riposti,5.436751534363128
82,mazzanti,5.436751534363128
83,martirizzati,5.436751534363128
84,beroldi,5.436751534363128
85,cacciamale,5.436751534363128
86,mangiuoli,5.436751534363128
87,conigli,5.436751534363128
88,bergamasco,5.436751534363128
89,chirie,5.436751534363128
90,ottantatré,5.436751534363128
91,praia,5.436751534363128
92,guastamento,5.436751534363128
93,buonalivi,5.436751534363128
94,stipendio,5.436751534363128
95,montescaglioso,5.436751534363128
96,apocalissi,5.436751534363128
97,pathmos,5.436751534363128
98,accaduta,5.436751534363128
99,qua,5.2667823069131865
100,vite,5.207076380613824
101,deposto,5.092759552933927
102,poteva,5.061742375298271
103,trapassato,5.0312864262549635
104,rimessosi,5.0312864262549635
105,tenghino,5.0312864262549635
106,spessi,5.0312864262549635
107,grisogono,5.0312864262549635
108,cataneo,5.0312864262549635
109,leggerà,5.0312864262549635
110,1472,5.0312864262549635
111,formica,5.0312864262549635
112,giustina,5.0312864262549635
113,mostrandola,5.0312864262549635
114,essendomi,5.0312864262549635
115,compiacerne,5.0312864262549635
116,pratichissimo,5.0312864262549635
117,apparare,5.0312864262549635
118,riguardanti,5.0312864262549635
119,lonichi,5.0312864262549635
120,ricercar,5.0312864262549635
121,proto,5.0312864262549635
122,abbracciare,5.0312864262549635
123,anastasio,5.0312864262549635
124,rottura,5.0312864262549635
125,diocliziano,5.0312864262549635
126,ricercano,5.0312864262549635
127,rarissima,4.882038521618274
128,nobili,4.882038521618274
129,viva,4.78445819327941
130,portelle,4.743604353803183
131,fiate,4.743604353803183
132,compartita,4.743604353803183
133,scienzie,4.743604353803183
134,invaghito,4.743604353803183
135,arciprete,4.743604353803183
136,miniature,4.743604353803183
137,italiano,4.743604353803183
138,svelto,4.743604353803183
139,oggidì,4.743604353803183
140,assenza,4.743604353803183
141,tornai,4.743604353803183
142,miniar,4.743604353803183
143,innocente,4.743604353803183
144,ragguaglio,4.743604353803183
145,misurata,4.743604353803183
146,rallegrarsi,4.743604353803183
147,astrologi,4.743604353803183
148,cavazzuola,4.743604353803183
149,increscendogli,4.743604353803183
150,fabriche,4.737397198459022
151,stati,4.728065469967598
152,pare,4.696651570365712
153,imparò,4.646472450305508
154,nostre,4.646472450305508
155,voler,4.646472450305508
156,speranza,4.602514636867957
157,bande,4.602514636867957
158,lionardo,4.602514636867957
159,migliori,4.574185586804946
160,altare,4.544334594245442
161,temperata,4.520460802488973
162,salterio,4.520460802488973
163,verissima,4.520460802488973
164,morone,4.520460802488973
165,affaticati,4.520460802488973
166,fortissima,4.520460802488973
167,peritissimo,4.520460802488973
168,ritrovato,4.520460802488973
169,fornace,4.520460802488973
170,timoteo,4.520460802488973
171,contrafaceva,4.520460802488973
172,sviato,4.520460802488973
173,vota,4.520460802488973
174,lite,4.520460802488973
175,venendogli,4.520460802488973
176,successivamente,4.520460802488973
177,seggiola,4.520460802488973
178,libretto,4.520460802488973
179,poverello,4.520460802488973
180,pietre,4.5173954080303655
181,naturali,4.5173954080303655
182,aver,4.485509180080313
183,vinezia,4.435751418989854
184,chiamato,4.42781509429665
185,stata,4.343302463396562
186,dolenti,4.338139245695018
187,potria,4.338139245695018
188,perso,4.338139245695018
189,affermava,4.338139245695018
190,maneggiar,4.338139245695018
191,miniati,4.338139245695018
192,serrano,4.338139245695018
193,avanza,4.338139245695018
194,età,4.2882550473919725
195,paese,4.281829336717598
196,sapeva,4.245131059381205
197,imperfetta,4.245131059381205
198,facendolo,4.18398856586776
199,pochissimi,4.18398856586776
200,dignissime,4.18398856586776
201,ricevette,4.18398856586776
202,ucelli,4.18398856586776
203,divisione,4.18398856586776
204,aveano,4.18398856586776
205,famose,4.18398856586776
206,nascesse,4.18398856586776
207,entrati,4.18398856586776
208,1555,4.18398856586776
209,creanze,4.18398856586776
210,ricco,4.173694894177046
211,messa,4.1047225420347075
212,frate,4.1047225420347075
213,dare,4.071108305401946
214,eccellentissimo,4.071108305401946
215,danese,4.050457173243238
216,apprese,4.050457173243238
217,sfera,4.050457173243238
218,diametro,4.050457173243238
219,travaglio,4.050457173243238
220,padoano,4.050457173243238
221,miniate,4.050457173243238
222,inanimito,4.050457173243238
223,nazzaro,4.050457173243238
224,dolente,4.050457173243238
225,vicenza,3.932674137586854
226,volare,3.932674137586854
227,aquileia,3.932674137586854
228,naturalissimo,3.932674137586854
229,cascò,3.932674137586854
230,minuta,3.932674137586854
231,nervi,3.932674137586854
232,coro,3.9110228900548725
233,primi,3.8804879457932957
234,francia,3.8804879457932957
235,professione,3.8504121910642146
236,luglio,3.8273136219290276
237,vetri,3.8273136219290276
238,onofrio,3.8273136219290276
239,nobilissimo,3.8273136219290276
240,volea,3.8273136219290276
241,raccontato,3.8273136219290276
242,presepio,3.8273136219290276
243,donata,3.8273136219290276
244,divine,3.8273136219290276
245,arei,3.8273136219290276
246,corse,3.8273136219290276
247,dei,3.8207820194939335
248,giulio,3.8207820194939335
249,italia,3.7915844206516285
250,sei,3.7915844206516285
251,moglie,3.762806945747429
252,supremo,3.732003442124703
253,temere,3.732003442124703
254,nipoti,3.732003442124703
255,trovata,3.732003442124703
256,appoggiata,3.732003442124703
257,peli,3.732003442124703
258,ramo,3.732003442124703
259,belli,3.7064651918140363
260,fratello,3.6788785475493646
261,vettoria,3.644992065135073
262,provincie,3.644992065135073
263,ornati,3.644992065135073
264,cacciati,3.644992065135073
265,avanzò,3.644992065135073
266,rimasi,3.644992065135073
267,bue,3.644992065135073
268,protettore,3.644992065135073
