,term,score
0,francia,48.5060993224162
1,giobbe,21.747006137452512
2,andrea,18.296742347219784
3,sarto,14.555114450274363
4,tale,12.52108468253114
5,puntormo,12.341505108798602
6,brancazio,11.798022412760561
7,ciano,10.873503068726256
8,fresco,9.634159666716961
9,david,8.676278491390036
10,storia,8.522211081664436
11,femmine,8.502185546756234
12,niccola,8.36797713173552
13,prospettiva,8.209445084069415
14,pervenne,8.100914346486476
15,concorrenza,7.947055954126163
16,iacopo,7.6738943239424176
17,ritoccare,7.654627243858055
18,viso,7.639139329400891
19,dà,7.248979944656297
20,cagione,7.056999218139895
21,compagnia,7.012554481053666
22,ignudo,6.903771955301935
23,batista,6.903771955301935
24,volle,6.610247601779468
25,bigio,6.593370741733715
26,valse,6.593370741733715
27,servi,6.478820404112856
28,putto,6.367696589071807
29,tal,6.26054234126557
30,par,6.157083813052061
31,scoperta,6.077712523129515
32,casamento,5.988808997987848
33,medici,5.9806789067737505
34,dar,5.866534335082308
35,laonde,5.687376630977443
36,agli,5.687376630977443
37,istoria,5.668123697837489
38,nozze,5.668123697837489
39,uomo,5.6455993745119155
40,inclinato,5.5953884094957385
41,fecero,5.477500865156712
42,ricominciata,5.436751534363128
43,trito,5.436751534363128
44,scopersero,5.436751534363128
45,saporita,5.436751534363128
46,scalcinò,5.436751534363128
47,incominciato,5.436751534363128
48,prosontuosi,5.436751534363128
49,gattolino,5.436751534363128
50,lebbroso,5.436751534363128
51,edificossi,5.436751534363128
52,leccata,5.436751534363128
53,sofferroni,5.436751534363128
54,racconciarla,5.436751534363128
55,sposandola,5.436751534363128
56,tirovvi,5.436751534363128
57,albertino,5.436751534363128
58,capellina,5.436751534363128
59,zingana,5.436751534363128
60,portino,5.436751534363128
61,appostoli,5.436751534363128
62,inducendolo,5.436751534363128
63,botega,5.436751534363128
64,umilissimi,5.436751534363128
65,scoprissero,5.436751534363128
66,doglie,5.436751534363128
67,42,5.436751534363128
68,profumiero,5.436751534363128
69,presumere,5.436751534363128
70,volessero,5.436751534363128
71,agnoletti,5.436751534363128
72,temerari,5.436751534363128
73,confonde,5.436751534363128
74,isfumasse,5.436751534363128
75,gudicio,5.436751534363128
76,graziatamente,5.436751534363128
77,andare,5.397496123910227
78,pier,5.391823020875854
79,festa,5.391823020875854
80,lavorata,5.358279879208169
81,bottega,5.207076380613824
82,co,5.207076380613824
83,amore,5.169538402976461
84,valore,5.092759552933927
85,matteo,5.037961604557698
86,saggio,5.037961604557698
87,contra,5.037961604557698
88,abbracciare,5.0312864262549635
89,glie,5.0312864262549635
90,prender,5.0312864262549635
91,busse,5.0312864262549635
92,presunzione,5.0312864262549635
93,1532,5.0312864262549635
94,saluto,5.0312864262549635
95,maestrevole,5.0312864262549635
96,martellina,5.0312864262549635
