,term,score
0,ferrara,12.872753267168298
1,galasso,9.040921604977946
2,ingegna,5.436751534363128
3,naturam,5.436751534363128
4,putaverit,5.436751534363128
5,galassi,5.436751534363128
6,picta,5.436751534363128
7,galassus,5.436751534363128
8,generata,5.436751534363128
9,abbellirla,5.436751534363128
10,qualch,5.436751534363128
11,ferrariensis,5.436751534363128
12,imitatus,5.436751534363128
13,portarne,5.436751534363128
14,venutosene,5.436751534363128
15,saepe,5.436751534363128
16,pingo,5.436751534363128
17,condottovi,5.436751534363128
18,crediderit,5.436751534363128
19,tratenuto,5.436751534363128
20,forestieri,5.391823020875854
21,creat,5.0312864262549635
22,costumatissimamente,5.0312864262549635
23,parsono,5.0312864262549635
24,incitato,5.0312864262549635
25,quidem,5.0312864262549635
26,andandosene,5.0312864262549635
27,cosmè,5.0312864262549635
28,magis,5.0312864262549635
29,regolato,5.0312864262549635
30,desta,4.743604353803183
31,parens,4.743604353803183
32,sparte,4.743604353803183
33,manifesto,4.743604353803183
34,possuto,4.743604353803183
35,mammolo,4.520460802488973
36,illa,4.520460802488973
37,sed,4.520460802488973
38,fuor,4.485509180080313
39,dum,4.338139245695018
40,serrano,4.338139245695018
41,haec,4.338139245695018
42,rerum,4.338139245695018
43,meritare,4.338139245695018
44,quae,4.338139245695018
45,nascendo,4.338139245695018
46,domenico,4.315652498081789
47,sum,4.18398856586776
48,viver,4.050457173243238
49,sportelli,4.050457173243238
50,bologna,4.005528659755964
51,dipigner,3.932674137586854
52,apprendere,3.932674137586854
53,acquistarsi,3.932674137586854
54,crebbe,3.932674137586854
55,darsi,3.8273136219290276
56,ut,3.732003442124703
57,grido,3.732003442124703
58,abbino,3.732003442124703
59,esempio,3.732003442124703
60,strani,3.732003442124703
61,rimunerato,3.644992065135073
62,dovette,3.5649493574615367
63,olio,3.4708991205012696
64,vinegia,3.4218485138208634
65,duoi,3.3573099926832923
66,opre,3.3573099926832923
67,disegnatore,3.185459735756633
68,sforza,3.185459735756633
69,dimostrò,3.134166441369082
70,cinquanta,3.134166441369082
71,ferrarese,3.134166441369082
72,abitare,3.0853762771996505
73,ricchezze,2.994404498993924
74,chiaramente,2.9110228900548725
75,vengono,2.9110228900548725
76,grato,2.9110228900548725
77,cortese,2.8718021769015913
78,partita,2.8340618489187444
79,cappella,2.8227996872559578
80,veggendo,2.7626028849365993
81,fresco,2.7526170476334175
82,piacevole,2.664162812123347
83,chiese,2.5745506534336595
84,durò,2.5745506534336595
85,neri,2.518980802278849
86,organo,2.466337068793427
87,veggono,2.441019260809137
88,onoratamente,2.441019260809137
89,epitaffio,2.4163266482187655
90,talmente,2.392229096639705
91,oltra,2.368698599229511
92,ritrarre,2.368698599229511
93,testamento,2.345709081004812
94,imparò,2.323236225152754
95,circa,2.3012573184339784
96,facultà,2.279751113213015
97,credito,2.2586977040151828
98,strada,2.2586977040151828
99,abbia,2.2586977040151828
100,colorire,2.2380784168124466
101,borgo,2.217875709494927
102,sepolcro,2.140914668358799
103,infinite,2.1045470241879243
104,tale,2.086847447088523
105,tal,2.086847447088523
106,acquistò,2.002764329877982
107,onorato,1.9710156315634015
108,portò,1.9710156315634015
109,venire,1.9555114450274362
110,dipinta,1.9402439728966479
111,me,1.9402439728966479
112,vivere,1.9252060955321073
113,quivi,1.9252060955321073
114,pietro,1.7991653746367424
115,uso,1.7991653746367424
116,monaci,1.7991653746367424
117,andare,1.7991653746367424
118,medesimi,1.7860932930693896
119,lavorata,1.7860932930693896
120,nello,1.760450862456052
121,duomo,1.7354495602506348
122,troppo,1.7354495602506348
123,amico,1.69908191607976
124,inanzi,1.6639905962684898
125,visse,1.6639905962684898
