,term,score
0,pisano,34.475830855059904
1,riverso,27.122764814933838
2,vittore,27.122764814933838
3,gentile,14.497959889312593
4,biondo,14.230813061409549
5,pisanello,13.561382407466919
6,eustachio,11.196010326374108
7,verona,11.050411539746397
8,dipinse,11.01046819053367
9,fodero,10.873503068726256
10,poema,10.873503068726256
11,guidi,10.873503068726256
12,dragone,10.873503068726256
13,guerino,10.873503068726256
14,ambiduoi,10.062572852509927
15,arimino,10.062572852509927
16,veronese,9.556379207269899
17,raccontate,9.040921604977946
18,fabriano,9.040921604977946
19,spada,8.733068670164617
20,malatesta,8.676278491390036
21,contemplare,8.676278491390036
22,giorgio,8.4954095803988
23,ho,8.436237292163785
24,latina,7.464006884249406
25,giovio,7.464006884249406
26,cavallo,7.249642405547052
27,laterano,7.1298987149230735
28,medaglia,7.1298987149230735
29,armato,7.037127243014436
30,fa,6.796070452287044
31,cane,6.479053914053818
32,parlando,6.479053914053818
33,avuto,6.389196887079271
34,arcivescovo,5.988808997987848
35,celebrato,5.988808997987848
36,cappella,5.6455993745119155
37,sanmichele,5.436751534363128
38,rimando,5.436751534363128
39,dintornato,5.436751534363128
40,paleologo,5.436751534363128
41,ricondotto,5.436751534363128
42,turchesco,5.436751534363128
43,medaglioni,5.436751534363128
44,intendentissima,5.436751534363128
45,sella,5.436751534363128
46,sostentata,5.436751534363128
47,sultan,5.436751534363128
48,dissegnarono,5.436751534363128
49,quaratesi,5.436751534363128
50,maomete,5.436751534363128
51,costantinupoli,5.436751534363128
52,difficilissimi,5.436751534363128
53,alzati,5.436751534363128
54,capitanale,5.436751534363128
55,abbassando,5.436751534363128
56,costantinopoli,5.436751534363128
57,grecanica,5.436751534363128
58,prestantissimo,5.436751534363128
59,bisognarebbe,5.436751534363128
60,maiuscola,5.436751534363128
61,galizia,5.436751534363128
62,caracciolo,5.436751534363128
63,infoderar,5.436751534363128
64,abondantissimamente,5.436751534363128
65,staffa,5.436751534363128
66,rimontar,5.436751534363128
67,ladro,5.436751534363128
68,prefato,5.436751534363128
69,brenzoni,5.436751534363128
70,niccolò,5.397496123910227
71,veggiono,5.397496123910227
72,strozzi,5.328325624246694
73,medaglie,5.2667823069131865
74,figliuola,5.207076380613824
75,appoggiati,5.0312864262549635
76,berettone,5.0312864262549635
77,adimari,5.0312864262549635
78,isotta,5.0312864262549635
79,agobbio,5.0312864262549635
80,iscorcio,5.0312864262549635
81,piccinino,5.0312864262549635
82,tasca,5.0312864262549635
83,groppa,5.0312864262549635
84,punito,5.0312864262549635
85,pezzato,5.0312864262549635
86,tané,5.0312864262549635
87,amplissima,5.0312864262549635
88,conventuali,5.0312864262549635
89,bislungo,5.0312864262549635
90,manca,4.984625110393376
91,argento,4.984625110393376
92,seguiti,4.743604353803183
93,bari,4.743604353803183
94,rivolta,4.743604353803183
95,illustrata,4.743604353803183
96,siniscalco,4.743604353803183
97,ragguaglio,4.743604353803183
98,avviamento,4.743604353803183
99,traggono,4.743604353803183
100,verbigrazia,4.743604353803183
101,visconti,4.743604353803183
102,borso,4.743604353803183
103,vaghissime,4.743604353803183
