,term,score
0,gherardo,29.155742613242182
1,starnina,18.97441741521273
2,girolamo,10.794992247820455
3,natura,8.522211081664436
4,ispagna,8.393082614243607
5,impara,8.36797713173552
6,dipignere,8.040550689370164
7,patria,7.475848633467188
8,reputazione,7.289984130270146
9,antonio,7.238837438994269
10,spagnuoli,6.714619985366585
11,pisa,6.157083813052061
12,cortese,5.743604353803183
13,maggiormente,5.743604353803183
14,ciompi,5.436751534363128
15,trattabile,5.436751534363128
16,riportava,5.436751534363128
17,perversa,5.436751534363128
18,affinare,5.436751534363128
19,dugentomila,5.436751534363128
20,accordatosi,5.436751534363128
21,1403,5.436751534363128
22,temperamento,5.436751534363128
23,poscia,5.436751534363128
24,xlviiii,5.436751534363128
25,sopradetta,5.436751534363128
26,gambacorta,5.436751534363128
27,ringentiliscono,5.436751534363128
28,tenti,5.436751534363128
29,ascoltando,5.436751534363128
30,cimento,5.436751534363128
31,er,5.436751534363128
32,odiavano,5.436751534363128
33,rimirandolo,5.436751534363128
34,capitolo,5.207076380613824
35,premi,5.0312864262549635
36,aplicato,5.0312864262549635
37,lando,5.0312864262549635
38,castellani,5.0312864262549635
39,vendita,5.0312864262549635
40,inaspettatamente,5.0312864262549635
41,nemica,5.0312864262549635
42,sconce,5.0312864262549635
43,pugliesi,5.0312864262549635
44,affibbiato,5.0312864262549635
45,scambio,5.0312864262549635
46,ricevettero,5.0312864262549635
47,capella,4.890267133778425
48,gentile,4.832653296437531
49,1354,4.743604353803183
50,gabriel,4.743604353803183
51,osservano,4.743604353803183
52,vanni,4.743604353803183
53,duolo,4.743604353803183
54,invidiosa,4.743604353803183
55,starnini,4.743604353803183
56,sferza,4.743604353803183
57,amarono,4.743604353803183
58,troncò,4.743604353803183
59,conducessero,4.743604353803183
60,imparata,4.743604353803183
61,rozzo,4.743604353803183
62,rozzi,4.743604353803183
63,disporlo,4.743604353803183
64,costumi,4.737397198459022
65,paula,4.520460802488973
66,piaciute,4.520460802488973
67,leggiadramente,4.520460802488973
68,virtuose,4.520460802488973
69,fisamente,4.520460802488973
70,colui,4.357309992683293
71,panicale,4.338139245695018
72,disidera,4.338139245695018
73,pecora,4.338139245695018
74,mantenuta,4.338139245695018
75,pioggie,4.338139245695018
76,colorirla,4.338139245695018
77,dimoravano,4.338139245695018
