,term,score
0,gherardo,38.87432348432291
1,musaico,17.004371093512468
2,vante,10.062572852509927
3,miniatore,9.718580871080727
4,attavante,9.487208707606365
5,sodisfaceva,9.040921604977946
6,zanobi,8.733068670164617
7,miniò,7.865348275173708
8,compagno,7.639139329400891
9,allogazione,6.593370741733715
10,ghirlandaio,6.370919471513266
11,spedalingo,6.370919471513266
12,divenuto,6.268332882738164
13,stefano,6.26054234126557
14,fiore,5.960291965594622
15,domenico,5.754203330775719
16,lorenzo,5.717673396522629
17,cappella,5.6455993745119155
18,grandemente,5.525205769873199
19,63,5.436751534363128
20,rifarvi,5.436751534363128
21,statovi,5.436751534363128
22,miniator,5.436751534363128
23,brini,5.436751534363128
24,publicare,5.436751534363128
25,speculatore,5.436751534363128
26,sopravvenuta,5.436751534363128
27,boccardino,5.436751534363128
28,richiedesse,5.436751534363128
29,preparavano,5.436751534363128
30,interposta,5.0312864262549635
31,perpetue,5.0312864262549635
32,assottigliando,5.0312864262549635
33,ridipignere,5.0312864262549635
34,consegrazione,5.0312864262549635
35,isidoro,5.0312864262549635
36,libraria,5.0312864262549635
37,recate,5.0312864262549635
38,soffistico,5.0312864262549635
39,benissimo,4.957685701334601
40,libri,4.932674137586854
41,discepolo,4.85711762521867
42,dà,4.832653296437531
43,corvino,4.743604353803183
44,lavoravono,4.743604353803183
45,solenni,4.743604353803183
46,re,4.634793708757504
47,coetaneo,4.520460802488973
48,mirabilissime,4.520460802488973
49,magistero,4.520460802488973
50,montaguto,4.520460802488973
51,1470,4.520460802488973
52,gilio,4.520460802488973
53,messolo,4.520460802488973
54,lassando,4.520460802488973
55,matia,4.520460802488973
56,segreti,4.520460802488973
57,martino,4.5173954080303655
58,medici,4.485509180080313
59,fiorentino,4.371209641383501
60,nascoso,4.338139245695018
61,miniare,4.338139245695018
62,bulino,4.18398856586776
63,privilegii,4.18398856586776
64,vangelisti,4.18398856586776
65,seme,4.050457173243238
66,favorì,4.050457173243238
67,durava,4.050457173243238
68,gentilissimo,4.050457173243238
69,dilettarsi,4.050457173243238
70,appartenenti,4.050457173243238
71,tabernacolo,4.038049701499524
72,magnifico,3.942031263126803
73,nominati,3.932674137586854
74,crociere,3.932674137586854
75,tramezzate,3.8273136219290276
76,perdono,3.8273136219290276
77,bicci,3.732003442124703
78,rimettere,3.732003442124703
79,fabricata,3.732003442124703
80,memorie,3.644992065135073
81,percosse,3.644992065135073
82,tengo,3.644992065135073
83,vii,3.5649493574615367
84,tedesca,3.5649493574615367
85,tosto,3.520901724912104
86,sorte,3.520901724912104
87,rimase,3.520901724912104
88,concorrente,3.4908413853078146
89,presi,3.4218485138208634
90,nessuna,3.4218485138208634
91,pagati,3.4218485138208634
92,vogliono,3.3573099926832923
93,intagliare,3.3573099926832923
94,restante,3.3573099926832923
95,fatica,3.305123800889734
96,alberto,3.239526957026909
97,moderno,3.239526957026909
98,intendeva,3.239526957026909
99,spirito,3.238078416812447
100,duro,3.185459735756633
101,cercava,3.185459735756633
102,giudicare,3.185459735756633
103,minio,3.134166441369082
104,stampe,3.134166441369082
105,resta,3.0853762771996505
106,ungheria,3.0853762771996505
107,piacendogli,3.0853762771996505
108,datosi,3.0853762771996505
109,persona,3.0494570578699642
110,aiutò,3.0388562615647574
111,principio,3.0098518032776047
112,salute,2.994404498993924
113,meno,2.9710156315634015
114,sull,2.951844884575128
115,lungamente,2.951844884575128
116,sarebbe,2.8955349755977076
117,levata,2.8718021769015913
118,sagramento,2.8718021769015913
119,storia,2.8407370272214787
120,cercò,2.8340618489187444
121,vivuto,2.7976942047478692
122,ultimamente,2.7976942047478692
123,mandati,2.7626028849365993
124,larga,2.7626028849365993
125,veggendo,2.7626028849365993
126,fresco,2.7526170476334175
127,dipinse,2.7526170476334175
128,cartone,2.7287013332609185
129,cervello,2.7287013332609185
130,ingegno,2.7184281809148176
131,cappelle,2.695911510437927
132,intaglio,2.695911510437927
133,graziose,2.695911510437927
134,operai,2.695911510437927
135,posti,2.664162812123347
136,dilettava,2.664162812123347
137,eccetto,2.6333911534565932
138,mestiero,2.603538190306912
139,rispetto,2.5463797764669636
140,ché,2.5463797764669636
141,acque,2.518980802278849
142,vedeva,2.492312555196688
143,infinità,2.466337068793427
144,mette,2.466337068793427
145,fermo,2.466337068793427
146,conobbe,2.466337068793427
147,sculture,2.441019260809137
148,potette,2.392229096639705
149,abito,2.368698599229511
150,quinto,2.323236225152754
151,carte,2.3012573184339784
152,venti,2.3012573184339784
153,spedale,2.279751113213015
154,pezzi,2.2586977040151828
155,sommo,2.217875709494927
156,buoni,2.1980730821987478
157,don,2.1980730821987478
158,allo,2.159606801370952
159,ragionato,2.140914668358799
160,lavorando,2.140914668358799
161,pareva,2.1225655296906023
162,sapeva,2.1225655296906023
163,imperfetta,2.1225655296906023
164,pratico,2.1225655296906023
165,badia,2.1045470241879243
166,tal,2.086847447088523
167,rara,2.0694557043766544
168,difficultà,2.0523612710173538
169,trovato,2.0523612710173538
170,altrimenti,2.0523612710173538
171,clemente,2.0523612710173538
172,eccellentissimo,2.035554152700973
173,andava,2.035554152700973
174,possibile,2.019024850749762
175,bologna,2.002764329877982
176,volentieri,2.002764329877982
177,antiche,1.9867639885315407
178,tornare,1.9710156315634015
179,siena,1.9555114450274362
180,muro,1.9402439728966479
181,caterina,1.9402439728966479
182,dipinta,1.9402439728966479
