,term,score
0,feci,363.5947940832576
1,mi,257.2806485730542
2,io,205.71276907523196
3,mio,147.6900270350839
4,mia,141.68855445960617
5,me,108.65366248221228
6,dipinsi,103.29827915289944
7,miei,87.2900598097656
8,ebbi,81.3682944448015
9,fui,78.08650642251033
10,mie,68.85777194513506
11,duca,64.11107474029136
12,arezzo,59.68138896149533
13,facessi,58.99011206380281
14,andai,56.923252245638196
15,ho,55.67916612828098
16,quadri,54.3081735401738
17,quadro,53.991918669848225
18,condussi,48.93076380926815
19,bindo,44.78404130549643
20,don,41.76338856177621
21,giovio,41.05203786337173
22,cominciai,40.25029141003971
23,misi,38.0572607405419
24,risolvei,38.0572607405419
25,refettorio,37.84329757071334
26,signor,35.14058287893599
27,cardinale,34.23186993644898
28,avessi,33.93913904919616
29,fresco,31.6550960477843
30,olio,31.238092084511425
31,disegni,30.994705660076555
32,grandi,30.209567486572524
33,seppi,30.18771855752978
34,braccia,30.15992553605218
35,palco,29.907750662360254
36,ottaviano,28.63892009337603
37,tornai,28.461626122819098
38,finita,27.86273279540912
39,ad,27.699331731196466
40,ritrassi,27.18375767181564
41,camaldoli,26.959115104379272
42,cappella,26.8165970289316
43,arei,26.79119535350319
44,fatica,26.440990407117873
45,signore,26.03174340375952
46,sala,25.37374841941468
47,venni,25.15643213127482
48,venere,24.863425964429393
49,storia,24.14626473138257
50,legati,23.596044825521123
51,innanzi,23.56133781802792
52,dio,23.48325785182856
53,studio,23.016813323102877
54,monasterio,22.955321917973755
55,nuovo,22.885861211928678
56,avea,22.749506523909773
57,luna,22.67668869918836
58,camera,22.57597398119089
59,medici,22.427545900401565
60,monsignor,22.100823079492795
61,quest,21.934216959625843
62,generale,21.829610666087348
63,messomi,21.747006137452512
64,fattomi,21.747006137452512
65,potessi,21.69069622847509
66,spero,21.69069622847509
67,cosimo,21.631877751490368
68,re,21.62903730753502
69,monaci,21.58998449564091
70,facciate,21.40914668358799
71,pitti,21.38969614476922
72,forze,21.271993830953303
73,vittorie,21.271993830953303
74,ornamenti,21.068962622943232
75,volere,21.045470241879244
76,alcuna,21.037663443160998
77,quattro,20.93237617370813
78,tante,20.853714313583957
79,monte,20.663137106717702
80,gismondo,20.53109108292518
81,venne,20.488283703192927
82,ciascuna,20.35554152700973
83,state,20.352156804918085
84,alessandro,20.19024850749762
85,potei,20.125145705019854
86,servizio,20.102615238311138
87,lume,19.960881385454343
88,giorni,19.93651661525439
89,gesù,19.647026223763284
90,mesi,19.555114450274363
91,disse,19.5050887705683
92,fortuna,19.436461212338568
93,dette,19.42847050087468
94,amicissimo,19.402439728966478
95,altar,19.297321654488396
96,ai,19.268319333433922
97,diedi,18.97441741521273
98,abate,18.804998648214493
99,intanto,18.78162702379671
100,stucchi,18.765672648038496
101,cioè,18.701160825021088
102,altoviti,18.660017210623515
103,concetto,18.512257663197904
104,padri,18.433738074196153
105,tengono,18.410058547471827
106,cagione,18.348197967163724
107,so,18.31998737430876
108,nuova,18.178180904893537
109,cambi,18.081843209955892
110,scudi,18.069581632121462
111,michelagnolo,17.991653746367426
112,ancor,17.94203672032125
113,alto,17.860932930693895
114,vivo,17.7112603771866
115,caro,17.71106930745077
116,fa,17.669783175946314
117,illustrissimo,17.466137340329233
118,ipolito,17.454206926539072
119,testa,17.373209853586246
120,condotto,17.262609992327157
121,stanze,17.12731734687039
122,fatiche,16.88256751267332
123,compagnia,16.830130754528795
124,arti,16.755514186695656
125,raggi,16.73595426347104
126,adunque,16.67909336316316
127,aria,16.6399059626849
128,sorella,16.575617309619595
129,larga,16.575617309619595
130,finito,16.432502595470133
131,ricordarmi,16.310254603089383
132,disegnassi,16.310254603089383
133,ingegnai,16.310254603089383
134,mandai,16.310254603089383
135,volli,16.310254603089383
136,finsi,16.310254603089383
137,disposi,16.310254603089383
138,farina,16.310254603089383
139,avendomi,16.310254603089383
140,sforzai,16.310254603089383
141,dire,16.23532201242105
142,cappelle,16.175469062627563
143,possibile,16.152198805998097
144,notte,16.108801229037848
145,padre,16.02776868507284
146,avuto,15.972992217698177
147,eccellenza,15.958708994101336
148,architettura,15.958708994101336
149,santi,15.866039326530696
150,potere,15.810883928106279
151,salviati,15.80034692073956
152,marta,15.730696550347416
