,term,score
0,giorgione,46.34434164699998
1,venezia,23.952939596746045
2,consalvo,16.310254603089383
3,doge,13.963365541231259
4,sola,12.205096304045684
5,testa,8.686604926793123
6,olio,8.677247801253174
7,fondaco,8.676278491390036
8,todesco,8.676278491390036
9,grandemente,8.287808654809798
10,carne,7.99248843637004
11,mercanzie,7.865348275173708
12,bellini,7.865348275173708
13,me,7.760975891586591
14,castel,7.32305778242741
15,dilettossi,7.289984130270146
16,patriarca,7.1298987149230735
17,vedute,7.106095797688534
18,armato,7.037127243014436
19,fino,6.903771955301935
20,lionardo,6.903771955301935
21,fresco,6.881542619083544
22,mostrasse,6.843697027641727
23,nessuna,6.843697027641727
24,giovan,6.535964989024939
25,tedeschi,6.479053914053818
26,vista,6.268332882738164
27,ritratta,6.170752554399301
28,danno,6.106662458102919
29,vivace,6.077712523129515
30,franco,6.077712523129515
31,fantasia,5.988808997987848
32,mostrava,5.903689769150256
33,dipignesse,5.822045780109745
34,scultura,5.687376630977443
35,mettere,5.601656513645274
36,peste,5.5953884094957385
37,esser,5.539866346239293
38,torno,5.457402666521837
39,dimenticata,5.436751534363128
40,ecc,5.436751534363128
41,velli,5.436751534363128
42,praticandovi,5.436751534363128
43,confessassino,5.436751534363128
44,limpidissima,5.436751534363128
45,conversar,5.436751534363128
46,mozenigo,5.436751534363128
47,scirocchi,5.436751534363128
48,interpretare,5.436751534363128
49,soprabbondava,5.436751534363128
50,barberigo,5.436751534363128
51,cipro,5.436751534363128
52,testona,5.436751534363128
53,abituri,5.436751534363128
54,comandatore,5.436751534363128
55,cadore,5.436751534363128
56,conservatasi,5.436751534363128
57,rappresentino,5.436751534363128
58,trattenere,5.436751534363128
59,merzeria,5.436751534363128
60,piacqueli,5.436751534363128
61,corsaletto,5.436751534363128
62,acquistava,5.436751534363128
63,gustando,5.436751534363128
64,gustò,5.436751534363128
65,ghiribizzo,5.436751534363128
66,saioni,5.436751534363128
67,tollerarono,5.436751534363128
68,nuoca,5.436751534363128
69,sfumata,5.436751534363128
70,traesse,5.436751534363128
71,dipingesse,5.436751534363128
72,occhiata,5.436751534363128
73,girandogli,5.436751534363128
74,assensa,5.436751534363128
75,colorita,5.391823020875854
76,moderna,5.207076380613824
77,lati,5.092759552933927
78,ho,5.061742375298271
79,quadro,5.061742375298271
80,34,5.0312864262549635
81,bavero,5.0312864262549635
82,giudeo,5.0312864262549635
83,infettò,5.0312864262549635
84,amavano,5.0312864262549635
85,clarissimo,5.0312864262549635
86,imitandola,5.0312864262549635
87,consultato,5.0312864262549635
88,vivezze,5.0312864262549635
89,scegliendo,5.0312864262549635
90,restati,5.0312864262549635
91,speditamente,5.0312864262549635
92,portono,5.0312864262549635
93,soranzo,5.0312864262549635
94,tenendole,5.0312864262549635
95,riverberazione,5.0312864262549635
96,iuditta,5.0312864262549635
97,fumeggiate,5.0312864262549635
98,purché,5.0312864262549635
99,ècci,5.0312864262549635
100,didietro,5.0312864262549635
101,ritratti,4.957685701334601
102,nobili,4.882038521618274
103,gentile,4.832653296437531
104,mozza,4.743604353803183
105,pubblico,4.743604353803183
106,1511,4.743604353803183
107,fucheri,4.743604353803183
108,fan,4.743604353803183
109,diedegli,4.743604353803183
110,oppinione,4.743604353803183
111,ritrova,4.743604353803183
112,stirpe,4.743604353803183
113,contraffar,4.743604353803183
114,mutando,4.743604353803183
115,abbandonata,4.743604353803183
116,lucido,4.743604353803183
117,brunito,4.743604353803183
118,sonava,4.743604353803183
119,beretta,4.743604353803183
120,esserciti,4.743604353803183
121,terribilmente,4.743604353803183
122,cacciate,4.743604353803183
123,ragunate,4.743604353803183
124,innamoratosi,4.743604353803183
125,profili,4.743604353803183
126,innamorò,4.743604353803183
127,terribilissimo,4.743604353803183
128,visitò,4.743604353803183
129,cristalli,4.743604353803183
130,rifarlo,4.743604353803183
131,salsedine,4.743604353803183
132,goderono,4.743604353803183
133,nato,4.737397198459022
134,oltra,4.737397198459022
135,ignudo,4.602514636867957
136,spalle,4.602514636867957
137,teste,4.574185586804946
138,germania,4.520460802488973
139,carissime,4.520460802488973
140,devozione,4.520460802488973
141,1478,4.520460802488973
142,appiccò,4.520460802488973
143,trovo,4.520460802488973
144,competere,4.520460802488973
145,vivacissimamente,4.520460802488973
146,umilissima,4.520460802488973
147,crudelmente,4.520460802488973
