,term,score
0,giotto,251.18405514716903
1,palvese,65.24101841235753
2,disse,35.463797764669636
3,puccio,33.205230476622276
4,fresco,30.278787523967594
5,dante,28.6691376218097
6,ascesi,27.768386494796854
7,tu,27.287013332609185
8,dipinse,24.773553428700758
9,cimabue,24.683010217597204
10,uomo,22.582397498047662
11,capella,21.19115757970651
12,fa,19.028997266403724
13,io,18.701160825021088
14,crucifisso,18.024878968901838
15,dipignere,17.689211516614364
16,malatesta,17.352556982780072
17,tempera,16.836376193503394
18,ti,16.483426854334287
19,meo,16.310254603089383
20,mi,16.192488371730683
21,natura,15.624053649718133
22,re,15.449312362525017
23,rispose,15.278278658801781
24,franco,15.194281307823786
25,cortigiano,15.09385927876489
26,bondone,15.09385927876489
27,castità,15.09385927876489
28,basto,15.09385927876489
29,braccia,15.07996276802609
30,napoli,14.857958707834216
31,paio,14.579968260540292
32,dice,14.288746344555117
33,nuovo,14.083606899648416
34,onor,13.963365541231259
35,ego,13.561382407466919
36,pecore,13.561382407466919
37,dipintura,13.561382407466919
38,arezzo,13.47644266872475
39,man,13.040712356742468
40,diffidenza,13.014417737085054
41,discepolo,12.952313667249788
42,cappella,12.70259859265181
43,iobbe,12.55196569760328
44,saccone,12.55196569760328
45,togliesse,12.55196569760328
46,faenza,12.536665765476329
47,fussi,12.536665765476329
48,pare,12.524404187641899
49,belle,12.46469927903841
50,arme,12.412329217634372
51,padoa,12.15542504625903
52,forlì,12.151371519729715
53,signore,12.148146921754444
54,affetto,11.977617995975695
55,quattro,11.961357813547501
56,testamento,11.728545405024061
57,grandissimo,11.656559043689338
58,fiorentino,11.656559043689338
59,senzaché,11.487208707606365
60,verso,11.41062331214966
61,prontezza,11.336247395674977
62,gaddi,11.336247395674977
63,buon,11.149602132228624
64,particolarmente,11.149602132228624
65,esser,11.079732692478586
66,frati,10.958853664186663
67,affettuoso,10.873503068726256
68,richieder,10.873503068726256
69,vespignano,10.873503068726256
70,oderigi,10.873503068726256
71,domino,10.873503068726256
72,novi,10.873503068726256
73,cataldo,10.873503068726256
74,nec,10.873503068726256
75,reale,10.69484807238461
76,podestà,10.69484807238461
77,mani,10.673099702544874
78,quelli,10.673099702544874
79,giunto,10.656651248493388
80,figura,10.534481311471616
81,sebbene,10.472524155923445
82,monasterio,10.434237235442616
83,venerazione,10.298202613734638
84,pisa,10.261806355086769
85,perfettamente,10.185519105867854
86,numero,10.123484750596543
87,quest,10.123484750596543
88,sagrestia,10.09512425374881
89,angeli,10.06985582885751
90,imbratto,10.062572852509927
91,giurare,10.062572852509927
92,ubidienza,10.062572852509927
93,risuscitò,10.062572852509927
94,platea,10.062572852509927
95,agobbio,10.062572852509927
96,arena,10.062572852509927
97,tiene,9.933819942657703
98,capanna,9.890056112600572
99,dall,9.755901865700046
100,lascia,9.718580871080727
101,nave,9.718580871080727
102,campanile,9.718580871080727
103,dipintore,9.665306592875062
104,altar,9.648660827244198
105,eccellenti,9.648660827244198
106,andato,9.626030477660537
107,taddeo,9.556379207269899
108,prudenza,9.556379207269899
109,ravenna,9.556379207269899
110,matton,9.487208707606365
111,dipignessi,9.487208707606365
112,cavando,9.487208707606365
113,cuius,9.487208707606365
114,ragioni,9.402499324107247
115,povertà,9.402499324107247
116,danari,9.33609418940879
117,parole,9.33609418940879
118,pittori,9.331126418518144
119,novella,9.292944900611015
120,degli,9.2086731887309
121,voleva,9.129168108594518
122,angoli,9.116568784694273
123,vela,9.040921604977946
124,giugni,9.040921604977946
125,puzzo,9.040921604977946
126,glorificato,9.040921604977946
127,cella,9.040921604977946
