,term,score
0,raffaello,36.78878547549365
1,pellegrino,28.20749797232174
2,giovan,23.96520495975811
3,modana,13.561382407466919
4,fattore,11.798022412760561
5,marchese,11.487208707606365
6,giulio,11.4623460584818
7,napoli,10.612827648453012
8,modanesi,10.062572852509927
9,perino,8.983213496981772
10,fresco,8.257851142900252
11,giovanfrancesco,7.289984130270146
12,andò,7.285349402305837
13,montorio,7.1298987149230735
14,venuto,7.092759552933927
15,compagnia,7.012554481053666
16,giovani,6.057074552249286
17,disegni,5.903753459062201
18,lucca,5.822045780109745
19,cappella,5.6455993745119155
20,eccellentemente,5.5953884094957385
21,lavori,5.5596977877210545
22,logge,5.525205769873199
23,soccorrere,5.436751534363128
24,affrontando,5.436751534363128
25,trafugarlo,5.436751534363128
26,infuriati,5.436751534363128
27,facultadi,5.436751534363128
28,amazzò,5.436751534363128
29,monteluci,5.436751534363128
30,espedito,5.436751534363128
31,portughesi,5.436751534363128
32,emulando,5.436751534363128
33,veralla,5.436751534363128
34,diomede,5.436751534363128
35,peregrino,5.436751534363128
36,giocava,5.436751534363128
37,scrofa,5.436751534363128
38,scontrarono,5.436751534363128
39,cosmo,5.436751534363128
40,omicida,5.436751534363128
41,ariano,5.436751534363128
42,bonissima,5.391823020875854
43,olio,5.206348680751905
44,attendendo,5.037961604557698
45,veggiano,5.0312864262549635
46,dovervi,5.0312864262549635
47,maestrevole,5.0312864262549635
48,alborense,5.0312864262549635
49,tiratovi,5.0312864262549635
50,gaudenzio,5.0312864262549635
51,ammalatosi,5.0312864262549635
52,levatane,5.0312864262549635
53,imposta,5.0312864262549635
54,napoletani,5.0312864262549635
55,ischia,5.0312864262549635
56,ritenne,5.0312864262549635
57,desto,5.0312864262549635
58,gentilissima,5.0312864262549635
59,allevò,5.0312864262549635
60,incurabili,5.0312864262549635
61,cartoni,4.984625110393376
62,dipignere,4.824330413622099
63,spagnuola,4.743604353803183
64,penni,4.743604353803183
65,40,4.743604353803183
66,confraternita,4.743604353803183
67,girata,4.743604353803183
68,immitazione,4.743604353803183
69,dimostrando,4.743604353803183
70,montughi,4.743604353803183
71,vaga,4.646472450305508
72,iacopo,4.60433659436545
73,lionardo,4.602514636867957
74,speranza,4.602514636867957
75,guadagnarsi,4.520460802488973
76,coetaneo,4.520460802488973
77,destinata,4.520460802488973
78,genoa,4.520460802488973
79,vercelli,4.520460802488973
80,udite,4.520460802488973
81,giugnere,4.520460802488973
82,cambi,4.520460802488973
83,conceputa,4.520460802488973
84,corrispondere,4.520460802488973
85,romano,4.5173954080303655
86,poiché,4.476156833624893
87,anch,4.3961461643974955
88,battuti,4.338139245695018
89,lasciargli,4.338139245695018
90,negò,4.338139245695018
91,lapidazione,4.338139245695018
92,ferite,4.338139245695018
93,vasto,4.338139245695018
94,luca,4.319213602741904
95,divisione,4.18398856586776
96,accarezzato,4.18398856586776
97,galee,4.18398856586776
98,originale,4.18398856586776
99,cognato,4.18398856586776
100,1528,4.18398856586776
101,capitale,4.18398856586776
102,intanto,4.173694894177046
103,figliuolo,4.103174340375952
104,restavano,4.050457173243238
105,tostamente,4.050457173243238
106,finirono,4.050457173243238
107,concistoro,4.050457173243238
108,chigi,4.050457173243238
109,caraffa,4.050457173243238
110,romito,4.050457173243238
111,pistolese,4.050457173243238
112,unitamente,4.050457173243238
113,disegnare,3.9735279770630814
114,urbino,3.942031263126803
115,osservò,3.932674137586854
116,immitò,3.932674137586854
117,privi,3.932674137586854
118,andarsene,3.932674137586854
119,guadagnò,3.932674137586854
120,tratteneva,3.932674137586854
121,bagno,3.8273136219290276
122,accommodato,3.8273136219290276
123,fermatosi,3.8273136219290276
124,posare,3.8273136219290276
