,term,score
0,giovanfrancesco,145.79968260540292
1,rustico,58.57583992214864
2,cazzuola,52.17964789183501
3,paiuolo,48.93076380926815
4,cena,44.20164615898559
5,vivande,35.21900498378474
6,vitella,27.18375767181564
7,compagnia,26.64770702800393
8,baia,22.602304012444865
9,bronzo,22.391095679710702
10,stanza,21.786549963416462
11,rustici,21.69069622847509
12,manovali,21.69069622847509
13,plutone,21.69069622847509
14,feo,20.125145705019854
15,paniere,18.97441741521273
16,ser,18.433738074196153
17,pene,17.352556982780072
18,andrea,16.772013818284805
19,guazzetto,16.310254603089383
20,lionardo,16.108801229037848
21,feste,15.98497687274008
22,inferno,15.927298678783167
23,cene,15.09385927876489
24,cacio,15.09385927876489
25,gettate,14.928013768498811
26,sarto,14.555114450274363
27,niccolò,14.39332299709394
28,consoli,14.259797429846147
29,simile,14.184196409902794
30,martelli,13.963365541231259
31,re,13.904381126272515
32,signore,13.883596482005078
33,francia,13.581707810276535
34,medici,13.456527540240938
35,bassi,13.42923997073317
36,danari,13.070531865172306
37,uso,12.594157622457196
38,cotte,12.55196569760328
39,magistrato,12.341505108798602
40,bocca,12.331685343967136
41,convito,12.151371519729715
42,troppo,12.148146921754444
43,gobbo,11.798022412760561
44,sera,11.487208707606365
45,lorenzo,11.435346793045259
46,signor,11.181094552388723
47,piena,10.955001730313423
48,ridolfi,10.93497619540522
49,vestiti,10.914805333043674
50,giuliano,10.893274981708231
51,pepe,10.873503068726256
52,lasagne,10.873503068726256
53,robetta,10.873503068726256
54,caldaia,10.873503068726256
55,boni,10.873503068726256
56,comparsero,10.873503068726256
57,spillo,10.873503068726256
58,biscie,10.873503068726256
59,bientina,10.873503068726256
60,trombone,10.873503068726256
61,bombardiere,10.873503068726256
62,pasticcio,10.873503068726256
63,ricotte,10.873503068726256
64,fariseo,10.873503068726256
65,rustichi,10.873503068726256
66,panzano,10.873503068726256
67,ottonaio,10.873503068726256
68,festa,10.783646041751709
69,grossi,10.69484807238461
70,disse,10.63913932940089
71,meritava,10.472524155923445
72,dirne,10.472524155923445
73,poveri,10.414152761227648
74,frutte,10.26554554146259
75,rete,10.062572852509927
76,sonatore,10.062572852509927
77,barlacchi,10.062572852509927
78,aia,10.062572852509927
79,profumi,10.062572852509927
80,leggio,10.062572852509927
81,vini,10.062572852509927
82,lucco,10.062572852509927
83,lumicino,10.062572852509927
84,beccaio,10.062572852509927
85,messo,9.983943577610939
86,tenendo,9.969250220786751
87,rilievi,9.890056112600572
88,giovambatista,9.718580871080727
89,ciascuno,9.701219864483239
90,amicissimo,9.701219864483239
91,diede,9.574073460877221
92,marte,9.556379207269899
93,puligo,9.487208707606365
94,dintorno,9.487208707606365
95,aderenti,9.487208707606365
96,cecchino,9.487208707606365
97,cui,9.47896105162907
98,avea,9.47896105162907
99,certe,9.407017364368572
100,gallo,9.292944900611015
101,animali,9.292944900611015
102,quelli,9.148371173609892
103,ordinato,9.11900445285206
104,faceva,9.088669188490885
105,spedali,9.040921604977946
106,dannati,9.040921604977946
107,marmo,9.029555409832813
108,alquanto,8.952313667249786
109,rilievo,8.913046894690204
110,calcina,8.855534653725385
111,giuochi,8.676278491390036
112,voci,8.676278491390036
113,veggendolo,8.676278491390036
114,zucchero,8.676278491390036
115,piatto,8.676278491390036
116,serventi,8.676278491390036
117,proserpina,8.676278491390036
118,naldini,8.676278491390036
119,domenico,8.631304996163578
120,tondo,8.615897338294102
121,fuoco,8.563658673435196
122,uomo,8.468399061767872
123,lippi,8.36797713173552
124,composta,8.36797713173552
125,avvocato,8.36797713173552
126,caponi,8.36797713173552
127,brigata,8.36797713173552
128,artifizioso,8.36797713173552
129,rappresentò,8.36797713173552
130,entrati,8.36797713173552
131,cherubini,8.36797713173552
132,compagnie,8.36797713173552
133,presentò,8.36797713173552
134,comandò,8.36797713173552
135,bellissimo,8.30979951935894
136,benissimo,8.262809502224336
137,cardinale,8.150445222964041
138,via,8.150445222964041
139,cognominato,8.100914346486476
140,cappa,8.100914346486476
141,toglieva,8.100914346486476
142,dii,8.100914346486476
143,enrico,8.100914346486476
144,parmigiano,8.100914346486476
145,giocondo,8.100914346486476
146,composto,8.100914346486476
147,insino,8.040550689370164
148,minore,7.99248843637004
149,comedia,7.865348275173708
150,diversi,7.827752617276187
151,dodici,7.822045780109745
152,stare,7.760975891586591
153,invenzione,7.7246561812625085
154,sorti,7.723651960300979
155,quivi,7.700824382128429
156,bugiardini,7.654627243858055
157,contucci,7.654627243858055
158,rovinati,7.654627243858055
159,aristotile,7.654627243858055
160,rucellai,7.654627243858055
161,posto,7.641564038987867
162,buono,7.524629508194012
163,onore,7.475848633467188
164,tornata,7.464006884249406
