,term,score
0,giovan,58.82368490122445
1,antonio,52.11962956075874
2,lappoli,47.7195317026452
3,arezzo,42.35453410170636
4,rosso,28.57495006858372
5,comedia,27.528718963107977
6,giovann,21.69069622847509
7,perino,20.960831492957468
8,puntormo,18.512257663197904
9,paolo,17.466137340329233
10,peste,16.786165228487214
11,vidde,16.201828692972953
12,giovani,16.152198805998097
13,cessata,15.09385927876489
14,polastra,13.561382407466919
15,ser,13.166955767282966
16,recitata,13.014417737085054
17,compagnia,12.622598065896598
18,recitare,12.55196569760328
19,giorgio,11.89357341255832
20,scena,11.481940865787083
21,lodato,11.036635642648093
22,festaiuoli,10.873503068726256
23,guasparri,10.873503068726256
24,riaversi,10.873503068726256
25,vasari,10.79803400685476
26,essendosi,10.09512425374881
27,umidi,10.062572852509927
28,messo,9.983943577610939
29,cagioni,9.865348275173709
30,seco,9.777557225137182
31,ignudi,9.764077043236547
32,liuto,9.718580871080727
33,color,9.402499324107247
34,piaceri,9.256128831598952
35,scudi,9.034790816060731
36,disegni,8.8556301885933
37,don,8.792292328794991
38,pecori,8.676278491390036
39,zoppo,8.36797713173552
40,spade,8.36797713173552
41,clovio,8.36797713173552
42,sacco,8.287808654809798
43,pensiero,8.186103999782755
44,bibbiena,8.100914346486476
45,mise,8.040550689370164
46,concorrenza,7.947055954126163
47,star,7.723651960300979
48,iacopo,7.6738943239424176
49,giovinetto,7.556942406836548
50,morendo,7.464006884249406
51,adunque,7.412930383628073
52,portare,7.3990112063802815
53,raffaello,7.357757095098729
54,voglia,7.303334486875615
55,allogò,7.289984130270146
56,sommamente,7.248979944656297
57,andare,7.19666149854697
58,condusse,7.056999218139895
59,dilettandosi,6.714619985366585
60,disideroso,6.714619985366585
61,spagnuoli,6.714619985366585
62,buoni,6.594219246596243
63,notomia,6.593370741733715
64,sandro,6.593370741733715
65,disperato,6.593370741733715
66,entrate,6.479053914053818
67,imparare,6.478820404112856
68,giovane,6.432440551496132
69,cominciare,6.370919471513266
70,avergli,6.370919471513266
71,volere,6.313641072563772
72,venne,6.304087293290131
73,visitazione,6.268332882738164
74,ricco,6.26054234126557
75,clemente,6.157083813052061
76,bronzo,6.106662458102919
77,eccellentissimo,6.106662458102919
78,sessanta,6.077712523129515
79,bartolomeo,6.008292989633945
80,nunziata,6.008292989633945
81,trecento,5.988808997987848
82,stento,5.988808997987848
83,portò,5.913046894690204
84,mesi,5.866534335082308
85,padre,5.828279521844669
86,duca,5.828279521844669
87,andò,5.828279521844669
88,processione,5.822045780109745
89,lucca,5.822045780109745
90,sarto,5.822045780109745
91,stare,5.820731918689944
92,studio,5.754203330775719
93,poeta,5.743604353803183
94,giulio,5.7311730292409
95,avea,5.687376630977443
96,uomo,5.6455993745119155
97,primo,5.6455993745119155
98,cento,5.5953884094957385
99,studi,5.5953884094957385
100,dovere,5.5953884094957385
101,fussero,5.5596977877210545
102,tornato,5.477500865156712
103,questi,5.47089912050127
104,giorni,5.437231804160289
105,venite,5.436751534363128
106,ridestò,5.436751534363128
107,influenza,5.436751534363128
108,attenne,5.436751534363128
109,sudette,5.436751534363128
110,camaiani,5.436751534363128
111,fintamente,5.436751534363128
112,affermato,5.436751534363128
113,rivesta,5.436751534363128
114,germogli,5.436751534363128
115,bisognerebbe,5.436751534363128
116,golfalone,5.436751534363128
117,gessi,5.436751534363128
118,strioni,5.436751534363128
119,infiammati,5.436751534363128
120,rampollo,5.436751534363128
121,consisteva,5.436751534363128
122,gusta,5.436751534363128
123,sonator,5.436751534363128
124,appigliarsi,5.436751534363128
125,soverchie,5.436751534363128
126,consigliandolo,5.436751534363128
127,insanguinata,5.436751534363128
128,intronati,5.436751534363128
129,disvia,5.436751534363128
130,tolerare,5.436751534363128
131,sapore,5.436751534363128
132,prologo,5.436751534363128
133,fermate,5.436751534363128
134,entrassero,5.436751534363128
135,restituire,5.436751534363128
136,ammazzarsi,5.436751534363128
137,recitatori,5.436751534363128
138,guazzesi,5.436751534363128
139,rinuovi,5.436751534363128
140,ammorbavano,5.436751534363128
141,trattenimenti,5.436751534363128
142,schizzetto,5.436751534363128
143,locazione,5.436751534363128
144,rimettete,5.436751534363128
145,filosofaccio,5.436751534363128
146,aggiuntosi,5.436751534363128
147,recitando,5.436751534363128
148,quistione,5.436751534363128
149,affrontati,5.436751534363128
150,ricoveri,5.436751534363128
151,valdarabrini,5.436751534363128
152,mallevador,5.436751534363128
153,imbracciate,5.436751534363128
154,anghiani,5.436751534363128
155,tornarsi,5.436751534363128
156,coltellate,5.436751534363128
157,stracurando,5.436751534363128
158,perdè,5.436751534363128
159,sporcherie,5.436751534363128
160,fuora,5.391823020875854
161,conoscere,5.281352587368156
162,deliberò,5.2667823069131865
163,olio,5.206348680751905
164,durò,5.149101306867319
165,partirsi,5.149101306867319
166,frutto,5.092759552933927
167,matteo,5.037961604557698
168,studiare,5.037961604557698
169,andar,5.037961604557698
170,apparato,5.037961604557698
171,risolvendosi,5.0312864262549635
172,murello,5.0312864262549635
173,stimolava,5.0312864262549635
174,traditori,5.0312864262549635
175,infermatosi,5.0312864262549635
176,raffreddò,5.0312864262549635
177,conventuale,5.0312864262549635
178,cacciar,5.0312864262549635
179,godono,5.0312864262549635
180,morivano,5.0312864262549635
181,costumati,5.0312864262549635
182,alloggiando,5.0312864262549635
183,scolare,5.0312864262549635
184,quarantadue,5.0312864262549635
185,colti,5.0312864262549635
186,amalando,5.0312864262549635
187,sicure,5.0312864262549635
188,sporco,5.0312864262549635
189,astretto,5.0312864262549635
190,praticavano,5.0312864262549635
191,crediate,5.0312864262549635
192,tempia,5.0312864262549635
193,1552,5.0312864262549635
194,correvano,5.0312864262549635
195,pentiva,5.0312864262549635
196,servente,5.0312864262549635
197,attendere,4.984625110393376
198,conoscendo,4.984625110393376
