,term,score
0,mattaccio,54.36751534363128
1,soddoma,51.1247637886291
2,giovan,37.03713493780799
3,giovannantonio,32.62050920617877
4,siena,31.28818312043898
5,antonio,28.955349755977075
6,generale,19.10090933282643
7,fresco,17.892010809617215
8,pazzie,17.352556982780072
9,fortuna,17.276854410967616
10,dipinse,16.515702285800504
11,avea,15.166337682606514
12,oliveto,15.113884813673096
13,faceva,13.633003782736326
14,bastiano,13.188438493192486
15,man,13.040712356742468
16,sant,12.594904011394245
17,dio,12.524404187641899
18,destra,11.961145483198525
19,fanciulli,11.843492996147555
20,beccafumi,11.798022412760561
21,animali,11.61618112576377
22,testa,11.58213990239083
23,sanese,11.398755566065075
24,storia,11.362948108885915
25,perugino,11.190776818991477
26,monaco,10.93497619540522
27,spasso,10.93497619540522
28,ansano,10.873503068726256
29,lecco,10.873503068726256
30,padri,10.533564613826373
31,agostino,10.339076805952923
32,monte,10.331568553358851
33,tela,10.075923209115397
34,sanesi,10.071929978049877
35,palii,10.062572852509927
36,vettorio,10.062572852509927
37,postierla,10.062572852509927
38,disonesto,10.062572852509927
39,plebe,10.062572852509927
40,bertuccia,10.062572852509927
41,riuscirono,9.890056112600572
42,cappella,9.879798905395852
43,benedetto,9.855078157817008
44,compagnia,9.817576273475131
45,entrate,9.718580871080727
46,tenuta,9.648660827244198
47,figliuolo,9.574073460877221
48,palio,9.487208707606365
49,tramortita,9.487208707606365
50,teste,9.148371173609892
51,agostin,9.040921604977946
52,verzelli,9.040921604977946
53,corbo,9.040921604977946
54,correre,9.040921604977946
55,circolo,9.040921604977946
56,capricci,8.983213496981772
57,padre,8.742419282767003
58,duomo,8.677247801253174
59,olio,8.677247801253174
60,domenico,8.631304996163578
61,lodevoli,8.502185546756234
62,uomo,8.468399061767872
63,facendovi,8.393082614243607
64,gridare,8.36797713173552
65,elba,8.36797713173552
66,buon,8.362201599171469
67,monasterio,8.347389788354093
68,aria,8.31995298134245
69,volle,8.262809502224336
70,lodare,8.186103999782755
71,chigi,8.100914346486476
72,baie,8.100914346486476
73,cappa,8.100914346486476
74,suore,8.100914346486476
75,dipignere,8.040550689370164
76,quadri,7.986496108849089
77,avenire,7.865348275173708
78,sinistra,7.723651960300979
79,iacopo,7.6738943239424176
80,pennello,7.639139329400891
81,capitando,7.464006884249406
82,visitare,7.464006884249406
83,avendovi,7.464006884249406
84,voleva,7.303334486875615
85,portando,7.289984130270146
86,povero,7.176687289919116
87,vollono,7.1298987149230735
88,alza,7.1298987149230735
89,entrando,7.037127243014436
90,armato,7.037127243014436
91,riccio,6.981682770615629
92,operaio,6.981682770615629
93,gentiluomo,6.903771955301935
94,cavalli,6.903771955301935
95,gismondo,6.843697027641727
96,piccol,6.843697027641727
97,lavorare,6.838623900626587
98,braccio,6.79632766431904
99,quadro,6.748989833731028
100,dipigneva,6.714619985366585
101,rumore,6.714619985366585
102,tirate,6.714619985366585
103,bontà,6.702205674678263
104,canto,6.610247601779468
105,menato,6.593370741733715
106,lucrezia,6.593370741733715
107,isola,6.479053914053818
108,soleva,6.479053914053818
109,ritrasse,6.432440551496132
110,niuno,6.422744005076397
111,mostra,6.422744005076397
112,antica,6.367696589071807
113,tondi,6.313641072563772
114,mercatanti,6.268332882738164
115,abate,6.268332882738164
116,trovando,6.268332882738164
117,perduto,6.268332882738164
118,pratica,6.2622020938209495
119,farsi,6.26054234126557
120,specchio,6.170752554399301
121,barba,6.170752554399301
122,camera,6.157083813052061
123,migliori,6.0989141157399285
124,noia,6.077712523129515
125,vergogna,6.077712523129515
126,romana,6.077712523129515
127,ignude,6.077712523129515
128,tabernacolo,6.057074552249286
129,madre,5.960291965594622
130,portò,5.913046894690204
131,salire,5.903689769150256
132,mondo,5.828279521844669
133,refettorio,5.822045780109745
134,lucca,5.822045780109745
135,spada,5.822045780109745
136,averebbe,5.822045780109745
137,caterina,5.820731918689944
138,grand,5.743604353803183
139,giulio,5.7311730292409
140,volterra,5.668123697837489
141,piccoli,5.668123697837489
142,certe,5.644210418621144
143,femine,5.5953884094957385
144,miglia,5.525205769873199
145,raffaello,5.518317821324047
146,facciata,5.505234095266835
147,torno,5.457402666521837
148,cavallo,5.437231804160289
149,affaticassino,5.436751534363128
150,mammoni,5.436751534363128
151,meretrici,5.436751534363128
