,term,score
0,udine,72.52707815907087
1,pordenone,37.65589709280984
2,pellegrino,34.475830855059904
3,friuli,26.79119535350319
4,fresco,24.773553428700758
5,olio,19.089945162756983
6,daniello,18.224960325675365
7,bastianello,16.310254603089383
8,tiziano,15.426881385998252
9,pomponio,15.09385927876489
10,miglia,13.813014424682997
11,vito,13.561382407466919
12,ferrara,12.872753267168298
13,concorrenza,11.920583931189244
14,martire,11.64409156021949
15,antonio,11.58213990239083
16,emaus,10.873503068726256
17,licinio,10.873503068726256
18,ermacora,10.873503068726256
19,floriani,10.873503068726256
20,portigli,10.873503068726256
21,tribuna,10.414152761227648
22,vinegia,10.26554554146259
23,prencipe,10.071929978049877
24,pulpito,10.062572852509927
25,giuditta,10.062572852509927
26,iscorto,9.890056112600572
27,dipinse,9.634159666716961
28,quadri,9.583795330618905
29,canal,9.040921604977946
30,civitale,9.040921604977946
31,martino,9.034790816060731
32,siede,8.983213496981772
33,perino,8.983213496981772
34,fregio,8.871502837979708
35,vinezia,8.871502837979708
36,particularmente,8.855534653725385
37,lontano,8.714619985366586
38,giovan,8.714619985366586
39,atto,8.49026211876241
40,invenzioni,8.418188096751697
41,aria,8.31995298134245
42,colonna,8.277822817506618
43,terribili,8.100914346486476
44,tagliente,8.100914346486476
45,pier,8.087734531313782
46,sfondato,7.865348275173708
47,bellino,7.865348275173708
48,bellissime,7.7246561812625085
49,universale,7.723651960300979
50,pieno,7.700824382128429
51,oloferne,7.654627243858055
52,campagna,7.654627243858055
53,piacenza,7.464006884249406
54,dottore,7.464006884249406
55,castello,7.412930383628073
56,organo,7.3990112063802815
57,giganti,7.289984130270146
58,reffettorio,7.289984130270146
59,studio,7.192754163469649
60,valesse,7.1298987149230735
61,portegli,7.1298987149230735
62,fanciulli,7.106095797688534
63,natura,7.101842568053697
64,dilettò,7.037127243014436
65,manda,6.981682770615629
66,vergini,6.981682770615629
67,piedi,6.941798241002539
68,esser,6.9248329327991165
69,belle,6.9248329327991165
70,raro,6.903771955301935
71,facciata,6.881542619083544
72,naturali,6.776093112045548
73,didentro,6.714619985366585
74,rilievi,6.593370741733715
75,dotato,6.593370741733715
76,capella,6.520356178371234
77,lavorar,6.479053914053818
78,discepolo,6.476156833624894
79,paese,6.422744005076397
80,pare,6.2622020938209495
81,secca,6.170752554399301
82,ritornò,6.170752554399301
83,prospettiva,6.157083813052061
84,altare,6.059112792327256
85,dottori,5.988808997987848
86,patria,5.9806789067737505
87,rilievo,5.942031263126803
88,calcina,5.903689769150256
89,luoghi,5.865838483244025
90,imitò,5.822045780109745
91,fiero,5.822045780109745
92,grandi,5.754203330775719
93,cioè,5.754203330775719
94,facessero,5.743604353803183
95,discepoli,5.7311730292409
96,mediante,5.7311730292409
97,storia,5.681474054442957
98,cercò,5.668123697837489
99,prontezza,5.668123697837489
100,mettere,5.601656513645274
101,eccellentemente,5.5953884094957385
102,dall,5.574801066114312
103,faccia,5.5596977877210545
104,ombre,5.525205769873199
105,imitando,5.457402666521837
106,dipinti,5.457402666521837
107,cavallo,5.437231804160289
108,monverde,5.436751534363128
109,adornandole,5.436751534363128
110,ond,5.436751534363128
111,belgrado,5.436751534363128
112,vello,5.436751534363128
113,avvenute,5.436751534363128
114,pré,5.436751534363128
115,cambiò,5.436751534363128
116,difficilissime,5.436751534363128
117,sirena,5.436751534363128
118,fuoriuscito,5.436751534363128
119,canonicati,5.436751534363128
120,porne,5.436751534363128
121,giugner,5.436751534363128
122,amalteo,5.436751534363128
123,gensio,5.436751534363128
124,lucidissimi,5.436751534363128
125,marguando,5.436751534363128
126,maritime,5.436751534363128
127,addolcirla,5.436751534363128
128,serafico,5.436751534363128
129,guardanti,5.436751534363128
130,ristorandogli,5.436751534363128
