,term,score
0,sogliano,34.705113965560145
1,operaio,20.94504831184689
2,antonio,18.8209773413851
3,serristori,13.561382407466919
4,perino,11.977617995975695
5,croci,11.481940865787083
6,monache,11.190392084062232
7,reffettorio,10.93497619540522
8,molletti,10.873503068726256
9,sandrino,10.873503068726256
10,cappelle,10.783646041751709
11,pane,10.071929978049877
12,finì,9.983943577610939
13,osservanza,9.890056112600572
14,santi,9.519623595918418
15,nudo,9.116568784694273
16,genoa,9.040921604977946
17,calzolaio,9.040921604977946
18,piangono,8.983213496981772
19,miniato,8.855534653725385
20,sogliani,8.676278491390036
21,battista,8.49026211876241
22,caino,8.36797713173552
23,altar,8.040550689370164
24,crucifisso,8.011057319511927
25,quadri,7.986496108849089
26,ufficii,7.865348275173708
27,beccafumi,7.865348275173708
28,pittor,7.723651960300979
29,converso,7.654627243858055
30,abel,7.654627243858055
31,sacrifizio,7.289984130270146
32,umore,7.1298987149230735
33,tavole,7.092759552933927
34,compagnia,7.012554481053666
35,olio,6.941798241002539
36,fresco,6.881542619083544
37,ai,6.881542619083544
38,posta,6.844232428505903
39,noè,6.843697027641727
40,diede,6.838623900626587
41,quadro,6.748989833731028
42,cenacolo,6.479053914053818
43,ginocchioni,6.478820404112856
44,discepolo,6.476156833624894
45,pisani,6.370919471513266
46,frati,6.2622020938209495
47,martiri,6.170752554399301
48,ungheria,6.170752554399301
49,pisa,6.157083813052061
50,andava,6.106662458102919
51,teste,6.0989141157399285
52,domenico,5.754203330775719
53,lorenzo,5.717673396522629
54,putti,5.644210418621144
55,serve,5.5953884094957385
56,ultimamente,5.5953884094957385
57,dipinse,5.505234095266835
58,colorito,5.477500865156712
59,bravure,5.436751534363128
60,maninconici,5.436751534363128
61,pietose,5.436751534363128
62,tranquillò,5.436751534363128
63,lunghetto,5.436751534363128
64,trovatogli,5.436751534363128
65,interciso,5.436751534363128
66,venirne,5.436751534363128
67,gioanni,5.436751534363128
68,turpè,5.436751534363128
69,dovendovi,5.436751534363128
70,rinovar,5.436751534363128
71,raccetto,5.436751534363128
72,vinattieri,5.436751534363128
73,terrarossa,5.436751534363128
74,sopportava,5.436751534363128
75,positive,5.436751534363128
76,cinquantadue,5.436751534363128
77,arcadio,5.436751534363128
78,mesticati,5.436751534363128
79,crocetta,5.436751534363128
80,assidui,5.436751534363128
81,sinibaldo,5.436751534363128
