,term,score
0,ponte,16.555645635013235
1,capella,9.78053426755685
2,buffalmacco,8.36797713173552
3,antico,7.4769376655900635
4,fortuna,6.478820404112856
5,stefano,6.26054234126557
6,1307,5.436751534363128
7,goditore,5.436751534363128
8,ratenuti,5.436751534363128
9,suplisce,5.436751534363128
10,leterate,5.436751534363128
11,mccclxv,5.436751534363128
12,bonamico,5.436751534363128
13,confortar,5.436751534363128
14,lix,5.436751534363128
15,appio,5.436751534363128
16,fidarsene,5.436751534363128
17,cominciarebbono,5.436751534363128
18,faticando,5.436751534363128
19,strolago,5.436751534363128
20,ritegno,5.436751534363128
21,incommodi,5.436751534363128
22,sperandosi,5.436751534363128
23,trinita,5.2667823069131865
24,giustina,5.0312864262549635
25,dipignendovi,5.0312864262549635
26,assegnati,5.0312864262549635
27,sguazzato,5.0312864262549635
28,frequentavano,5.0312864262549635
29,1344,5.0312864262549635
30,manca,4.984625110393376
31,occide,4.743604353803183
32,stentando,4.743604353803183
33,1355,4.743604353803183
34,serrare,4.743604353803183
35,paulo,4.728065469967598
36,pieve,4.646472450305508
37,mal,4.55950222642603
38,stentare,4.520460802488973
39,scali,4.520460802488973
40,credito,4.5173954080303655
41,vive,4.3961461643974955
42,patrimonio,4.338139245695018
43,pie,4.338139245695018
44,ordinatamente,4.338139245695018
45,proverbio,4.338139245695018
46,avvenuto,4.338139245695018
47,allato,4.319213602741904
48,misera,4.18398856586776
49,bastasse,4.18398856586776
50,iustina,4.18398856586776
51,ossatura,4.18398856586776
52,miseramente,4.18398856586776
53,fresco,4.128925571450126
54,verissimo,4.050457173243238
55,sopravenendo,4.050457173243238
56,aiuta,4.050457173243238
57,1557,3.932674137586854
58,eredità,3.932674137586854
59,poveramente,3.932674137586854
60,carestia,3.932674137586854
61,immitò,3.932674137586854
62,umidità,3.932674137586854
63,guadagni,3.932674137586854
64,patito,3.932674137586854
65,venire,3.9110228900548725
66,umido,3.8273136219290276
67,dimorato,3.8273136219290276
68,muore,3.8273136219290276
69,onofrio,3.8273136219290276
70,empoli,3.8273136219290276
71,pila,3.8273136219290276
72,cieco,3.732003442124703
73,guaste,3.644992065135073
74,fortificare,3.644992065135073
75,acquerello,3.644992065135073
76,appena,3.644992065135073
77,roba,3.644992065135073
78,gettano,3.5649493574615367
79,entrava,3.5649493574615367
80,contentò,3.5649493574615367
81,tosto,3.520901724912104
82,apunto,3.4908413853078146
83,onesta,3.4908413853078146
84,cercato,3.4908413853078146
85,ripa,3.4908413853078146
86,virtuosamente,3.4908413853078146
87,diluvio,3.3573099926832923
88,uscì,3.3573099926832923
89,vogliono,3.3573099926832923
90,restava,3.3573099926832923
91,intitolata,3.2966853708668573
92,difetto,3.2966853708668573
93,coscia,3.2966853708668573
94,discepolo,3.238078416812447
95,consumato,3.185459735756633
96,vennero,3.0853762771996505
97,piaceri,3.0853762771996505
98,pensato,3.0853762771996505
99,assunta,3.0853762771996505
100,degli,3.069557729576967
101,mandate,3.0388562615647574
102,noia,3.0388562615647574
103,principio,3.0098518032776047
104,guasta,2.994404498993924
105,dov,2.994404498993924
106,accanto,2.994404498993924
107,meriti,2.951844884575128
108,desiderava,2.951844884575128
109,fuori,2.9141397609223345
110,duca,2.9141397609223345
111,averebbe,2.9110228900548725
112,portata,2.8718021769015913
113,dargli,2.8718021769015913
114,cappella,2.8227996872559578
115,vivuto,2.7976942047478692
116,particolarmente,2.787400533057156
117,serpente,2.7626028849365993
118,cercare,2.7626028849365993
119,dipinse,2.7526170476334175
120,guardaroba,2.7287013332609185
121,arno,2.664162812123347
122,rimaso,2.664162812123347
123,governo,2.664162812123347
124,cotali,2.6333911534565932
125,petto,2.6333911534565932
126,fiume,2.6333911534565932
127,vecchiezza,2.603538190306912
128,chiese,2.5745506534336595
129,contrario,2.5463797764669636
130,ché,2.5463797764669636
