,term,score
0,stucchi,32.839927134067366
1,udine,29.670168337801716
2,animali,25.55559847668029
3,grottesche,24.863425964429393
4,raffaello,23.91271055907087
5,avea,18.95792210325814
6,stucco,18.649139684863428
7,sorti,18.021854574035615
8,leone,17.584584657589982
9,uccelli,17.109242569104318
10,loggia,16.836376193503394
11,festoni,15.670832206845411
12,fregiature,15.426881385998252
13,calcina,14.75922442287564
14,pozzolana,14.230813061409549
15,canonicato,14.230813061409549
16,logge,13.813014424682997
17,quest,13.497979667462056
18,varii,13.071929978049878
19,sant,12.594904011394245
20,pontefice,12.416734226259926
21,bianco,12.205096304045684
22,antiche,11.920583931189244
23,fiori,11.64409156021949
24,cardinale,11.41062331214966
25,stendardi,11.196010326374108
26,fogliami,11.050411539746397
27,parti,11.032152763257729
28,trevertino,10.93497619540522
29,sala,10.874463608320578
30,pestare,10.873503068726256
31,scoppio,10.873503068726256
32,ucellare,10.873503068726256
33,stanze,10.704573341793996
34,frutte,10.26554554146259
35,camera,10.261806355086769
36,fiandra,10.071929978049877
37,ruine,10.062572852509927
38,fante,10.062572852509927
39,pensione,10.062572852509927
40,zucca,10.062572852509927
41,musicali,10.062572852509927
42,bellissimi,9.915371402669201
43,stagioni,9.487208707606365
44,nani,9.487208707606365
45,biade,9.487208707606365
46,putti,9.407017364368572
47,ottimamente,9.402499324107247
48,varie,9.197196368873412
49,civitale,9.040921604977946
50,ritrovate,9.040921604977946
51,cacciare,9.040921604977946
52,stentata,9.040921604977946
53,ornamenti,9.029555409832813
54,spartimenti,8.983213496981772
55,medici,8.971018360160626
56,eccellenza,8.865949441167409
57,nuovo,8.80225431228026
58,vigna,8.733068670164617
59,stanza,8.714619985366586
60,stata,8.686604926793123
61,terme,8.676278491390036
62,uberto,8.676278491390036
63,scaglie,8.676278491390036
64,castiglioni,8.676278491390036
65,certi,8.576510094783945
66,giorgio,8.4954095803988
67,paesi,8.347389788354093
68,singolare,8.287808654809798
69,dipinse,8.257851142900252
