,term,score
0,genga,76.95868629162152
1,duca,72.85349402305836
2,urbino,55.18843768377524
3,marino,40.0949127164858
4,bartolomeo,40.055286597559636
5,giovambatista,35.634796527296
6,girolamo,32.384976743461365
7,pesero,30.61850897543222
8,fortificazioni,25.483677886053066
9,pesaro,23.718021769015913
10,mastro,20.9199428293388
11,eccellenza,19.5050887705683
12,padre,18.941908445995175
13,modello,18.940923217691317
14,architettura,17.731898882334818
15,rarissimo,16.483426854334287
16,commedie,16.310254603089383
17,cavalieri,15.927298678783167
18,corte,14.986402678511592
19,imperiale,14.928013768498811
20,furlì,14.579968260540292
21,fortificazione,14.579968260540292
22,andò,14.570698804611673
23,signor,14.37569299592836
24,marchese,14.359010884507956
25,apparati,13.963365541231259
26,architetto,13.67850667927809
27,scene,13.014417737085054
28,mantova,12.958107828107636
29,cappella,12.70259859265181
30,forlì,12.151371519729715
31,pandolfo,11.798022412760561
32,fortezze,11.798022412760561
33,siena,11.733068670164617
34,stette,11.4623460584818
35,restaurare,11.196010326374108
36,lana,10.93497619540522
37,fortificare,10.93497619540522
38,sinigaglia,10.873503068726256
39,solaro,10.873503068726256
40,genghi,10.873503068726256
41,riportò,10.69484807238461
42,fortezza,10.656651248493388
43,duomo,10.41269736150381
44,vescovado,10.075923209115397
45,bellucci,10.062572852509927
46,archibusata,10.062572852509927
47,messo,9.983943577610939
48,partitosi,9.890056112600572
49,servì,9.764077043236547
50,veduto,9.519623595918418
51,ingegno,9.514498633201862
52,sé,9.514498633201862
53,successo,9.487208707606365
54,1558,9.487208707606365
55,baluardi,9.487208707606365
56,moglie,9.407017364368572
57,adoperato,9.382836324019248
58,seguitò,9.205029273735914
59,repubblica,9.040921604977946
60,malta,9.040921604977946
61,baluardo,9.040921604977946
62,onore,8.971018360160626
63,tornò,8.865949441167409
64,dire,8.8556301885933
65,miniato,8.855534653725385
66,figliuoli,8.80225431228026
67,illustrissimo,8.733068670164617
68,bello,8.686604926793123
69,signore,8.677247801253174
70,immitando,8.676278491390036
71,levarlo,8.676278491390036
72,concedere,8.676278491390036
73,tenerlo,8.36797713173552
74,cognato,8.36797713173552
75,discorsi,8.36797713173552
76,dispiacere,8.287808654809798
77,intesa,8.287808654809798
78,portato,8.277822817506618
79,volle,8.262809502224336
80,generale,8.186103999782755
81,mandato,8.142216610803892
82,appartenenti,8.100914346486476
83,portava,7.99248843637004
84,insegnò,7.99248843637004
85,mantovano,7.865348275173708
86,figliuola,7.810614570920736
87,stare,7.760975891586591
88,andato,7.700824382128429
89,settembre,7.654627243858055
90,guidobaldo,7.654627243858055
91,farli,7.654627243858055
92,onoratissimi,7.654627243858055
93,luglio,7.654627243858055
94,guarito,7.464006884249406
95,belli,7.412930383628073
96,giovambattista,7.289984130270146
