,term,score
0,giuliano,30.50116994878305
1,polito,21.747006137452512
2,tarsia,18.97441741521273
3,re,16.99424359877752
4,tarsie,13.014417737085054
5,benedetto,11.826093789380408
6,alfonso,11.807379538300513
7,essercizio,11.798022412760561
8,poggio,11.336247395674977
9,reale,10.69484807238461
10,napoli,10.612827648453012
11,marmo,10.534481311471616
12,maiano,10.472524155923445
13,modanino,10.062572852509927
14,lavorar,9.718580871080727
15,cupola,9.256128831598952
16,scultura,7.583168841303257
17,cortile,6.839253339639045
18,lasciano,6.593370741733715
19,andò,5.828279521844669
20,castello,5.5596977877210545
21,dirà,5.5596977877210545
22,logge,5.525205769873199
23,fiesole,5.457402666521837
24,fuggendosene,5.436751534363128
25,incrostò,5.436751534363128
26,servellino,5.436751534363128
27,esercitargli,5.436751534363128
28,1447,5.436751534363128
29,adagiasse,5.436751534363128
30,contraforti,5.436751534363128
31,improvisamente,5.436751534363128
32,ombrati,5.436751534363128
33,volgergli,5.436751534363128
34,capovana,5.436751534363128
35,apportava,5.436751534363128
36,cornice,5.328325624246694
37,architettura,5.319569664700445
38,nipote,5.149101306867319
39,attendendo,5.037961604557698
40,rosello,5.0312864262549635
41,ritrovino,5.0312864262549635
42,squadratore,5.0312864262549635
43,rimunerandolo,5.0312864262549635
44,sodiacono,5.0312864262549635
45,soffistico,5.0312864262549635
46,cordone,5.0312864262549635
47,selvatica,5.0312864262549635
48,scola,5.0312864262549635
49,donzello,5.0312864262549635
50,sculpite,5.0312864262549635
51,traportato,5.0312864262549635
52,incominciate,5.0312864262549635
53,opposito,5.0312864262549635
54,pilastri,4.78445819327941
55,altamente,4.743604353803183
56,allentato,4.743604353803183
57,conseguenza,4.743604353803183
58,vigne,4.743604353803183
59,bruno,4.743604353803183
60,acquistatosi,4.743604353803183
61,avviamento,4.743604353803183
62,accompagnarono,4.743604353803183
63,dorati,4.743604353803183
64,70,4.520460802488973
65,instinto,4.520460802488973
66,trevertini,4.520460802488973
67,tenendola,4.520460802488973
68,ritornarono,4.520460802488973
69,attender,4.520460802488973
70,faticoso,4.520460802488973
71,armarii,4.520460802488973
72,diacono,4.520460802488973
73,operano,4.520460802488973
74,50,4.520460802488973
75,pietre,4.5173954080303655
76,fregio,4.435751418989854
77,chiamato,4.42781509429665
78,canali,4.338139245695018
79,macine,4.338139245695018
80,rifondò,4.338139245695018
81,cervelliera,4.338139245695018
82,notaio,4.18398856586776
83,ballatoio,4.18398856586776
84,colosseo,4.18398856586776
85,scarpellare,4.18398856586776
86,legnaiuoli,4.18398856586776
87,discendenti,4.18398856586776
88,datario,4.18398856586776
89,tinti,4.18398856586776
90,diede,4.103174340375952
91,piazze,4.050457173243238
92,spalliera,4.050457173243238
93,domani,4.050457173243238
94,corinzio,4.050457173243238
95,rimessi,4.050457173243238
96,grammatica,4.050457173243238
97,benedizzione,4.050457173243238
98,sagrestia,4.038049701499524
99,calavria,3.932674137586854
100,modena,3.932674137586854
101,manifestamente,3.932674137586854
102,seguitano,3.932674137586854
103,fornita,3.932674137586854
104,sta,3.9110228900548725
105,coro,3.9110228900548725
106,andato,3.8504121910642146
107,frontespizii,3.8273136219290276
108,vicine,3.8273136219290276
109,servendosi,3.732003442124703
110,gostantino,3.732003442124703
111,cavati,3.732003442124703
112,voglia,3.6516672434378075
113,uffizii,3.644992065135073
114,canta,3.644992065135073
115,trevertino,3.644992065135073
116,rimunerato,3.644992065135073
117,prelati,3.644992065135073
118,arco,3.598330749273485
119,dice,3.572186586138779
120,nostri,3.572186586138779
121,premii,3.5649493574615367
122,sogliono,3.5649493574615367
123,inginocchioni,3.5649493574615367
124,cercar,3.5649493574615367
125,sacerdote,3.5649493574615367
126,onoratissimo,3.5649493574615367
127,legnaiuolo,3.5649493574615367
128,insegnato,3.5649493574615367
129,voltò,3.5649493574615367
130,rimase,3.520901724912104
131,gusto,3.4908413853078146
132,bianchi,3.4908413853078146
133,banchi,3.4908413853078146
134,ricche,3.4908413853078146
135,fontane,3.4908413853078146
136,concorrente,3.4908413853078146
137,fonti,3.4908413853078146
138,agl,3.4463589353176407
139,rispondono,3.4218485138208634
140,morisse,3.4218485138208634
141,cotta,3.4218485138208634
142,vestire,3.4218485138208634
143,variati,3.4218485138208634
144,nessuna,3.4218485138208634
145,adornò,3.3573099926832923
146,mariotto,3.3573099926832923
147,ottanta,3.3573099926832923
148,sedia,3.3573099926832923
149,legni,3.3573099926832923
150,arti,3.3511028373391314
151,marco,3.3279811925369795
152,canto,3.305123800889734
153,reliquie,3.2966853708668573
154,segretario,3.239526957026909
155,essequie,3.239526957026909
156,stupenda,3.239526957026909
157,brunellesco,3.239526957026909
158,trionfale,3.239526957026909
159,portasse,3.239526957026909
160,basso,3.238078416812447
161,eccellenti,3.216220275748066
162,famosi,3.185459735756633
163,trofei,3.185459735756633
164,pisani,3.185459735756633
165,fondamenti,3.185459735756633
166,mirabili,3.185459735756633
167,cantonate,3.185459735756633
168,palchi,3.185459735756633
169,giusto,3.134166441369082
170,sulle,3.134166441369082
171,pisano,3.134166441369082
172,fregiature,3.0853762771996505
173,ii,3.0853762771996505
174,profitto,3.0853762771996505
175,loreto,3.0853762771996505
176,lavoro,3.0494570578699642
177,guido,3.0388562615647574
178,vittorie,3.0388562615647574
179,venivano,3.0388562615647574
180,salute,2.994404498993924
181,architrave,2.994404498993924
182,rovinata,2.994404498993924
183,aver,2.9903394533868752
184,disegni,2.9518767295311004
185,lungamente,2.951844884575128
186,qualche,2.9329192416220127
187,padre,2.9141397609223345
188,chiaramente,2.9110228900548725
189,guadagno,2.9110228900548725
190,vengono,2.9110228900548725
191,zio,2.9110228900548725
192,capricciose,2.8718021769015913
193,ingegnoso,2.8718021769015913
194,grand,2.8718021769015913
195,standosi,2.8718021769015913
196,servizio,2.8718021769015913
197,messi,2.8718021769015913
198,natura,2.8407370272214787
199,grandissimi,2.8340618489187444
200,fanciullezza,2.8340618489187444
201,errore,2.8340618489187444
202,condusse,2.8227996872559578
203,vivuto,2.7976942047478692
204,piombo,2.7976942047478692
205,metter,2.7976942047478692
206,belle,2.7699331731196466
207,ordini,2.7626028849365993
208,vicina,2.7626028849365993
209,imperfetto,2.7626028849365993
210,intaglio,2.695911510437927
211,operai,2.695911510437927
212,minore,2.664162812123347
213,insegnò,2.664162812123347
214,vivacità,2.664162812123347
215,colorite,2.664162812123347
