,term,score
0,giuliano,159.0418147329402
1,antonio,36.19418719497134
2,lorenzo,34.30604037913578
3,modello,29.46365833863094
4,savona,27.18375767181564
5,soderini,25.51494445594551
6,gallo,23.23236225152754
7,fabbrica,20.102615238311138
8,magnifico,19.710156315634016
9,pisani,19.112758414539798
10,medici,17.94203672032125
11,cardinale,17.930979490520894
12,duca,17.484838565534005
13,poggio,17.004371093512468
14,pisa,16.41889016813883
15,francione,16.310254603089383
16,tirarla,16.310254603089383
17,bramante,15.927298678783167
18,castellina,15.09385927876489
19,licenza,14.359010884507956
20,tornò,14.185519105867854
21,servitù,13.479557552189636
22,componimento,13.320814060616735
23,fratello,12.876074916422777
24,napoli,12.735393178143614
25,raccolto,12.55196569760328
26,rovere,12.55196569760328
27,vincola,12.55196569760328
28,re,12.359449890020013
29,fabricare,12.15542504625903
30,artiglieria,11.798022412760561
31,calavria,11.798022412760561
32,giulio,11.4623460584818
33,attendeva,11.050411539746397
34,voleva,10.955001730313423
35,capace,10.93497619540522
36,fortificazione,10.93497619540522
37,procacciate,10.873503068726256
38,celerità,10.873503068726256
39,cedite,10.873503068726256
40,partì,10.79803400685476
41,mandò,10.716559758416338
42,corte,10.704573341793996
43,fosse,10.656651248493388
44,fortezza,10.656651248493388
45,nuovo,10.562705174736312
46,tal,10.434237235442616
47,tale,10.434237235442616
48,santità,10.298202613734638
49,fabbriche,10.26554554146259
50,rivedere,10.071929978049877
51,giamberti,10.062572852509927
52,cura,9.933819942657703
53,volendo,9.933819942657703
54,opra,9.890056112600572
55,mise,9.648660827244198
56,fortificazioni,9.556379207269899
57,casato,9.487208707606365
58,salvo,9.402499324107247
59,vario,9.116568784694273
60,dominio,9.116568784694273
61,valentino,9.040921604977946
62,michelagnolo,8.995826873183713
63,meno,8.913046894690204
64,venuta,8.871502837979708
65,architettura,8.865949441167409
66,monte,8.8556301885933
67,piede,8.855534653725385
68,caro,8.855534653725385
69,andò,8.742419282767003
70,necessarie,8.676278491390036
71,allegrezza,8.615406530704774
72,fabrica,8.563658673435196
73,dimorò,8.502185546756234
74,legno,8.49026211876241
75,cammino,8.36797713173552
76,continuò,8.36797713173552
77,intanto,8.347389788354093
78,presente,8.209445084069415
79,intagli,8.186103999782755
80,mandato,8.142216610803892
81,rocca,8.100914346486476
82,deliberò,7.90017346036978
83,architetti,7.90017346036978
84,avignone,7.865348275173708
85,rese,7.865348275173708
86,castellano,7.865348275173708
87,bonissimi,7.865348275173708
88,franzesi,7.865348275173708
89,capitello,7.865348275173708
90,impresa,7.810614570920736
91,voluta,7.654627243858055
92,chiedere,7.654627243858055
93,ostia,7.654627243858055
94,prato,7.556942406836548
95,eglino,7.4769376655900635
96,argento,7.4769376655900635
97,licenzia,7.464006884249406
