,term,score
0,guglielmo,50.359649890249386
1,vetri,45.92776346314833
2,vetro,42.85690982126914
3,finestra,27.976942047478694
4,fenestre,25.15643213127482
5,priore,22.97441741521273
6,finestre,22.391095679710702
7,arezzo,21.17726705085318
8,colore,21.067129227652746
9,cortona,19.338220194556197
10,claudio,18.081843209955892
11,franzese,15.30925448771611
12,cappella,14.11399843627979
13,occhio,14.074254486028872
14,religione,13.813014424682997
15,ferro,13.479557552189636
16,fuoco,12.845488010152794
17,stagio,11.798022412760561
18,abbia,11.293488520075915
19,fa,10.87371272365927
20,scaglia,10.873503068726256
21,fenestra,10.873503068726256
22,trarlo,10.873503068726256
23,marcilla,10.873503068726256
24,rame,10.656651248493388
25,aretini,10.472524155923445
26,aretino,10.434237235442616
27,pastorino,10.062572852509927
28,spadari,10.062572852509927
29,piombi,10.062572852509927
30,cardinale,9.78053426755685
31,francia,9.701219864483239
32,talmente,9.56891638655882
33,bramante,9.556379207269899
34,nido,9.040921604977946
35,rosso,8.792292328794991
36,olio,8.677247801253174
37,fabiano,8.676278491390036
38,beneficio,8.676278491390036
39,domenico,8.631304996163578
40,infinite,8.418188096751697
41,giallo,8.36797713173552
42,valor,8.36797713173552
43,tal,8.347389788354093
44,unite,8.100914346486476
45,operai,8.087734531313782
46,maestria,7.865348275173708
47,vivissime,7.865348275173708
48,seco,7.822045780109745
49,mestiero,7.810614570920736
50,maravigliose,7.810614570920736
51,infiniti,7.760975891586591
52,viene,7.723651960300979
53,fossero,7.654627243858055
54,migliorò,7.654627243858055
55,bianco,7.32305778242741
56,venissero,7.289984130270146
57,condusse,7.056999218139895
58,nuovo,7.041803449824208
59,azzurro,6.981682770615629
60,colori,6.610247601779468
61,verde,6.593370741733715
62,nazione,6.479053914053818
63,pelle,6.370919471513266
64,continuando,6.268332882738164
65,bianca,6.268332882738164
66,frati,6.2622020938209495
67,paesi,6.26054234126557
68,volse,6.170752554399301
69,medico,6.170752554399301
70,lingua,6.170752554399301
71,lode,6.019703606555209
72,vuol,5.988808997987848
73,meno,5.942031263126803
74,dire,5.903753459062201
75,prese,5.866534335082308
76,acqua,5.866534335082308
77,luoghi,5.865838483244025
78,primi,5.820731918689944
79,dentrovi,5.7311730292409
80,laonde,5.687376630977443
