,term,score
0,gentile,77.3224527430005
1,doge,52.36262077961722
2,vinezia,26.614508513939125
3,vivarino,25.15643213127482
4,galee,25.10393139520656
5,barbarossa,20.9199428293388
6,ottone,20.125145705019854
7,bellini,19.66337068793427
8,gentiluomini,17.904627334499573
9,storia,17.04442216332887
10,maumetto,16.310254603089383
11,viniziani,15.927298678783167
12,imperatore,15.52512996646449
13,tela,15.113884813673096
14,sucessori,15.09385927876489
15,ritratti,14.873057104003804
16,sala,14.499284811094103
17,pontificale,14.259797429846147
18,licenziato,14.230813061409549
19,iacopo,13.813009783096351
20,senatori,13.014417737085054
21,ritrasse,12.864881102992264
22,prospettiva,12.314167626104123
23,sé,12.232926814116679
24,presentato,11.798022412760561
25,marco,11.647934173879428
26,scuola,11.487208707606365
27,federigo,11.050411539746397
28,fratello,11.036635642648093
29,dipinse,11.01046819053367
30,imagini,10.93497619540522
31,ritirarono,10.873503068726256
32,roccetto,10.873503068726256
33,dietro,10.673099702544874
34,figliuoli,10.562705174736312
35,principio,10.534481311471616
36,sedia,10.071929978049877
37,gostantinopoli,10.062572852509927
38,passò,9.626030477660537
39,dona,9.487208707606365
40,lena,9.487208707606365
41,reverenza,9.402499324107247
42,tiziano,9.256128831598952
43,illustri,9.256128831598952
44,fabriano,9.040921604977946
45,aver,8.971018360160626
46,soldati,8.952313667249786
47,alquanto,8.952313667249786
48,loredano,8.676278491390036
49,imperator,8.676278491390036
50,rallegrandosi,8.676278491390036
51,domenico,8.631304996163578
52,croce,8.415065377264398
53,clero,8.36797713173552
54,iobbe,8.36797713173552
55,ultima,8.347389788354093
56,dipignere,8.040550689370164
57,riceve,7.99248843637004
58,miracolo,7.90017346036978
59,paglia,7.865348275173708
60,combattono,7.865348275173708
61,bellino,7.865348275173708
62,canale,7.865348275173708
63,ciascuno,7.760975891586591
64,memoria,7.6738943239424176
65,viniziano,7.556942406836548
66,guardiano,7.464006884249406
67,senato,7.464006884249406
68,scalee,7.464006884249406
69,sonetto,7.464006884249406
70,cornaro,7.464006884249406
71,guerra,7.32305778242741
72,padre,7.285349402305837
73,legname,7.248979944656297
74,acciò,7.144373172277558
75,seguita,6.981682770615629
76,venezia,6.843697027641727
77,numero,6.748989833731028
78,quantità,6.714619985366585
79,prencipe,6.714619985366585
80,signoria,6.594219246596243
81,sedere,6.535964989024939
82,ginocchioni,6.478820404112856
83,eterna,6.370919471513266
84,usanza,6.370919471513266
85,ravenna,6.370919471513266
86,circondato,6.370919471513266
87,monasterio,6.26054234126557
88,bellissime,6.1797249450100065
89,eccellentissimo,6.106662458102919
90,bartolomeo,6.008292989633945
91,volentieri,6.008292989633945
92,casamento,5.988808997987848
93,celebrato,5.988808997987848
94,collo,5.913046894690204
95,piacquero,5.903689769150256
96,battaglia,5.903689769150256
97,acqua,5.866534335082308
98,averebbe,5.822045780109745
99,vivamente,5.822045780109745
100,imitò,5.822045780109745
101,processione,5.822045780109745
102,caterina,5.820731918689944
103,infiniti,5.820731918689944
104,bello,5.791069951195415
105,otto,5.7756182865963215
106,accompagnato,5.743604353803183
107,età,5.717673396522629
108,morto,5.717673396522629
109,lungo,5.687376630977443
