,term,score
0,sansovino,168.53703382122197
1,marmo,72.2364432786625
2,vinezia,59.88264415636303
3,statua,43.72388905024559
4,danese,40.50457173243238
5,iacopo,38.36947161971209
6,marco,38.271783714175264
7,piedi,36.44444076526333
8,bronzo,34.604420595916544
9,padova,31.854597357566334
10,statue,31.302711706327848
11,modello,29.46365833863094
12,colonne,29.215864259239325
13,palladio,26.02883547417011
14,signor,25.556787548317082
15,quattro,23.922715627095002
16,vicenza,23.596044825521123
17,spesa,22.17875709494927
18,scultore,22.073271285296187
19,alte,21.939165089583575
20,atrio,21.747006137452512
21,ignudo,20.711315865905807
22,bacco,20.143859956099753
23,amannato,19.66337068793427
24,corinto,19.66337068793427
25,campanile,19.437161742161454
26,buonarruoto,19.13656810964514
27,pietra,19.10391009746967
28,iulio,18.660017210623515
29,dieci,17.904627334499573
30,scale,17.904627334499573
31,rilievo,17.82609378938041
32,libreria,17.71106930745077
33,vigna,17.466137340329233
34,conte,17.446187886376816
35,bello,17.373209853586246
36,pippo,17.352556982780072
37,fabbrica,17.23081306140955
38,fabrica,17.12731734687039
39,dovesse,17.12731734687039
40,scultura,17.06212989293233
41,bellissime,16.99424359877752
42,camino,16.483426854334287
43,pure,16.446866993627815
44,fie,16.310254603089383
45,concorrenzia,16.310254603089383
46,cardinale,16.300890445928083
47,vicentino,16.201828692972953
48,giovane,16.08110137874033
49,ordinato,15.958257792491105
50,architetto,15.958257792491105
51,bramante,15.927298678783167
52,tiene,15.894111908252325
53,grandi,15.824059159633228
54,cappella,15.525398279907767
55,anch,15.386511575391234
56,andrea,15.247285289349822
57,bellissimo,15.234632452158056
58,belle,15.234632452158056
59,vasari,15.117247609596664
60,piazza,15.07996276802609
61,braccia,15.07996276802609
62,figura,15.049259016388024
63,ornamenti,15.049259016388024
64,legno,14.857958707834216
65,delli,14.579968260540292
66,grimani,14.579968260540292
67,diligenzia,14.555114450274363
68,modelli,14.497959889312593
69,antonio,14.477674877988537
70,angiolo,14.230813061409549
71,luigi,13.813014424682997
72,facciata,13.763085238167088
73,maggiori,13.688580115192053
74,generale,13.643506666304592
75,fa,13.592140904574087
76,stucco,13.320814060616735
77,cornice,13.320814060616735
78,leone,13.188438493192486
79,armata,13.18674148346743
80,fiume,13.166955767282966
81,comodi,13.014417737085054
82,nazione,12.958107828107636
83,discepolo,12.952313667249788
84,facesse,12.946957494245368
85,comodità,12.741838943026533
86,capitegli,12.741838943026533
87,grandissima,12.622598065896598
88,pietro,12.594157622457196
89,alto,12.502653051485726
90,tonde,12.331685343967136
91,principe,12.331685343967136
92,ca,12.151371519729715
93,comoda,12.151371519729715
94,faceva,12.118225584654512
95,vittoria,11.977617995975695
96,signori,11.97740674988533
97,parimente,11.961357813547501
98,villa,11.843492996147555
99,fabriche,11.843492996147555
100,baccio,11.728545405024061
101,aria,11.647934173879428
102,panno,11.64409156021949
103,gallo,11.61618112576377
104,cioè,11.508406661551438
105,batista,11.506286592169893
106,servizio,11.487208707606365
107,cortile,11.398755566065075
108,gaddi,11.336247395674977
109,abbia,11.293488520075915
110,scudi,11.293488520075915
111,marcantonio,11.196010326374108
112,nettunno,11.196010326374108
113,cornaro,11.196010326374108
114,altoviti,11.196010326374108
115,bindo,11.196010326374108
116,salvadore,11.196010326374108
117,sebastiano,11.190776818991477
118,apostoli,11.036635642648093
119,simile,11.032152763257729
120,piè,10.99036541099374
121,frati,10.958853664186663
122,fondare,10.93497619540522
123,giovanfrancesco,10.93497619540522
124,dico,10.874463608320578
125,ingegno,10.87371272365927
126,fregosa,10.873503068726256
127,fregoso,10.873503068726256
128,valmorana,10.873503068726256
129,centocinquantamila,10.873503068726256
130,investitura,10.873503068726256
131,peristilio,10.873503068726256
132,grappol,10.873503068726256
133,arco,10.794992247820455
134,graziose,10.783646041751709
135,mostra,10.704573341793996
136,architettura,10.63913932940089
137,cominciò,10.562705174736312
138,attitudine,10.533564613826373
139,loggia,10.522735120939622
140,consiglio,10.522735120939622
141,archi,10.434237235442616
142,cominciato,10.434237235442616
143,tribuna,10.414152761227648
144,posta,10.266348642758853
145,dorico,10.26554554146259
146,stata,10.134372414591976
147,quest,10.123484750596543
148,maestà,10.075923209115397
149,condotto,10.06985582885751
150,scalini,10.062572852509927
151,principiato,10.062572852509927
152,clarissimo,10.062572852509927
153,concorrendo,10.062572852509927
154,giudecca,10.062572852509927
155,cataneo,10.062572852509927
156,quaranta,9.890056112600572
157,gambe,9.865348275173709
158,studii,9.865348275173709
159,dirò,9.865348275173709
160,magnifico,9.855078157817008
161,condotte,9.855078157817008
162,dato,9.817576273475131
163,compagnia,9.817576273475131
164,favellato,9.718580871080727
165,materia,9.718580871080727
166,trionfale,9.718580871080727
167,stare,9.701219864483239
168,tenuta,9.648660827244198
169,giovanbatista,9.556379207269899
170,viniziani,9.556379207269899
171,ricchi,9.556379207269899
172,giornalmente,9.556379207269899
173,là,9.519623595918418
174,movenzia,9.487208707606365
175,giustiniano,9.487208707606365
176,ferita,9.487208707606365
177,quei,9.474794396918044
178,parti,9.456130939935196
179,putti,9.407017364368572
180,contado,9.402499324107247
181,reverendissimo,9.402499324107247
182,mercurio,9.256128831598952
183,crocifisso,9.256128831598952
184,tiziano,9.256128831598952
185,memoria,9.2086731887309
186,partito,9.205029273735914
187,panni,9.197196368873412
188,fin,9.116568784694273
189,magnificenza,9.116568784694273
190,punto,9.062053006933814
