,term,score
0,iacopo,187.24302150419499
1,puntormo,126.50042736518567
2,bronzino,71.269593054592
3,carro,50.96735577210613
4,quadro,43.868433919251686
5,tedesca,35.64949357461537
6,andrea,33.54402763656961
7,avea,32.22846757553884
8,bettino,30.18771855752978
9,sarto,29.110228900548726
10,quest,28.68320679335687
11,duca,27.684327728762177
12,cartoni,27.415438107163567
13,broncone,27.18375767181564
14,putti,26.339648620232005
15,fresco,26.149861952517465
16,pierfrancesco,25.91621565621527
17,servi,25.915281616451423
18,oro,25.4862287411964
19,tu,24.558311999348266
20,io,24.455364155796808
21,staffieri,23.718021769015913
22,torce,23.596044825521123
23,certosa,23.076797596068
24,medici,22.427545900401565
25,coppie,21.69069622847509
26,solitudine,21.69069622847509
27,careggi,21.69069622847509
28,teste,21.34619940508975
29,stava,21.225655296906023
30,sei,20.853714313583957
31,ottaviano,20.828305522455295
32,alessandro,20.19024850749762
33,brigida,20.125145705019854
34,cosimo,19.967887155221877
35,michelagnolo,19.790819121004166
36,turata,19.66337068793427
37,alberto,19.437161742161454
38,niuno,19.26823201522919
39,ioseffo,19.13656810964514
40,borgherini,19.13656810964514
41,vestiti,19.10090933282643
42,cartone,19.10090933282643
43,morti,18.410058547471827
44,voleva,18.258336217189036
45,colorito,18.258336217189036
46,giovambattista,18.224960325675365
47,bellissimo,18.004565625277703
48,arme,17.731898882334818
49,nudi,17.71106930745077
50,sé,17.669783175946314
51,leone,17.584584657589982
52,diamante,17.352556982780072
53,rappresentava,17.352556982780072
54,cioè,17.262609992327157
55,ignudi,17.08713482566396
56,storia,17.04442216332887
57,muratore,16.73595426347104
58,monna,16.73595426347104
59,rossino,16.310254603089383
60,ordinò,16.108801229037848
61,dipignere,16.08110137874033
62,ritrasse,16.08110137874033
63,bartolomeo,16.022114639023854
64,signor,15.972992217698177
65,maraviglia,15.958708994101336
66,duro,15.927298678783167
67,testa,15.925442365787392
68,magnifico,15.768125052507212
69,saturno,15.730696550347416
70,pare,15.655505234552374
71,uomo,15.525398279907767
72,pilato,15.30925448771611
73,soletario,15.09385927876489
74,lavorare,15.044972581378492
75,questi,15.044972581378492
76,aria,14.975915366416409
77,quattro,14.951697266934376
78,bellissimi,14.873057104003804
79,dire,14.759383647655502
80,padre,14.570698804611673
81,avevano,14.477674877988537
82,mi,14.39332299709394
83,facesse,14.385508326939298
84,poggio,14.17030924459372
85,sulla,14.133173955248335
86,giovani,14.133173955248335
87,perfezzione,14.089954711097135
88,stesso,13.996689627777215
89,canti,13.988471023739347
90,poeti,13.963365541231259
91,venere,13.813014424682997
92,cavalli,13.80754391060387
93,cortile,13.67850667927809
94,seguitando,13.67850667927809
95,cervello,13.643506666304592
96,scudi,13.552186224091097
97,quanta,13.479557552189636
98,dagl,13.47644266872475
99,prencipe,13.42923997073317
100,son,13.372737068228767
101,infinitamente,13.307254256969562
102,tirato,13.307254256969562
103,ti,13.18674148346743
104,figliuola,13.01769095153456
105,fussero,12.972628171349127
106,però,12.952313667249788
107,giorno,12.952313667249788
108,mise,12.864881102992264
109,giovane,12.864881102992264
110,servirsi,12.741838943026533
111,cagione,12.70259859265181
112,alcuna,12.622598065896598
113,dall,12.543302398757202
114,compassione,12.536665765476329
115,giudei,12.536665765476329
116,eccellenza,12.412329217634372
117,male,12.412329217634372
118,dipinse,12.386776714350379
119,bellissime,12.359449890020013
120,volesse,12.331685343967136
121,par,12.314167626104123
122,andava,12.213324916205838
123,lavoro,12.197828231479857
124,iacob,12.151371519729715
125,biasimare,12.151371519729715
126,piedi,12.148146921754444
127,bellezza,11.810732209029299
128,cesare,11.807379538300513
129,coperti,11.798022412760561
130,bontà,11.72885993068696
131,lodovico,11.728545405024061
132,pensò,11.64409156021949
133,lì,11.64409156021949
134,francia,11.641463837379888
135,studio,11.508406661551438
136,hai,11.481940865787083
137,morto,11.435346793045259
138,via,11.41062331214966
139,natura,11.362948108885915
140,fuggire,11.336247395674977
141,dette,11.333274458843565
142,cappella,11.291198749023831
143,moglie,11.288420837242288
144,volano,11.196010326374108
145,tuo,11.196010326374108
146,dolcezza,11.190776818991477
147,salvatore,11.190776818991477
148,soldati,11.190392084062232
149,anzi,11.181094552388723
150,castello,11.119395575442109
151,lume,11.089378547474634
152,ad,11.079732692478586
153,panni,11.036635642648093
154,frati,10.958853664186663
155,diede,10.94179824100254
156,figliuolo,10.94179824100254
157,carri,10.93497619540522
158,caiano,10.93497619540522
159,debba,10.93497619540522
160,riuscì,10.893274981708231
161,capo,10.874463608320578
162,punto,10.874463608320578
163,balzana,10.873503068726256
164,rigattiere,10.873503068726256
165,taffetà,10.873503068726256
166,re,10.81451865376751
167,acciò,10.716559758416338
168,grandezza,10.716559758416338
169,risolvé,10.656651248493388
