,term,score
0,iacopo,41.43902934928905
1,marmo,21.068962622943232
2,siena,17.599603005246927
3,sanesi,16.786549963416462
4,quercia,15.30925448771611
5,guinigio,10.873503068726256
6,bronzo,10.177770763504865
7,azzo,10.062572852509927
8,guinigi,10.062572852509927
9,lucchese,9.487208707606365
10,pisano,9.402499324107247
11,arca,9.116568784694273
12,lapide,9.040921604977946
13,figura,9.029555409832813
14,rilievo,8.913046894690204
15,reggono,8.855534653725385
16,lucca,8.733068670164617
17,duomo,8.677247801253174
18,insino,8.040550689370164
19,cassa,7.90017346036978
20,scultura,7.583168841303257
21,patria,7.475848633467188
22,scultore,7.357757095098729
23,pomo,6.981682770615629
24,belle,6.9248329327991165
25,vedendosi,6.479053914053818
26,condotta,6.476156833624894
27,basso,6.476156833624894
28,pulitamente,6.370919471513266
29,petronio,6.370919471513266
30,madonna,6.346415730612279
31,tedesco,6.170752554399301
32,intagliò,6.077712523129515
33,bologna,6.008292989633945
34,architrave,5.988808997987848
35,dagl,5.7756182865963215
36,cioè,5.754203330775719
37,portata,5.743604353803183
38,filippo,5.644210418621144
39,moglie,5.644210418621144
40,legato,5.5953884094957385
41,lasciare,5.5953884094957385
42,federigo,5.525205769873199
43,cotale,5.525205769873199
44,avvocata,5.436751534363128
45,veglia,5.436751534363128
46,duemiladugento,5.436751534363128
47,pero,5.436751534363128
48,appressare,5.436751534363128
49,1444,5.436751534363128
50,tumultuato,5.436751534363128
51,lupe,5.436751534363128
52,governata,5.436751534363128
53,1429,5.436751534363128
54,galigano,5.436751534363128
55,ratenne,5.436751534363128
56,carnose,5.436751534363128
57,cittadine,5.436751534363128
58,mescolanze,5.436751534363128
59,fieno,5.436751534363128
60,iacobus,5.436751534363128
61,ricusarlo,5.436751534363128
62,sessantaquattro,5.436751534363128
63,cacciatone,5.436751534363128
64,monta,5.436751534363128
65,arco,5.397496123910227
66,operai,5.391823020875854
67,dice,5.358279879208169
68,cornice,5.328325624246694
69,basamento,5.328325624246694
70,pacienza,5.328325624246694
71,tosto,5.281352587368156
72,attitudine,5.2667823069131865
73,matteo,5.037961604557698
74,relazione,5.0312864262549635
75,tempietto,5.0312864262549635
76,alterare,5.0312864262549635
77,delicatezza,5.0312864262549635
78,malevolti,5.0312864262549635
79,porgergli,5.0312864262549635
80,1422,5.0312864262549635
81,superarono,5.0312864262549635
82,riempiendo,5.0312864262549635
83,creò,5.0312864262549635
84,coprendo,5.0312864262549635
85,tiglio,5.0312864262549635
86,ubaldini,5.0312864262549635
87,fendono,5.0312864262549635
88,1460,5.0312864262549635
89,cimatura,5.0312864262549635
90,svoltare,5.0312864262549635
91,stoppa,5.0312864262549635
92,disposti,5.0312864262549635
93,sforzarono,5.0312864262549635
94,finì,4.991971788805469
95,lavorato,4.957685701334601
96,tonde,4.932674137586854
97,sculture,4.882038521618274
98,favore,4.882038521618274
99,discepolo,4.85711762521867
100,avuto,4.7918976653094525
101,pilastri,4.78445819327941
102,xix,4.743604353803183
103,saggi,4.743604353803183
104,guardata,4.743604353803183
105,calimara,4.743604353803183
106,fasciati,4.743604353803183
107,magistri,4.743604353803183
108,schietta,4.743604353803183
109,orgagna,4.743604353803183
110,intagliando,4.743604353803183
111,pasta,4.743604353803183
112,festone,4.743604353803183
113,morbido,4.743604353803183
114,fanciulletti,4.743604353803183
115,paulo,4.728065469967598
116,testamento,4.691418162009624
117,partito,4.602514636867957
118,statua,4.602514636867957
119,marmi,4.55950222642603
120,sanese,4.55950222642603
121,1478,4.520460802488973
122,amati,4.520460802488973
123,vietato,4.520460802488973
124,continuato,4.520460802488973
125,eguale,4.520460802488973
126,regolo,4.520460802488973
127,reverente,4.520460802488973
128,sepolta,4.520460802488973
129,petri,4.520460802488973
130,pensavano,4.520460802488973
131,collocate,4.520460802488973
132,secche,4.520460802488973
133,accompagnando,4.520460802488973
134,orso,4.520460802488973
135,1343,4.520460802488973
136,bartolo,4.520460802488973
137,pulita,4.520460802488973
138,martino,4.5173954080303655
139,occasione,4.435751418989854
140,signoria,4.3961461643974955
141,bastiano,4.3961461643974955
142,andò,4.371209641383501
143,avevano,4.343302463396562
144,bello,4.343302463396562
145,lucchesi,4.338139245695018
146,niccodemo,4.338139245695018
147,riconosciuta,4.338139245695018
148,delicate,4.338139245695018
149,poterla,4.338139245695018
150,onestà,4.338139245695018
151,dispiacendo,4.338139245695018
152,piramide,4.338139245695018
153,levando,4.338139245695018
154,lembi,4.338139245695018
155,senis,4.338139245695018
156,aggiugne,4.338139245695018
157,pareggiare,4.338139245695018
158,settantadue,4.338139245695018
159,mandorla,4.338139245695018
160,apparenza,4.338139245695018
161,domenico,4.315652498081789
162,grandi,4.315652498081789
163,legno,4.245131059381205
164,parenti,4.245131059381205
165,condusse,4.234199530883936
166,modello,4.2090940483758486
167,morbide,4.18398856586776
168,adornata,4.18398856586776
169,scuopre,4.18398856586776
170,sforzandosi,4.18398856586776
171,lino,4.18398856586776
172,saccone,4.18398856586776
173,discordie,4.18398856586776
174,fecit,4.18398856586776
175,giuste,4.18398856586776
176,lavorare,4.103174340375952
177,dare,4.071108305401946
178,porse,4.050457173243238
179,essercito,4.050457173243238
180,gravi,4.050457173243238
181,funi,4.050457173243238
182,onorevoli,4.050457173243238
183,strettamente,4.050457173243238
184,confitti,4.050457173243238
185,tocco,4.050457173243238
186,possibile,4.038049701499524
187,modi,4.038049701499524
188,agnolo,3.942031263126803
189,nominati,3.932674137586854
190,immagine,3.932674137586854
191,orlando,3.932674137586854
192,pietramala,3.932674137586854
193,comunità,3.932674137586854
194,riescono,3.932674137586854
195,portarono,3.932674137586854
196,proporzionato,3.932674137586854
197,sonando,3.932674137586854
198,piani,3.932674137586854
199,beccafumi,3.932674137586854
200,volare,3.932674137586854
201,dodici,3.9110228900548725
202,vergine,3.9110228900548725
203,istorie,3.8804879457932957
204,miracolosamente,3.8273136219290276
205,ingannati,3.8273136219290276
206,raccontato,3.8273136219290276
207,smarrito,3.8273136219290276
208,acconcimi,3.8273136219290276
209,cantando,3.8273136219290276
210,vederle,3.8273136219290276
211,altramente,3.8273136219290276
212,vantaggio,3.8273136219290276
213,bentivogli,3.8273136219290276
214,sfuggire,3.8273136219290276
215,giovanbattista,3.8273136219290276
216,mescolata,3.8273136219290276
217,insomma,3.8207820194939335
218,son,3.8207820194939335
219,nei,3.762806945747429
220,concorrenti,3.732003442124703
221,barbe,3.732003442124703
222,mangiar,3.732003442124703
223,piane,3.732003442124703
224,movenze,3.732003442124703
225,moto,3.732003442124703
226,essempio,3.732003442124703
227,immaginare,3.732003442124703
228,allogarono,3.732003442124703
229,portavano,3.732003442124703
230,risoluta,3.732003442124703
231,intere,3.732003442124703
232,fussero,3.7064651918140363
233,adunque,3.7064651918140363
234,cinque,3.7064651918140363
235,banda,3.7064651918140363
236,piena,3.6516672434378075
237,vedevano,3.644992065135073
238,paragonare,3.644992065135073
239,stracco,3.644992065135073
240,gloriosa,3.644992065135073
241,andata,3.644992065135073
242,ammalò,3.644992065135073
243,coperte,3.644992065135073
244,vaghe,3.644992065135073
245,vecchiaia,3.644992065135073
246,adiviene,3.644992065135073
247,cavallo,3.624821202773526
248,attitudini,3.598330749273485
249,niccolò,3.598330749273485
250,opus,3.5649493574615367
251,gian,3.5649493574615367
252,ispazio,3.5649493574615367
253,teologiche,3.5649493574615367
254,rade,3.5649493574615367
255,farebbono,3.5649493574615367
256,gentilezza,3.5649493574615367
257,brunelleschi,3.5649493574615367
258,restarono,3.5649493574615367
259,riportò,3.5649493574615367
260,sur,3.5649493574615367
261,venuto,3.5463797764669636
262,tavole,3.5463797764669636
263,fame,3.4908413853078146
264,hoc,3.4908413853078146
265,operaio,3.4908413853078146
266,diminuire,3.4908413853078146
267,naturalmente,3.4908413853078146
268,insegne,3.4908413853078146
269,agostino,3.4463589353176407
270,agl,3.4463589353176407
271,solamente,3.4463589353176407
272,tondo,3.4463589353176407
273,amore,3.4463589353176407
274,tomaso,3.4218485138208634
275,ragionevolmente,3.4218485138208634
276,noè,3.4218485138208634
277,cintola,3.4218485138208634
278,gismondo,3.4218485138208634
279,piacevoli,3.4218485138208634
280,operando,3.4218485138208634
281,allogare,3.4218485138208634
282,braccio,3.39816383215952
283,bellezza,3.374494916865514
284,disiderando,3.3573099926832923
285,onoratissime,3.3573099926832923
286,diluvio,3.3573099926832923
287,rivedere,3.3573099926832923
288,vestita,3.3573099926832923
289,bolognesi,3.3573099926832923
290,ricerco,3.3573099926832923
291,bontà,3.3511028373391314
292,braccia,3.3511028373391314
293,simili,3.3511028373391314
294,aria,3.3279811925369795
295,inanzi,3.3279811925369795
296,corpo,3.305123800889734
297,cacciato,3.2966853708668573
298,capanna,3.2966853708668573
299,friano,3.2966853708668573
300,leoni,3.2966853708668573
301,leggere,3.2966853708668573
302,riputazione,3.239526957026909
303,uffizio,3.239526957026909
304,cane,3.239526957026909
305,essequie,3.239526957026909
306,creazione,3.239526957026909
307,divinamente,3.239526957026909
308,costumato,3.239526957026909
309,miniatore,3.239526957026909
310,imagine,3.239526957026909
311,dette,3.238078416812447
312,tempio,3.238078416812447
313,mise,3.216220275748066
314,miglior,3.216220275748066
315,amici,3.216220275748066
316,basse,3.185459735756633
317,inventore,3.185459735756633
318,esercitò,3.185459735756633
319,avrebbe,3.185459735756633
320,pianto,3.185459735756633
321,frontespizio,3.185459735756633
322,fecevi,3.185459735756633
323,facendo,3.1732078653061393
324,colla,3.134166441369082
325,pieghe,3.134166441369082
326,alte,3.134166441369082
327,reverenza,3.134166441369082
328,libera,3.134166441369082
329,mercatanti,3.134166441369082
330,contado,3.134166441369082
331,femmina,3.134166441369082
332,eccellentissimi,3.134166441369082
333,perduto,3.134166441369082
334,nondimeno,3.1103754728393813
335,invenzione,3.0898624725050032
336,bellissime,3.0898624725050032
337,comodo,3.0853762771996505
338,odio,3.0853762771996505
339,ritornare,3.0853762771996505
340,capitani,3.0853762771996505
341,parevano,3.0853762771996505
342,utili,3.0853762771996505
343,memoria,3.069557729576967
344,lavoro,3.0494570578699642
345,andrea,3.0494570578699642
346,girare,3.0388562615647574
347,nuovi,3.0388562615647574
348,ossa,3.0388562615647574
349,ornamenti,3.0098518032776047
350,trenta,2.994404498993924
351,donatello,2.994404498993924
352,rovinata,2.994404498993924
353,graziosa,2.994404498993924
354,bisogna,2.994404498993924
355,pur,2.9903394533868752
356,quattro,2.9903394533868752
357,chiamato,2.9518767295311004
358,vivo,2.9518767295311004
359,lucia,2.951844884575128
360,avuta,2.951844884575128
361,pensare,2.951844884575128
362,universalmente,2.951844884575128
363,fuori,2.9141397609223345
364,grandissimo,2.9141397609223345
365,panno,2.9110228900548725
366,marito,2.9110228900548725
367,morta,2.9110228900548725
368,sodisfazione,2.9110228900548725
369,perfezione,2.9110228900548725
370,studio,2.8771016653878596
371,su,2.8771016653878596
372,ornamento,2.8771016653878596
373,cominciasse,2.8718021769015913
374,padrone,2.8718021769015913
375,deve,2.8718021769015913
376,levata,2.8718021769015913
377,cotal,2.8718021769015913
378,degno,2.8718021769015913
379,storia,2.8407370272214787
380,misure,2.8340618489187444
381,primo,2.8227996872559578
382,alcuna,2.805021792421466
383,dato,2.805021792421466
384,salvatore,2.7976942047478692
385,peste,2.7976942047478692
386,battesimo,2.7976942047478692
387,nicola,2.7976942047478692
388,fogliami,2.7626028849365993
389,ieronimo,2.7626028849365993
390,sasso,2.7626028849365993
391,membra,2.7626028849365993
392,singolare,2.7626028849365993
393,giovamento,2.7626028849365993
394,adamo,2.7626028849365993
395,acquistare,2.7626028849365993
396,mancava,2.7626028849365993
397,ricchissimo,2.7626028849365993
398,facciata,2.7526170476334175
399,diede,2.735449560250635
400,ciascun,2.7287013332609185
401,capegli,2.7287013332609185
402,onorati,2.7287013332609185
403,usato,2.7287013332609185
404,sé,2.7184281809148176
405,sepolture,2.695911510437927
406,bolognese,2.695911510437927
407,disegnate,2.695911510437927
408,desse,2.695911510437927
409,rimanente,2.695911510437927
410,carne,2.664162812123347
411,riceve,2.664162812123347
412,avessero,2.664162812123347
413,piacevole,2.664162812123347
414,quindici,2.664162812123347
415,sotterrato,2.6333911534565932
416,cavaliere,2.6333911534565932
417,considerazioni,2.603538190306912
418,pilastro,2.603538190306912
419,desiderio,2.603538190306912
420,obligo,2.603538190306912
421,arrivato,2.603538190306912
422,trovare,2.5745506534336595
423,nipote,2.5745506534336595
424,verità,2.5745506534336595
425,degne,2.5463797764669636
426,viso,2.5463797764669636
427,fierezza,2.5463797764669636
428,diedero,2.518980802278849
429,contra,2.518980802278849
430,saggio,2.518980802278849
431,porre,2.518980802278849
432,disiderio,2.518980802278849
433,moderni,2.492312555196688
434,eglino,2.492312555196688
435,potrebbe,2.492312555196688
436,tacerò,2.492312555196688
437,dimostrano,2.492312555196688
438,messe,2.466337068793427
439,carico,2.441019260809137
440,onoratamente,2.441019260809137
441,prezzo,2.441019260809137
442,rarissima,2.441019260809137
443,profeti,2.441019260809137
444,bianco,2.441019260809137
445,fonte,2.4163266482187655
446,legname,2.4163266482187655
447,modelli,2.4163266482187655
448,facce,2.4163266482187655
449,inteso,2.4163266482187655
450,nicchie,2.4163266482187655
451,capriccio,2.392229096639705
452,alta,2.392229096639705
453,particolare,2.368698599229511
454,affatto,2.368698599229511
455,scultori,2.368698599229511
456,sette,2.345709081004812
457,occhio,2.345709081004812
458,mostrano,2.345709081004812
459,adoperato,2.345709081004812
460,virtuosi,2.345709081004812
461,paiono,2.345709081004812
462,vaga,2.323236225152754
463,doveva,2.323236225152754
464,carte,2.3012573184339784
465,ignudo,2.3012573184339784
466,speranza,2.3012573184339784
467,venendo,2.3012573184339784
468,tommaso,2.3012573184339784
469,seguitò,2.3012573184339784
470,infinita,2.279751113213015
471,mal,2.279751113213015
472,noi,2.279751113213015
473,onorata,2.279751113213015
474,entrata,2.2586977040151828
475,pezzi,2.2586977040151828
476,scudi,2.2586977040151828
477,poiché,2.2380784168124466
478,feciono,2.2380784168124466
479,infinito,2.2380784168124466
480,spazio,2.2380784168124466
481,predella,2.2380784168124466
482,vecchia,2.1786549963416464
483,valente,2.1786549963416464
484,continuo,2.159606801370952
485,fortuna,2.159606801370952
486,piccolo,2.159606801370952
487,lodate,2.159606801370952
488,lei,2.140914668358799
489,conto,2.140914668358799
490,mostra,2.140914668358799
491,possa,2.1225655296906023
492,putto,2.1225655296906023
493,meritò,2.1225655296906023
494,imperfetta,2.1225655296906023
495,fiorentini,2.1225655296906023
496,credere,2.1225655296906023
497,donato,2.1045470241879243
498,bell,2.1045470241879243
499,cominciato,2.086847447088523
500,intanto,2.086847447088523
501,vanno,2.086847447088523
502,farsi,2.086847447088523
503,importanza,2.086847447088523
504,statue,2.086847447088523
505,portato,2.0694557043766544
506,condurre,2.0694557043766544
507,presente,2.0523612710173538
508,vedendo,2.0523612710173538
509,trovato,2.0523612710173538
510,difficultà,2.0523612710173538
511,disegnò,2.035554152700973
512,porte,2.035554152700973
513,atteso,2.035554152700973
514,pose,2.019024850749762
515,sagrestia,2.019024850749762
516,sulla,2.019024850749762
517,volentieri,2.002764329877982
518,nunziata,2.002764329877982
519,fiore,1.9867639885315407
520,condotti,1.9867639885315407
521,antichi,1.9867639885315407
522,piacque,1.9867639885315407
523,concorrenza,1.9867639885315407
524,collo,1.9710156315634015
525,sta,1.9555114450274362
526,acqua,1.9555114450274362
527,coro,1.9555114450274362
528,campo,1.9555114450274362
529,venire,1.9555114450274362
530,primi,1.9402439728966479
531,potesse,1.9402439728966479
532,otto,1.9252060955321073
533,quivi,1.9252060955321073
534,cittadini,1.9252060955321073
535,discepoli,1.9103910097469667
536,mediante,1.9103910097469667
537,putti,1.8814034728737146
538,mostrare,1.867218837881758
539,parole,1.867218837881758
540,mettere,1.867218837881758
541,prime,1.8532325959070182
542,dirimpetto,1.8532325959070182
543,tanti,1.8394392737746823
544,panni,1.8394392737746823
545,michele,1.8258336217189037
546,voleva,1.8258336217189037
547,ognuno,1.812410601386763
548,mi,1.7991653746367424
549,uso,1.7991653746367424
550,va,1.7860932930693896
551,lavorata,1.7860932930693896
552,tornò,1.7731898882334818
553,siano,1.7731898882334818
554,disse,1.7731898882334818
555,lavorate,1.7731898882334818
556,maraviglia,1.7731898882334818
557,rimase,1.760450862456052
558,cominciò,1.760450862456052
559,conoscere,1.760450862456052
560,nello,1.760450862456052
561,fede,1.760450862456052
562,piedi,1.7354495602506348
563,signore,1.7354495602506348
564,principale,1.7231794676588204
565,posta,1.7110581071264757
566,lunga,1.69908191607976
567,oro,1.69908191607976
568,poteva,1.687247458432757
569,ho,1.687247458432757
570,piazza,1.6755514186695657
571,visse,1.6639905962684898
572,messo,1.6639905962684898
573,bellissimi,1.652561900444867
574,migliore,1.652561900444867
575,canto,1.652561900444867
576,cielo,1.6412623451909336
577,capella,1.6300890445928085
578,via,1.6300890445928085
579,verso,1.6300890445928085
580,certo,1.608110137874033
581,altar,1.608110137874033
582,anzi,1.5972992217698176
583,utile,1.5972992217698176
584,là,1.5866039326530696
585,sepoltura,1.5760218233225327
586,massimamente,1.5655505234552374
587,pare,1.5655505234552374
588,dio,1.5655505234552374
589,state,1.5655505234552374
590,pratica,1.5655505234552374
591,sul,1.5449312362525016
592,dai,1.5347788647884835
593,fatiche,1.5347788647884835
594,persona,1.5247285289349821
595,teste,1.5247285289349821
596,essa,1.514778198081814
597,buono,1.5049259016388024
598,lode,1.5049259016388024
599,parimente,1.4951697266934376
600,onore,1.4951697266934376
601,aver,1.4951697266934376
602,pure,1.4951697266934376
603,dalle,1.4951697266934376
604,dire,1.4759383647655502
605,qualche,1.4664596208110063
606,finita,1.4664596208110063
607,mondo,1.4570698804611673
608,sarebbe,1.4477674877988538
609,stata,1.4477674877988538
610,angeli,1.4385508326939298
611,lorenzo,1.4294183491306574
612,certi,1.4294183491306574
613,natura,1.4203685136107393
614,uomo,1.4113998436279789
615,cagione,1.4113998436279789
616,croce,1.402510896210733
617,buon,1.393700266528578
618,dall,1.393700266528578
619,nostro,1.3849665865598233
620,ai,1.3763085238167088
621,figliuolo,1.3677247801253174
622,poderi,0.0
623,ponghino,0.0
624,pongaseli,0.0
625,piscopio,0.0
626,pongono,0.0
627,piuma,0.0
628,piscina,0.0
629,platea,0.0
630,poderetto,0.0
631,ponga,0.0
632,piscia,0.0
633,platina,0.0
634,pont,0.0
635,platone,0.0
636,pontano,0.0
637,podesteria,0.0
638,pontifici,0.0
639,podestà,0.0
640,pissello,0.0
641,poggiare,0.0
642,ponessino,0.0
643,poggi,0.0
644,poetico,0.0
645,poetiche,0.0
646,poeticamente,0.0
647,poetica,0.0
648,poeti,0.0
649,poeta,0.0
650,poema,0.0
651,pisello,0.0
652,plasme,0.0
653,ponetevi,0.0
654,poneva,0.0
655,plastas,0.0
656,poesie,0.0
657,poesia,0.0
658,ponevano,0.0
659,pisces,0.0
660,pontavano,0.0
661,pisbolica,0.0
662,pontificali,0.0
663,pontem,0.0
664,plutone,0.0
665,plus,0.0
666,plurimum,0.0
667,ponti,0.0
668,pontifex,0.0
669,plurima,0.0
670,pisanello,0.0
671,pontificale,0.0
672,plures,0.0
673,pontava,0.0
674,plena,0.0
675,pluma,0.0
676,ploremus,0.0
677,pontificalmente,0.0
678,pontificato,0.0
679,pontificatum,0.0
680,plenaria,0.0
681,plenis,0.0
682,pontifice,0.0
683,pisani,0.0
684,plebeo,0.0
685,plebei,0.0
686,pontefici,0.0
687,podere,0.0
688,placido,0.0
689,pochissimo,0.0
690,plautilla,0.0
691,pochissimi,0.0
692,ponte,0.0
693,pochissime,0.0
694,pochissima,0.0
695,pochi,0.0
696,plebaccia,0.0
697,pochetto,0.0
698,pisanus,0.0
699,pisanorum,0.0
700,poche,0.0
701,pontefice,0.0
702,pocci,0.0
703,poca,0.0
704,po,0.0
705,plebe,0.0
706,ponessi,0.0
707,ponessero,0.0
708,pistoia,0.0
709,plinio,0.0
710,pompilio,0.0
711,pittigliano,0.0
712,pitti,0.0
713,piuttosto,0.0
714,pomponio,0.0
715,pive,0.0
716,pitigliano,0.0
717,pollice,0.0
718,pomposa,0.0
719,piviale,0.0
720,pittor,0.0
721,polli,0.0
722,polle,0.0
723,piviali,0.0
724,pollastra,0.0
725,pitia,0.0
726,pomposamente,0.0
727,pon,0.0
728,ponderando,0.0
729,pollaiuolo,0.0
730,pompeo,0.0
731,pompeio,0.0
732,poggibonzi,0.0
733,piture,0.0
734,piume,0.0
735,piumose,0.0
736,polvaccio,0.0
737,piumosi,0.0
738,polvere,0.0
739,polsi,0.0
740,pomarancie,0.0
741,piumosità,0.0
742,polonia,0.0
743,polo,0.0
744,piutosto,0.0
745,pomona,0.0
746,polluce,0.0
747,pittori,0.0
748,piuoli,0.0
749,pius,0.0
750,pompa,0.0
751,pompe,0.0
752,pollonia,0.0
753,pollirone,0.0
754,pollaiuoli,0.0
755,ponderoso,0.0
756,pizzicagnolo,0.0
757,poggio,0.0
758,ponendone,0.0
759,ponendosi,0.0
760,polesine,0.0
761,polenta,0.0
762,polastra,0.0
763,pola,0.0
764,ponendovi,0.0
765,poggiuolo,0.0
766,placatis,0.0
767,pistole,0.0
768,pollaiolo,0.0
769,poggino,0.0
770,placato,0.0
771,placida,0.0
772,pistola,0.0
773,placidissimo,0.0
774,ponente,0.0
775,poggini,0.0
776,ponesse,0.0
777,poltronieri,0.0
778,placarlo,0.0
779,poli,0.0
780,policleto,0.0
781,polidoro,0.0
782,pondo,0.0
783,polla,0.0
784,pone,0.0
785,pitagora,0.0
786,polizza,0.0
787,poliziano,0.0
788,polito,0.0
789,polinnia,0.0
790,polimaste,0.0
791,polignoto,0.0
792,pizzolo,0.0
793,ponendo,0.0
794,piè,0.0
795,pistolesi,0.0
796,pièta,0.0
797,placa,0.0
798,pistolese,0.0
799,polifemo,0.0
800,ponendogli,0.0
801,pontificem,0.0
802,10,0.0
803,pontificii,0.0
804,potria,0.0
805,potresti,0.0
806,potreste,0.0
807,potremo,0.0
808,potrei,0.0
809,potrebbonsi,0.0
810,potrebbono,0.0
811,potrebbero,0.0
812,potranno,0.0
