,term,score
0,indaco,21.69069622847509
1,iacopo,10.743452053519384
2,cicalare,10.062572852509927
3,dissimile,10.062572852509927
4,fichi,9.040921604977946
5,michelagnolo,8.995826873183713
6,tavoletta,5.5953884094957385
7,voleva,5.477500865156712
8,lavorare,5.47089912050127
9,soprannome,5.436751534363128
10,chiacchiere,5.436751534363128
11,michelagnelo,5.436751534363128
12,possibil,5.436751534363128
13,rappattumatosi,5.436751534363128
14,montepulciano,5.436751534363128
15,stucco,5.328325624246694
16,soglia,5.0312864262549635
17,aprirgli,5.0312864262549635
18,ricrearsi,5.0312864262549635
19,distesa,5.0312864262549635
20,avvide,5.0312864262549635
21,faceta,5.0312864262549635
22,picchiato,5.0312864262549635
23,serrò,5.0312864262549635
24,ragionare,4.984625110393376
25,biasimava,4.743604353803183
26,continue,4.743604353803183
27,pochissime,4.743604353803183
28,pigliarsi,4.743604353803183
29,umor,4.743604353803183
30,uscissero,4.743604353803183
31,ragionevole,4.646472450305508
32,piacer,4.520460802488973
33,68,4.520460802488973
34,levarselo,4.520460802488973
35,dimesticamente,4.520460802488973
36,alloggiava,4.520460802488973
37,dalle,4.485509180080313
38,dire,4.42781509429665
39,uscisse,4.338139245695018
40,comendate,4.338139245695018
41,burle,4.18398856586776
42,studiolo,4.18398856586776
43,pinturicchio,4.18398856586776
44,comperare,4.050457173243238
45,nunziata,4.005528659755964
46,favellare,3.932674137586854
47,comedia,3.932674137586854
48,spesso,3.8804879457932957
49,aprire,3.8273136219290276
50,avanzava,3.8273136219290276
51,padroni,3.8273136219290276
52,stette,3.8207820194939335
53,venutogli,3.732003442124703
54,reti,3.732003442124703
55,uscio,3.732003442124703
56,pigliava,3.732003442124703
57,mangiar,3.732003442124703
58,dilettato,3.644992065135073
59,contrafatto,3.644992065135073
60,praticava,3.644992065135073
61,ricevono,3.5649493574615367
62,cristiani,3.5649493574615367
63,toglie,3.5649493574615367
64,invano,3.4908413853078146
65,pochissimo,3.4908413853078146
66,campidoglio,3.4908413853078146
67,travi,3.4908413853078146
68,esercitato,3.4908413853078146
69,nimico,3.4218485138208634
70,dinanzi,3.374494916865514
71,affaticarsi,3.3573099926832923
72,lodata,3.305123800889734
73,collera,3.2966853708668573
74,trionfale,3.239526957026909
75,tornava,3.239526957026909
76,coronazione,3.239526957026909
77,aspettava,3.239526957026909
78,pensieri,3.239526957026909
79,circondato,3.185459735756633
80,discrezione,3.185459735756633
81,ghirlandaio,3.185459735756633
82,fastidio,3.185459735756633
83,austria,3.134166441369082
84,mente,3.0853762771996505
85,udienza,3.0853762771996505
86,mani,3.0494570578699642
87,duchessa,3.0388562615647574
88,riuscito,2.994404498993924
89,uscito,2.994404498993924
90,bisogna,2.994404498993924
91,fantasia,2.994404498993924
92,parimente,2.9903394533868752
93,duca,2.9141397609223345
94,foglie,2.9110228900548725
95,vengono,2.9110228900548725
96,lavorarono,2.8718021769015913
97,maddalena,2.8718021769015913
98,fattone,2.8718021769015913
99,cappella,2.8227996872559578
100,raccontare,2.7626028849365993
101,simone,2.7626028849365993
102,margherita,2.7626028849365993
103,cena,2.7626028849365993
104,usava,2.7626028849365993
105,vago,2.7626028849365993
106,ragione,2.664162812123347
107,piacevole,2.664162812123347
108,minore,2.664162812123347
109,imperadore,2.6333911534565932
110,basta,2.6333911534565932
111,credo,2.6333911534565932
112,cotali,2.6333911534565932
113,trinità,2.518980802278849
114,argento,2.492312555196688
115,palco,2.492312555196688
116,diceva,2.492312555196688
117,studii,2.466337068793427
118,essendogli,2.466337068793427
119,dipintore,2.4163266482187655
120,teneva,2.4163266482187655
121,quanti,2.392229096639705
122,entrando,2.345709081004812
123,quinto,2.323236225152754
124,ritta,2.323236225152754
125,mal,2.279751113213015
126,romano,2.2586977040151828
127,entrata,2.2586977040151828
128,proposito,2.217875709494927
129,anch,2.1980730821987478
130,partì,2.159606801370952
