,term,score
0,casentino,27.926731082462517
1,pratovecchio,21.747006137452512
2,iacopo,18.4173463774618
3,capella,14.670801401335275
4,compagnia,12.622598065896598
5,dipintore,12.081633241093828
6,spinello,11.481940865787083
7,camarlinghi,10.873503068726256
8,daddi,10.873503068726256
9,dipintori,10.071929978049877
10,taddeo,9.556379207269899
11,consiglieri,9.040921604977946
12,capitoli,8.100914346486476
13,oratorio,7.865348275173708
14,acqua,7.822045780109745
15,fonte,7.248979944656297
16,mura,7.248979944656297
17,bernardo,7.037127243014436
18,vecchia,6.535964989024939
19,averla,6.479053914053818
20,capitani,6.170752554399301
21,beato,6.077712523129515
22,sessanta,6.077712523129515
23,cittadini,5.7756182865963215
24,fei,5.436751534363128
25,rinascimento,5.436751534363128
26,corsino,5.436751534363128
27,gucci,5.436751534363128
28,berardi,5.436751534363128
29,cinuzzi,5.436751534363128
30,buonaiuti,5.436751534363128
31,segnia,5.436751534363128
32,antignano,5.436751534363128
33,crearono,5.436751534363128
34,vocabolo,5.436751534363128
35,masuolo,5.436751534363128
36,guizianelli,5.436751534363128
37,insegnata,5.436751534363128
38,ordinamenti,5.436751534363128
39,sacconi,5.436751534363128
40,raunandosi,5.436751534363128
41,granaio,5.436751534363128
42,approvati,5.436751534363128
43,rovinato,5.2667823069131865
44,capitolo,5.207076380613824
45,pulci,5.0312864262549635
46,cristoforo,5.0312864262549635
47,1380,5.0312864262549635
48,amfiteatro,5.0312864262549635
49,concesso,5.0312864262549635
50,pori,5.0312864262549635
51,sovenire,5.0312864262549635
52,discreti,5.0312864262549635
53,benignissimo,5.0312864262549635
54,cenni,5.0312864262549635
55,landino,5.0312864262549635
56,salvatica,5.0312864262549635
57,arti,5.0266542560086975
58,guerra,4.882038521618274
59,dipignere,4.824330413622099
60,giotto,4.78445819327941
61,pilastri,4.78445819327941
62,vanni,4.743604353803183
63,creata,4.743604353803183
64,narra,4.743604353803183
65,1354,4.743604353803183
66,inanimiti,4.743604353803183
67,predisse,4.743604353803183
68,innocenzo,4.743604353803183
69,caminar,4.743604353803183
70,nofri,4.743604353803183
71,governarono,4.743604353803183
72,adoperarono,4.743604353803183
73,cocomero,4.743604353803183
74,peggior,4.743604353803183
75,esercitava,4.743604353803183
76,corrotto,4.743604353803183
77,pieve,4.646472450305508
78,sul,4.634793708757504
79,nardi,4.520460802488973
80,portinari,4.520460802488973
81,disaventure,4.520460802488973
82,tintori,4.520460802488973
83,tribù,4.520460802488973
84,ritrovandosi,4.520460802488973
85,ritrae,4.520460802488973
86,continuato,4.520460802488973
87,viniziana,4.520460802488973
88,300,4.520460802488973
89,gherardi,4.338139245695018
90,desiderosi,4.338139245695018
91,sopradetti,4.338139245695018
92,oltramarino,4.338139245695018
93,aggiunte,4.338139245695018
94,luca,4.319213602741904
95,lavorando,4.281829336717598
96,storia,4.261105540832218
97,consiglio,4.2090940483758486
98,acquistar,4.18398856586776
99,ottime,4.18398856586776
100,orti,4.18398856586776
101,1350,4.18398856586776
102,poppi,4.18398856586776
103,pasquino,4.18398856586776
104,ritraendovi,4.18398856586776
105,consenso,4.18398856586776
106,ricondusse,4.050457173243238
107,lapo,4.050457173243238
108,vivevano,4.050457173243238
109,gotti,4.050457173243238
110,protezzione,4.050457173243238
111,radici,4.050457173243238
112,essendosi,4.038049701499524
113,agnolo,3.942031263126803
114,onorato,3.942031263126803
115,vestigie,3.932674137586854
116,carcere,3.932674137586854
117,neve,3.932674137586854
118,felicita,3.932674137586854
119,publici,3.932674137586854
120,patriarchi,3.932674137586854
121,reggimento,3.932674137586854
122,conducendo,3.932674137586854
123,udita,3.932674137586854
124,primi,3.8804879457932957
125,arezzo,3.8504121910642146
126,esercitandosi,3.8273136219290276
127,onorò,3.8273136219290276
128,servigii,3.8273136219290276
129,rovinati,3.8273136219290276
130,doverebbe,3.8273136219290276
131,fraternita,3.8273136219290276
132,nei,3.762806945747429
133,peducci,3.732003442124703
134,rifatto,3.732003442124703
135,guardiano,3.732003442124703
136,avanzare,3.732003442124703
137,rendere,3.732003442124703
138,profeta,3.732003442124703
139,trovati,3.732003442124703
140,pochi,3.6516672434378075
141,vernia,3.644992065135073
142,anticamente,3.644992065135073
143,protettore,3.644992065135073
144,affaticato,3.644992065135073
145,guasti,3.644992065135073
146,coperte,3.644992065135073
147,cittadella,3.644992065135073
148,teatro,3.644992065135073
149,uso,3.598330749273485
150,trovarsi,3.5649493574615367
151,canonici,3.5649493574615367
152,commodi,3.5649493574615367
153,titolo,3.5649493574615367
154,tornò,3.5463797764669636
155,famiglia,3.520901724912104
156,aretini,3.4908413853078146
157,pucci,3.4908413853078146
158,imparasse,3.4908413853078146
159,valle,3.4908413853078146
160,azzurro,3.4908413853078146
161,duomo,3.4708991205012696
162,negozii,3.4218485138208634
163,miglioramento,3.4218485138208634
164,dello,3.374494916865514
165,rumore,3.3573099926832923
166,ottanta,3.3573099926832923
167,ridotta,3.3573099926832923
168,magistrati,3.3573099926832923
169,canto,3.305123800889734
170,nuova,3.305123800889734
171,guasto,3.2966853708668573
172,1527,3.2966853708668573
173,acconcio,3.2966853708668573
174,comincia,3.2966853708668573
175,ferma,3.239526957026909
176,mercato,3.239526957026909
177,condotta,3.238078416812447
178,insino,3.216220275748066
179,altar,3.216220275748066
180,conoscono,3.185459735756633
181,ricchi,3.185459735756633
182,mercante,3.185459735756633
183,ora,3.1732078653061393
184,madonna,3.1732078653061393
185,facendo,3.1732078653061393
186,libera,3.134166441369082
187,chiamata,3.134166441369082
188,governava,3.134166441369082
189,pratica,3.1311010469104748
190,pittori,3.1103754728393813
191,commesso,3.0853762771996505
192,stima,3.0853762771996505
193,cimabue,3.0853762771996505
194,condottosi,3.0853762771996505
195,guido,3.0388562615647574
196,nuovi,3.0388562615647574
197,grave,3.0388562615647574
198,greca,3.0388562615647574
199,principio,3.0098518032776047
200,tirata,2.994404498993924
201,ricchezze,2.994404498993924
202,esse,2.994404498993924
203,cominciarono,2.994404498993924
204,dov,2.994404498993924
205,dalle,2.9903394533868752
206,inclinazione,2.951844884575128
207,sedici,2.951844884575128
208,sesto,2.951844884575128
209,comune,2.951844884575128
210,luoghi,2.9329192416220127
211,fama,2.9141397609223345
212,illustrissimo,2.9110228900548725
213,no,2.9110228900548725
214,avevano,2.8955349755977076
215,domenico,2.8771016653878596
216,credenza,2.8718021769015913
217,lorenzo,2.8588366982613147
218,miracoli,2.8340618489187444
219,gaddi,2.8340618489187444
220,poggio,2.8340618489187444
221,primo,2.8227996872559578
222,cagione,2.8227996872559578
223,peste,2.7976942047478692
224,onorate,2.7976942047478692
225,dovere,2.7976942047478692
226,dall,2.787400533057156
227,sasso,2.7626028849365993
228,seguitare,2.7626028849365993
229,or,2.7626028849365993
230,ai,2.7526170476334175
231,questi,2.735449560250635
232,onorati,2.7287013332609185
233,edifizii,2.7287013332609185
234,camaldoli,2.695911510437927
235,tetto,2.695911510437927
236,cristofano,2.695911510437927
237,insegnò,2.664162812123347
238,fortezza,2.664162812123347
239,considerando,2.664162812123347
240,sotterrato,2.6333911534565932
241,durò,2.5745506534336595
242,romani,2.5745506534336595
243,viene,2.5745506534336595
244,grazie,2.5463797764669636
245,matteo,2.518980802278849
246,saggio,2.518980802278849
247,vescovado,2.518980802278849
248,qualità,2.492312555196688
249,organo,2.466337068793427
250,legge,2.466337068793427
251,giuseppo,2.466337068793427
252,carico,2.441019260809137
253,bianco,2.441019260809137
254,profeti,2.441019260809137
255,facce,2.4163266482187655
256,nato,2.368698599229511
257,ell,2.368698599229511
258,orto,2.345709081004812
259,milano,2.323236225152754
260,speranza,2.3012573184339784
261,spedale,2.279751113213015
262,anima,2.279751113213015
263,anche,2.2586977040151828
264,toscana,2.2586977040151828
265,termine,2.2586977040151828
266,martino,2.2586977040151828
267,evangelista,2.2380784168124466
268,predella,2.2380784168124466
269,principii,2.2380784168124466
270,pace,2.217875709494927
271,propria,2.217875709494927
272,buoni,2.1980730821987478
273,piano,2.1786549963416464
274,riuscì,2.1786549963416464
275,lasciando,2.159606801370952
276,ginocchioni,2.159606801370952
277,sepolcro,2.140914668358799
278,lato,2.140914668358799
279,magi,2.140914668358799
280,fabrica,2.140914668358799
281,parenti,2.1225655296906023
282,badia,2.1045470241879243
283,bell,2.1045470241879243
284,tempera,2.1045470241879243
285,cominciato,2.086847447088523
286,stefano,2.086847447088523
287,aretino,2.086847447088523
288,donne,2.0694557043766544
289,frate,2.0523612710173538
290,porte,2.035554152700973
291,andava,2.035554152700973
292,tabernacolo,2.019024850749762
293,bartolomeo,2.002764329877982
294,condotti,1.9867639885315407
295,disegnare,1.9867639885315407
296,dì,1.9867639885315407
297,convento,1.9867639885315407
298,cura,1.9867639885315407
299,condotte,1.9710156315634015
300,lavorava,1.9555114450274362
301,dodici,1.9555114450274362
302,venire,1.9555114450274362
303,campo,1.9555114450274362
304,potesse,1.9402439728966479
305,dagl,1.9252060955321073
306,bisogno,1.9103910097469667
307,discepoli,1.9103910097469667
308,mediante,1.9103910097469667
309,posto,1.9103910097469667
310,dei,1.9103910097469667
311,sei,1.8957922103258142
312,tornando,1.867218837881758
313,dirimpetto,1.8532325959070182
314,finito,1.8258336217189037
315,colorito,1.8258336217189037
316,michele,1.8258336217189037
317,niccolò,1.7991653746367424
318,nostri,1.7860932930693896
319,mostrò,1.7860932930693896
320,architettura,1.7731898882334818
321,eccellenza,1.7731898882334818
322,maravigliosa,1.760450862456052
323,vicino,1.760450862456052
324,vescovo,1.7478720802491918
325,piedi,1.7354495602506348
326,agostino,1.7231794676588204
327,agl,1.7231794676588204
328,principale,1.7231794676588204
329,quadro,1.687247458432757
330,quest,1.687247458432757
331,numero,1.687247458432757
332,piazza,1.6755514186695657
333,braccia,1.6755514186695657
334,cosimo,1.6639905962684898
335,corpo,1.652561900444867
336,verso,1.6300890445928085
337,via,1.6300890445928085
338,dette,1.6190392084062235
339,basso,1.6190392084062235
340,amici,1.608110137874033
341,signor,1.5972992217698176
342,anzi,1.5972992217698176
343,avuto,1.5972992217698176
344,state,1.5655505234552374
345,dio,1.5655505234552374
346,diversi,1.5655505234552374
347,maestri,1.5551877364196907
348,dai,1.5347788647884835
349,quelli,1.5247285289349821
350,lavoro,1.5247285289349821
351,persona,1.5247285289349821
352,essa,1.514778198081814
353,lode,1.5049259016388024
354,ornamenti,1.5049259016388024
355,fuor,1.4951697266934376
356,monte,1.4759383647655502
357,duca,1.4570698804611673
358,stata,1.4477674877988538
359,grandi,1.4385508326939298
360,facesse,1.4385508326939298
361,studio,1.4385508326939298
362,natura,1.4203685136107393
363,condusse,1.4113998436279789
364,croce,1.402510896210733
365,dato,1.402510896210733
366,alcuna,1.402510896210733
367,nostro,1.3849665865598233
368,fresco,1.3763085238167088
369,dipinse,1.3763085238167088
