,term,score
0,cecca,61.666856599441374
1,bambagia,25.15643213127482
2,facevano,24.273844892462854
3,festa,24.263203593941345
4,cielo,16.412623451909337
5,trampoli,16.310254603089383
6,picca,16.310254603089383
7,ferro,16.175469062627563
8,nuvole,15.670832206845411
9,coprivano,15.09385927876489
10,processione,14.555114450274363
11,faceva,13.633003782736326
12,canapo,13.561382407466919
13,telaio,13.561382407466919
14,canapi,13.014417737085054
15,cherubini,12.55196569760328
16,compagnie,12.55196569760328
17,estremi,12.55196569760328
18,andavano,12.205096304045684
19,nuvola,12.151371519729715
20,machine,12.151371519729715
21,legati,11.798022412760561
22,ferri,11.64409156021949
23,dieci,11.190392084062232
24,stile,10.93497619540522
25,giganti,10.93497619540522
26,salir,10.873503068726256
27,vel,10.873503068726256
28,lancia,10.69484807238461
29,cotali,10.533564613826373
30,ingegni,10.347278521883272
31,menti,10.062572852509927
32,braccia,10.053308512017395
33,ceri,9.487208707606365
34,alti,9.402499324107247
35,parevano,9.256128831598952
36,venivano,9.116568784694273
37,pugnale,9.040921604977946
38,dismesse,9.040921604977946
39,accommodati,9.040921604977946
40,spada,8.733068670164617
41,piano,8.714619985366586
42,piedi,8.677247801253174
43,mandorla,8.676278491390036
44,rappresentava,8.676278491390036
45,simili,8.377757093347828
46,piazza,8.377757093347828
47,ordini,8.287808654809798
48,questi,8.206348680751905
49,ciascun,8.186103999782755
50,essercito,8.100914346486476
51,copriva,8.100914346486476
52,funi,8.100914346486476
53,posavano,8.100914346486476
54,feste,7.99248843637004
55,serafini,7.865348275173708
56,fortezze,7.865348275173708
57,posava,7.865348275173708
58,necessità,7.654627243858055
59,persona,7.623642644674911
60,tela,7.556942406836548
61,girava,7.464006884249406
62,ascensione,7.464006884249406
63,gigante,7.464006884249406
64,varie,7.357757095098729
65,ruote,7.289984130270146
66,carri,7.289984130270146
67,mura,7.248979944656297
68,avevano,7.238837438994269
69,angeli,7.192754163469649
70,dice,7.144373172277558
71,alto,7.144373172277558
72,tallora,7.1298987149230735
73,arme,7.092759552933927
74,zecca,6.981682770615629
75,ai,6.881542619083544
76,cintola,6.843697027641727
77,stelle,6.843697027641727
78,sui,6.843697027641727
79,pezzi,6.776093112045548
80,soldati,6.71423525043734
81,maneggiare,6.593370741733715
82,utilità,6.593370741733715
83,rami,6.479053914053818
84,bisognava,6.479053914053818
85,comodità,6.370919471513266
86,proprio,6.367696589071807
87,pareva,6.367696589071807
