,term,score
0,rosso,101.11136178114239
1,bertuccione,45.28157783629467
2,pergola,28.461626122819098
3,fontanableò,24.30274303945943
4,re,21.62903730753502
5,guardiano,18.660017210623515
6,batistino,16.310254603089383
7,contrapeso,16.310254603089383
8,primaticcio,16.201828692972953
9,mal,15.958257792491105
10,borgo,15.52512996646449
11,stanze,14.986402678511592
12,ignudi,14.64611556485482
13,parigi,14.579968260540292
14,giacopo,14.230813061409549
15,galleria,14.230813061409549
16,bellissimo,13.849665865598233
17,francia,13.581707810276535
18,quivi,13.47644266872475
19,disegni,13.283445282889952
20,addosso,13.166955767282966
21,animale,12.55196569760328
22,tal,12.52108468253114
23,stucchi,11.728545405024061
24,andò,11.656559043689338
25,raffaello,11.036635642648093
26,tetto,10.783646041751709
27,faceva,10.603447386572698
28,padiglione,10.472524155923445
29,aretino,10.434237235442616
30,essi,10.339076805952923
31,frate,10.261806355086769
32,chiari,10.071929978049877
33,bizzarrie,10.071929978049877
34,muta,10.062572852509927
35,pertica,10.062572852509927
36,falsamente,10.062572852509927
37,bizarre,10.062572852509927
38,grossissime,10.062572852509927
39,mallevadore,10.062572852509927
40,aria,9.983943577610939
41,cartoni,9.969250220786751
42,stravaganti,9.718580871080727
43,vituperato,9.487208707606365
44,canonicato,9.487208707606365
45,quei,9.474794396918044
46,castello,9.26616297953509
47,fune,9.040921604977946
48,scudi,9.034790816060731
49,vasi,8.855534653725385
50,lappoli,8.676278491390036
51,servi,8.638427205483808
52,visto,8.615406530704774
53,trovava,8.502185546756234
54,peccato,8.502185546756234
55,saltare,8.36797713173552
56,venere,8.287808654809798
57,colori,8.262809502224336
58,fresco,8.257851142900252
59,disegnò,8.142216610803892
60,contadino,8.100914346486476
61,pervenne,8.100914346486476
62,uve,8.100914346486476
63,fosse,7.99248843637004
64,facendo,7.933019663265348
65,imperadore,7.90017346036978
66,dito,7.865348275173708
67,mosè,7.865348275173708
68,arezzo,7.700824382128429
69,stupende,7.654627243858055
70,trasferì,7.654627243858055
71,tornabuoni,7.654627243858055
72,passo,7.654627243858055
73,mani,7.623642644674911
74,tante,7.583168841303257
75,giovinetto,7.556942406836548
76,leggiadra,7.464006884249406
77,tenere,7.32305778242741
78,cittadella,7.289984130270146
79,bravura,7.289984130270146
