,term,score
0,leonbattista,50.31286426254964
1,leon,39.214442932076906
2,batista,20.711315865905807
3,rucellai,19.13656810964514
4,scienza,14.928013768498811
5,libri,14.798022412760563
6,archi,14.607932129619662
7,tribuna,13.01769095153456
8,colonne,12.52108468253114
9,lingua,12.341505108798602
10,architravi,12.151371519729715
11,bisogna,11.977617995975695
12,scritti,11.487208707606365
13,mantoa,11.336247395674977
14,posino,10.873503068726256
15,tradotti,10.873503068726256
16,teorica,10.873503068726256
17,cappelle,10.783646041751709
18,disgrazia,10.472524155923445
19,gierusalem,10.062572852509927
20,alberti,9.718580871080727
21,difficile,9.56891638655882
22,matura,9.487208707606365
23,girare,9.116568784694273
24,abbia,9.034790816060731
25,arco,8.995826873183713
26,mezzogiorno,8.676278491390036
27,canti,8.393082614243607
28,fuggito,8.36797713173552
29,dotti,8.36797713173552
30,sigismondo,8.100914346486476
31,quadra,7.464006884249406
32,latina,7.464006884249406
33,grandi,7.192754163469649
34,pilastri,7.176687289919116
35,medesimi,7.144373172277558
36,cappella,7.056999218139895
37,avanzato,6.981682770615629
38,facciano,6.981682770615629
39,sui,6.843697027641727
40,architetto,6.839253339639045
41,sé,6.796070452287044
42,girano,6.714619985366585
43,operare,6.653627128484781
44,risolvette,6.593370741733715
45,via,6.520356178371234
46,indietro,6.370919471513266
47,modello,6.313641072563772
48,pratica,6.2622020938209495
49,tempii,6.170752554399301
50,utili,6.170752554399301
51,ridurre,6.170752554399301
52,capricciosa,5.988808997987848
53,tonda,5.903689769150256
54,muro,5.820731918689944
55,perfetto,5.743604353803183
56,marchese,5.743604353803183
57,misura,5.5953884094957385
58,nicola,5.5953884094957385
59,estrema,5.457402666521837
60,salutifere,5.436751534363128
61,inverno,5.436751534363128
62,accidentale,5.436751534363128
63,efficacia,5.436751534363128
64,forando,5.436751534363128
65,1477,5.436751534363128
66,aritmetico,5.436751534363128
67,spianano,5.436751534363128
68,puzzi,5.436751534363128
69,morendovi,5.436751534363128
70,menzogne,5.436751534363128
71,filosoficamente,5.436751534363128
72,ringrandirle,5.436751534363128
73,geometrico,5.436751534363128
74,germano,5.436751534363128
