,term,score
0,lionardo,142.67795374290665
1,rotella,38.0572607405419
2,ser,26.33391153456593
3,milano,25.55559847668029
4,duca,20.39897832645634
5,cartone,19.10090933282643
6,fussi,18.804998648214493
7,volse,18.512257663197904
8,vedeva,17.446187886376816
9,stanza,17.42923997073317
10,li,16.745603676477934
11,notomia,16.483426854334287
12,ingegno,16.310569085488908
13,cominciò,15.844057762104468
14,azzione,15.730696550347416
15,metteva,15.670832206845411
16,vinci,15.426881385998252
17,mani,15.247285289349822
18,priore,14.359010884507956
19,amerigo,14.230813061409549
20,re,13.904381126272515
21,forza,13.688580115192053
22,bellezza,13.497979667462056
23,intelletto,13.42923997073317
24,fosse,13.320814060616735
25,esprimere,13.18674148346743
26,testa,13.029907390189685
27,dovunque,13.014417737085054
28,vince,12.55196569760328
29,milanese,12.536665765476329
30,dare,12.213324916205838
31,teste,12.197828231479857
32,bandiera,12.151371519729715
33,filippino,12.151371519729715
34,faceva,12.118225584654512
35,celeste,11.977617995975695
36,oltra,11.843492996147555
37,disegni,11.807506918124401
38,mostrava,11.807379538300513
39,pensare,11.807379538300513
40,pigliare,11.64409156021949
41,diligenzia,11.64409156021949
42,francia,11.641463837379888
43,animali,11.61618112576377
44,cavalli,11.506286592169893
45,villano,11.481940865787083
46,dicesi,11.398755566065075
47,dipignere,11.256770965118232
48,giuda,11.196010326374108
49,divinità,11.196010326374108
50,cercare,11.050411539746397
51,soderini,10.93497619540522
52,budella,10.873503068726256
53,lisa,10.873503068726256
54,ghigno,10.873503068726256
55,salaì,10.873503068726256
56,continuo,10.79803400685476
57,pareva,10.612827648453012
58,vento,10.472524155923445
59,gola,10.26554554146259
60,erbe,10.26554554146259
61,soldato,10.26554554146259
62,ché,10.185519105867854
63,cavagli,10.071929978049877
64,muscoli,10.071929978049877
65,rizzatosi,10.062572852509927
66,confondeva,10.062572852509927
67,tentano,10.062572852509927
68,sonasse,10.062572852509927
69,rensa,10.062572852509927
70,ramarri,10.062572852509927
71,aria,9.983943577610939
72,solo,9.942579595275175
73,spesso,9.701219864483239
74,caminava,9.487208707606365
75,caratteri,9.487208707606365
76,quattrini,9.487208707606365
77,tagliar,9.487208707606365
78,fico,9.487208707606365
79,mancina,9.487208707606365
80,ragioni,9.402499324107247
81,perfezzione,9.393303140731424
82,fino,9.205029273735914
83,andrea,9.148371173609892
84,attese,9.062053006933814
85,benci,9.040921604977946
86,medusa,9.040921604977946
87,aste,9.040921604977946
88,naturali,9.034790816060731
89,rimase,8.80225431228026
90,finita,8.798757724866038
91,qualche,8.798757724866038
92,incredibile,8.792292328794991
93,grandissimo,8.742419282767003
94,milanesi,8.676278491390036
95,olii,8.676278491390036
96,turini,8.676278491390036
97,divinissimo,8.676278491390036
98,scritti,8.615406530704774
99,sdegno,8.502185546756234
100,braccio,8.4954095803988
101,imperfetta,8.49026211876241
102,monna,8.36797713173552
103,vernice,8.36797713173552
104,pinxit,8.36797713173552
105,idea,8.36797713173552
106,sottigliezza,8.36797713173552
107,abbandonò,8.36797713173552
108,tenne,8.347389788354093
109,esser,8.30979951935894
110,divina,8.287808654809798
111,figliuolo,8.206348680751905
112,via,8.150445222964041
113,alzare,8.100914346486476
114,pervenne,8.100914346486476
115,mistura,8.100914346486476
116,tradimento,8.100914346486476
117,rimanendo,8.100914346486476
118,goffa,8.100914346486476
119,giorno,8.095196042031118
120,divino,8.087734531313782
121,nulla,8.087734531313782
122,anna,8.087734531313782
123,carne,7.99248843637004
124,portò,7.884062526253606
125,modegli,7.865348275173708
126,nervi,7.865348275173708
127,umani,7.865348275173708
128,potersi,7.865348275173708
129,effetto,7.723651960300979
130,degli,7.6738943239424176
131,potuta,7.654627243858055
132,lira,7.654627243858055
133,tentò,7.654627243858055
134,serpe,7.654627243858055
135,pennello,7.639139329400891
136,viso,7.639139329400891
137,avea,7.583168841303257
138,laonde,7.583168841303257
139,parole,7.468875351527032
140,fuga,7.464006884249406
141,miracolosa,7.464006884249406
142,credendo,7.464006884249406
143,peli,7.464006884249406
144,chiaro,7.412930383628073
145,gambe,7.3990112063802815
146,veder,7.303334486875615
147,bizzarra,7.289984130270146
148,pescia,7.289984130270146
149,denti,7.289984130270146
150,avvenga,7.289984130270146
151,sonare,7.289984130270146
152,cavallo,7.249642405547052
153,sala,7.249642405547052
154,talmente,7.176687289919116
155,palma,7.1298987149230735
156,maravigliosa,7.041803449824208
157,lodovico,7.037127243014436
158,scuri,6.981682770615629
159,orribile,6.981682770615629
160,olio,6.941798241002539
161,ad,6.9248329327991165
162,amore,6.892717870635281
163,gagliardo,6.843697027641727
164,uccelli,6.843697027641727
165,rovescio,6.843697027641727
166,maravigliosamente,6.843697027641727
167,infinita,6.839253339639045
168,anche,6.776093112045548
169,potere,6.776093112045548
170,poteva,6.748989833731028
171,ho,6.748989833731028
172,aperse,6.714619985366585
173,tra,6.71423525043734
174,colorire,6.71423525043734
175,lume,6.653627128484781
176,quegli,6.610247601779468
177,volle,6.610247601779468
178,leone,6.594219246596243
179,marini,6.593370741733715
180,venir,6.593370741733715
181,vederla,6.593370741733715
182,giuliano,6.535964989024939
183,umana,6.479053914053818
184,divinamente,6.479053914053818
185,soleva,6.479053914053818
186,naso,6.479053914053818
187,breve,6.479053914053818
188,cenacolo,6.479053914053818
189,imagine,6.479053914053818
190,ritrasse,6.432440551496132
191,fuoco,6.422744005076397
192,avuto,6.389196887079271
193,nascere,6.370919471513266
194,possa,6.367696589071807
195,lasciò,6.346415730612279
196,volere,6.313641072563772
197,consiglio,6.313641072563772
198,mercatanti,6.268332882738164
199,continuando,6.268332882738164
200,frati,6.2622020938209495
201,fanciullo,6.26054234126557
202,sul,6.1797249450100065
203,quadretto,6.170752554399301
204,mente,6.170752554399301
205,profitto,6.170752554399301
206,occhi,6.157083813052061
207,altrimenti,6.157083813052061
208,difficultà,6.157083813052061
209,memoria,6.139115459153934
210,disegnò,6.106662458102919
211,persona,6.0989141157399285
212,modi,6.057074552249286
213,fantasia,5.988808997987848
214,ragionamenti,5.988808997987848
215,donde,5.988808997987848
216,pur,5.9806789067737505
217,disegnare,5.960291965594622
218,rilievo,5.942031263126803
219,vivo,5.903753459062201
220,dire,5.903753459062201
221,desiderava,5.903689769150256
222,acqua,5.866534335082308
223,dipignesse,5.822045780109745
224,capitano,5.822045780109745
225,potesse,5.820731918689944
226,muro,5.820731918689944
227,bello,5.791069951195415
228,quivi,5.7756182865963215
229,io,5.754203330775719
230,facesse,5.754203330775719
231,vivezza,5.743604353803183
232,benché,5.743604353803183
233,visto,5.743604353803183
234,sarebbono,5.743604353803183
235,fé,5.743604353803183
236,ducati,5.743604353803183
237,dentrovi,5.7311730292409
238,forma,5.7311730292409
239,tante,5.687376630977443
240,allogato,5.668123697837489
241,angelo,5.644210418621144
242,grandissima,5.610043584842932
243,felice,5.5953884094957385
244,sottili,5.5953884094957385
245,femine,5.5953884094957385
246,mancava,5.525205769873199
247,attendeva,5.525205769873199
248,pensiero,5.457402666521837
249,capegli,5.457402666521837
250,paura,5.457402666521837
251,cervello,5.457402666521837
252,capo,5.437231804160289
253,catoliche,5.436751534363128
254,virgilius,5.436751534363128
255,ombrassino,5.436751534363128
256,pannilini,5.436751534363128
257,maris,5.436751534363128
258,leonardus,5.436751534363128
259,stampar,5.436751534363128
260,portatela,5.436751534363128
261,fantasime,5.436751534363128
262,cavandoli,5.436751534363128
263,aspettasse,5.436751534363128
264,lassatagli,5.436751534363128
265,cassiere,5.436751534363128
266,cartocci,5.436751534363128
267,cercherebbe,5.436751534363128
268,accozzarsi,5.436751534363128
269,porgerli,5.436751534363128
270,ornava,5.436751534363128
271,farfalle,5.436751534363128
272,portolli,5.436751534363128
273,suso,5.436751534363128
274,stringendolo,5.436751534363128
275,tacitamente,5.436751534363128
276,recasse,5.436751534363128
277,vincius,5.436751534363128
278,orche,5.436751534363128
279,statuaria,5.436751534363128
280,groppo,5.436751534363128
281,abbacinato,5.436751534363128
282,strabocchevolmente,5.436751534363128
283,ast,5.436751534363128
284,dicitore,5.436751534363128
285,vignaruolo,5.436751534363128
286,ghiribizzare,5.436751534363128
287,castrato,5.436751534363128
288,battezzava,5.436751534363128
289,digrassare,5.436751534363128
290,assolute,5.436751534363128
291,stuolo,5.436751534363128
292,avvelenava,5.436751534363128
293,oculis,5.436751534363128
294,acconciossi,5.436751534363128
295,gualchiere,5.436751534363128
296,vinceva,5.436751534363128
297,gonfiandole,5.436751534363128
298,strale,5.436751534363128
299,assettò,5.436751534363128
300,seguissi,5.436751534363128
301,creator,5.436751534363128
302,rinfocolò,5.436751534363128
303,guardatura,5.436751534363128
304,vincit,5.436751534363128
305,largita,5.436751534363128
306,palmizio,5.436751534363128
307,abbandonava,5.436751534363128
308,occuparne,5.436751534363128
309,acconciatala,5.436751534363128
310,rasserenava,5.436751534363128
311,intrecciatisi,5.436751534363128
312,datala,5.436751534363128
313,raccoglieva,5.436751534363128
314,inumanità,5.436751534363128
315,aggrappato,5.436751534363128
316,demostrazione,5.436751534363128
317,contentissima,5.436751534363128
318,riuscigli,5.436751534363128
319,monstruosa,5.436751534363128
320,valdanbrini,5.436751534363128
321,informare,5.436751534363128
322,tuba,5.436751534363128
323,pecorino,5.436751534363128
324,domesticatolo,5.436751534363128
325,sollecitar,5.436751534363128
326,indurata,5.436751534363128
327,persuadeva,5.436751534363128
328,boltraffio,5.436751534363128
329,finezze,5.436751534363128
330,artificiosissimo,5.436751534363128
331,pescagioni,5.436751534363128
332,campanella,5.436751534363128
333,mormorato,5.436751534363128
334,disonorata,5.436751534363128
335,ritrargli,5.436751534363128
336,concepute,5.436751534363128
337,spaventare,5.436751534363128
338,caminò,5.436751534363128
339,bontade,5.436751534363128
340,tremavano,5.436751534363128
341,spaventoso,5.436751534363128
342,concipere,5.436751534363128
343,indiscreto,5.436751534363128
344,sottomettervi,5.436751534363128
345,sollecitarli,5.436751534363128
346,ruinarlo,5.436751534363128
347,formando,5.436751534363128
348,rossette,5.436751534363128
349,alloggato,5.436751534363128
350,conspexit,5.436751534363128
351,cadaveri,5.436751534363128
352,formandosi,5.436751534363128
353,allegerisse,5.436751534363128
354,undisoni,5.436751534363128
355,locuste,5.436751534363128
356,sonora,5.436751534363128
357,sopragiunseli,5.436751534363128
358,forargli,5.436751534363128
359,allargandolo,5.436751534363128
360,ènne,5.436751534363128
361,alito,5.436751534363128
362,cadevano,5.436751534363128
363,rossigni,5.436751534363128
364,purgare,5.436751534363128
365,buffando,5.436751534363128
366,rivolse,5.436751534363128
367,sostenendosi,5.436751534363128
368,roza,5.436751534363128
369,zappavano,5.436751534363128
370,interrati,5.436751534363128
371,usovvi,5.436751534363128
372,uterque,5.436751534363128
373,flectit,5.436751534363128
374,congiunse,5.436751534363128
375,aguagliandole,5.436751534363128
376,agrupamento,5.436751534363128
377,ingessò,5.436751534363128
378,ingessatala,5.436751534363128
379,spegneranno,5.436751534363128
380,ritraggono,5.436751534363128
381,elevatissimo,5.436751534363128
382,colare,5.436751534363128
383,filosofiche,5.436751534363128
384,ristituire,5.436751534363128
385,discoresse,5.436751534363128
386,elevazione,5.436751534363128
387,presoli,5.436751534363128
388,torceva,5.436751534363128
389,galeno,5.436751534363128
390,naturalità,5.436751534363128
391,empiessi,5.436751534363128
392,vendevano,5.436751534363128
393,galilee,5.436751534363128
394,vendutagli,5.436751534363128
395,imaginava,5.436751534363128
396,eos,5.436751534363128
397,neptunum,5.436751534363128
398,torta,5.436751534363128
399,equos,5.436751534363128
400,adattata,5.436751534363128
401,berretton,5.436751534363128
402,iureque,5.436751534363128
403,idee,5.436751534363128
404,acquitrine,5.436751534363128
405,armar,5.436751534363128
406,homerus,5.436751534363128
407,arreca,5.436751534363128
408,generosissimo,5.436751534363128
409,arrecatosi,5.436751534363128
410,restituendoli,5.436751534363128
411,sgusciarlo,5.436751534363128
412,esito,5.436751534363128
413,torniatore,5.436751534363128
414,ragionavasi,5.436751534363128
415,veddono,5.436751534363128
416,inalberato,5.436751534363128
417,progenie,5.436751534363128
418,ritornatosi,5.436751534363128
419,trastullando,5.436751534363128
420,involta,5.436751534363128
421,vates,5.436751534363128
422,mostrollo,5.436751534363128
423,parossismo,5.436751534363128
424,volontaroso,5.436751534363128
425,radi,5.436751534363128
426,incarnata,5.436751534363128
427,inanellati,5.436751534363128
428,incollato,5.436751534363128
429,spezzarono,5.436751534363128
430,spezzata,5.436751534363128
431,filosofando,5.436751534363128
432,fierissima,5.436751534363128
433,tradir,5.436751534363128
434,parse,5.436751534363128
435,tradiva,5.436751534363128
436,raggionerà,5.436751534363128
437,mulini,5.436751534363128
438,improviso,5.436751534363128
439,animalaccio,5.436751534363128
440,melzo,5.436751534363128
441,andare,5.397496123910227
442,letto,5.391823020875854
443,ferro,5.391823020875854
444,mostrò,5.358279879208169
445,perdita,5.328325624246694
446,piacevole,5.328325624246694
447,pacienza,5.328325624246694
448,portava,5.328325624246694
449,maraviglia,5.319569664700445
450,disse,5.319569664700445
451,intendere,5.2667823069131865
452,petto,5.2667823069131865
453,dolse,5.2667823069131865
454,arebbe,5.243616240747576
455,co,5.207076380613824
456,considerazioni,5.207076380613824
457,stessa,5.207076380613824
458,penna,5.207076380613824
