,term,score
0,statua,43.72388905024559
1,guglielmo,33.573099926832924
2,lione,30.853762771996504
3,marmo,27.088666229498443
4,milano,25.55559847668029
5,grimaldi,21.747006137452512
6,medaglie,21.067129227652746
7,quattro,20.93237617370813
8,bronzo,20.35554152700973
9,metallo,20.143859956099753
10,nanni,19.13656810964514
11,imperatore,17.743005675959417
12,signor,17.570291439467994
13,galeazzo,17.352556982780072
14,re,16.99424359877752
15,iacomo,16.73595426347104
16,molo,16.310254603089383
17,uffizio,16.197634785134547
18,lago,15.30925448771611
19,bagno,15.30925448771611
20,palmi,14.928013768498811
21,statue,14.607932129619662
22,michelagnolo,14.39332299709394
23,acciaio,14.230813061409549
24,getto,14.17030924459372
25,quinto,13.939417350916523
26,posta,13.688464857011805
27,conii,13.014417737085054
28,portone,12.55196569760328
29,rovesci,12.55196569760328
30,teste,12.197828231479857
31,palazzi,12.15542504625903
32,alta,11.961145483198525
33,antiche,11.920583931189244
34,monte,11.807506918124401
35,pio,11.807379538300513
36,reina,11.487208707606365
37,marchese,11.487208707606365
38,sei,11.374753261954886
39,piombo,11.190776818991477
40,ultimamente,11.190776818991477
41,scultore,11.036635642648093
42,giovan,10.893274981708231
43,madril,10.873503068726256
44,sulisse,10.873503068726256
45,laghetto,10.873503068726256
46,matrona,10.873503068726256
47,sepolcro,10.704573341793996
48,fabrica,10.704573341793996
49,carlo,10.612827648453012
50,maestà,10.075923209115397
51,vestita,10.071929978049877
52,spagna,10.071929978049877
53,condotto,10.06985582885751
54,aurelio,10.062572852509927
55,alva,10.062572852509927
56,moroni,10.062572852509927
57,braccia,10.053308512017395
58,cardinal,9.865348275173709
59,cardinale,9.78053426755685
60,dodici,9.777557225137182
61,basso,9.71423525043734
62,nicchie,9.665306592875062
63,comodità,9.556379207269899
64,porto,9.556379207269899
65,genova,9.556379207269899
66,calda,9.487208707606365
67,quatro,9.487208707606365
68,galleria,9.487208707606365
69,comodissima,9.487208707606365
70,fredda,9.487208707606365
71,scultori,9.474794396918044
72,parti,9.456130939935196
73,sepoltura,9.456130939935196
74,giovanezza,9.382836324019248
75,attese,9.062053006933814
76,busto,9.040921604977946
77,contrada,9.040921604977946
78,circolo,9.040921604977946
79,spazio,8.952313667249786
80,aspetto,8.855534653725385
81,reggono,8.855534653725385
82,duca,8.742419282767003
83,pompeo,8.676278491390036
84,magnifica,8.615406530704774
85,ho,8.436237292163785
86,catolico,8.36797713173552
87,pontefice,8.277822817506618
88,ritratti,8.262809502224336
89,farnese,8.186103999782755
90,edifizii,8.186103999782755
91,ferrante,8.100914346486476
92,avuto,7.986496108849089
93,terzo,7.947055954126163
94,eccetto,7.90017346036978
95,nuda,7.865348275173708
96,gobbo,7.865348275173708
97,vendetta,7.865348275173708
98,bastare,7.865348275173708
99,1547,7.654627243858055
100,tredici,7.654627243858055
101,farnesi,7.654627243858055
102,son,7.641564038987867
103,forma,7.641564038987867
104,scultura,7.583168841303257
105,acque,7.556942406836548
106,filippo,7.525613891494858
107,mare,7.4769376655900635
108,cerere,7.464006884249406
109,chiamato,7.379691823827751
110,vivo,7.379691823827751
111,usa,7.289984130270146
112,padre,7.285349402305837
113,innanzi,7.249642405547052
114,cavallo,7.249642405547052
115,studio,7.192754163469649
116,destra,7.176687289919116
117,alto,7.144373172277558
118,comodamente,7.1298987149230735
119,publica,7.1298987149230735
120,ritonda,7.1298987149230735
121,imperatori,7.1298987149230735
122,porsi,7.1298987149230735
123,particolare,7.106095797688534
124,quarto,7.037127243014436
125,vescovo,6.991488320996767
126,campidoglio,6.981682770615629
127,riccio,6.981682770615629
128,cercato,6.981682770615629
129,duomo,6.941798241002539
130,tommaso,6.903771955301935
131,batista,6.903771955301935
132,gonzaga,6.843697027641727
133,rendono,6.843697027641727
134,architetto,6.839253339639045
135,strada,6.776093112045548
136,scudi,6.776093112045548
137,pulciano,6.714619985366585
138,affaticarsi,6.714619985366585
139,piazza,6.702205674678263
140,pace,6.653627128484781
141,marini,6.593370741733715
142,istesso,6.593370741733715
143,sedere,6.535964989024939
144,mostri,6.479053914053818
145,prigioni,6.479053914053818
146,dette,6.476156833624894
147,stanze,6.422744005076397
148,corte,6.422744005076397
149,fuoco,6.422744005076397
150,fortificazioni,6.370919471513266
151,giacere,6.370919471513266
152,proprio,6.367696589071807
153,bell,6.313641072563772
154,paulo,6.304087293290131
155,venne,6.304087293290131
156,figurette,6.268332882738164
157,dovevano,6.268332882738164
158,posa,6.268332882738164
159,diversi,6.2622020938209495
160,colonne,6.26054234126557
161,comodo,6.170752554399301
162,resta,6.170752554399301
163,so,6.106662458102919
164,andava,6.106662458102919
165,mandate,6.077712523129515
166,ornata,6.077712523129515
167,crede,6.077712523129515
168,essa,6.059112792327256
169,sulla,6.057074552249286
170,figura,6.019703606555209
171,gesso,5.988808997987848
172,pur,5.9806789067737505
173,ignuda,5.903689769150256
174,caro,5.903689769150256
175,acqua,5.866534335082308
176,luoghi,5.865838483244025
177,farle,5.822045780109745
178,spada,5.822045780109745
179,otto,5.7756182865963215
180,io,5.754203330775719
181,sarebbono,5.743604353803183
182,minerva,5.743604353803183
183,tante,5.687376630977443
184,entra,5.668123697837489
185,croce,5.610043584842932
186,perugino,5.5953884094957385
187,ispagna,5.5953884094957385
188,belle,5.539866346239293
189,dono,5.525205769873199
190,larga,5.525205769873199
191,luigi,5.525205769873199
192,adamo,5.525205769873199
193,punto,5.437231804160289
194,seccati,5.436751534363128
195,granata,5.436751534363128
196,staio,5.436751534363128
197,ascosa,5.436751534363128
198,aberevando,5.436751534363128
199,rinunzia,5.436751534363128
200,invidiavano,5.436751534363128
201,interpretato,5.436751534363128
202,terminetti,5.436751534363128
203,disformi,5.436751534363128
204,porgli,5.436751534363128
205,guastalla,5.436751534363128
206,rimandate,5.436751534363128
207,caesaris,5.436751534363128
208,lasciandovi,5.436751534363128
209,scudiero,5.436751534363128
210,guerrini,5.436751534363128
211,sparsamente,5.436751534363128
212,restaurando,5.436751534363128
213,metto,5.436751534363128
214,bagnetto,5.436751534363128
215,operorono,5.436751534363128
216,caraffi,5.436751534363128
217,statagli,5.436751534363128
218,giovanpaulo,5.436751534363128
219,rane,5.436751534363128
220,7800,5.436751534363128
221,inusitato,5.436751534363128
222,riveggendo,5.436751534363128
223,aureliana,5.436751534363128
224,raffreddasse,5.436751534363128
225,augumentazione,5.436751534363128
