,term,score
0,lippo,33.47190852694208
1,musaico,11.336247395674977
2,bologna,8.011057319511927
3,capella,6.520356178371234
4,faenza,6.268332882738164
5,invenzione,6.1797249450100065
6,bellissime,6.1797249450100065
7,apertamente,5.743604353803183
8,fresco,5.505234095266835
9,dipinse,5.505234095266835
10,assedio,5.457402666521837
11,beccundi,5.436751534363128
12,acennata,5.436751534363128
13,infelicemente,5.436751534363128
14,scherzare,5.436751534363128
15,biasimando,5.436751534363128
16,spedaletti,5.436751534363128
17,perdizione,5.436751534363128
18,gradisce,5.436751534363128
19,galante,5.436751534363128
20,dalmasi,5.436751534363128
21,appostato,5.436751534363128
22,velata,5.436751534363128
23,mccccx,5.436751534363128
24,litigiosa,5.436751534363128
25,proclo,5.436751534363128
26,piture,5.436751534363128
27,gozzi,5.436751534363128
28,areopagita,5.436751534363128
29,arcora,5.436751534363128
30,inclinava,5.436751534363128
31,esaltano,5.436751534363128
32,rovinato,5.2667823069131865
33,bruttissime,5.0312864262549635
34,1407,5.0312864262549635
35,terminato,5.0312864262549635
36,appetiti,5.0312864262549635
37,rianno,5.0312864262549635
38,1354,4.743604353803183
39,lacci,4.743604353803183
40,svegliare,4.743604353803183
41,morti,4.602514636867957
42,visione,4.520460802488973
43,fantastichi,4.520460802488973
44,composte,4.520460802488973
45,tribunale,4.520460802488973
46,verissima,4.520460802488973
47,racconciò,4.520460802488973
48,portelli,4.520460802488973
49,infelici,4.520460802488973
50,maniche,4.520460802488973
51,pure,4.485509180080313
52,fuor,4.485509180080313
53,tenute,4.3961461643974955
54,antonio,4.343302463396562
55,1383,4.338139245695018
56,invetriata,4.338139245695018
57,discordia,4.338139245695018
58,avversario,4.338139245695018
59,cervelli,4.338139245695018
60,truovano,4.338139245695018
61,allato,4.319213602741904
62,miseramente,4.18398856586776
63,lodando,4.18398856586776
64,infelice,4.18398856586776
65,ordinate,4.18398856586776
66,corto,4.18398856586776
67,buffalmacco,4.18398856586776
68,comporre,4.18398856586776
69,disegnò,4.071108305401946
70,ubertini,4.050457173243238
71,ghiribizzi,4.050457173243238
72,tostamente,4.050457173243238
73,sollecito,4.050457173243238
74,dionigi,4.050457173243238
75,adoperandosi,3.932674137586854
76,ingegnosamente,3.932674137586854
77,seguitano,3.932674137586854
78,coltello,3.932674137586854
79,dagl,3.8504121910642146
80,andate,3.8273136219290276
81,mercanzia,3.8273136219290276
82,guelfa,3.8273136219290276
83,tentò,3.8273136219290276
84,nei,3.762806945747429
85,affatica,3.732003442124703
86,guaste,3.644992065135073
87,ferito,3.644992065135073
88,medesimi,3.572186586138779
89,intesi,3.5649493574615367
90,pinti,3.4908413853078146
91,agl,3.4463589353176407
92,diverse,3.4221162142529513
93,tardi,3.4218485138208634
94,poesia,3.4218485138208634
95,talora,3.4218485138208634
96,ragionevolmente,3.4218485138208634
97,adorano,3.3573099926832923
98,credono,3.2966853708668573
99,diligentemente,3.2966853708668573
100,maravigliosi,3.239526957026909
101,tornava,3.239526957026909
102,talvolta,3.239526957026909
103,presenti,3.239526957026909
104,rovine,3.239526957026909
105,tempio,3.238078416812447
106,tenuta,3.216220275748066
107,espresse,3.185459735756633
108,petronio,3.185459735756633
109,pena,3.134166441369082
110,destrezza,3.134166441369082
111,ombra,3.134166441369082
112,nondimeno,3.1103754728393813
113,novità,3.0853762771996505
114,quelli,3.0494570578699642
115,vario,3.0388562615647574
116,capricci,2.994404498993924
117,salute,2.994404498993924
118,coperta,2.994404498993924
119,accanto,2.994404498993924
120,veste,2.951844884575128
121,mostrava,2.951844884575128
122,tirati,2.951844884575128
123,mondo,2.9141397609223345
124,vivamente,2.9110228900548725
125,animi,2.9110228900548725
126,stata,2.8955349755977076
127,grandi,2.8771016653878596
128,sera,2.8718021769015913
129,cominciasse,2.8718021769015913
130,certi,2.8588366982613147
131,scorti,2.8340618489187444
132,onorate,2.7976942047478692
133,dimostra,2.7976942047478692
134,medesimamente,2.7976942047478692
135,dall,2.787400533057156
136,bellissimo,2.7699331731196466
137,cristofano,2.695911510437927
138,artifizio,2.695911510437927
139,camaldoli,2.695911510437927
140,straordinaria,2.695911510437927
141,amava,2.664162812123347
142,insegnò,2.664162812123347
143,petto,2.6333911534565932
144,mattina,2.6333911534565932
145,frutti,2.6333911534565932
146,cominciando,2.6333911534565932
147,tribuna,2.603538190306912
148,misericordia,2.603538190306912
149,poveri,2.603538190306912
