,term,score
0,boccaccino,25.15643213127482
1,lorenzetto,16.73595426347104
2,raffaello,14.715514190197458
3,lorenzo,14.294183491306573
4,inalzare,10.873503068726256
5,lodi,10.783646041751709
6,restaurato,10.062572852509927
7,xlvii,10.062572852509927
8,cremona,9.487208707606365
9,ristorato,9.040921604977946
10,statue,8.347389788354093
11,antiche,7.947055954126163
12,paulo,7.8801091166126636
13,marmo,7.524629508194012
14,fabricato,7.464006884249406
15,camillo,7.289984130270146
16,accomodò,7.1298987149230735
17,valle,6.981682770615629
18,agostino,6.892717870635281
19,potere,6.776093112045548
20,romano,6.776093112045548
21,fortuna,6.478820404112856
22,dette,6.476156833624894
23,sepoltura,6.304087293290131
24,biasimo,6.268332882738164
25,deono,6.170752554399301
26,clemente,6.157083813052061
27,danno,6.106662458102919
28,averebbe,5.822045780109745
29,lombardia,5.5953884094957385
30,bernardino,5.5953884094957385
31,caffarelli,5.436751534363128
32,manche,5.436751534363128
33,ginepro,5.436751534363128
34,accorandosi,5.436751534363128
35,abbattergli,5.436751534363128
36,amazzavano,5.436751534363128
37,trafitto,5.436751534363128
38,abbassarle,5.436751534363128
39,campanaio,5.436751534363128
40,sarone,5.436751534363128
41,tribuit,5.436751534363128
42,propizio,5.436751534363128
43,laurentio,5.436751534363128
44,adulando,5.436751534363128
45,essercitar,5.436751534363128
46,diffese,5.436751534363128
47,infortunii,5.436751534363128
48,alio,5.436751534363128
49,rottami,5.436751534363128
50,subcinerizio,5.436751534363128
51,standovi,5.436751534363128
52,affacciava,5.436751534363128
53,tumulum,5.436751534363128
54,avilirle,5.436751534363128
55,dispetti,5.436751534363128
56,traspontina,5.436751534363128
57,cefis,5.436751534363128
58,discuoprono,5.436751534363128
59,mdxli,5.436751534363128
60,obire,5.436751534363128
61,ravvedersi,5.436751534363128
62,nasci,5.436751534363128
63,chiarì,5.436751534363128
64,forteguerri,5.436751534363128
65,sculptori,5.436751534363128
66,archibugieri,5.436751534363128
67,vellet,5.436751534363128
68,cambiarono,5.436751534363128
69,dilicatissimo,5.436751534363128
70,ingrandirlo,5.436751534363128
71,cotali,5.2667823069131865
72,nemo,5.0312864262549635
73,cottimo,5.0312864262549635
74,tronchi,5.0312864262549635
75,ristorarlo,5.0312864262549635
76,ristorare,5.0312864262549635
77,iona,5.0312864262549635
78,indegnamente,5.0312864262549635
79,danni,5.0312864262549635
80,nicchione,5.0312864262549635
81,combatté,5.0312864262549635
82,incomodità,5.0312864262549635
83,cremonesi,5.0312864262549635
84,contrarie,5.0312864262549635
85,levavano,5.0312864262549635
86,dianzi,5.0312864262549635
87,disperano,5.0312864262549635
88,lupino,5.0312864262549635
89,difettose,5.0312864262549635
90,volanti,5.0312864262549635
91,cappellette,5.0312864262549635
92,giardino,4.932674137586854
93,cardinale,4.890267133778425
94,amorevole,4.882038521618274
95,mura,4.832653296437531
96,nicchie,4.832653296437531
97,accade,4.78445819327941
98,data,4.78445819327941
99,certissimo,4.743604353803183
100,biasimava,4.743604353803183
101,ghigi,4.743604353803183
102,cremonese,4.743604353803183
103,caminava,4.743604353803183
104,mihi,4.743604353803183
105,lacero,4.743604353803183
106,solari,4.743604353803183
107,perini,4.743604353803183
108,acerbi,4.743604353803183
109,beneficii,4.743604353803183
110,vitam,4.743604353803183
111,allogata,4.737397198459022
112,fanciulli,4.737397198459022
113,adoperato,4.691418162009624
114,fatiche,4.60433659436545
115,infrascritto,4.520460802488973
116,procacciare,4.520460802488973
117,loco,4.520460802488973
118,uscirne,4.520460802488973
119,58,4.520460802488973
120,operava,4.520460802488973
121,generalmente,4.520460802488973
122,chiusi,4.520460802488973
123,risplendere,4.520460802488973
124,ressurezzione,4.520460802488973
125,sentirsi,4.520460802488973
126,macello,4.520460802488973
127,savi,4.520460802488973
128,xv,4.520460802488973
129,florentino,4.520460802488973
130,meno,4.456523447345102
131,spese,4.435751418989854
132,operare,4.435751418989854
133,infinitamente,4.435751418989854
134,chiamato,4.42781509429665
135,qualche,4.399378862433019
136,lontano,4.357309992683293
137,menses,4.338139245695018
138,dovendosi,4.338139245695018
139,scoprendo,4.338139245695018
140,aspettato,4.338139245695018
141,violenza,4.338139245695018
142,caduto,4.338139245695018
143,canna,4.338139245695018
144,conseguì,4.338139245695018
145,florentia,4.338139245695018
146,corbi,4.338139245695018
147,spartì,4.338139245695018
148,gonfiare,4.338139245695018
149,sepolcro,4.281829336717598
150,poté,4.281829336717598
151,aiutato,4.245131059381205
152,uomo,4.234199530883936
153,essequire,4.18398856586776
154,perfettissimamente,4.18398856586776
155,posero,4.18398856586776
156,aggravato,4.18398856586776
157,vanagloria,4.18398856586776
158,restaurate,4.18398856586776
159,1541,4.18398856586776
160,aspettavano,4.18398856586776
161,ventre,4.18398856586776
162,celebrate,4.18398856586776
163,discreto,4.18398856586776
164,dies,4.18398856586776
165,parimenti,4.18398856586776
166,conobbero,4.18398856586776
167,ingannano,4.18398856586776
168,addunque,4.18398856586776
169,cominciano,4.18398856586776
170,continuò,4.18398856586776
171,12,4.18398856586776
172,ponte,4.138911408753309
173,facciata,4.128925571450126
174,meritavano,4.050457173243238
175,convengono,4.050457173243238
176,giovò,4.050457173243238
177,antichi,3.9735279770630814
178,urbino,3.942031263126803
179,riescono,3.932674137586854
180,elia,3.932674137586854
181,rimediare,3.932674137586854
182,deposito,3.932674137586854
183,costumatamente,3.932674137586854
184,popolo,3.9110228900548725
185,passò,3.8504121910642146
186,quivi,3.8504121910642146
187,fregiatura,3.8273136219290276
188,pili,3.8273136219290276
189,annos,3.8273136219290276
190,bartolini,3.8273136219290276
191,imperfetti,3.8273136219290276
192,vixit,3.8273136219290276
193,rimasono,3.8273136219290276
194,laonde,3.7915844206516285
195,tornando,3.734437675763516
196,miglio,3.732003442124703
197,affaticano,3.732003442124703
198,deputati,3.732003442124703
199,stalle,3.732003442124703
200,intere,3.732003442124703
201,grido,3.732003442124703
202,riso,3.732003442124703
203,aiuti,3.732003442124703
204,temere,3.732003442124703
205,ingegnò,3.732003442124703
206,pesce,3.644992065135073
207,rimunerato,3.644992065135073
208,dànno,3.644992065135073
209,esserne,3.644992065135073
210,trattenendo,3.644992065135073
211,punto,3.624821202773526
212,veggiono,3.598330749273485
213,medesimi,3.572186586138779
214,stettono,3.5649493574615367
215,voltò,3.5649493574615367
216,celebrati,3.5649493574615367
217,baldassarri,3.5649493574615367
218,basamenti,3.5649493574615367
219,ritonda,3.5649493574615367
220,verrocchio,3.5649493574615367
221,architettura,3.5463797764669636
222,conoscere,3.520901724912104
223,gettato,3.4908413853078146
224,partendosi,3.4908413853078146
225,agata,3.4908413853078146
226,seguitasse,3.4908413853078146
227,facciano,3.4908413853078146
228,troppo,3.4708991205012696
229,miglioramento,3.4218485138208634
230,gismondo,3.4218485138208634
231,sicuro,3.4218485138208634
232,lasciate,3.4218485138208634
233,nimico,3.4218485138208634
234,febre,3.3573099926832923
235,onoratissima,3.3573099926832923
236,dirlo,3.3573099926832923
237,pane,3.3573099926832923
238,affaticarsi,3.3573099926832923
239,braccia,3.3511028373391314
240,case,3.3511028373391314
241,fatica,3.305123800889734
242,benissimo,3.305123800889734
243,lasciano,3.2966853708668573
244,meritano,3.2966853708668573
245,riuscita,3.2966853708668573
246,capella,3.260178089185617
247,via,3.260178089185617
248,mancato,3.239526957026909
249,iii,3.239526957026909
250,miniatore,3.239526957026909
251,aggiugnere,3.239526957026909
252,allogate,3.239526957026909
253,sposalizio,3.239526957026909
254,mise,3.216220275748066
255,anzi,3.1945984435396353
256,basse,3.185459735756633
257,suole,3.185459735756633
258,capitegli,3.185459735756633
259,incoronazione,3.185459735756633
260,mercante,3.185459735756633
261,pulitamente,3.185459735756633
262,consumato,3.185459735756633
263,favori,3.134166441369082
264,sperare,3.134166441369082
265,povertà,3.134166441369082
266,parola,3.134166441369082
267,milanese,3.134166441369082
268,stesso,3.1103754728393813
269,condottosi,3.0853762771996505
270,stimate,3.0853762771996505
271,stesse,3.0853762771996505
272,ii,3.0853762771996505
273,stimata,3.0853762771996505
274,bandinelli,3.0853762771996505
275,memoria,3.069557729576967
276,andrea,3.0494570578699642
277,largamente,3.0388562615647574
278,cortesia,3.0388562615647574
279,scoperta,3.0388562615647574
280,videro,3.0388562615647574
281,partimento,3.0388562615647574
282,rifare,2.994404498993924
283,passati,2.994404498993924
284,uscito,2.994404498993924
285,ultimi,2.994404498993924
286,liberalità,2.994404498993924
287,pur,2.9903394533868752
288,rilievo,2.9710156315634015
289,abbiano,2.951844884575128
290,lungamente,2.951844884575128
291,finita,2.9329192416220127
292,andò,2.9141397609223345
293,lodati,2.9110228900548725
294,avevano,2.8955349755977076
295,antonio,2.8955349755977076
296,studio,2.8771016653878596
297,cioè,2.8771016653878596
298,levare,2.8718021769015913
299,avendosi,2.8718021769015913
300,premio,2.8718021769015913
301,cortese,2.8718021769015913
302,decimo,2.8718021769015913
303,credenza,2.8718021769015913
304,cercò,2.8340618489187444
305,alcuna,2.805021792421466
306,mille,2.7976942047478692
307,vaso,2.7976942047478692
308,metter,2.7976942047478692
309,insegna,2.7976942047478692
310,adoperò,2.7976942047478692
311,vivuto,2.7976942047478692
312,avanti,2.7976942047478692
313,ad,2.7699331731196466
314,vago,2.7626028849365993
315,veggendo,2.7626028849365993
316,ricchissimo,2.7626028849365993
317,qualunche,2.7626028849365993
318,membra,2.7626028849365993
319,miglia,2.7626028849365993
320,mancava,2.7626028849365993
321,sorella,2.7626028849365993
322,carità,2.7287013332609185
323,farnese,2.7287013332609185
324,meritamente,2.695911510437927
325,cappelle,2.695911510437927
326,sepolture,2.695911510437927
327,entrare,2.695911510437927
328,ragione,2.664162812123347
329,risolvé,2.664162812123347
330,anticaglie,2.664162812123347
331,basamento,2.664162812123347
332,insegnò,2.664162812123347
333,levato,2.6333911534565932
334,dolse,2.6333911534565932
335,bottega,2.603538190306912
336,passare,2.603538190306912
337,ferrara,2.5745506534336595
338,parendogli,2.5745506534336595
339,santità,2.5745506534336595
340,chiunche,2.5463797764669636
341,eredi,2.5463797764669636
342,trinità,2.518980802278849
343,diedero,2.518980802278849
344,attendendo,2.518980802278849
345,palco,2.492312555196688
346,poste,2.492312555196688
347,pistoia,2.492312555196688
348,essendogli,2.466337068793427
349,messe,2.466337068793427
350,cagioni,2.466337068793427
351,gambe,2.466337068793427
352,rarissima,2.441019260809137
353,sommamente,2.4163266482187655
354,epitaffio,2.4163266482187655
355,seppe,2.4163266482187655
356,presto,2.4163266482187655
357,pieni,2.392229096639705
358,difficile,2.392229096639705
359,costumi,2.368698599229511
360,vedute,2.368698599229511
361,scultori,2.368698599229511
362,orto,2.345709081004812
363,baccio,2.345709081004812
364,lodovico,2.345709081004812
365,testamento,2.345709081004812
366,giovanezza,2.345709081004812
367,milano,2.323236225152754
368,gallo,2.323236225152754
369,stando,2.323236225152754
370,ragionevole,2.323236225152754
371,pensando,2.323236225152754
372,raro,2.3012573184339784
373,morti,2.3012573184339784
374,statua,2.3012573184339784
375,ignudo,2.3012573184339784
376,speranza,2.3012573184339784
377,sanese,2.279751113213015
378,ci,2.279751113213015
379,architetto,2.279751113213015
380,pietà,2.2586977040151828
381,entrata,2.2586977040151828
382,popoli,2.2380784168124466
383,soldati,2.2380784168124466
384,acquistato,2.2380784168124466
385,amato,2.2380784168124466
386,fregio,2.217875709494927
387,vive,2.1980730821987478
388,buoni,2.1980730821987478
389,leone,2.1980730821987478
390,colui,2.1786549963416464
391,varii,2.1786549963416464
392,valente,2.1786549963416464
393,cominciata,2.1786549963416464
394,lodate,2.159606801370952
395,dovesse,2.140914668358799
396,attorno,2.140914668358799
397,ragionato,2.140914668358799
398,fabrica,2.140914668358799
399,poca,2.1225655296906023
400,pratico,2.1225655296906023
401,pezzo,2.1045470241879243
402,bell,2.1045470241879243
403,archi,2.086847447088523
404,colonne,2.086847447088523
405,ingegni,2.0694557043766544
406,piacere,2.0694557043766544
407,pontefice,2.0694557043766544
408,occhi,2.0523612710173538
409,ciascuna,2.035554152700973
410,atteso,2.035554152700973
411,eccellentissimo,2.035554152700973
412,tabernacolo,2.019024850749762
413,modi,2.019024850749762
414,pose,2.019024850749762
415,possibile,2.019024850749762
416,creato,2.002764329877982
417,artefice,2.002764329877982
418,trovò,2.002764329877982
419,menzione,1.9867639885315407
420,cura,1.9867639885315407
421,vide,1.9867639885315407
422,volendo,1.9867639885315407
423,finite,1.9867639885315407
424,somma,1.9710156315634015
425,agnolo,1.9710156315634015
426,portò,1.9710156315634015
427,onorato,1.9710156315634015
428,acqua,1.9555114450274362
429,conosciuto,1.9555114450274362
430,primi,1.9402439728966479
431,andato,1.9252060955321073
432,bisogno,1.9103910097469667
433,giulio,1.9103910097469667
434,posto,1.9103910097469667
