,term,score
0,costa,21.597633940397554
1,marchese,17.23081306140955
2,cappella,12.70259859265181
3,dipinse,11.01046819053367
4,ercole,10.783646041751709
5,ferrara,10.298202613734638
6,lorenzo,10.005928443914602
7,ferrarese,9.402499324107247
8,bastiano,8.792292328794991
9,mantoa,8.502185546756234
10,ritratti,8.262809502224336
11,bentivogli,7.654627243858055
12,guazzo,7.654627243858055
13,provincie,7.289984130270146
14,salvestro,7.289984130270146
15,bastone,6.843697027641727
16,trionfi,6.843697027641727
17,farà,6.170752554399301
18,iacopo,6.139115459153934
19,bologna,6.008292989633945
20,federigo,5.525205769873199
21,ieronimo,5.525205769873199
22,1497,5.436751534363128
23,chedini,5.436751534363128
24,griffoni,5.436751534363128
25,seguitargli,5.436751534363128
26,malino,5.436751534363128
27,scriverà,5.436751534363128
28,risvegliato,5.436751534363128
29,ingegnino,5.436751534363128
30,ghisoni,5.436751534363128
31,imitargli,5.436751534363128
32,consecrato,5.436751534363128
33,affermò,5.436751534363128
34,lietissimi,5.436751534363128
35,lavorata,5.358279879208169
36,olio,5.206348680751905
37,signori,5.1331743213794265
38,mostrerà,5.0312864262549635
39,ingegnandosi,5.0312864262549635
40,ranocchi,5.0312864262549635
41,garganelli,5.0312864262549635
42,latona,5.0312864262549635
43,saettato,5.0312864262549635
44,migliore,4.957685701334601
45,dolce,4.78445819327941
46,giubilo,4.743604353803183
47,marchesa,4.743604353803183
48,mariscotti,4.743604353803183
49,carta,4.737397198459022
50,ritrarre,4.737397198459022
51,esercitano,4.520460802488973
52,successori,4.520460802488973
53,favola,4.520460802488973
54,toscana,4.5173954080303655
55,avenga,4.338139245695018
56,benozzo,4.338139245695018
57,castelli,4.338139245695018
58,illustrissimi,4.338139245695018
59,dimostrato,4.338139245695018
60,piedistallo,4.338139245695018
61,pecora,4.338139245695018
62,domenico,4.315652498081789
63,tempera,4.2090940483758486
64,cominciano,4.18398856586776
65,patrie,4.18398856586776
66,suoni,4.18398856586776
67,trionfante,4.18398856586776
68,isabella,4.18398856586776
69,armonia,4.18398856586776
70,studiano,4.050457173243238
71,servitori,4.050457173243238
72,tagliente,4.050457173243238
73,descendenti,4.050457173243238
74,ferrante,4.050457173243238
75,compatriota,4.050457173243238
76,intende,4.050457173243238
77,reputato,4.050457173243238
78,esercitati,4.050457173243238
79,inclinati,4.050457173243238
80,menzione,3.9735279770630814
81,concorrenza,3.9735279770630814
82,sacrifizii,3.932674137586854
83,cantando,3.8273136219290276
84,villani,3.8273136219290276
85,andate,3.8273136219290276
86,stendardi,3.732003442124703
87,dea,3.732003442124703
88,lascerò,3.732003442124703
89,raccomanda,3.732003442124703
90,mantegna,3.732003442124703
91,dirà,3.7064651918140363
92,converte,3.644992065135073
93,girolamo,3.598330749273485
94,celebre,3.5649493574615367
95,fuochi,3.5649493574615367
96,fermò,3.5649493574615367
97,eternità,3.5649493574615367
98,salamone,3.5649493574615367
99,tosto,3.520901724912104
100,gonzaga,3.4218485138208634
101,ragionevolmente,3.4218485138208634
102,volle,3.305123800889734
103,divenire,3.2966853708668573
104,ultime,3.2966853708668573
105,lisabetta,3.2966853708668573
106,felicemente,3.239526957026909
107,disputa,3.239526957026909
108,favellato,3.239526957026909
109,mantova,3.239526957026909
110,professioni,3.239526957026909
111,quadri,3.1945984435396353
112,signor,3.1945984435396353
113,avvenire,3.185459735756633
114,usanza,3.185459735756633
115,padova,3.185459735756633
116,ravenna,3.185459735756633
117,petronio,3.185459735756633
118,stati,3.1520436466450654
119,dosso,3.0853762771996505
120,secca,3.0853762771996505
121,ritratta,3.0853762771996505
122,europa,3.0853762771996505
123,collocata,3.0853762771996505
124,fin,3.0388562615647574
125,dottori,2.994404498993924
126,rossi,2.994404498993924
127,aver,2.9903394533868752
128,patria,2.9903394533868752
129,monte,2.9518767295311004
130,nudi,2.951844884575128
131,medesime,2.951844884575128
132,luoghi,2.9329192416220127
133,dipignesse,2.9110228900548725
134,sentendo,2.9110228900548725
135,facesse,2.8771016653878596
136,condotto,2.8771016653878596
137,stessi,2.8718021769015913
138,decimo,2.8718021769015913
139,grandissimi,2.8340618489187444
140,lodevoli,2.8340618489187444
141,bastanza,2.8340618489187444
142,primo,2.8227996872559578
143,inclinato,2.7976942047478692
144,sebastiano,2.7976942047478692
145,studi,2.7976942047478692
146,esser,2.7699331731196466
147,vicina,2.7626028849365993
148,usò,2.7626028849365993
149,qualunche,2.7626028849365993
150,cima,2.7287013332609185
151,generale,2.7287013332609185
152,guardaroba,2.7287013332609185
153,bolognese,2.695911510437927
