,term,score
0,lorenzo,91.48277434436207
1,bartoluccio,54.245529629867676
2,sèguita,48.93076380926815
3,metallo,33.573099926832924
4,caim,32.62050920617877
5,allato,32.394102020564276
6,consoli,32.084544217153834
7,storia,31.248107299436267
8,bronzo,30.533312290514594
9,oltra,26.05568459152462
10,degli,23.021682971827254
11,abel,22.963881731574165
12,isac,22.602304012444865
13,telaio,22.602304012444865
14,attitudini,19.790819121004166
15,attitudine,18.433738074196153
16,membra,16.575617309619595
17,iacob,16.201828692972953
18,mercatanti,15.670832206845411
19,ghiacere,15.09385927876489
20,vettorio,15.09385927876489
21,bonacorso,15.09385927876489
22,atti,14.75922442287564
23,donato,14.73182916931547
24,padre,14.570698804611673
25,visto,14.359010884507956
26,iosuè,14.230813061409549
27,ghiberti,13.687394055283454
28,oro,13.59265532863808
29,quadro,13.497979667462056
30,forestieri,13.479557552189636
31,rilievo,13.369570342035306
32,filippo,13.169824310116002
33,cassa,13.166955767282966
34,ornamento,12.946957494245368
35,apostoli,12.876074916422777
36,mostra,12.845488010152794
37,grandissima,12.622598065896598
38,pisano,12.536665765476329
39,figliuolo,12.309523021127857
40,sé,12.232926814116679
41,iddio,12.151371519729715
42,dottori,11.977617995975695
43,li,11.961145483198525
44,faccendo,11.798022412760561
45,giovanetto,11.61618112576377
46,statua,11.506286592169893
47,cavo,11.481940865787083
48,son,11.4623460584818
49,lor,11.398755566065075
50,getto,11.336247395674977
51,tempio,11.333274458843565
52,belle,11.079732692478586
53,perfezzione,10.958853664186663
54,fa,10.87371272365927
55,annunziazione,10.873503068726256
56,martirum,10.873503068726256
57,ierico,10.873503068726256
58,sanctorum,10.873503068726256
59,libre,10.873503068726256
60,eron,10.873503068726256
61,rebecca,10.873503068726256
62,bellissime,10.81451865376751
63,va,10.716559758416338
64,gioie,10.69484807238461
65,lode,10.534481311471616
66,ornamenti,10.534481311471616
67,noè,10.26554554146259
68,porte,10.177770763504865
69,poteva,10.123484750596543
70,saggio,10.075923209115397
71,facesse,10.06985582885751
72,mitera,10.062572852509927
73,esaù,10.062572852509927
74,bassissimo,10.062572852509927
75,trentaquattro,10.062572852509927
76,conosce,9.933819942657703
77,fiore,9.933819942657703
78,tonde,9.865348275173709
79,verso,9.78053426755685
80,gesti,9.718580871080727
81,vedendosi,9.718580871080727
82,nicchie,9.665306592875062
83,giotto,9.56891638655882
84,alta,9.56891638655882
85,quantunque,9.556379207269899
86,policleto,9.487208707606365
87,brunelesco,9.487208707606365
88,perle,9.487208707606365
89,diu,9.487208707606365
90,rinetto,9.487208707606365
91,venne,9.456130939935196
92,parole,9.33609418940879
93,maestri,9.331126418518144
94,banda,9.26616297953509
95,dirimpetto,9.26616297953509
96,varietà,9.205029273735914
97,mani,9.148371173609892
98,arca,9.116568784694273
99,pareri,9.040921604977946
100,zanobi,8.733068670164617
101,accrescere,8.676278491390036
102,iosef,8.676278491390036
103,su,8.631304996163578
104,amore,8.615897338294102
105,componimenti,8.615406530704774
106,intagliate,8.615406530704774
107,vani,8.502185546756234
108,fiorentini,8.49026211876241
109,battesimo,8.393082614243607
110,medesimamente,8.393082614243607
111,vangelista,8.36797713173552
112,composta,8.36797713173552
113,dall,8.362201599171469
114,paradiso,8.287808654809798
115,fogliami,8.287808654809798
116,condurre,8.277822817506618
117,quegli,8.262809502224336
118,par,8.209445084069415
119,grano,8.100914346486476
120,golia,8.100914346486476
121,basso,8.095196042031118
122,intaglio,8.087734531313782
123,eccellenti,8.040550689370164
124,antichi,7.947055954126163
125,men,7.90017346036978
126,frutti,7.90017346036978
127,copiosa,7.865348275173708
128,ebrei,7.865348275173708
129,cadere,7.865348275173708
130,nelli,7.865348275173708
131,pronte,7.865348275173708
132,bronzi,7.865348275173708
133,pandolfo,7.865348275173708
134,mestiero,7.810614570920736
