,term,score
0,monasterio,29.215864259239325
1,don,24.178803904186225
2,monaco,18.224960325675365
3,camaldoli,13.479557552189636
4,lorenzo,12.864765142175916
5,libri,12.331685343967136
6,dipinse,11.01046819053367
7,clausura,10.873503068726256
8,monaci,10.794992247820455
9,capella,9.78053426755685
10,angeli,8.631304996163578
11,solo,8.522211081664436
12,relligione,8.36797713173552
13,maligni,7.865348275173708
14,romiti,7.1298987149230735
15,detti,6.748989833731028
16,virtuoso,6.077712523129515
17,lettere,5.601656513645274
18,succedono,5.436751534363128
19,scioperati,5.436751534363128
20,celebrasse,5.436751534363128
21,biasimevoli,5.436751534363128
22,gaudenti,5.436751534363128
23,vorremmo,5.436751534363128
24,1315,5.436751534363128
25,1413,5.436751534363128
26,rutilio,5.436751534363128
27,serbata,5.436751534363128
28,fioravanti,5.436751534363128
29,prospere,5.436751534363128
30,maggiolini,5.436751534363128
31,surgono,5.436751534363128
32,guardati,5.436751534363128
33,germe,5.436751534363128
34,postema,5.436751534363128
35,ambiziosi,5.436751534363128
36,meccaniche,5.436751534363128
37,arno,5.328325624246694
38,siano,5.319569664700445
39,forse,5.281352587368156
40,trinita,5.2667823069131865
41,stavano,5.037961604557698
42,oziosi,5.0312864262549635
43,camaldolese,5.0312864262549635
44,orlandini,5.0312864262549635
45,infermatosi,5.0312864262549635
46,sotterra,5.0312864262549635
47,monastico,5.0312864262549635
48,contemplazione,5.0312864262549635
49,perdute,5.0312864262549635
50,esercizio,4.932674137586854
51,onoratamente,4.882038521618274
52,starnina,4.743604353803183
53,ricompensa,4.743604353803183
54,cinquantacinque,4.743604353803183
55,molestia,4.743604353803183
56,guittone,4.743604353803183
57,dispensa,4.743604353803183
58,1294,4.743604353803183
59,ragionevole,4.646472450305508
60,iacopo,4.60433659436545
61,religiosa,4.520460802488973
62,religiosi,4.520460802488973
63,1470,4.520460802488973
64,stimoli,4.520460802488973
65,volgarmente,4.520460802488973
66,agnoli,4.520460802488973
67,silvestro,4.520460802488973
68,ardinghelli,4.520460802488973
69,costumatissimo,4.520460802488973
70,matia,4.520460802488973
71,ricordano,4.520460802488973
72,pezzi,4.5173954080303655
73,vive,4.3961461643974955
74,fiorentino,4.371209641383501
75,aperti,4.338139245695018
76,rimangono,4.338139245695018
77,illustre,4.338139245695018
78,fondatore,4.338139245695018
79,ricuopre,4.338139245695018
80,cattivi,4.338139245695018
81,aggiugne,4.338139245695018
82,oppresso,4.18398856586776
83,ceppo,4.18398856586776
84,ricami,4.18398856586776
85,quieta,4.18398856586776
86,fiorirono,4.18398856586776
87,attesero,4.18398856586776
88,milizia,4.18398856586776
89,scheraggio,4.18398856586776
90,ritruovano,4.18398856586776
91,1350,4.18398856586776
92,ignoranti,4.18398856586776
93,buon,4.181100799585734
94,tenne,4.173694894177046
95,pisa,4.1047225420347075
96,annoverato,4.050457173243238
97,ammirati,4.050457173243238
98,liberali,4.050457173243238
99,suore,4.050457173243238
100,uffici,4.050457173243238
101,meritavano,4.050457173243238
102,condizione,4.050457173243238
103,tabernacolo,4.038049701499524
104,antichi,3.9735279770630814
105,benedetto,3.942031263126803
106,onorato,3.942031263126803
107,murano,3.932674137586854
108,ranieri,3.932674137586854
109,ricordandosi,3.932674137586854
110,attenzione,3.932674137586854
111,perpetua,3.932674137586854
112,invidiosi,3.932674137586854
113,miniò,3.932674137586854
114,coro,3.9110228900548725
115,esercizii,3.8273136219290276
116,giusta,3.8273136219290276
117,fornimento,3.8273136219290276
118,bartolini,3.8273136219290276
119,chiaro,3.7064651918140363
120,fussero,3.7064651918140363
121,belli,3.7064651918140363
122,michele,3.6516672434378075
123,divini,3.644992065135073
124,secoli,3.644992065135073
125,lavorata,3.572186586138779
126,teologiche,3.5649493574615367
127,religioso,3.5649493574615367
128,percosso,3.5649493574615367
129,scrittore,3.5649493574615367
130,trovarsi,3.5649493574615367
131,tallora,3.5649493574615367
132,pinti,3.4908413853078146
133,1529,3.4908413853078146
134,agl,3.4463589353176407
135,piacevoli,3.4218485138208634
136,latini,3.4218485138208634
137,ho,3.374494916865514
138,sperienza,3.3573099926832923
139,crudele,3.3573099926832923
140,arti,3.3511028373391314
141,certosa,3.2966853708668573
142,scritte,3.2966853708668573
143,petrarca,3.2966853708668573
144,chiamati,3.2966853708668573
145,uscir,3.2966853708668573
146,grosse,3.2966853708668573
147,rimane,3.2966853708668573
148,man,3.260178089185617
149,coronazione,3.239526957026909
150,alberti,3.239526957026909
151,silenzio,3.239526957026909
152,miglior,3.216220275748066
153,dolci,3.185459735756633
154,dante,3.185459735756633
155,passa,3.185459735756633
156,taddeo,3.185459735756633
157,avergli,3.185459735756633
158,piglia,3.185459735756633
159,malignità,3.185459735756633
160,udito,3.185459735756633
161,pisano,3.134166441369082
162,maravigliato,3.134166441369082
163,avventura,3.134166441369082
164,diletto,3.134166441369082
165,avviene,3.134166441369082
166,dottissimo,3.0853762771996505
167,europa,3.0853762771996505
168,resta,3.0853762771996505
169,dai,3.069557729576967
170,degli,3.069557729576967
171,migliori,3.0494570578699642
172,romana,3.0388562615647574
173,vergogna,3.0388562615647574
174,rovinata,2.994404498993924
175,salute,2.994404498993924
176,graziosa,2.994404498993924
177,fuor,2.9903394533868752
178,pur,2.9903394533868752
179,meno,2.9710156315634015
180,disegni,2.9518767295311004
181,niun,2.951844884575128
182,pio,2.951844884575128
183,considerare,2.951844884575128
184,padre,2.9141397609223345
185,chiaramente,2.9110228900548725
186,studio,2.8771016653878596
187,io,2.8771016653878596
188,scritti,2.8718021769015913
189,dando,2.8718021769015913
190,veduti,2.8718021769015913
191,musica,2.8718021769015913
192,grandissimi,2.8340618489187444
193,chiama,2.8340618489187444
194,gaddi,2.8340618489187444
195,dimostra,2.7976942047478692
196,eccellentemente,2.7976942047478692
197,giovamento,2.7626028849365993
198,assedio,2.7287013332609185
199,lodare,2.7287013332609185
200,meritamente,2.695911510437927
201,ragionevoli,2.664162812123347
202,ottimo,2.664162812123347
203,insegnò,2.664162812123347
204,credo,2.6333911534565932
205,ser,2.6333911534565932
206,sotterrato,2.6333911534565932
207,rovinato,2.6333911534565932
208,padri,2.6333911534565932
209,vite,2.603538190306912
210,capitolo,2.603538190306912
211,passato,2.603538190306912
212,passare,2.603538190306912
213,venerazione,2.5745506534336595
214,durò,2.5745506534336595
215,versi,2.5745506534336595
216,valore,2.5463797764669636
217,prato,2.518980802278849
218,contento,2.518980802278849
219,pistoia,2.492312555196688
220,dimostrano,2.492312555196688
221,tenuti,2.466337068793427
222,scala,2.441019260809137
223,dipintore,2.4163266482187655
224,scrisse,2.4163266482187655
225,destra,2.392229096639705
226,stimato,2.392229096639705
227,negli,2.392229096639705
228,baccio,2.345709081004812
229,ritta,2.323236225152754
230,novella,2.323236225152754
231,venti,2.3012573184339784
232,dicesi,2.279751113213015
233,infinita,2.279751113213015
234,chiostro,2.2586977040151828
235,scritto,2.2586977040151828
236,toscana,2.2586977040151828
237,resto,2.2586977040151828
238,lavorati,2.2586977040151828
239,monache,2.2380784168124466
240,spazio,2.2380784168124466
241,vecchi,2.2380784168124466
242,predella,2.2380784168124466
243,vinezia,2.217875709494927
244,leone,2.1980730821987478
245,lasciato,2.1980730821987478
246,allo,2.159606801370952
247,meritò,2.1225655296906023
248,battista,2.1225655296906023
249,tempera,2.1045470241879243
250,pregio,2.086847447088523
251,guisa,2.0694557043766544
252,danno,2.035554152700973
253,crucifisso,2.002764329877982
254,scuro,2.002764329877982
255,madre,1.9867639885315407
256,condotti,1.9867639885315407
257,magnifico,1.9710156315634015
258,tornare,1.9710156315634015
259,portò,1.9710156315634015
260,mesi,1.9555114450274362
261,vergine,1.9555114450274362
262,maggiori,1.9555114450274362
263,infiniti,1.9402439728966479
264,primi,1.9402439728966479
265,ciascuno,1.9402439728966479
266,spesso,1.9402439728966479
267,arezzo,1.9252060955321073
268,dagl,1.9252060955321073
269,mediante,1.9103910097469667
270,dei,1.9103910097469667
