,term,score
0,lorenzo,24.300111935221175
1,bicci,22.392020652748215
2,fresco,17.892010809617215
3,capella,16.300890445928083
4,dipinse,13.763085238167088
5,1418,10.873503068726256
6,ricciardo,10.873503068726256
7,niccolò,10.794992247820455
8,neri,10.075923209115397
9,lenzi,10.062572852509927
10,convento,9.933819942657703
11,arezzo,9.626030477660537
12,santi,9.519623595918418
13,uzzano,9.487208707606365
14,portinari,9.040921604977946
15,laurentino,8.676278491390036
16,bernardino,8.393082614243607
17,cristofano,8.087734531313782
18,tabernacolo,8.076099402999048
19,ser,7.90017346036978
20,gualberto,7.865348275173708
21,guardiano,7.464006884249406
22,finita,7.332298104055032
23,michele,7.303334486875615
24,richiesta,7.289984130270146
25,martello,7.289984130270146
26,famiglia,7.041803449824208
27,esser,6.9248329327991165
28,facciata,6.881542619083544
29,martirio,6.714619985366585
30,marco,6.655962385073959
31,capelle,6.593370741733715
32,aiuto,6.535964989024939
33,spedalingo,6.370919471513266
34,pratica,6.2622020938209495
35,martiri,6.170752554399301
36,memoria,6.139115459153934
37,regola,5.988808997987848
38,ancor,5.9806789067737505
39,benedetto,5.913046894690204
40,guerre,5.822045780109745
41,io,5.754203330775719
42,croce,5.610043584842932
43,carmine,5.5953884094957385
44,faccia,5.5596977877210545
45,luigi,5.525205769873199
46,cerbaia,5.436751534363128
47,consegrato,5.436751534363128
48,marsili,5.436751534363128
49,fruosino,5.436751534363128
50,cominciatala,5.436751534363128
51,oscurare,5.436751534363128
52,esperimentano,5.436751534363128
53,faccio,5.436751534363128
54,scandicci,5.436751534363128
55,reverenti,5.436751534363128
56,servir,5.436751534363128
57,riceva,5.436751534363128
58,malaticcio,5.436751534363128
59,rossigno,5.436751534363128
60,azzurriccio,5.436751534363128
61,triboli,5.436751534363128
62,guccio,5.436751534363128
63,adestrarsi,5.436751534363128
64,risanato,5.436751534363128
65,conseguono,5.436751534363128
66,circundata,5.436751534363128
67,mortosi,5.436751534363128
68,foligno,5.436751534363128
69,veggiono,5.397496123910227
70,camaldoli,5.391823020875854
71,posti,5.328325624246694
72,trinita,5.2667823069131865
73,ingenocchioni,5.0312864262549635
74,spogliati,5.0312864262549635
75,seminati,5.0312864262549635
76,consegrazione,5.0312864262549635
77,salvestrini,5.0312864262549635
78,vengo,5.0312864262549635
79,solennissimamente,5.0312864262549635
80,predicare,5.0312864262549635
81,saputi,5.0312864262549635
82,predicando,5.0312864262549635
83,sucessori,5.0312864262549635
84,scodelle,5.0312864262549635
85,saracini,5.0312864262549635
86,conservati,5.0312864262549635
87,1448,5.0312864262549635
88,nemesio,5.0312864262549635
89,consegrata,5.0312864262549635
90,lodevolissima,5.0312864262549635
91,tiranni,5.0312864262549635
92,paterna,5.0312864262549635
93,fidi,5.0312864262549635
94,folco,5.0312864262549635
95,cardinali,4.984625110393376
96,nuova,4.957685701334601
97,portare,4.932674137586854
98,cittadino,4.882038521618274
99,dipignere,4.824330413622099
100,madonna,4.759811797959209
101,angiò,4.743604353803183
102,landi,4.743604353803183
103,1450,4.743604353803183
104,bigi,4.743604353803183
105,cresciute,4.743604353803183
106,presone,4.743604353803183
107,teologo,4.743604353803183
108,1400,4.743604353803183
109,carnale,4.743604353803183
110,accresciuta,4.743604353803183
111,sagrazione,4.743604353803183
112,parere,4.737397198459022
113,costumi,4.737397198459022
114,frati,4.696651570365712
115,quarto,4.691418162009624
116,bernardo,4.691418162009624
117,quinto,4.646472450305508
118,sul,4.634793708757504
119,dai,4.60433659436545
120,tommaso,4.602514636867957
121,spedale,4.55950222642603
122,mal,4.55950222642603
123,velocità,4.520460802488973
124,trentasei,4.520460802488973
125,piaga,4.520460802488973
126,intonaco,4.520460802488973
127,rubaconte,4.520460802488973
128,24,4.520460802488973
129,scalzi,4.520460802488973
130,amalò,4.520460802488973
131,pendono,4.520460802488973
132,fratel,4.520460802488973
133,confermazione,4.520460802488973
134,egidio,4.520460802488973
135,chiostro,4.5173954080303655
136,figura,4.514777704916407
137,dalle,4.485509180080313
138,fuor,4.485509180080313
139,medici,4.485509180080313
140,abiti,4.435751418989854
141,monte,4.42781509429665
142,don,4.3961461643974955
143,vecchia,4.357309992683293
144,pioggie,4.338139245695018
145,variò,4.338139245695018
146,ivi,4.338139245695018
147,corsini,4.338139245695018
148,privato,4.338139245695018
149,condennati,4.338139245695018
150,violenza,4.338139245695018
151,marsupini,4.338139245695018
152,offese,4.338139245695018
153,divoti,4.338139245695018
154,spenta,4.338139245695018
155,cortesissimo,4.338139245695018
156,aprile,4.338139245695018
157,disidera,4.338139245695018
158,potrà,4.338139245695018
159,cioè,4.315652498081789
160,facesse,4.315652498081789
161,facciate,4.281829336717598
162,lato,4.281829336717598
163,tondi,4.2090940483758486
164,tempera,4.2090940483758486
165,tobia,4.18398856586776
166,dotti,4.18398856586776
167,essendone,4.18398856586776
168,creanze,4.18398856586776
169,esercitarsi,4.18398856586776
170,buffalmacco,4.18398856586776
171,bacci,4.18398856586776
172,attesero,4.18398856586776
173,vennono,4.18398856586776
174,facendolo,4.18398856586776
175,cuculia,4.18398856586776
176,magnanimo,4.18398856586776
177,ritraendovi,4.18398856586776
178,spinelli,4.18398856586776
179,puerizia,4.18398856586776
180,proporzionata,4.18398856586776
181,spini,4.18398856586776
182,particolarmente,4.181100799585734
183,monasterio,4.173694894177046
184,ponte,4.138911408753309
185,desinare,4.050457173243238
186,diversamente,4.050457173243238
187,martini,4.050457173243238
188,goffi,4.050457173243238
189,solennemente,4.050457173243238
190,onorio,4.050457173243238
191,lioni,4.050457173243238
192,veduta,4.005528659755964
193,dì,3.9735279770630814
194,onorato,3.942031263126803
195,immagine,3.932674137586854
196,deposito,3.932674137586854
197,condussono,3.932674137586854
198,romolo,3.932674137586854
199,caminare,3.932674137586854
200,posteri,3.932674137586854
201,servendo,3.932674137586854
202,fate,3.932674137586854
203,dipigner,3.932674137586854
204,gino,3.932674137586854
205,ambasciadore,3.932674137586854
206,dodici,3.9110228900548725
207,maraviglio,3.8273136219290276
208,travagliata,3.8273136219290276
209,settembre,3.8273136219290276
210,onoratissimi,3.8273136219290276
211,croci,3.8273136219290276
212,spinello,3.8273136219290276
213,dedicata,3.8273136219290276
214,guicciardini,3.8273136219290276
215,accompagnano,3.732003442124703
216,ingegnò,3.732003442124703
217,eugenio,3.732003442124703
218,infra,3.732003442124703
219,differenti,3.732003442124703
220,perduta,3.732003442124703
221,tempesta,3.732003442124703
222,apostoli,3.6788785475493646
223,accettò,3.644992065135073
224,dignità,3.644992065135073
225,segnalati,3.644992065135073
226,percosse,3.644992065135073
227,affaticato,3.644992065135073
228,alto,3.572186586138779
229,dice,3.572186586138779
230,religioso,3.5649493574615367
231,gentilezza,3.5649493574615367
232,sapienza,3.5649493574615367
233,rade,3.5649493574615367
234,inginocchioni,3.5649493574615367
235,costumava,3.5649493574615367
236,acconciamente,3.5649493574615367
237,consumati,3.5649493574615367
238,ottavo,3.5649493574615367
239,cominciava,3.5649493574615367
240,siano,3.5463797764669636
241,fede,3.520901724912104
