,term,score
0,luca,32.394102020564276
1,cortona,22.100823079492795
2,cappella,14.11399843627979
3,dipinse,13.763085238167088
4,ignudi,12.205096304045684
5,mi,10.794992247820455
6,demoni,10.062572852509927
7,fresco,9.634159666716961
8,arezzo,9.626030477660537
9,cortonese,8.36797713173552
10,signorelli,8.100914346486476
11,ricorda,7.654627243858055
12,profeti,7.32305778242741
13,delli,7.289984130270146
14,angeli,7.192754163469649
15,compagnia,7.012554481053666
16,liuto,6.479053914053818
17,amici,6.432440551496132
18,parenti,6.367696589071807
19,stefano,6.26054234126557
20,benedetto,5.913046894690204
21,siena,5.866534335082308
22,me,5.820731918689944
23,caterina,5.820731918689944
24,sagramento,5.743604353803183
25,sisto,5.743604353803183
26,lorenzo,5.717673396522629
27,scorti,5.668123697837489
28,sangue,5.525205769873199
29,margherita,5.525205769873199
30,foiano,5.436751534363128
31,terminando,5.436751534363128
32,acolti,5.436751534363128
33,bilanze,5.436751534363128
34,capriciosa,5.436751534363128
35,trasformata,5.436751534363128
36,lecca,5.436751534363128
37,comendati,5.436751534363128
38,parentino,5.436751534363128
39,giorgino,5.436751534363128
40,vitellozzo,5.436751534363128
41,splendidamente,5.436751534363128
42,coralli,5.436751534363128
43,iscuola,5.436751534363128
44,anticristo,5.436751534363128
45,papacello,5.436751534363128
46,vestir,5.436751534363128
47,traligna,5.436751534363128
48,auditor,5.436751534363128
49,ottantadue,5.436751534363128
50,vannucci,5.436751534363128
51,rifinò,5.436751534363128
52,lacrima,5.436751534363128
53,tramortito,5.436751534363128
54,1521,5.436751534363128
55,terremuoti,5.436751534363128
56,addolorato,5.436751534363128
57,promessione,5.436751534363128
58,alloggiò,5.436751534363128
59,fissa,5.436751534363128
60,nonofrio,5.436751534363128
61,tremendo,5.436751534363128
62,reverberazioni,5.436751534363128
63,niccolò,5.397496123910227
64,pietro,5.397496123910227
65,cristofano,5.391823020875854
66,disse,5.319569664700445
67,principale,5.169538402976461
68,agostino,5.169538402976461
69,tela,5.037961604557698
70,ribechino,5.0312864262549635
71,confermata,5.0312864262549635
72,impari,5.0312864262549635
73,1472,5.0312864262549635
74,lucignano,5.0312864262549635
75,gamurrini,5.0312864262549635
76,devemo,5.0312864262549635
77,gentilmente,5.0312864262549635
78,caporali,5.0312864262549635
79,comentato,5.0312864262549635
80,agevoli,5.0312864262549635
81,seguirono,5.0312864262549635
82,tornandosi,5.0312864262549635
83,immaginandosi,5.0312864262549635
84,inanzi,4.991971788805469
85,volle,4.957685701334601
86,legge,4.932674137586854
87,cardinale,4.890267133778425
88,altar,4.824330413622099
89,ritrasse,4.824330413622099
90,ramarro,4.743604353803183
91,ercolano,4.743604353803183
92,liberalmente,4.743604353803183
93,constanza,4.743604353803183
94,passarlo,4.743604353803183
95,istoriette,4.743604353803183
96,starà,4.743604353803183
97,taccio,4.743604353803183
98,ragioneremo,4.743604353803183
99,tenersi,4.743604353803183
100,ferita,4.743604353803183
101,diaspro,4.743604353803183
102,porremo,4.743604353803183
103,brevi,4.743604353803183
104,aprono,4.743604353803183
105,parlarne,4.743604353803183
106,quei,4.737397198459022
107,pieve,4.646472450305508
108,invenzione,4.634793708757504
109,batista,4.602514636867957
110,ignudo,4.602514636867957
111,persona,4.574185586804946
112,adornate,4.520460802488973
113,destò,4.520460802488973
114,scarsella,4.520460802488973
115,sassoli,4.520460802488973
116,comunica,4.520460802488973
117,salterio,4.520460802488973
118,ozioso,4.520460802488973
119,pesa,4.520460802488973
120,poterono,4.520460802488973
121,dottor,4.520460802488973
122,avvezzo,4.520460802488973
123,sopratutto,4.520460802488973
124,miracoloso,4.520460802488973
125,predella,4.476156833624893
126,borgo,4.435751418989854
127,monte,4.42781509429665
128,voltosi,4.338139245695018
129,sincero,4.338139245695018
130,avervi,4.338139245695018
131,trattano,4.338139245695018
132,sansepolcro,4.338139245695018
133,valdichiana,4.338139245695018
134,passerini,4.338139245695018
135,castiglioni,4.338139245695018
136,parletico,4.338139245695018
137,vasari,4.319213602741904
138,io,4.315652498081789
139,morto,4.2882550473919725
140,pezzo,4.2090940483758486
141,tempera,4.2090940483758486
142,spogliare,4.18398856586776
143,occiso,4.18398856586776
144,impara,4.18398856586776
145,tolentino,4.18398856586776
146,disposizione,4.18398856586776
147,zoccolo,4.18398856586776
148,cieli,4.18398856586776
149,buon,4.181100799585734
150,bellissimo,4.15489975967947
151,difficultà,4.1047225420347075
152,chiusuri,4.050457173243238
153,pagò,4.050457173243238
154,piangere,4.050457173243238
155,galantuomini,4.050457173243238
156,vivevano,4.050457173243238
157,rivolto,4.050457173243238
158,ebreo,4.050457173243238
159,ruota,4.050457173243238
160,sportelli,4.050457173243238
161,soddoma,3.932674137586854
162,pulito,3.932674137586854
163,sonovi,3.932674137586854
164,conosco,3.932674137586854
165,immitò,3.932674137586854
166,stagio,3.932674137586854
167,nimica,3.932674137586854
168,finirla,3.932674137586854
169,concezzione,3.932674137586854
170,mosè,3.932674137586854
171,terrore,3.932674137586854
172,baglioni,3.932674137586854
173,patito,3.932674137586854
174,istorie,3.8804879457932957
175,ritoccare,3.8273136219290276
176,circoncisione,3.8273136219290276
177,armario,3.8273136219290276
178,umido,3.8273136219290276
179,maraviglio,3.8273136219290276
180,ostia,3.8273136219290276
181,lazzero,3.8273136219290276
182,guelfa,3.8273136219290276
183,presenta,3.8273136219290276
184,discepoli,3.8207820194939335
185,italia,3.7915844206516285
186,lettere,3.734437675763516
187,miglio,3.732003442124703
188,giuda,3.732003442124703
189,vitruvio,3.732003442124703
190,orazio,3.732003442124703
191,tolte,3.732003442124703
192,vestite,3.732003442124703
193,maso,3.732003442124703
194,rifatto,3.732003442124703
195,diritto,3.732003442124703
196,dottore,3.732003442124703
197,undici,3.732003442124703
198,prime,3.7064651918140363
199,castello,3.7064651918140363
200,guaste,3.644992065135073
201,rimunerato,3.644992065135073
