,term,score
0,luca,79.90545165072523
1,marmo,19.56403672130443
2,invetriati,18.97441741521273
3,bronzo,14.248879068906811
4,cotta,13.687394055283454
5,robbia,11.798022412760561
6,ornamento,11.508406661551438
7,musica,11.487208707606365
8,furore,10.93497619540522
9,andrea,10.673099702544874
10,faceva,10.603447386572698
11,scarpello,10.472524155923445
12,quattro,10.466188086854064
13,arti,10.053308512017395
14,organo,9.865348275173709
15,lontananza,9.487208707606365
16,genere,8.983213496981772
17,famiglia,8.80225431228026
18,piano,8.714619985366586
19,agostino,8.615897338294102
20,tondo,8.615897338294102
21,solo,8.522211081664436
22,donato,8.418188096751697
23,ghiribizzando,8.36797713173552
24,fatica,8.262809502224336
25,fa,8.155284542744454
26,capella,8.150445222964041
27,operai,8.087734531313782
28,sagrestia,8.076099402999048
29,sepoltura,7.8801091166126636
30,mani,7.623642644674911
31,scultura,7.583168841303257
32,orefice,7.556942406836548
33,bozze,7.289984130270146
34,mi,7.19666149854697
35,girolamo,7.19666149854697
36,qualsivoglia,6.843697027641727
37,scorge,6.714619985366585
38,lavora,6.593370741733715
39,materia,6.479053914053818
40,pavimento,6.479053914053818
41,insino,6.432440551496132
42,utile,6.389196887079271
43,pulitamente,6.370919471513266
44,fiorentini,6.367696589071807
45,tondi,6.313641072563772
46,pulitezza,6.268332882738164
47,mercatanti,6.268332882738164
48,lavoro,6.0989141157399285
49,ornamenti,6.019703606555209
50,trovò,6.008292989633945
51,riuscito,5.988808997987848
52,donatello,5.988808997987848
53,rilievo,5.942031263126803
54,tornare,5.913046894690204
55,nudi,5.903689769150256
56,forza,5.866534335082308
57,mondo,5.828279521844669
58,foglie,5.822045780109745
59,francia,5.820731918689944
60,angeli,5.754203330775719
61,io,5.754203330775719
62,cioè,5.754203330775719
63,bisogno,5.7311730292409
64,facendovi,5.5953884094957385
65,lasciare,5.5953884094957385
66,ispagna,5.5953884094957385
67,lavori,5.5596977877210545
68,cinque,5.5596977877210545
69,varie,5.518317821324047
70,fratello,5.518317821324047
71,lavorare,5.47089912050127
72,questi,5.47089912050127
73,guadagnavano,5.436751534363128
74,augustini,5.436751534363128
75,morirno,5.436751534363128
76,dettate,5.436751534363128
77,persuasi,5.436751534363128
78,gole,5.436751534363128
79,rientrare,5.436751534363128
80,bruscioli,5.436751534363128
81,tenerli,5.436751534363128
82,diffenderle,5.436751534363128
83,pialla,5.436751534363128
84,giudichi,5.436751534363128
85,lucantonio,5.436751534363128
86,lapicidae,5.436751534363128
87,rimpiendo,5.436751534363128
88,malapena,5.436751534363128
89,madrì,5.436751534363128
90,lignaiuoli,5.436751534363128
91,vegghiando,5.436751534363128
92,gelo,5.436751534363128
93,ghetta,5.436751534363128
94,esteriore,5.436751534363128
95,suplire,5.436751534363128
96,lisciato,5.436751534363128
97,scusimi,5.436751534363128
98,antimonio,5.436751534363128
99,esperimentato,5.436751534363128
100,ritrassero,5.436751534363128
101,riscaldargli,5.436751534363128
102,magio,5.436751534363128
103,avisano,5.436751534363128
104,infante,5.436751534363128
105,ripulito,5.436751534363128
106,attesono,5.436751534363128
107,sprima,5.436751534363128
108,piallature,5.436751534363128
109,aghiadare,5.436751534363128
110,arco,5.397496123910227
111,pier,5.391823020875854
112,maraviglia,5.319569664700445
113,figliuoli,5.281352587368156
114,frutti,5.2667823069131865
115,ser,5.2667823069131865
116,fratelli,5.207076380613824
117,ottaviano,5.207076380613824
118,effetto,5.149101306867319
119,trovare,5.149101306867319
120,nuove,5.149101306867319
121,contrario,5.092759552933927
122,ho,5.061742375298271
123,detti,5.061742375298271
124,chiesina,5.0312864262549635
125,tolomeo,5.0312864262549635
126,minerali,5.0312864262549635
127,balla,5.0312864262549635
128,vieri,5.0312864262549635
129,sperimento,5.0312864262549635
130,succintamente,5.0312864262549635
131,essenziali,5.0312864262549635
132,infingardagine,5.0312864262549635
133,quadratura,5.0312864262549635
134,lumeggiate,5.0312864262549635
135,udii,5.0312864262549635
136,allungo,5.0312864262549635
137,fidia,5.0312864262549635
138,federighi,5.0312864262549635
139,arricchito,5.0312864262549635
140,1405,5.0312864262549635
141,potessono,5.0312864262549635
142,rapisce,5.0312864262549635
143,ottantaquattro,5.0312864262549635
144,poetico,5.0312864262549635
145,delicatezza,5.0312864262549635
146,florentini,5.0312864262549635
147,stentate,5.0312864262549635
148,1388,5.0312864262549635
149,gloriarsi,5.0312864262549635
150,toglia,5.0312864262549635
151,apparisse,5.0312864262549635
152,cosimo,4.991971788805469
153,agevolmente,4.932674137586854
154,essendogli,4.932674137586854
155,tonde,4.932674137586854
156,sculture,4.882038521618274
157,mise,4.824330413622099
158,quadri,4.7918976653094525
159,sa,4.78445819327941
160,giotto,4.78445819327941
161,altronde,4.743604353803183
162,guardandosi,4.743604353803183
163,scompartì,4.743604353803183
164,balli,4.743604353803183
165,averanno,4.743604353803183
166,festone,4.743604353803183
167,acconciava,4.743604353803183
168,acquistandosi,4.743604353803183
169,ornatissimo,4.743604353803183
170,1461,4.743604353803183
171,instabile,4.743604353803183
172,litteratissimo,4.743604353803183
173,apparente,4.743604353803183
174,guadagnate,4.743604353803183
175,invetriato,4.743604353803183
176,popolare,4.743604353803183
177,1553,4.743604353803183
178,istento,4.743604353803183
179,bernaba,4.743604353803183
180,orliens,4.743604353803183
181,fabricanti,4.743604353803183
182,fasciati,4.743604353803183
183,ragionasse,4.743604353803183
184,avanzarono,4.743604353803183
185,alevato,4.743604353803183
186,puccio,4.743604353803183
187,paiono,4.691418162009624
188,re,4.634793708757504
189,notte,4.602514636867957
190,migliori,4.574185586804946
191,spedale,4.55950222642603
192,platone,4.520460802488973
193,levano,4.520460802488973
194,telaio,4.520460802488973
195,mandavano,4.520460802488973
196,diventa,4.520460802488973
197,creder,4.520460802488973
198,mazzi,4.520460802488973
199,dorate,4.520460802488973
200,spigoli,4.520460802488973
201,acquista,4.520460802488973
202,riuscite,4.520460802488973
203,perde,4.520460802488973
204,stagno,4.520460802488973
205,bisognando,4.520460802488973
206,fornace,4.520460802488973
207,cori,4.520460802488973
208,mestier,4.520460802488973
209,cuocere,4.520460802488973
210,ascende,4.520460802488973
211,espettazione,4.520460802488973
212,aviamento,4.520460802488973
213,euclide,4.520460802488973
214,eterne,4.520460802488973
215,speziali,4.520460802488973
216,battere,4.520460802488973
217,volgo,4.520460802488973
218,abbandonato,4.520460802488973
219,istrumenti,4.520460802488973
220,cesta,4.520460802488973
221,priva,4.520460802488973
222,naturali,4.5173954080303655
223,medici,4.485509180080313
224,ancor,4.485509180080313
225,luoghi,4.399378862433019
226,continuamente,4.3961461643974955
227,nacque,4.3961461643974955
228,padre,4.371209641383501
229,andò,4.371209641383501
230,negl,4.357309992683293
231,lontano,4.357309992683293
232,gonfiare,4.338139245695018
233,fiata,4.338139245695018
234,mantenute,4.338139245695018
235,scrivono,4.338139245695018
236,misture,4.338139245695018
237,dormendo,4.338139245695018
238,nascendo,4.338139245695018
239,scaglie,4.338139245695018
240,gramatica,4.338139245695018
241,verranno,4.338139245695018
242,spargendosi,4.338139245695018
243,variò,4.338139245695018
244,divoti,4.338139245695018
245,benozzo,4.338139245695018
246,ricoperte,4.338139245695018
247,invetriata,4.338139245695018
248,spenta,4.338139245695018
249,commessa,4.338139245695018
250,pippo,4.338139245695018
251,uscisse,4.338139245695018
252,restò,4.281829336717598
253,conto,4.281829336717598
254,niuno,4.281829336717598
255,fuoco,4.281829336717598
256,loggia,4.2090940483758486
257,pochissimi,4.18398856586776
258,ingiurie,4.18398856586776
259,delicata,4.18398856586776
260,idea,4.18398856586776
261,penò,4.18398856586776
262,vanagloria,4.18398856586776
263,bacci,4.18398856586776
264,suoni,4.18398856586776
265,sperava,4.18398856586776
266,pezza,4.18398856586776
267,scarpellare,4.18398856586776
268,parri,4.18398856586776
