,term,score
0,properzia,20.125145705019854
1,costei,19.13656810964514
2,donne,12.416734226259926
3,caterina,11.641463837379888
4,soffonisba,10.873503068726256
5,madonna,9.519623595918418
6,sofonisba,9.487208707606365
7,intagliar,8.676278491390036
8,lei,8.563658673435196
9,misera,8.36797713173552
10,famose,8.36797713173552
11,omero,8.36797713173552
12,monasterio,8.347389788354093
13,operai,8.087734531313782
14,lavoro,7.623642644674911
15,conte,7.4769376655900635
16,virtuosa,7.464006884249406
17,signora,7.32305778242741
18,ultimo,7.249642405547052
19,nostri,7.144373172277558
20,scienze,6.981682770615629
21,solamente,6.892717870635281
22,com,6.843697027641727
23,bronzino,6.479053914053818
24,giovane,6.432440551496132
25,bologna,6.008292989633945
26,rossi,5.988808997987848
27,universalmente,5.903689769150256
28,lucia,5.903689769150256
29,fama,5.828279521844669
30,marito,5.822045780109745
31,ebbero,5.822045780109745
32,fabbrica,5.743604353803183
33,agli,5.687376630977443
34,ispagna,5.5953884094957385
35,certamente,5.525205769873199
36,volti,5.525205769873199
37,veder,5.477500865156712
38,predir,5.436751534363128
39,anguisola,5.436751534363128
40,economiche,5.436751534363128
41,intromettersi,5.436751534363128
42,sonò,5.436751534363128
43,oppose,5.436751534363128
44,cornificia,5.436751534363128
45,fanciullina,5.436751534363128
46,veneranda,5.436751534363128
47,leggiamo,5.436751534363128
48,morde,5.436751534363128
49,merone,5.436751534363128
50,carissena,5.436751534363128
51,lassar,5.436751534363128
52,riportarsene,5.436751534363128
53,polla,5.436751534363128
54,lastenia,5.436751534363128
55,fulvia,5.436751534363128
56,arpalice,5.436751534363128
57,tomiri,5.436751534363128
58,versificatrici,5.436751534363128
59,destrissimo,5.436751534363128
60,torci,5.436751534363128
61,scultrice,5.436751534363128
62,fedini,5.436751534363128
63,future,5.436751534363128
64,isfogato,5.436751534363128
65,erinna,5.436751534363128
66,nocciolo,5.436751534363128
67,pesche,5.436751534363128
68,equiperò,5.436751534363128
69,arete,5.436751534363128
70,gambari,5.436751534363128
71,sempronia,5.436751534363128
72,gambara,5.436751534363128
73,spiacque,5.436751534363128
74,versificare,5.436751534363128
75,orizia,5.436751534363128
76,pantasilea,5.436751534363128
77,ippolita,5.436751534363128
78,noccioli,5.436751534363128
79,magica,5.436751534363128
80,elecate,5.436751534363128
81,defender,5.436751534363128
82,allogarle,5.436751534363128
83,molpadia,5.436751534363128
84,schioppa,5.436751534363128
85,priora,5.436751534363128
86,diasi,5.436751534363128
87,vergognate,5.436751534363128
88,battiferra,5.436751534363128
89,valasca,5.436751534363128
90,cassandra,5.436751534363128
91,aristofane,5.436751534363128
92,aristippo,5.436751534363128
93,oratoria,5.436751534363128
94,tespio,5.436751534363128
95,contentissimi,5.436751534363128
96,nugarola,5.436751534363128
97,quistelli,5.436751534363128
98,pregasse,5.436751534363128
99,compartirle,5.436751534363128
100,numerosa,5.436751534363128
101,cent,5.436751534363128
102,safo,5.436751534363128
103,asprezza,5.436751534363128
104,elpe,5.436751534363128
105,ateneo,5.436751534363128
106,telisilla,5.436751534363128
107,dione,5.436751534363128
108,innamoratasi,5.436751534363128
109,innamoratissima,5.436751534363128
110,canestrino,5.436751534363128
111,agallide,5.436751534363128
112,giosep,5.436751534363128
113,agricultura,5.436751534363128
114,plautilla,5.436751534363128
115,semiramide,5.436751534363128
116,teano,5.436751534363128
117,iliade,5.436751534363128
118,sconfortò,5.436751534363128
119,superiorità,5.436751534363128
120,lemo,5.436751534363128
121,amilcaro,5.436751534363128
122,temi,5.436751534363128
123,assiotea,5.436751534363128
124,mecaniche,5.436751534363128
125,antiope,5.436751534363128
126,ruvidezza,5.436751534363128
127,zenobia,5.436751534363128
128,corinna,5.436751534363128
129,divino,5.391823020875854
130,miracolo,5.2667823069131865
131,eccetto,5.2667823069131865
132,figliuola,5.207076380613824
133,quadro,5.061742375298271
134,istorico,5.0312864262549635
135,dottissime,5.0312864262549635
136,parendole,5.0312864262549635
137,esempli,5.0312864262549635
138,peppoli,5.0312864262549635
139,sveltezza,5.0312864262549635
140,stupor,5.0312864262549635
141,armò,5.0312864262549635
142,dimostrarsi,5.0312864262549635
143,delicatissima,5.0312864262549635
144,agnese,5.0312864262549635
145,ov,5.0312864262549635
146,varrone,5.0312864262549635
147,camilla,5.0312864262549635
148,iside,5.0312864262549635
149,volenteroso,5.0312864262549635
150,finissimo,5.0312864262549635
151,catalogo,5.0312864262549635
152,celebra,5.0312864262549635
153,maravigliosissime,5.0312864262549635
154,marietta,5.0312864262549635
155,chiedesse,5.0312864262549635
156,bianchissime,5.0312864262549635
157,eusebio,5.0312864262549635
158,ardentissima,5.0312864262549635
159,innamorata,5.0312864262549635
160,suor,5.0312864262549635
161,ortensia,5.0312864262549635
162,pausania,5.0312864262549635
163,angusciuola,5.0312864262549635
164,volume,5.0312864262549635
165,conseguir,5.0312864262549635
166,discepole,5.0312864262549635
167,suora,5.0312864262549635
168,infinità,4.932674137586854
169,invidia,4.832653296437531
170,quadri,4.7918976653094525
171,signor,4.7918976653094525
172,sa,4.78445819327941
173,pregarlo,4.743604353803183
174,mondragone,4.743604353803183
175,grandissimamente,4.743604353803183
176,volgare,4.743604353803183
177,cantò,4.743604353803183
178,cremonese,4.743604353803183
179,dottissima,4.743604353803183
180,alba,4.743604353803183
181,copiare,4.743604353803183
182,leggiadrissimo,4.743604353803183
183,vagliono,4.743604353803183
184,curasse,4.743604353803183
185,ognun,4.743604353803183
186,riputata,4.743604353803183
187,carta,4.737397198459022
188,ritrarre,4.737397198459022
189,testamento,4.691418162009624
190,tommaso,4.602514636867957
191,sepolta,4.520460802488973
192,loda,4.520460802488973
