,term,score
0,marcantonio,145.5481342428634
1,carte,144.97921106134064
2,carta,111.32883416378702
3,alberto,97.18580871080727
4,stampe,94.02499324107247
5,rame,82.58904717582375
6,raffaello,79.09588877231134
7,intagliare,70.50350984634913
8,intagliò,66.85483775442466
9,bulino,46.02387422454536
10,intagliate,45.94883483042546
11,intaglio,45.83049567744476
12,enea,39.32674137586854
13,stampate,32.80492858621566
14,legno,31.838482945359033
15,state,31.311010469104748
16,ieronimo,30.388631734302592
17,susanna,30.18771855752978
18,intagliato,29.6550266148172
19,istampa,29.28791996107432
20,rosso,28.57495006858372
21,caraglio,28.461626122819098
22,quattro,28.408224807175316
23,parmigiano,28.353200212702667
24,intagli,27.287013332609185
25,fiandra,26.85847994146634
26,abraam,26.79119535350319
27,fuori,26.22725784830101
28,baviera,26.02883547417011
29,bandinello,25.51494445594551
30,dodici,25.42164878535667
31,ugo,24.30274303945943
32,foglio,22.963881731574165
33,martino,22.58697704015183
34,disegnate,21.567292083503418
35,stampa,20.94504831184689
36,fiaminghi,20.9199428293388
37,ad,20.77449879839735
38,belle,20.77449879839735
39,grandezza,19.647026223763284
40,tedeschi,19.437161742161454
41,luca,19.436461212338568
42,adamo,19.338220194556197
43,amazza,19.13656810964514
44,carro,19.112758414539798
45,ratto,18.97441741521273
46,stampatori,18.97441741521273
47,avea,18.95792210325814
48,davit,18.512257663197904
49,apostoli,18.394392737746823
50,stampare,18.224960325675365
51,intagliasse,18.081843209955892
52,pezzi,18.069581632121462
53,disegni,17.7112603771866
54,passione,17.584584657589982
55,stendardo,17.454206926539072
56,sottilissimo,17.352556982780072
57,libri,17.26435948155399
58,giulio,17.193519087722702
59,diverse,17.110581071264757
60,sei,17.06212989293233
61,bellissime,16.99424359877752
62,simili,16.755514186695656
63,donne,16.555645635013235
64,caccia,16.483426854334287
65,baccio,16.419963567033683
66,capella,16.300890445928083
67,michelagnolo,16.192488371730683
68,bolognese,16.175469062627563
69,mandò,16.074839637624507
70,stampata,15.730696550347416
71,dieci,15.666548917687127
72,segno,15.666548917687127
73,storia,15.624053649718133
74,vinezia,15.52512996646449
75,francia,15.521951783173183
76,invenzione,15.449312362525017
77,son,15.283128077975734
78,evangelisti,15.278278658801781
79,intagliava,15.09385927876489
80,intagliarono,15.09385927876489
81,olanda,15.09385927876489
82,tinta,14.928013768498811
83,battista,14.857958707834216
84,fantasie,14.64611556485482
85,cavallo,14.499284811094103
86,cioè,14.385508326939298
87,gesù,14.288746344555117
88,piccole,14.279435393877627
89,salamone,14.259797429846147
90,natività,14.248879068906811
91,oltramontani,14.230813061409549
92,trionfa,14.230813061409549
93,testamento,14.074254486028872
94,scuro,14.019350309145873
95,re,13.904381126272515
96,venere,13.813014424682997
97,agostino,13.785435741270563
98,trentasei,13.561382407466919
99,arde,13.561382407466919
100,troia,13.561382407466919
101,ninfa,13.561382407466919
102,maniere,13.552186224091097
103,forme,13.479557552189636
104,dei,13.372737068228767
105,italia,13.2705454722807
106,errori,13.18674148346743
107,notomia,13.18674148346743
108,diavolo,13.18674148346743
109,colore,13.166955767282966
110,riuscì,13.071929978049878
111,stampati,13.014417737085054
112,chiaro,12.972628171349127
113,prigioni,12.958107828107636
114,duro,12.741838943026533
115,viniziano,12.594904011394245
116,veggiono,12.594157622457196
117,uso,12.594157622457196
118,muse,12.55196569760328
119,caino,12.55196569760328
120,imperadori,12.55196569760328
121,crucifissione,12.55196569760328
122,cimieri,12.55196569760328
123,dall,12.543302398757202
124,diversi,12.524404187641899
125,argento,12.461562775983438
126,tiziano,12.341505108798602
127,lione,12.341505108798602
128,dai,12.278230918307868
129,mandato,12.213324916205838
130,dietro,12.197828231479857
131,prigione,12.15542504625903
132,vivente,12.151371519729715
133,bandiera,12.151371519729715
134,uscirono,12.151371519729715
135,piccola,12.01658597926789
136,scrive,11.977617995975695
137,siede,11.977617995975695
138,vasi,11.807379538300513
139,mondo,11.656559043689338
140,messo,11.647934173879428
141,cavalli,11.506286592169893
142,venti,11.506286592169893
143,intagliati,11.487208707606365
144,villano,11.481940865787083
145,abel,11.481940865787083
146,via,11.41062331214966
147,piccoli,11.336247395674977
148,romano,11.293488520075915
149,intagliatori,11.196010326374108
150,capitando,11.196010326374108
151,avarizia,11.196010326374108
152,ultimamente,11.190776818991477
153,avuto,11.181094552388723
154,cinque,11.119395575442109
155,tirato,11.089378547474634
156,lume,11.089378547474634
157,serpente,11.050411539746397
158,ritratte,11.050411539746397
159,panni,11.036635642648093
160,paulo,11.032152763257729
161,tenute,10.99036541099374
162,questi,10.94179824100254
163,intagliata,10.93497619540522
164,fa,10.87371272365927
165,coch,10.873503068726256
166,prodigo,10.873503068726256
167,saul,10.873503068726256
168,sr,10.873503068726256
169,lanferri,10.873503068726256
170,rintagliate,10.873503068726256
171,parabola,10.873503068726256
172,briglia,10.873503068726256
173,fiaminga,10.873503068726256
174,amon,10.873503068726256
175,pietro,10.794992247820455
176,ercole,10.783646041751709
177,reale,10.69484807238461
178,battaglie,10.69484807238461
179,gian,10.69484807238461
180,faceva,10.603447386572698
181,medaglie,10.533564613826373
182,addosso,10.533564613826373
183,invenzioni,10.522735120939622
184,tondi,10.522735120939622
185,infinite,10.522735120939622
186,parimente,10.466188086854064
187,paesi,10.434237235442616
188,piedi,10.41269736150381
189,andò,10.19948916322817
190,giorgio,10.194491496478559
191,pennello,10.185519105867854
192,sarebbe,10.134372414591976
193,possibile,10.09512425374881
194,segnò,10.062572852509927
195,barlacchi,10.062572852509927
196,graffiata,10.062572852509927
197,ballano,10.062572852509927
198,anchise,10.062572852509927
199,1510,10.062572852509927
200,marco,9.983943577610939
201,costoro,9.969250220786751
202,concorrenza,9.933819942657703
203,quegli,9.915371402669201
204,cagione,9.879798905395852
205,disegnato,9.865348275173709
206,croce,9.817576273475131
207,vergine,9.777557225137182
208,ignudi,9.764077043236547
209,instrumenti,9.718580871080727
210,creazione,9.718580871080727
211,apollo,9.718580871080727
212,conversione,9.718580871080727
213,dette,9.71423525043734
214,dipinse,9.634159666716961
215,otto,9.626030477660537
216,amori,9.556379207269899
217,cupido,9.556379207269899
218,potuto,9.551955048734834
219,quaresima,9.487208707606365
220,comperate,9.487208707606365
221,accostarsi,9.487208707606365
222,segnate,9.487208707606365
223,tante,9.47896105162907
224,pel,9.402499324107247
225,sette,9.382836324019248
226,mostrare,9.33609418940879
227,maestri,9.331126418518144
228,animali,9.292944900611015
229,belli,9.26616297953509
230,bandinelli,9.256128831598952
231,fatiche,9.2086731887309
232,varie,9.197196368873412
233,andrea,9.148371173609892
234,teste,9.148371173609892
235,piena,9.129168108594518
236,sottile,9.116568784694273
237,ultimo,9.062053006933814
238,anversa,9.040921604977946
239,mantoano,9.040921604977946
240,capricciosi,9.040921604977946
241,tribù,9.040921604977946
242,isac,9.040921604977946
243,lampade,9.040921604977946
244,lotto,9.040921604977946
245,eva,8.983213496981772
246,pur,8.971018360160626
247,abiti,8.871502837979708
248,architettura,8.865949441167409
249,nudi,8.855534653725385
250,fiorentino,8.742419282767003
251,guadagno,8.733068670164617
252,bello,8.686604926793123
253,olio,8.677247801253174
254,sabine,8.676278491390036
255,arrigo,8.676278491390036
256,imperio,8.676278491390036
257,teoriche,8.676278491390036
258,tenuto,8.631304996163578
259,deve,8.615406530704774
260,capricciose,8.615406530704774
261,solo,8.522211081664436
262,moisè,8.502185546756234
263,femmine,8.502185546756234
264,carlo,8.49026211876241
265,detti,8.436237292163785
266,tobia,8.36797713173552
267,vernice,8.36797713173552
268,paris,8.36797713173552
269,parnaso,8.36797713173552
270,filistei,8.36797713173552
