,term,score
0,ascoli,22.602304012444865
1,cola,21.747006137452512
2,matrice,16.310254603089383
3,calavrese,14.230813061409549
4,marito,8.733068670164617
5,singolar,8.36797713173552
6,allegramente,8.36797713173552
7,marco,8.31995298134245
8,provincia,7.289984130270146
9,emulazione,6.981682770615629
10,continuo,6.478820404112856
11,liquefecero,5.436751534363128
12,troviamo,5.436751534363128
13,crescione,5.436751534363128
14,architettati,5.436751534363128
15,rallegrarci,5.436751534363128
16,risplende,5.436751534363128
17,ultimare,5.436751534363128
18,ameno,5.436751534363128
19,aversa,5.436751534363128
20,maravigliamo,5.436751534363128
21,precipitarsi,5.436751534363128
22,nascano,5.436751534363128
23,indrizzato,5.436751534363128
24,balza,5.436751534363128
25,stritolata,5.436751534363128
26,nascerci,5.436751534363128
27,durino,5.0312864262549635
28,castellani,5.0312864262549635
29,pagamenti,5.0312864262549635
30,1508,5.0312864262549635
31,arrivano,4.743604353803183
32,comprende,4.743604353803183
33,sebeto,4.743604353803183
34,percossa,4.743604353803183
35,venirsene,4.743604353803183
36,serena,4.743604353803183
37,disputare,4.743604353803183
38,notissime,4.743604353803183
39,napolitano,4.743604353803183
40,altissima,4.520460802488973
41,norcia,4.520460802488973
42,salvare,4.520460802488973
43,56,4.520460802488973
44,esercitasse,4.338139245695018
45,1542,4.338139245695018
46,contrasto,4.338139245695018
47,fiamma,4.338139245695018
48,dotata,4.338139245695018
49,continuata,4.338139245695018
50,molli,4.338139245695018
51,paese,4.281829336717598
52,napoli,4.245131059381205
53,possiamo,4.18398856586776
54,cognato,4.18398856586776
55,valere,4.18398856586776
56,fresco,4.128925571450126
57,mutar,4.050457173243238
58,levarono,4.050457173243238
59,edificii,4.050457173243238
60,siti,4.050457173243238
61,tornarono,4.050457173243238
62,vide,3.9735279770630814
63,pensarono,3.932674137586854
64,eretici,3.932674137586854
65,essercizio,3.932674137586854
66,bonissimi,3.932674137586854
67,rese,3.932674137586854
68,concezzione,3.932674137586854
69,calavria,3.932674137586854
70,adorato,3.8273136219290276
71,curarsi,3.8273136219290276
72,mortale,3.8273136219290276
73,costei,3.8273136219290276
74,certe,3.762806945747429
75,veggiamo,3.732003442124703
76,elesse,3.732003442124703
77,esercitare,3.732003442124703
78,scienza,3.732003442124703
79,lavori,3.7064651918140363
80,sonare,3.644992065135073
81,fuggendo,3.644992065135073
82,provincie,3.644992065135073
83,vitelli,3.5649493574615367
84,fondo,3.5649493574615367
85,ce,3.5649493574615367
86,comunemente,3.5649493574615367
87,lavorate,3.5463797764669636
88,esercitato,3.4908413853078146
89,olio,3.4708991205012696
90,agostino,3.4463589353176407
91,lieto,3.4218485138208634
92,ragionevolmente,3.4218485138208634
93,tira,3.3573099926832923
94,abitazione,3.3573099926832923
95,ordinario,3.3573099926832923
96,dilettandosi,3.3573099926832923
97,visse,3.3279811925369795
98,camino,3.2966853708668573
99,udine,3.2966853708668573
100,dotato,3.2966853708668573
101,acquistarono,3.239526957026909
102,sodisfare,3.239526957026909
103,liuto,3.239526957026909
104,però,3.238078416812447
105,nascere,3.185459735756633
106,eterna,3.185459735756633
107,diversi,3.1311010469104748
108,ingiuria,3.0853762771996505
109,pervenuto,3.0853762771996505
110,fatiche,3.069557729576967
111,sito,3.0388562615647574
112,fin,3.0388562615647574
113,prigione,3.0388562615647574
114,buono,3.0098518032776047
115,uscito,2.994404498993924
116,cava,2.994404498993924
117,patria,2.9903394533868752
118,particularmente,2.951844884575128
119,universalmente,2.951844884575128
120,atti,2.951844884575128
121,luoghi,2.9329192416220127
122,morta,2.9110228900548725
123,studio,2.8771016653878596
124,miracoli,2.8340618489187444
125,alcuna,2.805021792421466
126,nicola,2.7976942047478692
127,dolcezza,2.7976942047478692
128,bellissimo,2.7699331731196466
129,miglia,2.7626028849365993
130,seguitato,2.7626028849365993
131,usato,2.7287013332609185
132,ingegno,2.7184281809148176
133,sé,2.7184281809148176
134,rimanente,2.695911510437927
135,regno,2.695911510437927
136,risolvé,2.664162812123347
137,minore,2.664162812123347
138,arie,2.6333911534565932
139,moderna,2.603538190306912
140,dallo,2.5745506534336595
141,pittor,2.5745506534336595
142,minori,2.5463797764669636
143,frutto,2.5463797764669636
144,figurò,2.5463797764669636
145,compagno,2.5463797764669636
146,trinità,2.518980802278849
147,vivendo,2.492312555196688
148,eglino,2.492312555196688
149,attendere,2.492312555196688
150,invero,2.492312555196688
151,dolce,2.392229096639705
152,accade,2.392229096639705
153,degna,2.392229096639705
154,fargli,2.392229096639705
155,lionardo,2.3012573184339784
156,raro,2.3012573184339784
157,vivi,2.3012573184339784
158,bande,2.3012573184339784
159,fino,2.3012573184339784
160,onorata,2.279751113213015
161,noi,2.279751113213015
162,anche,2.2586977040151828
163,potere,2.2586977040151828
164,tuttavia,2.2586977040151828
165,soldati,2.2380784168124466
166,segno,2.2380784168124466
167,dieci,2.2380784168124466
168,lume,2.217875709494927
169,lasciato,2.1980730821987478
170,lontano,2.1786549963416464
171,alcuno,2.159606801370952
172,allo,2.159606801370952
173,restò,2.140914668358799
174,facciate,2.140914668358799
175,lei,2.140914668358799
176,pratico,2.1225655296906023
177,paesi,2.086847447088523
178,tale,2.086847447088523
179,ingegni,2.0694557043766544
180,finire,2.0523612710173538
181,vedendo,2.0523612710173538
182,so,2.035554152700973
183,alessandro,2.019024850749762
184,creato,2.002764329877982
185,scuro,2.002764329877982
186,concorrenza,1.9867639885315407
187,finite,1.9867639885315407
188,terzo,1.9867639885315407
189,menzione,1.9867639885315407
190,maggiori,1.9555114450274362
191,infiniti,1.9402439728966479
192,istorie,1.9402439728966479
193,pieno,1.9252060955321073
194,professione,1.9252060955321073
195,dei,1.9103910097469667
196,stette,1.9103910097469667
197,tante,1.8957922103258142
198,lungo,1.8957922103258142
199,cui,1.8957922103258142
200,moglie,1.8814034728737146
201,filippo,1.8814034728737146
202,castello,1.8532325959070182
203,chiaro,1.8532325959070182
204,varie,1.8394392737746823
205,veder,1.8258336217189037
206,colorito,1.8258336217189037
207,fecero,1.8258336217189037
208,attese,1.812410601386763
209,ognuno,1.812410601386763
210,attitudini,1.7991653746367424
211,medesimi,1.7860932930693896
212,mostrò,1.7860932930693896
213,possono,1.7731898882334818
214,architettura,1.7731898882334818
215,eccellenza,1.7731898882334818
216,tornò,1.7731898882334818
217,male,1.7731898882334818
218,famiglia,1.760450862456052
219,fede,1.760450862456052
220,arebbe,1.7478720802491918
221,signore,1.7354495602506348
222,signori,1.7110581071264757
223,finì,1.6639905962684898
224,canto,1.652561900444867
225,migliore,1.652561900444867
226,corpo,1.652561900444867
227,cielo,1.6412623451909336
228,capella,1.6300890445928085
229,spirito,1.6190392084062235
230,giovane,1.608110137874033
231,altar,1.608110137874033
232,dipignere,1.608110137874033
233,signor,1.5972992217698176
234,quadri,1.5972992217698176
235,santi,1.5866039326530696
236,lasciò,1.5866039326530696
237,parti,1.5760218233225327
238,paulo,1.5760218233225327
239,simile,1.5760218233225327
240,massimamente,1.5655505234552374
241,pratica,1.5655505234552374
242,essa,1.514778198081814
243,lode,1.5049259016388024
244,onore,1.4951697266934376
245,dalle,1.4951697266934376
246,qualche,1.4664596208110063
247,fama,1.4570698804611673
248,grandissimo,1.4570698804611673
249,mondo,1.4570698804611673
250,bello,1.4477674877988538
251,ornamento,1.4385508326939298
252,certi,1.4294183491306574
253,età,1.4294183491306574
254,natura,1.4203685136107393
255,condusse,1.4113998436279789
256,cagione,1.4113998436279789
257,grandissima,1.402510896210733
258,compagnia,1.402510896210733
259,particolarmente,1.393700266528578
260,ad,1.3849665865598233
261,esser,1.3849665865598233
262,diede,1.3677247801253174
263,portavano,0.0
264,pontificem,0.0
265,ponzetti,0.0
266,pontt,0.0
267,pontorno,0.0
268,pontormo,0.0
269,pascevano,0.0
270,pontificum,0.0
271,pontificii,0.0
272,pascono,0.0
273,pontifici,0.0
274,pasquale,0.0
275,pasceva,0.0
276,pontifice,0.0
277,pontificatum,0.0
278,pontificato,0.0
279,pontificalmente,0.0
280,portello,0.0
281,pontificali,0.0
282,pontificale,0.0
283,pontifex,0.0
284,porterebbe,0.0
285,ponziano,0.0
286,ponzio,0.0
287,pontem,0.0
288,poppe,0.0
289,porchetta,0.0
290,porcellana,0.0
291,porca,0.0
292,pasce,0.0
293,por,0.0
294,pascendo,0.0
295,pascere,0.0
296,populo,0.0
297,poppi,0.0
298,poppano,0.0
299,popolaccio,0.0
300,poppa,0.0
301,pascesse,0.0
302,popolosa,0.0
303,popolo,0.0
304,popoli,0.0
305,popoleschi,0.0
306,popolare,0.0
307,pascessero,0.0
308,popolani,0.0
309,ponti,0.0
310,pontefici,0.0
311,porco,0.0
312,pomponio,0.0
313,pone,0.0
314,pasquino,0.0
315,pondo,0.0
316,ponderoso,0.0
317,ponderando,0.0
318,pon,0.0
319,pomposamente,0.0
320,passa,0.0
321,pomposa,0.0
322,pompilio,0.0
323,ponendogli,0.0
324,pompeo,0.0
325,porti,0.0
326,pompeio,0.0
327,pompe,0.0
328,pompa,0.0
329,pomona,0.0
330,pomo,0.0
331,pomarancie,0.0
332,passaggio,0.0
333,ponendo,0.0
334,ponendone,0.0
335,pontefice,0.0
336,pongaseli,0.0
337,ponte,0.0
338,pontavano,0.0
339,pontava,0.0
340,pontano,0.0
341,pasquali,0.0
342,pont,0.0
343,pongono,0.0
344,ponghino,0.0
345,portesco,0.0
346,ponga,0.0
347,ponendosi,0.0
348,ponevano,0.0
349,poneva,0.0
350,ponetevi,0.0
351,ponessino,0.0
352,ponessi,0.0
353,ponessero,0.0
354,ponesse,0.0
355,ponente,0.0
356,ponendovi,0.0
357,porci,0.0
358,pordenone,0.0
359,parto,0.0
360,portargli,0.0
361,portasegli,0.0
362,paruto,0.0
363,portarsi,0.0
364,portarsene,0.0
365,portarono,0.0
366,portarne,0.0
367,portarlo,0.0
368,portarle,0.0
369,portarla,0.0
370,portare,0.0
371,portasse,0.0
372,portar,0.0
373,portanti,0.0
374,portano,0.0
375,portandosi,0.0
376,portandosene,0.0
377,portandola,0.0
378,portandogli,0.0
379,portando,0.0
380,portan,0.0
381,partivano,0.0
382,portassero,0.0
383,portamela,0.0
384,portate,0.0
385,portava,0.0
386,portature,0.0
387,portatore,0.0
388,portatolo,0.0
389,portatogliene,0.0
390,portato,0.0
391,portati,0.0
392,portatele,0.0
393,portatela,0.0
394,partono,0.0
395,portassi,0.0
396,portata,0.0
397,portassono,0.0
398,partorire,0.0
399,porte,0.0
400,portassino,0.0
401,partoriscono,0.0
402,partorito,0.0
403,partì,0.0
404,portegli,0.0
405,portamenti,0.0
406,portam,0.0
407,porfidi,0.0
408,porgerebbe,0.0
409,parziale,0.0
410,porgli,0.0
411,porgeva,0.0
412,porgessino,0.0
413,porgessi,0.0
414,porgessero,0.0
415,porgesse,0.0
416,porgerli,0.0
417,porgergli,0.0
418,porgere,0.0
419,portelli,0.0
420,porgendosi,0.0
421,porgendosegli,0.0
422,porgendoli,0.0
423,porgendo,0.0
424,polvere,0.0
425,parziali,0.0
426,porge,0.0
427,porfirio,0.0
428,porfido,0.0
429,porglieli,0.0
430,porgono,0.0
431,parva,0.0
432,porremo,0.0
433,portai,0.0
434,porsi,0.0
435,parve,0.0
436,porsena,0.0
437,parvero,0.0
438,porse,0.0
439,porrò,0.0
440,porrà,0.0
441,porro,0.0
442,porre,0.0
443,pori,0.0
444,porranno,0.0
445,porpora,0.0
446,partiva,0.0
447,porne,0.0
448,porlo,0.0
449,porle,0.0
450,portelle,0.0
451,parvono,0.0
452,porla,0.0
453,porgelo,0.0
454,peccar,0.0
455,passamani,0.0
456,piture,0.0
457,passata,0.0
458,passatagli,0.0
459,pittigliano,0.0
460,passate,0.0
461,pitti,0.0
462,pitigliano,0.0
463,pitia,0.0
464,pitagora,0.0
465,pistolesi,0.0
466,pistolese,0.0
467,pistole,0.0
468,pistola,0.0
469,passatempi,0.0
470,pistoia,0.0
471,pissello,0.0
472,passatempo,0.0
473,pisello,0.0
474,piscopio,0.0
475,piscina,0.0
476,piscia,0.0
477,passati,0.0
478,pittori,0.0
479,passassi,0.0
480,passato,0.0
481,piuma,0.0
482,placatis,0.0
483,placarlo,0.0
484,passarsi,0.0
485,placa,0.0
486,pièta,0.0
487,passasse,0.0
488,piè,0.0
489,pizzolo,0.0
490,pizzicagnolo,0.0
491,piviali,0.0
492,piviale,0.0
493,pive,0.0
494,piuttosto,0.0
495,piutosto,0.0
496,passassero,0.0
497,pius,0.0
498,piuoli,0.0
499,piumosità,0.0
500,piumosi,0.0
501,piumose,0.0
502,piume,0.0
503,pisces,0.0
504,pisbolica,0.0
505,polvaccio,0.0
506,piovuti,0.0
507,piovosi,0.0
508,piovono,0.0
509,pioveva,0.0
510,passava,0.0
511,passavano,0.0
512,piovesse,0.0
513,piovere,0.0
514,piovendo,0.0
515,piove,0.0
516,passavanti,0.0
517,piovano,0.0
518,piovane,0.0
519,piote,0.0
520,piombo,0.0
521,passavono,0.0
522,passeggeri,0.0
523,piombino,0.0
524,piombi,0.0
525,pioggie,0.0
526,pioggia,0.0
527,piogge,0.0
528,piovuta,0.0
529,piovvero,0.0
530,pisanus,0.0
531,pipino,0.0
532,pisanorum,0.0
533,pisano,0.0
534,pisani,0.0
535,pisanello,0.0
536,pisa,0.0
537,pis,0.0
538,pirro,0.0
539,pironi,0.0
540,passatolo,0.0
541,piramo,0.0
542,piramidi,0.0
543,piramide,0.0
544,piramidati,0.0
545,piramidalmente,0.0
546,piramidali,0.0
547,piramidale,0.0
548,passatosi,0.0
549,pippo,0.0
550,pippioni,0.0
551,pipistrelli,0.0
552,pipistregli,0.0
553,placato,0.0
554,placida,0.0
555,placidissimo,0.0
556,polimaste,0.0
557,passano,0.0
558,polifemo,0.0
559,polidoro,0.0
560,policleto,0.0
561,poli,0.0
562,polesine,0.0
563,polenta,0.0
564,passar,0.0
565,polastra,0.0
566,pola,0.0
567,poiché,0.0
568,poggiuolo,0.0
569,poggio,0.0
570,poggino,0.0
571,poggini,0.0
572,poggibonzi,0.0
573,poggiare,0.0
574,poggi,0.0
575,poetico,0.0
576,poetiche,0.0
577,poeticamente,0.0
578,polignoto,0.0
579,polinnia,0.0
580,placido,0.0
581,polito,0.0
582,partitosi,0.0
583,poltronieri,0.0
584,polsi,0.0
585,polonia,0.0
586,passando,0.0
587,passandosi,0.0
588,polo,0.0
589,polluce,0.0
590,pollonia,0.0
591,pollirone,0.0
592,pollice,0.0
593,polli,0.0
594,polle,0.0
595,passandovi,0.0
596,pollastra,0.0
597,pollaiuolo,0.0
598,pollaiuoli,0.0
599,pollaiolo,0.0
600,polla,0.0
601,polizza,0.0
602,poliziano,0.0
603,poetica,0.0
604,passare,0.0
605,poeti,0.0
606,poeta,0.0
607,plus,0.0
608,plurimum,0.0
609,plurima,0.0
610,plures,0.0
611,pluma,0.0
612,passarono,0.0
613,ploremus,0.0
614,plinio,0.0
615,plenis,0.0
616,plenaria,0.0
617,plena,0.0
618,plebeo,0.0
619,plebei,0.0
620,plebe,0.0
621,plebaccia,0.0
622,plautilla,0.0
623,platone,0.0
624,platina,0.0
625,platea,0.0
626,plastas,0.0
627,plasme,0.0
628,plutone,0.0
629,po,0.0
630,passarlo,0.0
631,pochissimo,0.0
632,poesie,0.0
633,poesia,0.0
634,poema,0.0
635,podestà,0.0
636,podesteria,0.0
637,poderi,0.0
638,poderetto,0.0
639,podere,0.0
640,passargli,0.0
641,pochissimi,0.0
642,poca,0.0
643,pochissime,0.0
644,passarla,0.0
645,pochissima,0.0
646,pochi,0.0
647,passarle,0.0
648,pochetto,0.0
649,poche,0.0
650,pocci,0.0
651,passarli,0.0
652,portiamo,0.0
653,portica,0.0
654,portiate,0.0
655,parrocchia,0.0
656,pratesi,0.0
657,parrà,0.0
658,parse,0.0
659,pratese,0.0
660,praterie,0.0
661,prateria,0.0
662,parso,0.0
663,pratello,0.0
664,prassedia,0.0
665,parsono,0.0
666,prasedia,0.0
667,praia,0.0
668,praeter,0.0
669,praesule,0.0
670,praestantissimo,0.0
671,praesens,0.0
672,praeponis,0.0
673,praelium,0.0
674,praelio,0.0
675,parta,0.0
676,praefectum,0.0
677,prati,0.0
678,praticaccio,0.0
679,praeclara,0.0
680,praticamente,0.0
681,precettore,0.0
682,precetti,0.0
683,precedenza,0.0
684,praxitele,0.0
