,term,score
0,margaritone,42.69243918422865
1,greca,24.31085009251806
2,arezzo,13.47644266872475
3,vescovado,12.594904011394245
4,1275,10.873503068726256
5,sebbene,10.472524155923445
6,aretini,10.472524155923445
7,tela,10.075923209115397
8,legno,8.49026211876241
9,capella,8.150445222964041
10,lapo,8.100914346486476
11,crucifisso,8.011057319511927
12,pietramala,7.865348275173708
13,appoggiata,7.464006884249406
14,valdarno,7.289984130270146
15,tavole,7.092759552933927
16,fabrica,6.422744005076397
17,ancona,6.370919471513266
18,piccole,6.346415730612279
19,colla,6.268332882738164
20,gregorio,5.988808997987848
21,gesso,5.988808997987848
22,vecchie,5.988808997987848
23,finestra,5.5953884094957385
24,edifizii,5.457402666521837
25,diademe,5.436751534363128
26,oscuravano,5.436751534363128
27,campaldino,5.436751534363128
28,rinovandosi,5.436751534363128
29,ganghereto,5.436751534363128
30,ubique,5.436751534363128
31,bonus,5.436751534363128
32,ritagli,5.436751534363128
33,squarti,5.436751534363128
34,margaritonus,5.436751534363128
35,rifarle,5.436751534363128
36,tradat,5.436751534363128
37,confitta,5.436751534363128
38,brunirlo,5.436751534363128
39,lina,5.436751534363128
40,1289,5.436751534363128
41,pietramalesco,5.436751534363128
42,dazio,5.436751534363128
43,governatori,5.436751534363128
44,bollita,5.436751534363128
45,sepultura,5.436751534363128
46,dintornata,5.436751534363128
47,requiem,5.436751534363128
48,1270,5.436751534363128
49,cartapecora,5.436751534363128
50,tramezzo,5.391823020875854
51,forte,5.092759552933927
52,farinata,5.0312864262549635
53,atte,5.0312864262549635
54,glien,5.0312864262549635
55,jacet,5.0312864262549635
56,lxxvii,5.0312864262549635
57,aprendosi,5.0312864262549635
58,apiccata,5.0312864262549635
59,terranuova,5.0312864262549635
60,fessure,5.0312864262549635
61,gagliarde,5.0312864262549635
62,rimettendosi,5.0312864262549635
63,chimenti,5.0312864262549635
64,considerasse,5.0312864262549635
65,stemperato,5.0312864262549635
66,guerra,4.882038521618274
67,avvenisse,4.743604353803183
68,trentamila,4.743604353803183
69,soprastante,4.743604353803183
70,pius,4.743604353803183
71,spianata,4.743604353803183
72,baluardi,4.743604353803183
73,guardarsi,4.743604353803183
74,ciriaco,4.743604353803183
75,conservato,4.743604353803183
76,guglielmino,4.743604353803183
77,pieve,4.646472450305508
78,pictura,4.520460802488973
79,mostrino,4.520460802488973
80,dominus,4.520460802488973
81,rettamente,4.520460802488973
82,giugni,4.520460802488973
83,attraversa,4.520460802488973
84,ille,4.520460802488973
85,spesi,4.520460802488973
86,stiano,4.520460802488973
87,tra,4.476156833624893
88,disfatto,4.338139245695018
89,variata,4.338139245695018
90,infastidito,4.338139245695018
91,ricavato,4.338139245695018
92,sargiano,4.338139245695018
93,bolo,4.338139245695018
94,conseguente,4.338139245695018
95,rifatte,4.338139245695018
96,liberato,4.338139245695018
97,donato,4.2090940483758486
98,croce,4.207532688632199
99,infelice,4.18398856586776
100,ferme,4.18398856586776
101,millesimo,4.18398856586776
102,ponendovi,4.18398856586776
103,ianni,4.18398856586776
104,truovo,4.18398856586776
105,lino,4.18398856586776
106,dossale,4.18398856586776
107,archi,4.173694894177046
108,ciascuna,4.071108305401946
109,finestre,4.071108305401946
110,uberti,4.050457173243238
111,ubertini,4.050457173243238
112,porse,4.050457173243238
113,tarlati,4.050457173243238
114,rocca,4.050457173243238
115,agnesa,4.050457173243238
116,convento,3.9735279770630814
117,piccioli,3.932674137586854
118,fianchi,3.932674137586854
119,sino,3.932674137586854
120,asse,3.932674137586854
121,concezzione,3.932674137586854
122,egregie,3.932674137586854
123,durato,3.932674137586854
124,davano,3.932674137586854
125,avignone,3.932674137586854
126,dipinto,3.9110228900548725
127,caterina,3.8804879457932957
128,dagl,3.8504121910642146
129,spinello,3.8273136219290276
130,scultura,3.7915844206516285
131,tornando,3.734437675763516
132,grido,3.732003442124703
133,fabricato,3.732003442124703
134,supremo,3.732003442124703
135,andata,3.644992065135073
136,trevertino,3.644992065135073
137,hic,3.644992065135073
138,commettiture,3.644992065135073
139,elevato,3.644992065135073
140,rotti,3.644992065135073
141,intagliata,3.644992065135073
142,intendono,3.644992065135073
143,arnolfo,3.644992065135073
144,urbano,3.5649493574615367
145,pazzi,3.5649493574615367
146,peruzzi,3.5649493574615367
147,tornasse,3.5649493574615367
148,gente,3.5649493574615367
149,male,3.5463797764669636
150,sorte,3.520901724912104
151,vescovo,3.4957441604983837
152,chiamano,3.4908413853078146
153,insegne,3.4908413853078146
154,colmo,3.4908413853078146
155,duomo,3.4708991205012696
156,ordinarono,3.4218485138208634
157,spavento,3.4218485138208634
158,secolo,3.4218485138208634
159,zoccoli,3.4218485138208634
160,oro,3.39816383215952
161,detti,3.374494916865514
162,colpa,3.3573099926832923
163,tener,3.3573099926832923
164,misero,3.3573099926832923
165,dura,3.3573099926832923
166,inanzi,3.3279811925369795
167,migliore,3.305123800889734
168,lavora,3.2966853708668573
169,lasciati,3.2966853708668573
170,scritte,3.2966853708668573
171,famosissimo,3.2966853708668573
172,rovine,3.239526957026909
173,mettervi,3.239526957026909
174,onori,3.239526957026909
175,moderno,3.239526957026909
176,dette,3.238078416812447
177,tempio,3.238078416812447
178,tenuta,3.216220275748066
179,quadri,3.1945984435396353
180,famosi,3.185459735756633
181,discrezione,3.185459735756633
182,inventore,3.185459735756633
183,solito,3.185459735756633
184,tenevano,3.185459735756633
185,finisse,3.185459735756633
186,servisse,3.185459735756633
187,ora,3.1732078653061393
188,minio,3.134166441369082
189,contado,3.134166441369082
190,chiamata,3.134166441369082
191,frati,3.1311010469104748
192,state,3.1311010469104748
193,nondimeno,3.1103754728393813
194,pittori,3.1103754728393813
195,cimabue,3.0853762771996505
196,ascesi,3.0853762771996505
197,stimate,3.0853762771996505
198,sostengono,3.0853762771996505
199,dai,3.069557729576967
200,nuovi,3.0388562615647574
201,guido,3.0388562615647574
202,commessione,3.0388562615647574
203,marmo,3.0098518032776047
204,fregi,2.994404498993924
205,trecento,2.994404498993924
206,tirata,2.994404498993924
207,bisogna,2.994404498993924
208,rovinata,2.994404498993924
209,patria,2.9903394533868752
210,aver,2.9903394533868752
211,rilievo,2.9710156315634015
212,lavoravano,2.951844884575128
213,comune,2.951844884575128
214,grato,2.9110228900548725
215,foglie,2.9110228900548725
216,portico,2.9110228900548725
217,panno,2.9110228900548725
218,grandi,2.8771016653878596
219,padrone,2.8718021769015913
220,maggiormente,2.8718021769015913
221,età,2.8588366982613147
222,storia,2.8407370272214787
223,solo,2.8407370272214787
224,essersi,2.8340618489187444
225,istoria,2.8340618489187444
226,condusse,2.8227996872559578
227,dato,2.805021792421466
228,andarono,2.7976942047478692
229,vivuto,2.7976942047478692
230,battesimo,2.7976942047478692
231,tavoletta,2.7976942047478692
232,margherita,2.7626028849365993
233,ed,2.7626028849365993
234,facciata,2.7526170476334175
235,fresco,2.7526170476334175
236,diede,2.735449560250635
237,vano,2.7287013332609185
238,usato,2.7287013332609185
239,meritamente,2.695911510437927
240,camaldoli,2.695911510437927
241,operai,2.695911510437927
242,conosceva,2.695911510437927
243,pericolo,2.695911510437927
244,lodi,2.695911510437927
245,farvi,2.664162812123347
246,ragionevoli,2.664162812123347
247,cassa,2.6333911534565932
248,rovinato,2.6333911534565932
249,venerazione,2.5745506534336595
250,deposto,2.5463797764669636
251,minori,2.5463797764669636
252,rovina,2.518980802278849
253,poste,2.492312555196688
254,tacerò,2.492312555196688
255,dimostrano,2.492312555196688
256,tonde,2.466337068793427
257,conobbe,2.466337068793427
258,legge,2.466337068793427
259,cittadino,2.441019260809137
260,sculture,2.441019260809137
261,mura,2.4163266482187655
262,cambio,2.4163266482187655
263,epitaffio,2.4163266482187655
264,giotto,2.392229096639705
265,vedute,2.368698599229511
266,particolare,2.368698599229511
267,ell,2.368698599229511
268,scultori,2.368698599229511
269,paiono,2.345709081004812
270,quarto,2.345709081004812
271,mostrano,2.345709081004812
272,testamento,2.345709081004812
273,batista,2.3012573184339784
274,morti,2.3012573184339784
275,noi,2.279751113213015
276,seguitando,2.279751113213015
277,ordinato,2.279751113213015
278,sepolto,2.2586977040151828
279,scudi,2.2586977040151828
280,entrata,2.2586977040151828
281,vecchi,2.2380784168124466
282,monache,2.2380784168124466
283,popoli,2.2380784168124466
284,occasione,2.217875709494927
285,operare,2.217875709494927
286,sommo,2.217875709494927
287,stanza,2.1786549963416464
288,dipinte,2.1786549963416464
289,cominciata,2.1786549963416464
290,negl,2.1786549963416464
291,riuscì,2.1786549963416464
292,magi,2.140914668358799
293,paese,2.140914668358799
294,corte,2.140914668358799
295,conto,2.140914668358799
296,fuoco,2.140914668358799
297,poca,2.1225655296906023
298,grado,2.1225655296906023
299,fiorentini,2.1225655296906023
300,aiutato,2.1225655296906023
301,badia,2.1045470241879243
302,tempera,2.1045470241879243
303,modello,2.1045470241879243
304,infinite,2.1045470241879243
305,tondi,2.1045470241879243
306,farsi,2.086847447088523
307,aretino,2.086847447088523
308,colonne,2.086847447088523
309,importanza,2.086847447088523
