,term,score
0,mariotto,60.43157986829926
1,baccio,21.11138172904331
2,albertinelli,11.481940865787083
3,ungheri,10.873503068726256
4,pietanza,10.873503068726256
5,alfonsina,10.062572852509927
6,prese,9.777557225137182
7,ventura,9.402499324107247
8,frati,9.393303140731424
9,stufe,9.040921604977946
10,zanobi,8.733068670164617
11,osteria,8.676278491390036
12,parendo,8.615406530704774
13,sangue,8.287808654809798
14,frate,8.209445084069415
15,continua,8.100914346486476
16,quercia,7.654627243858055
17,torsi,7.654627243858055
18,compagno,7.639139329400891
19,valent,7.1298987149230735
20,olio,6.941798241002539
21,amore,6.892717870635281
22,opra,6.593370741733715
23,cane,6.479053914053818
24,mangiare,6.370919471513266
25,pratico,6.367696589071807
26,visitazione,6.268332882738164
27,tal,6.26054234126557
28,re,6.1797249450100065
29,odio,6.170752554399301
30,crocifisso,6.170752554399301
31,ritornò,6.170752554399301
32,sentiva,6.170752554399301
33,noia,6.077712523129515
34,scuro,6.008292989633945
35,garzoni,5.988808997987848
36,sapendo,5.903689769150256
37,forza,5.866534335082308
38,quivi,5.7756182865963215
39,pregato,5.743604353803183
40,fé,5.743604353803183
41,dolcezza,5.5953884094957385
42,colorito,5.477500865156712
43,lodare,5.457402666521837
44,battiloro,5.436751534363128
45,rompevano,5.436751534363128
46,dipor,5.436751534363128
47,raddoppiarono,5.436751534363128
48,intelligenzia,5.436751534363128
49,intendea,5.436751534363128
50,reine,5.436751534363128
51,filicità,5.436751534363128
52,intravenendo,5.436751534363128
53,abbagliate,5.436751534363128
54,intrigamento,5.436751534363128
55,abbatteva,5.436751534363128
56,risentono,5.436751534363128
57,cordialissimo,5.436751534363128
58,stillamenti,5.436751534363128
59,sofisticherie,5.436751534363128
60,redenzione,5.436751534363128
61,fiorenzia,5.436751534363128
62,fazzione,5.436751534363128
63,inquietissima,5.436751534363128
64,commerzio,5.436751534363128
65,trattassero,5.436751534363128
66,scanbiando,5.436751534363128
67,posseduti,5.436751534363128
68,importuni,5.436751534363128
69,animalacci,5.436751534363128
70,valsero,5.436751534363128
71,trebbiano,5.436751534363128
72,incapucciato,5.436751534363128
73,incolpavano,5.436751534363128
74,nobilità,5.436751534363128
75,tôrre,5.436751534363128
76,ponderando,5.436751534363128
77,potevon,5.436751534363128
78,scherzar,5.436751534363128
79,taverna,5.436751534363128
80,purgarla,5.436751534363128
81,assiduamente,5.436751534363128
