,term,score
0,masaccio,59.712055073995245
1,brancacci,17.352556982780072
2,masolino,16.201828692972953
3,carmine,13.988471023739347
4,hoc,13.963365541231259
5,panicale,13.014417737085054
6,prospettiva,12.314167626104123
7,piedi,12.148146921754444
8,filippo,11.288420837242288
9,difficultà,10.261806355086769
10,cappella,9.879798905395852
11,quivi,9.626030477660537
12,imparar,9.487208707606365
13,diedi,9.487208707606365
14,tributo,9.487208707606365
15,oltra,9.474794396918044
16,intender,9.040921604977946
17,vivo,8.8556301885933
18,divinissimo,8.676278491390036
19,istoria,8.502185546756234
20,ventre,8.36797713173552
21,capella,8.150445222964041
22,grillandaio,8.100914346486476
23,filippino,8.100914346486476
24,concorrono,8.100914346486476
25,tramezzo,8.087734531313782
26,veduta,8.011057319511927
27,paulo,7.8801091166126636
28,vivissime,7.865348275173708
29,attenzione,7.865348275173708
30,cure,7.865348275173708
31,trasse,7.654627243858055
32,danari,7.468875351527032
33,uccello,7.464006884249406
34,sola,7.32305778242741
35,pesce,7.289984130270146
36,valdarno,7.289984130270146
37,apparisce,7.289984130270146
38,va,7.144373172277558
39,ce,7.1298987149230735
40,vivi,6.903771955301935
41,fino,6.903771955301935
42,dipinse,6.881542619083544
43,operare,6.653627128484781
44,abbiamo,6.593370741733715
45,fila,6.593370741733715
46,giuliano,6.535964989024939
47,piano,6.535964989024939
48,brunellesco,6.479053914053818
49,tempera,6.313641072563772
50,massimamente,6.2622020938209495
51,ridolfo,5.988808997987848
52,affetto,5.988808997987848
53,convento,5.960291965594622
54,niun,5.903689769150256
55,animi,5.822045780109745
56,caterina,5.820731918689944
57,io,5.754203330775719
58,punta,5.743604353803183
59,stessi,5.743604353803183
60,allogato,5.668123697837489
61,scorti,5.668123697837489
62,fresco,5.505234095266835
63,1443,5.436751534363128
64,appariscon,5.436751534363128
65,obit,5.436751534363128
66,perit,5.436751534363128
67,avvivai,5.436751534363128
68,alessio,5.436751534363128
69,accostasse,5.436751534363128
70,facilitata,5.436751534363128
71,occidis,5.436751534363128
72,mestieri,5.436751534363128
73,extinguuntur,5.436751534363128
74,mantenutesi,5.436751534363128
75,sanare,5.436751534363128
76,focosa,5.436751534363128
77,veraci,5.436751534363128
78,invitta,5.436751534363128
79,astrattissima,5.436751534363128
80,figurandolo,5.436751534363128
81,rapì,5.436751534363128
82,iuventae,5.436751534363128
83,invida,5.436751534363128
84,insegni,5.436751534363128
85,ioanni,5.436751534363128
86,parlatorio,5.436751534363128
87,attratti,5.436751534363128
88,lepos,5.436751534363128
89,cattedra,5.436751534363128
90,straccurataggine,5.436751534363128
91,discindis,5.436751534363128
92,ardir,5.436751534363128
93,funereo,5.436751534363128
94,scortavano,5.436751534363128
95,imperfezzioni,5.436751534363128
96,zappa,5.436751534363128
97,cur,5.436751534363128
