,term,score
0,masolino,24.30274303945943
1,morbidezza,9.402499324107247
2,limosina,7.865348275173708
3,chiede,7.654627243858055
4,conseguire,7.654627243858055
5,scienza,7.464006884249406
6,colorire,6.71423525043734
7,rimane,6.593370741733715
8,libera,6.268332882738164
9,unione,5.988808997987848
10,ombre,5.525205769873199
11,1440,5.436751534363128
12,falde,5.436751534363128
13,concetta,5.436751534363128
14,rinettare,5.436751534363128
15,rinettatore,5.436751534363128
16,37,5.436751534363128
17,avicinano,5.436751534363128
18,terminò,5.436751534363128
19,generò,5.436751534363128
20,cesellare,5.436751534363128
21,gori,5.436751534363128
22,seguir,5.436751534363128
23,petronilla,5.436751534363128
24,fatigare,5.436751534363128
25,acerbo,5.0312864262549635
26,totalmente,5.0312864262549635
27,ammaccature,5.0312864262549635
28,troncando,5.0312864262549635
29,godono,5.0312864262549635
30,corso,4.932674137586854
31,povero,4.78445819327941
32,tornatosi,4.743604353803183
33,starnina,4.743604353803183
34,morbido,4.743604353803183
35,schiavo,4.743604353803183
36,diedesi,4.743604353803183
37,tempestoso,4.743604353803183
38,xix,4.743604353803183
39,lodevolmente,4.743604353803183
40,parti,4.728065469967598
41,perfezzione,4.696651570365712
42,leggiadri,4.520460802488973
43,loda,4.520460802488973
44,predicazione,4.520460802488973
45,intender,4.520460802488973
46,convertire,4.520460802488973
47,panneggiare,4.520460802488973
48,accordata,4.520460802488973
49,bartoluccio,4.520460802488973
50,bonissimo,4.476156833624893
51,popoli,4.476156833624893
52,rilievo,4.456523447345102
53,spenta,4.338139245695018
54,naufragio,4.338139245695018
55,panicale,4.338139245695018
56,sfumate,4.338139245695018
57,orsina,4.338139245695018
58,negò,4.338139245695018
59,variata,4.338139245695018
60,brancacci,4.338139245695018
61,felicissima,4.338139245695018
62,studio,4.315652498081789
63,morbidamente,4.18398856586776
64,sentono,4.18398856586776
65,umane,4.18398856586776
66,buchi,4.18398856586776
67,quieta,4.18398856586776
68,truovo,4.18398856586776
69,valdelsa,4.18398856586776
70,vangelisti,4.18398856586776
71,piangere,4.050457173243238
72,imparando,4.050457173243238
73,sopravenuto,4.050457173243238
74,unite,4.050457173243238
75,erono,4.050457173243238
76,sollecito,4.050457173243238
77,condotte,3.942031263126803
78,dintorni,3.932674137586854
79,unito,3.932674137586854
80,forza,3.9110228900548725
81,continovo,3.8273136219290276
82,sopragiunto,3.8273136219290276
83,linee,3.8273136219290276
84,potuto,3.8207820194939335
85,reti,3.732003442124703
86,vivono,3.732003442124703
87,ingegnò,3.732003442124703
88,caminando,3.732003442124703
89,affaticano,3.732003442124703
90,allogarono,3.732003442124703
91,panni,3.6788785475493646
92,colorito,3.6516672434378075
93,affaticato,3.644992065135073
94,innanzi,3.624821202773526
95,pietro,3.598330749273485
96,grandezza,3.572186586138779
97,toglie,3.5649493574615367
98,male,3.5463797764669636
99,cominciò,3.520901724912104
100,manda,3.4908413853078146
101,virtuosamente,3.4908413853078146
102,aggiunto,3.4908413853078146
103,complessione,3.4908413853078146
104,infermo,3.4218485138208634
105,aspettazione,3.4218485138208634
106,carni,3.4218485138208634
107,impedito,3.4218485138208634
108,ghiberti,3.4218485138208634
109,ragionevolmente,3.4218485138208634
110,operando,3.4218485138208634
111,annoverare,3.4218485138208634
112,affaticarsi,3.3573099926832923
113,inanzi,3.3279811925369795
114,osservanza,3.2966853708668573
115,intenzione,3.2966853708668573
116,giordano,3.2966853708668573
117,cattiva,3.2966853708668573
118,andatosene,3.2966853708668573
119,valse,3.2966853708668573
120,ottima,3.239526957026909
121,gherardo,3.239526957026909
122,scortano,3.239526957026909
123,avuto,3.1945984435396353
124,esercitò,3.185459735756633
125,fecevi,3.185459735756633
126,indietro,3.185459735756633
127,dolci,3.185459735756633
128,intelligenza,3.185459735756633
129,pieghe,3.134166441369082
130,avviene,3.134166441369082
131,destrezza,3.134166441369082
132,diletto,3.134166441369082
133,crocifisso,3.0853762771996505
134,stimata,3.0853762771996505
135,destro,3.0853762771996505
136,novità,3.0853762771996505
137,migliori,3.0494570578699642
138,girare,3.0388562615647574
139,gamba,2.951844884575128
140,qualche,2.9329192416220127
141,portico,2.9110228900548725
142,dee,2.9110228900548725
143,imperfette,2.9110228900548725
144,avevano,2.8955349755977076
145,perfetto,2.8718021769015913
146,almeno,2.8718021769015913
147,intera,2.8718021769015913
148,grand,2.8718021769015913
149,lorenzo,2.8588366982613147
150,età,2.8588366982613147
151,dimorò,2.8340618489187444
152,peccato,2.8340618489187444
153,difficili,2.8340618489187444
154,scorti,2.8340618489187444
155,fanciullezza,2.8340618489187444
156,femine,2.7976942047478692
157,carmine,2.7976942047478692
158,felice,2.7976942047478692
159,tirò,2.7976942047478692
160,belle,2.7699331731196466
161,volti,2.7626028849365993
162,membra,2.7626028849365993
163,facile,2.7287013332609185
164,corpi,2.7287013332609185
165,cornice,2.664162812123347
166,arie,2.6333911534565932
167,imaginare,2.6333911534565932
168,credo,2.6333911534565932
169,considerato,2.6333911534565932
170,figliuola,2.603538190306912
171,frutto,2.5463797764669636
172,ché,2.5463797764669636
173,dubbio,2.518980802278849
174,contento,2.518980802278849
175,orefice,2.518980802278849
176,maestà,2.518980802278849
177,tolse,2.518980802278849
178,studiare,2.518980802278849
179,argento,2.492312555196688
180,caso,2.466337068793427
181,potendo,2.466337068793427
182,lumi,2.466337068793427
183,veggono,2.441019260809137
184,volontà,2.4163266482187655
185,giotto,2.392229096639705
186,circa,2.3012573184339784
187,sarà,2.2586977040151828
188,vecchi,2.2380784168124466
189,segno,2.2380784168124466
190,sommo,2.217875709494927
191,abiti,2.217875709494927
