,term,score
0,michelagnolo,825.8169069582648
1,palmi,190.33217554835986
2,vasari,144.6936556918538
3,volse,141.92730875118392
4,io,133.78522744053546
5,facessi,129.77824654036618
6,drento,129.77824654036618
7,fussi,128.50082409613236
8,fabbrica,126.35929578367002
9,duca,125.30800971966039
10,disse,108.16458318224238
11,rispose,104.4015708351455
12,dovessi,99.45013765475741
13,mi,98.95409560502084
14,santità,97.83292483047906
15,statue,93.90813511898355
16,ci,91.1900445285206
17,marmo,90.29555409832814
18,avessi,86.39053576159021
19,tal,83.47389788354093
20,son,76.41564038987867
21,giulio,76.41564038987867
22,visto,74.66685659944137
23,figura,72.2364432786625
24,amico,71.36144047534991
25,modello,69.4500517982015
26,accademia,69.25484923756639
27,uomo,69.15859233777097
28,dua,69.06507212341498
29,innanzi,68.871602852697
30,braccia,67.02205674678262
31,vostra,66.85546033897651
32,verso,66.83365082830515
33,sepoltura,66.19291657954638
34,niente,65.01512176259641
35,cappella,62.10159311963107
36,quadro,60.740908503579256
37,faceva,60.59112792327256
38,scudi,58.726140304394754
39,lorenzo,58.606152314356954
40,dì,57.61615566741468
41,fino,57.53143296084946
42,poteva,57.36641358671374
43,piano,56.645029904882804
44,voleva,56.60084227328601
45,potessi,56.395810194035235
46,terzo,55.62939167888314
47,quattro,55.32127988765719
48,statua,55.23017564241548
49,tiberio,55.057437926215954
50,fuori,53.911585577063185
51,paulo,53.584741992966116
52,dato,53.29541405600786
53,cornice,53.28325624246694
54,voi,53.133207922352305
55,corpo,52.881980814235746
56,lettera,52.36262077961722
57,ho,52.30467121141547
58,colonne,52.17118617721308
59,cardinale,52.16284942696987
60,tu,51.845325331957454
61,grandezza,51.7967054990123
62,disegni,51.65784276679425
63,fa,50.29092134692413
64,capo,48.9350862374426
65,fé,48.82063700732705
66,deputati,48.51604474762114
67,eccellenzia,48.51604474762114
68,lionardo,48.32640368711355
69,giovane,48.24330413622099
70,once,47.436043538031825
71,scultura,47.394805258145354
72,subito,47.100122703893575
73,tribuna,46.86368742552442
74,avuto,46.32167743132471
75,piè,46.1595347261737
76,tale,45.91064383594751
77,marmi,45.5950222642603
78,bellezza,45.55568137768444
79,trivertino,45.28157783629467
80,luogotenente,45.20460802488973
81,cosimo,44.92774609924923
82,diceva,44.86162599354038
83,bramante,44.59643630059286
84,pareva,44.57387612350265
85,ora,44.42491011428595
86,caro,44.27767326862692
87,gallo,44.141488277902326
88,nuovo,44.0112715614013
89,qualcosa,43.73990478162088
90,giorno,43.71405862696803
91,andò,43.71209641383502
92,catafalco,43.494012274905025
93,testa,43.433024633965616
94,varchi,43.38139245695018
95,carrara,43.19526788079511
96,pilastri,43.060123739514694
97,quegli,42.966609411566544
98,scultori,42.6365747861312
99,illustrissima,42.510927733781166
100,questi,42.39946818388484
101,dio,42.26986413329141
102,quarto,42.22276345808662
103,medici,41.86475234741626
104,dicendo,41.49732743375532
105,desiderava,41.325828384051796
106,gliene,41.325828384051796
107,buonarruoti,41.06218216585036
108,el,41.05203786337173
109,noi,41.035520037834274
110,cartone,40.93051999891378
111,vano,40.93051999891378
112,giorgio,40.777965985914236
113,potere,40.65655867227329
114,piedi,39.9153398857646
115,degli,39.90425048450057
116,mani,39.64294175230953
117,sé,39.417208623264855
118,alto,39.29405244752657
119,montorio,39.214442932076906
120,mostrare,39.21159559551692
121,parole,39.21159559551692
122,via,39.1221370702274
123,desiderio,39.05307285460368
124,architettura,39.0101775411366
125,nazione,38.87432348432291
126,su,38.8408724827361
127,me,38.804879457932955
128,divina,38.67644038911239
129,dare,38.675528901318486
130,mandato,38.675528901318486
131,finestre,38.675528901318486
132,scultore,38.62822474926833
133,fiumi,38.39925523838596
134,memoria,38.36947161971209
135,forma,38.20782019493934
136,voluto,38.206179534430845
137,ché,38.19569664700445
138,primo,38.10779577795543
139,cagione,38.10779577795543
140,volentieri,38.05252226768165
141,nessuno,38.05252226768165
142,agli,37.91584420651628
143,allievo,37.65589709280984
144,principio,37.62314754097006
145,mandò,37.50795915445718
146,aver,37.37924316733594
147,eccellenza,37.23698765290312
148,solo,36.92958135387922
149,attitudine,36.867476148392306
150,fatiche,36.8346927549236
151,qualche,36.66149052027516
152,scala,36.61528891213705
153,vostro,36.44992065135073
154,mondo,36.42674701152918
155,sagrestia,36.34244731349572
156,essequie,35.634796527296
157,servidore,35.21900498378474
158,condurre,35.18074697440312
159,clemente,34.890141607295014
160,gambe,34.52871896310798
161,notte,34.51885977650968
162,man,34.23186993644898
163,attitudini,34.18414211809811
164,sul,33.98848719755504
165,scrisse,33.82857307506272
166,inteso,33.82857307506272
167,certo,33.77031289535469
168,urbino,33.50726573657783
169,satisfazione,33.47190852694208
170,nipote,33.469158494637576
171,arebbe,33.20956952473465
172,mini,33.205230476622276
173,dificultà,33.205230476622276
174,vedde,33.205230476622276
175,ponte,33.11129127002647
176,ciascuno,32.98414753924301
177,signore,32.97354164476206
178,guasto,32.96685370866857
179,baccio,32.839927134067366
180,soderini,32.80492858621566
181,daniello,32.80492858621566
182,otto,32.72850362404582
183,storia,32.668475813047
184,ingegno,32.621138170977815
185,bronzo,32.56886644321557
186,pensando,32.52530715213855
187,dire,32.4706440248421
188,libreria,32.47029373032641
189,cartoni,32.40006321755694
190,andare,32.384976743461365
191,dirittura,32.084544217153834
192,principe,32.062381894314555
193,dello,32.05770171022238
194,sarebbe,31.850884731574784
195,volendo,31.78822381650465
196,danari,31.742720243989886
197,pietà,31.621767856212557
198,volere,31.568205362818865
199,magnifico,31.536250105014425
200,larghezza,31.41757246777033
201,perfezzione,31.311010469104748
202,forza,31.28818312043898
203,dipinto,31.28818312043898
204,impresa,31.242458283682943
205,invenzione,30.898624725050034
206,oltra,30.793081789983646
207,nanni,30.61850897543222
208,sibilla,30.61850897543222
209,ciascuna,30.533312290514594
210,aiuto,30.50116994878305
211,sasso,30.388631734302592
212,va,30.36358598217962
213,continuo,30.234495219193327
214,cornicione,30.21578993414963
215,condotto,30.209567486572524
216,veduto,30.145474720408323
217,creato,30.041464948169725
218,morto,30.017785331743806
219,ordinò,29.91634513964172
220,vedeva,29.907750662360254
221,dimandò,29.856027536997622
222,segretamente,29.856027536997622
223,nuova,29.746114208007608
224,qui,29.715917415668432
225,comincia,29.670168337801716
226,sepolture,29.6550266148172
227,messe,29.596044825521126
228,peso,29.51844884575128
229,sarà,29.363070152197377
230,abbia,29.363070152197377
231,scritto,29.363070152197377
232,seco,29.332671675411543
233,ignudi,29.29223112970964
234,sendo,29.159936521080585
235,tevere,29.159936521080585
236,pensieri,29.155742613242182
237,grandissimo,29.141397609223347
238,stare,29.103659593449716
239,rara,28.97237986127316
240,intendere,28.967302688022524
241,antonio,28.955349755977075
242,lume,28.83238422343405
243,nicchia,28.83238422343405
244,occhi,28.733057794242953
245,li,28.706749159676463
246,ove,28.6691376218097
247,acciò,28.577492689110233
248,so,28.497758137813623
249,bontà,28.484374117382618
250,ufizio,28.461626122819098
251,pur,28.408224807175316
252,parti,28.36839281980559
253,aria,28.287840136564327
254,vista,28.20749797232174
255,canto,28.09355230756274
256,monte,28.042828930545454
257,veniva,28.0101775411366
258,metà,27.976942047478694
259,parecchi,27.926731082462517
260,mostra,27.831890688664387
261,cinque,27.798488938605274
262,poche,27.70878882506734
263,padre,27.684327728762177
264,dispiacere,27.626028849365994
265,morti,27.61508782120774
266,tanti,27.591589106620233
267,avevano,27.507582268178222
268,manca,27.415438107163567
269,voglia,27.387504325783556
270,dar,27.377160230384106
271,grossezza,27.374788110566907
272,onorare,27.374788110566907
273,scrivere,27.287013332609185
274,giardino,27.129707756727697
275,mettessi,27.122764814933838
276,trevertini,27.122764814933838
277,montagne,27.122764814933838
278,dinanzi,26.995959334924112
279,numero,26.995959334924112
280,detti,26.995959334924112
281,mostro,26.85847994146634
282,vecchi,26.85694100174936
283,servire,26.851211868900506
284,marcello,26.79119535350319
285,divine,26.79119535350319
286,quarti,26.79119535350319
287,orazione,26.79119535350319
288,avete,26.79119535350319
289,finire,26.6806965232256
290,spesa,26.614508513939125
291,teneva,26.579593130406423
292,nicchie,26.579593130406423
293,altrove,26.579593130406423
294,tante,26.5410909445614
295,finita,26.396273174598115
296,fargli,26.314520063036756
297,giovani,26.247323059746908
298,fama,26.22725784830101
299,obligato,26.12402409487292
300,diavoli,26.12402409487292
301,prigioni,25.91621565621527
302,però,25.904627334499576
303,tondo,25.847692014882306
304,conosce,25.82793185091003
305,lodovico,25.80279989105293
306,amici,25.729762205984528
307,agnolo,25.62320321032422
308,signor,25.556787548317082
309,moisè,25.5065566402687
310,quantunque,25.483677886053066
311,cavare,25.483677886053066
312,disagio,25.483677886053066
313,possa,25.470786356287228
314,proprio,25.470786356287228
315,atto,25.470786356287228
316,venire,25.42164878535667
317,mesi,25.42164878535667
318,circa,25.31383050277376
319,alcuna,25.245196131793197
320,francia,25.22317164765642
321,porre,25.18980802278849
322,lucerna,25.15643213127482
323,nasceva,25.15643213127482
324,ferratino,25.15643213127482
325,arti,25.133271280043484
326,celebrare,25.10393139520656
327,dificile,25.10393139520656
328,dall,25.086604797514404
329,mal,25.077262245343164
330,amò,25.073331530952657
331,belle,24.92939855807682
332,pittori,24.88300378271505
333,fatica,24.788428506673007
334,sei,24.645298734235585
335,trovato,24.628335252208245
336,scale,24.618862584936913
337,fussino,24.558311999348266
338,certe,24.45824514735829
339,grandi,24.455364155796808
340,domenico,24.455364155796808
341,porte,24.426649832411677
342,andava,24.426649832411677
343,donò,24.410192608091368
344,vergogna,24.31085009251806
345,vario,24.31085009251806
346,terribilità,24.30274303945943
347,imbasamento,24.30274303945943
348,dette,24.28558812609335
349,lettere,24.273844892462854
350,altezza,24.263203593941345
351,nulla,24.263203593941345
352,presto,24.163266482187655
353,amore,24.124512547223485
354,faccia,24.092023746791234
355,artefice,24.03317195853578
356,governo,23.977465309110123
357,arno,23.977465309110123
358,nessuna,23.952939596746045
359,ingegnosa,23.952939596746045
360,sa,23.92229096639705
361,poter,23.92229096639705
362,alta,23.92229096639705
363,varie,23.91271055907087
364,grandissima,23.84268523558246
365,antiche,23.841167862378487
366,cura,23.841167862378487
367,costole,23.718021769015913
368,qua,23.70052038110934
369,parere,23.68698599229511
370,vivo,23.615013836248803
371,mia,23.614759076601025
372,sesto,23.614759076601025
373,miniato,23.614759076601025
374,coi,23.614759076601025
375,voce,23.614759076601025
376,bandini,23.596044825521123
377,finirla,23.596044825521123
378,conto,23.550061351946788
379,esser,23.544431971516996
380,fattogli,23.501169948783048
381,state,23.48325785182856
382,spesso,23.282927674759776
383,persone,23.219212809902064
384,mostrò,23.219212809902064
385,viene,23.170955880902937
386,quivi,23.102473146385286
387,servirlo,23.076797596068
388,ore,23.076797596068
389,scritte,23.076797596068
390,iacopo,23.021682971827254
391,nove,22.97441741521273
392,leda,22.963881731574165
393,pompa,22.963881731574165
394,vanno,22.955321917973755
395,posto,22.9246921169636
396,anima,22.79751113213015
397,lungo,22.749506523909773
398,altare,22.72167297122721
399,professioni,22.67668869918836
400,entrate,22.67668869918836
401,fo,22.602304012444865
402,11,22.602304012444865
403,contrasegno,22.602304012444865
404,sol,22.602304012444865
405,ricevé,22.602304012444865
406,vedendo,22.57597398119089
407,attendere,22.43081299677019
408,risposta,22.392020652748215
409,profeta,22.392020652748215
410,dimandato,22.392020652748215
411,danno,22.391095679710702
412,dieci,22.380784168124464
413,fortificazioni,22.29821815029643
414,comodità,22.29821815029643
415,là,22.212455057142975
416,usò,22.100823079492795
417,favore,21.96917334728223
418,finito,21.910003460626847
419,varia,21.86995239081044
420,lanterna,21.86995239081044
421,avvenga,21.86995239081044
422,antichi,21.854403873846948
423,paura,21.829610666087348
424,giuliano,21.786549963416462
425,maestri,21.77262830987567
426,levassi,21.747006137452512
427,vedessi,21.747006137452512
428,inferire,21.747006137452512
429,seravezza,21.747006137452512
430,perdonassi,21.747006137452512
431,scarpegli,21.747006137452512
432,motu,21.747006137452512
433,topolino,21.747006137452512
434,menighella,21.747006137452512
435,funerale,21.747006137452512
436,volontà,21.746939833968888
437,invidia,21.746939833968888
438,modelli,21.746939833968888
439,stata,21.716512316982808
440,avevon,21.69069622847509
441,accademici,21.69069622847509
442,offerte,21.69069622847509
443,onoranza,21.69069622847509
444,domandato,21.69069622847509
445,mila,21.69069622847509
446,còllora,21.69069622847509
447,alcuno,21.59606801370952
448,pier,21.567292083503418
449,prese,21.5106258953018
450,colori,21.483304705783272
451,età,21.44127523695986
452,attorno,21.40914668358799
453,te,21.38969614476922
454,persona,21.34619940508975
455,basamento,21.313302496986775
456,natura,21.30552770416109
457,male,21.27827865880178
458,fin,21.271993830953303
459,fiorentini,21.225655296906023
460,sapeva,21.225655296906023
461,professione,21.17726705085318
462,condusse,21.170997654419683
463,tosto,21.125410349472624
464,spirito,21.047509709280906
465,basso,21.047509709280906
466,donato,21.045470241879244
467,invenzioni,21.045470241879244
468,potuto,21.014301107216635
469,stette,21.014301107216635
470,fantasia,20.960831492957468
471,imperò,20.94504831184689
472,incirca,20.9199428293388
473,12,20.9199428293388
474,comandò,20.9199428293388
475,sapere,20.909126026374786
476,doveva,20.909126026374786
477,eccellenti,20.905431792362428
478,ultima,20.868474470885232
479,laonde,20.853714313583957
480,meno,20.797109420943812
481,raro,20.711315865905807
482,vivi,20.711315865905807
483,portato,20.694557043766544
484,pontefice,20.694557043766544
485,salire,20.662914192025898
486,pio,20.662914192025898
487,versi,20.596405227469276
488,ferrara,20.596405227469276
489,trovare,20.596405227469276
490,mettere,20.539407216699338
491,luoghi,20.53043469135409
492,camera,20.523612710173538
493,lor,20.517760018917137
494,ordinato,20.517760018917137
495,diede,20.51587170187976
496,braccio,20.388982992957118
497,dirà,20.3855585549772
498,illustrissimo,20.377160230384106
499,pigliare,20.377160230384106
500,vengono,20.377160230384106
501,mio,20.37103821173571
502,cera,20.37103821173571
503,valore,20.37103821173571
504,strada,20.328279336136646
505,pezzi,20.328279336136646
506,membri,20.25228586621619
507,iddio,20.25228586621619
508,balaustri,20.25228586621619
509,potrò,20.25228586621619
510,ito,20.25228586621619
511,vidde,20.25228586621619
512,panni,20.233832011521507
513,modi,20.19024850749762
514,fiorentina,20.143859956099753
515,quantità,20.143859956099753
516,necessario,20.143859956099753
517,poiché,20.14270575131202
518,ornamento,20.13971165771502
519,ammannato,20.125145705019854
520,torrigiano,20.125145705019854
521,palmo,20.125145705019854
522,16,20.125145705019854
523,piedestallo,20.125145705019854
524,sveltezza,20.125145705019854
525,centina,20.125145705019854
526,roppe,20.125145705019854
527,bandino,20.125145705019854
528,ducati,20.102615238311138
529,bologna,20.027643298779818
530,fregio,19.960881385454343
531,palco,19.938500441573503
532,sala,19.93651661525439
533,ultimo,19.93651661525439
534,dico,19.93651661525439
535,errore,19.83843294243121
536,imitazione,19.780112225201144
537,bigio,19.780112225201144
538,benedetto,19.710156315634016
539,girato,19.66337068793427
540,deposito,19.66337068793427
541,croce,19.635152546950263
542,maggiori,19.555114450274363
543,talvolta,19.437161742161454
544,naso,19.437161742161454
545,creazione,19.437161742161454
546,condotta,19.42847050087468
547,muro,19.402439728966478
548,ad,19.389532211837526
549,bellissimo,19.389532211837526
550,forse,19.36495948701657
551,figliuoli,19.36495948701657
552,cominciò,19.36495948701657
553,or,19.338220194556197
554,facciata,19.268319333433922
555,anzi,19.16759066123781
556,lavorare,19.148146921754442
557,talmente,19.13783277311764
558,saglie,19.112758414539798
559,desiderando,19.112758414539798
560,ricchi,19.112758414539798
561,dante,19.112758414539798
562,cercava,19.112758414539798
563,nascere,19.112758414539798
564,assedio,19.10090933282643
565,torno,19.10090933282643
566,fur,18.97441741521273
567,risoluzione,18.97441741521273
568,consigliò,18.97441741521273
569,vinta,18.97441741521273
570,disfare,18.97441741521273
571,lassato,18.97441741521273
572,preso,18.940923217691317
573,conosceva,18.87138057306549
574,tetto,18.87138057306549
575,diverse,18.821639178391234
576,bello,18.8209773413851
577,putti,18.814034728737145
578,sulle,18.804998648214493
579,favori,18.804998648214493
580,amor,18.804998648214493
581,furia,18.804998648214493
582,pare,18.78660628146285
583,farsi,18.78162702379671
584,sette,18.765672648038496
585,cioè,18.701160825021088
586,lunga,18.68990107687736
587,gigante,18.660017210623515
588,ginocchio,18.660017210623515
589,componimento,18.649139684863428
590,risolvé,18.649139684863428
591,minore,18.649139684863428
592,moltitudine,18.512257663197904
593,mente,18.512257663197904
594,mettersi,18.512257663197904
595,mercurio,18.512257663197904
596,cupola,18.512257663197904
597,ii,18.512257663197904
598,par,18.471251439156184
599,basta,18.433738074196153
600,cassa,18.433738074196153
601,credo,18.433738074196153
602,frutti,18.433738074196153
603,tommaso,18.410058547471827
604,dietro,18.296742347219784
605,lavoro,18.296742347219784
606,gira,18.233137569388546
607,ire,18.224960325675365
608,vecchiezza,18.22476733214838
609,arrivato,18.22476733214838
610,cavallo,18.124106013867628
611,punto,18.124106013867628
612,pazienzia,18.081843209955892
613,finirlo,18.081843209955892
614,soprastanti,18.081843209955892
615,gonfalonieri,18.081843209955892
616,resto,18.069581632121462
617,cielo,18.05388579710027
618,nuove,18.021854574035615
619,luce,17.966426993963545
620,pure,17.94203672032125
621,segno,17.904627334499573
622,tiene,17.880875896783866
623,testimonio,17.824746787307685
624,condurla,17.824746787307685
625,rispetto,17.824658435268745
626,viso,17.824658435268745
627,contrario,17.824658435268745
628,dolore,17.824658435268745
629,figliuolo,17.780422141629128
630,somma,17.739140684070613
631,tornò,17.731898882334818
632,grossa,17.71106930745077
633,particularmente,17.71106930745077
634,gamba,17.71106930745077
635,comune,17.71106930745077
636,sedici,17.71106930745077
637,dipignere,17.689211516614364
638,lasciato,17.584584657589982
639,leone,17.584584657589982
640,zio,17.466137340329233
641,vigna,17.466137340329233
642,fiori,17.466137340329233
643,fiorini,17.454206926539072
644,scarpello,17.454206926539072
645,eglino,17.446187886376816
646,antico,17.446187886376816
647,varii,17.42923997073317
648,stanza,17.42923997073317
649,sedere,17.42923997073317
650,troppo,17.354495602506347
651,nilo,17.352556982780072
652,contorni,17.352556982780072
653,storpiato,17.352556982780072
654,pirro,17.352556982780072
655,piramide,17.352556982780072
656,canapi,17.352556982780072
657,avenga,17.352556982780072
658,avervi,17.352556982780072
659,avevono,17.352556982780072
660,venne,17.336240056547858
661,stati,17.336240056547858
662,lumi,17.26435948155399
663,studio,17.262609992327157
664,principale,17.231794676588205
665,essi,17.231794676588205
666,perfetto,17.23081306140955
667,morire,17.23081306140955
668,levare,17.23081306140955
669,fabrica,17.12731734687039
670,lei,17.12731734687039
671,poesia,17.109242569104318
672,sonno,17.109242569104318
673,figurato,17.109242569104318
674,artificio,17.109242569104318
675,1550,17.109242569104318
676,ricordo,17.109242569104318
677,termini,17.004371093512468
678,partita,17.004371093512468
679,prontezza,17.004371093512468
680,peccato,17.004371093512468
681,sieno,17.004371093512468
682,bellissime,16.99424359877752
683,oro,16.9908191607976
684,grado,16.98052423752482
685,cambio,16.91428653753136
686,ricevuto,16.91428653753136
687,pezzo,16.836376193503394
688,preghi,16.786549963416462
689,intento,16.786549963416462
690,scorge,16.786549963416462
691,muscoli,16.786549963416462
692,piazza,16.755514186695656
693,negli,16.745603676477934
694,accoglienze,16.73595426347104
695,stupì,16.73595426347104
696,torna,16.73595426347104
697,inoltre,16.73595426347104
698,setta,16.73595426347104
699,successe,16.73595426347104
700,rifondare,16.73595426347104
701,savio,16.73595426347104
702,banda,16.67909336316316
703,messo,16.6399059626849
704,finì,16.6399059626849
705,avvenne,16.580890194606578
706,carta,16.580890194606578
707,mirabile,16.580890194606578
708,larga,16.575617309619595
709,raffaello,16.55495346397214
710,ornamenti,16.554184918026827
711,volle,16.52561900444867
712,vederla,16.483426854334287
713,ragionamento,16.483426854334287
714,servitore,16.483426854334287
715,onore,16.446866993627815
716,messa,16.41889016813883
717,cima,16.37220799956551
718,ritornato,16.37220799956551
719,paressi,16.310254603089383
720,guari,16.310254603089383
721,valevano,16.310254603089383
722,nerbi,16.310254603089383
723,mandandogli,16.310254603089383
724,ragunare,16.310254603089383
725,trovarlo,16.310254603089383
726,diminuzione,16.310254603089383
727,abreviare,16.310254603089383
728,raccomando,16.310254603089383
729,portiamo,16.310254603089383
730,aviamo,16.310254603089383
731,sangallesca,16.310254603089383
732,risolse,16.310254603089383
733,vaga,16.262653576069276
734,stando,16.262653576069276
735,grillandaio,16.201828692972953
736,rise,16.201828692972953
737,granaccio,16.201828692972953
738,sodo,16.201828692972953
739,accorto,16.201828692972953
740,rimasto,16.201828692972953
741,alzare,16.201828692972953
742,contratto,16.201828692972953
743,tronco,16.201828692972953
744,misse,16.201828692972953
745,cerca,16.197634785134547
746,cavato,16.197634785134547
747,lasciava,16.197634785134547
748,bisognava,16.197634785134547
749,mettervi,16.197634785134547
750,ricchezza,16.197634785134547
751,tant,16.197634785134547
752,pietro,16.192488371730683
753,uso,16.192488371730683
754,fuora,16.175469062627563
755,giù,16.175469062627563
756,largo,16.175469062627563
757,divino,16.175469062627563
