,term,score
0,michele,129.63418714204215
1,verona,91.16589520290778
2,giangirolamo,60.37543711505956
3,signori,56.4649175351737
4,fortezza,53.28325624246694
5,vinezia,48.7932656088884
6,viniziani,31.854597357566334
7,paulino,31.64322561742281
8,fondamenti,28.6691376218097
9,fortezze,27.528718963107977
10,canoniere,27.18375767181564
11,fortificare,25.51494445594551
12,luoghi,24.929813553787106
13,fabrica,23.550061351946788
14,zio,23.28818312043898
15,veronese,22.29821815029643
16,veronesi,20.9199428293388
17,giorgio,20.388982992957118
18,detti,20.246969501193085
19,bastione,20.125145705019854
20,bernardino,19.583859433235084
21,architettura,19.5050887705683
22,isola,19.437161742161454
23,maravigliosa,19.36495948701657
24,modello,18.940923217691317
25,bastioni,18.660017210623515
26,fortificazione,18.224960325675365
27,nipote,18.021854574035615
28,bellissimo,18.004565625277703
29,vicino,17.60450862456052
30,cappella,16.936798123535745
31,rustica,16.73595426347104
32,fabriche,16.580890194606578
33,monsignor,16.575617309619595
34,brugnuoli,16.310254603089383
35,micheli,16.310254603089383
36,legnago,16.310254603089383
37,campanile,16.197634785134547
38,grandezza,16.074839637624507
39,porto,15.927298678783167
40,vide,15.894111908252325
41,incredibile,15.386511575391234
42,dai,15.347788647884835
43,dipinse,15.139393761983797
44,soranza,15.09385927876489
45,sebenico,15.09385927876489
46,candia,15.09385927876489
47,corfù,15.09385927876489
48,senato,14.928013768498811
49,colonne,14.607932129619662
50,quadri,14.37569299592836
51,mandato,14.248879068906811
52,fiascone,14.230813061409549
53,dorico,13.687394055283454
54,generale,13.643506666304592
55,torrioni,13.561382407466919
56,canossa,13.561382407466919
57,rassettò,13.561382407466919
58,adice,13.561382407466919
59,fossa,13.561382407466919
60,numero,13.497979667462056
61,ancor,13.456527540240938
62,fiume,13.166955767282966
63,fuori,13.113628924150506
64,acque,12.594904011394245
65,andare,12.594157622457196
66,ottimamente,12.536665765476329
67,importanza,12.52108468253114
68,palco,12.461562775983438
69,ponte,12.416734226259926
70,dominio,12.15542504625903
71,fondò,12.151371519729715
72,corinzio,12.151371519729715
73,artiglieria,11.798022412760561
74,maligni,11.798022412760561
75,potersi,11.798022412760561
76,vicenza,11.798022412760561
77,duca,11.656559043689338
78,domenico,11.508406661551438
79,provisione,11.506286592169893
80,tempio,11.333274458843565
81,pietre,11.293488520075915
82,giovane,11.256770965118232
83,dissero,11.196010326374108
84,suona,11.196010326374108
85,ora,11.106227528571488
86,luigi,11.050411539746397
87,facciata,11.01046819053367
88,ai,11.01046819053367
89,pochi,10.955001730313423
90,fondare,10.93497619540522
91,senz,10.93497619540522
92,private,10.93497619540522
93,sala,10.874463608320578
94,giorni,10.874463608320578
95,collaterale,10.873503068726256
96,famagosta,10.873503068726256
97,portesco,10.873503068726256
98,bevilacqua,10.873503068726256
99,murandola,10.873503068726256
100,storpiare,10.873503068726256
101,lippomano,10.873503068726256
102,cania,10.873503068726256
103,scaccia,10.873503068726256
104,possa,10.612827648453012
105,consiglio,10.522735120939622
106,capitelli,10.472524155923445
107,riscontro,10.472524155923445
108,eletto,10.472524155923445
109,imperò,10.472524155923445
110,monte,10.331568553358851
111,quest,10.123484750596543
112,ordinario,10.071929978049877
113,garda,10.062572852509927
114,cornari,10.062572852509927
115,cavaliero,10.062572852509927
116,smisurate,10.062572852509927
117,cornara,10.062572852509927
118,ringraziarne,10.062572852509927
119,trivisani,10.062572852509927
120,sodezza,10.062572852509927
